Bulgaria,  Births (1-year)	Last modified: 15 Sep 2022;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1947           82390     87772    170162
1948           85122     90649    175771
1949           85835     91899    177734
1950           88297     94385    182682
1951           74276     78717    152993
1952           74682     79526    154208
1953           73994     79226    153220
1954           72496     77406    149902
1955           73478     77500    150978
1956           71668     76242    147910
1957           68781     72254    141035
1958           67226     71068    138294
1959           66453     70439    136892
1960           67867     72215    140082
1961           66617     71244    137861
1962           65314     68834    134148
1963           64099     68044    132143
1964           63511     67447    130958
1965           60985     64806    125791
1966           59575     63464    123039
1967           60420     64162    124582
1968           68840     72620    141460
1969           69594     73466    143060
1970           66921     71824    138745
1971           65643     69779    135422
1972           63540     67776    131316
1973           68056     71657    139713
1974           72489     76707    149196
1975           70316     74352    144668
1976           70247     74682    144929
1977           68869     72833    141702
1978           66394     70048    136442
1979           65450     69908    135358
1980           62118     66072    128190
1981           60218     64154    124372
1982           60211     63955    124166
1983           59951     63042    122993
1984           59243     63060    122303
1985           58016     60939    118955
1986           58728     61350    120078
1987           56925     59747    116672
1988           56939     60501    117440
1989           54700     57589    112289
1990           51152     54028    105180
1991           46411     49499     95910
1992           43175     45959     89134
1993           40914     43486     84400
1994           38904     40538     79442
1995           35165     36802     71967
1996           34952     37236     72188
1997           30821     33304     64125
1998           31715     33646     65361
1999           35233     37058     72291
2000           35897     37782     73679
2001           33055     35125     68180
2002           32002     34497     66499
2003           32689     34670     67359
2004           33860     36026     69886
2005           34597     36478     71075
2006           35870     38108     73978
2007           36527     38822     75349
2008           37726     39986     77712
2009           39644     41312     80956
2010           36677     38836     75513
2011           34313     36533     70846
2012           33459     35662     69121
2013           32534     34044     66578
2014           32850     34735     67585
2015           31881     34069     65950
2016           31609     33375     64984
2017           31168     32787     63955
2018           30053     32144     62197
2019           30023     31515     61538
2020           28714     30372     59086
2021           28605     30073     58678
