East Germany,  Births (1-year)	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1946           90496     98183    188679
1947          119267    128008    247275
1948          116927    126384    243311
1949          132232    141790    274022
1950          146619    157247    303866
1951          149655    161117    310772
1952          147895    158109    306004
1953          144188    154745    298933
1954          142022    151693    293715
1955          141436    151844    293280
1956          136270    145012    281282
1957          132106    141221    273327
1958          131171    140234    271405
1959          141394    150586    291980
1960          142239    150746    292985
1961          145991    154827    300818
1962          144500    153482    297982
1963          146298    155174    301472
1964          141800    150067    291867
1965          135788    145270    281058
1966          130397    137561    267958
1967          122802    130015    252817
1968          118972    126171    245143
1969          115897    123013    238910
1970          115328    121601    236929
1971          113932    120938    234870
1972           97308    103135    200443
1973           87618     92718    180336
1974           87097     92030    179127
1975           88143     93655    181798
1976           95119    100364    195483
1977          108238    114914    223152
1978          112633    119518    232151
1979          113818    121415    235233
1980          119464    125668    245132
1981          115636    121907    237543
1982          116636    123466    240102
1983          113572    120184    233756
1984          111008    117127    228135
1985          110453    117195    227648
1986          108552    113717    222269
1987          109947    116012    225959
1988          104821    110913    215734
1989           96515    102407    198922
1990           86824     91652    178476
1991           52727     55042    107769
1992           43012     45308     88320
1993           39024     41508     80532
1994           38232     40466     78698
1995           40681     43166     83847
1996           45423     47902     93325
1997           48716     51542    100258
1998           50249     52613    102862
1999           51850     54876    106726
2000           54158     57109    111267
2001           52434     55412    107846
2002           51873     54755    106628
2003           52339     54587    106926
2004           53540     56431    109971
2005           52915     55047    107962
2006           52401     55800    108201
2007           54492     58007    112499
2008           55911     58641    114552
2009           55193     57909    113102
2010           56757     59425    116182
2011           55306     58080    113386
2012           56078     58647    114725
2013           55560     58976    114536
2014           58021     60709    118730
2015           58488     61610    120098
2016           73189     76780    149969
2017           71333     75047    146380
2018           70035     73818    143853
2019           67850     71368    139218
2020           65636     69603    135239
