Greece,  Births (1-year)	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1981           67909     73044    140953
1982           66202     71073    137275
1983           63762     68846    132608
1984           60598     65126    125724
1985           56059     60422    116481
1986           54388     58422    112810
1987           51704     54688    106392
1988           51884     55621    107505
1989           49176     52481    101657
1990           49807     52422    102229
1991           49930     52690    102620
1992           50014     54067    104081
1993           49370     52429    101799
1994           50096     53667    103763
1995           48795     52700    101495
1996           49208     51510    100718
1997           49432     52606    102038
1998           48902     51992    100894
1999           48759     51884    100643
2000           50125     53149    103274
2001           49051     53231    102282
2002           50427     53142    103569
2003           50706     53714    104420
2004           51050     54605    105655
2005           52006     55539    107545
2006           54303     57739    112042
2007           53967     57959    111926
2008           57336     60966    118302
2009           57101     60832    117933
2010           55639     59127    114766
2011           51566     54862    106428
2012           48717     51654    100371
2013           45704     48430     94134
2014           44765     47384     92149
2015           44553     47294     91847
2016           45016     47882     92898
2017           42867     45686     88553
2018           41915     44525     86440
2019           40818     42945     83763
