Hong Kong,  Births (1-year)	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1948           22175     25300     47475
1949           26236     28538     54774
1950           28855     31745     60600
1951           32555     35945     68500
1952           34406     37570     71976
1953           36002     39542     75544
1954           40024     43293     83317
1955           43186     47325     90511
1956           46748     49998     96746
1957           46567     51267     97834
1958           51024     55600    106624
1959           50194     54385    104579
1960           53619     57048    110667
1961           53523     57361    110884
1962           54342     58161    112503
1963           55486     59064    114550
1964           52237     55388    107625
1965           49081     52029    101110
1966           44343     47489     91832
1967           42547     45668     88215
1968           40077     42608     82685
1969           40002     42480     82482
1970           38398     40734     79132
1971           38693     41096     79789
1972           38868     41476     80344
1973           39835     42417     82252
1974           40614     42967     83581
1975           38255     41535     79790
1976           37731     40780     78511
1977           38689     41333     80022
1978           39184     41773     80957
1979           39623     42352     81975
1980           41189     44101     85290
1981           42141     44610     86751
1982           41769     44351     86120
1983           40457     42836     83293
1984           37354     39943     77297
1985           36830     39296     76126
1986           34703     36917     71620
1987           33979     35979     69958
1988           36366     39046     75412
1989           33806     35815     69621
1990           32616     35115     67731
1991           33084     35197     68281
1992           34249     36700     70949
1993           33946     36505     70451
1994           34368     37278     71646
1995           33071     35566     68637
1996           30627     32664     63291
1997           28370     30880     59250
1998           25259     27718     52977
1999           24569     26712     51281
2000           25854     28280     54134
2001           23059     25160     48219
2002           23254     24955     48209
2003           22559     24406     46965
2004           23969     25827     49796
2005           27218     29880     57098
2006           31031     34595     65626
2007           33427     37448     70875
2008           36894     41928     78822
2009           38129     43966     82095
2010           41218     47366     88584
2011           44165     51286     95451
2012           42781     48777     91558
2013           27278     29806     57084
2014           30043     32262     62305
2015           28660     31218     59878
2016           29132     31724     60856
2017           27312     29236     56548
2018           25820     27896     53716
2019           25161     27695     52856
2020           20568     22463     43031
