Israel, Total Population,  Births (1-year)	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1983           47886     50838     98724
1984           47564     50914     98478
1985           48465     50911     99376
1986           48405     50936     99341
1987           48463     50559     99022
1988           48851     51603    100454
1989           49119     51638    100757
1990           50336     53013    103349
1991           51584     54141    105725
1992           53459     56603    110062
1993           54562     57768    112330
1994           55689     58854    114543
1995           56891     59995    116886
1996           58905     62428    121333
1997           60476     64002    124478
1998           63260     66820    130080
1999           64081     67855    131936
2000           66217     70173    136390
2001           66412     70224    136636
2002           68217     71318    139535
2003           70665     74271    144936
2004           70513     74694    145207
2005           69957     73956    143913
2006           72092     76078    148170
2007           73849     77830    151679
2008           76669     80254    156923
2009           78644     82398    161042
2010           80840     85415    166255
2011           81134     85162    166296
2012           83488     87452    170940
2013           83249     88195    171444
2014           85647     90780    176427
2015           86835     91888    178723
2016           88041     93364    181405
