Luxembourg,  Births (1-year)	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

Year          Female      Male     Total
1950            2171      2230      4401
1951            1989      2187      4176
1952            2212      2323      4535
1953            2207      2358      4565
1954            2313      2400      4713
1955            2258      2406      4664
1956            2433      2400      4833
1957            2337      2617      4954
1958            2358      2601      4959
1959            2419      2618      5037
1960            2483      2536      5019
1961            2529      2583      5112
1962            2523      2614      5137
1963            2473      2639      5112
1964            2470      2759      5229
1965            2587      2710      5297
1966            2576      2618      5194
1967            2370      2587      4957
1968            2316      2464      4780
1969            2204      2358      4562
1970            2186      2225      4411
1971            2126      2386      4512
1972            1964      2174      4138
1973            1850      1997      3847
1974            1884      2041      3925
1975            1952      2045      3997
1976            1896      2019      3915
1977            1948      2105      4053
1978            1994      2078      4072
1979            1999      2079      4078
1980            2087      2082      4169
1981            2090      2324      4414
1982            2106      2194      4300
1983            2068      2117      4185
1984            2000      2192      4192
1985            1982      2122      4104
1986            2104      2205      4309
1987            2079      2159      4238
1988            2276      2327      4603
1989            2290      2375      4665
1990            2354      2582      4936
1991            2429      2557      4986
1992            2523      2626      5149
1993            2560      2793      5353
1994            2681      2770      5451
1995            2639      2782      5421
1996            2707      2982      5689
1997            2670      2833      5503
1998            2566      2820      5386
1999            2714      2868      5582
2000            2745      2978      5723
2001            2668      2791      5459
2002            2601      2744      5345
2003            2489      2814      5303
2004            2629      2823      5452
2005            2587      2784      5371
2006            2688      2826      5514
2007            2723      2754      5477
2008            2722      2874      5596
2009            2722      2916      5638
2010            2914      2960      5874
2011            2726      2913      5639
2012            2937      3089      6026
2013            2986      3129      6115
2014            2931      3139      6070
2015            2947      3168      6115
2016            2973      3077      6050
2017            3003      3171      6174
2018            3078      3196      6274
2019            3123      3107      6230
2020            3163      3296      6459
2021            3273      3417      6690
2022            3196      3299      6495
