Austria, Death rates (cohort 1x10), 	Last modified: 30 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1871-1879        0                    .               .               .
1871-1879        1                    .               .               .
1871-1879        2                    .               .               .
1871-1879        3                    .               .               .
1871-1879        4                    .               .               .
1871-1879        5                    .               .               .
1871-1879        6                    .               .               .
1871-1879        7                    .               .               .
1871-1879        8                    .               .               .
1871-1879        9                    .               .               .
1871-1879       10                    .               .               .
1871-1879       11                    .               .               .
1871-1879       12                    .               .               .
1871-1879       13                    .               .               .
1871-1879       14                    .               .               .
1871-1879       15                    .               .               .
1871-1879       16                    .               .               .
1871-1879       17                    .               .               .
1871-1879       18                    .               .               .
1871-1879       19                    .               .               .
1871-1879       20                    .               .               .
1871-1879       21                    .               .               .
1871-1879       22                    .               .               .
1871-1879       23                    .               .               .
1871-1879       24                    .               .               .
1871-1879       25                    .               .               .
1871-1879       26                    .               .               .
1871-1879       27                    .               .               .
1871-1879       28                    .               .               .
1871-1879       29                    .               .               .
1871-1879       30                    .               .               .
1871-1879       31                    .               .               .
1871-1879       32                    .               .               .
1871-1879       33                    .               .               .
1871-1879       34                    .               .               .
1871-1879       35                    .               .               .
1871-1879       36                    .               .               .
1871-1879       37                    .               .               .
1871-1879       38                    .               .               .
1871-1879       39                    .               .               .
1871-1879       40                    .               .               .
1871-1879       41                    .               .               .
1871-1879       42                    .               .               .
1871-1879       43                    .               .               .
1871-1879       44                    .               .               .
1871-1879       45                    .               .               .
1871-1879       46                    .               .               .
1871-1879       47                    .               .               .
1871-1879       48                    .               .               .
1871-1879       49                    .               .               .
1871-1879       50                    .               .               .
1871-1879       51                    .               .               .
1871-1879       52                    .               .               .
1871-1879       53                    .               .               .
1871-1879       54                    .               .               .
1871-1879       55                    .               .               .
1871-1879       56                    .               .               .
1871-1879       57                    .               .               .
1871-1879       58                    .               .               .
1871-1879       59                    .               .               .
1871-1879       60                    .               .               .
1871-1879       61                    .               .               .
1871-1879       62                    .               .               .
1871-1879       63                    .               .               .
1871-1879       64                    .               .               .
1871-1879       65                    .               .               .
1871-1879       66                    .               .               .
1871-1879       67                    .               .               .
1871-1879       68                    .               .               .
1871-1879       69             0.045369        0.062700        0.052758
1871-1879       70             0.048128        0.062676        0.054307
1871-1879       71             0.051687        0.064666        0.057187
1871-1879       72             0.055263        0.071831        0.062254
1871-1879       73             0.060968        0.078273        0.068211
1871-1879       74             0.064088        0.084216        0.072455
1871-1879       75             0.072656        0.090367        0.079960
1871-1879       76             0.076046        0.093337        0.083140
1871-1879       77             0.083475        0.103843        0.091735
1871-1879       78             0.092966        0.114047        0.101401
1871-1879       79             0.104002        0.124464        0.112077
1871-1879       80             0.112029        0.137173        0.121818
1871-1879       81             0.122105        0.148327        0.132154
1871-1879       82             0.134976        0.161657        0.145033
1871-1879       83             0.146786        0.179861        0.159023
1871-1879       84             0.163497        0.197479        0.175804
1871-1879       85             0.177014        0.207896        0.187967
1871-1879       86             0.193870        0.227670        0.205608
1871-1879       87             0.208016        0.248221        0.221644
1871-1879       88             0.232185        0.272614        0.245522
1871-1879       89             0.250470        0.281864        0.260573
1871-1879       90             0.272902        0.308953        0.284240
1871-1879       91             0.301158        0.353756        0.317205
1871-1879       92             0.319480        0.371181        0.334694
1871-1879       93             0.343841        0.374568        0.352599
1871-1879       94             0.366152        0.415124        0.379719
1871-1879       95             0.395378        0.431800        0.405147
1871-1879       96             0.434071        0.458444        0.440437
1871-1879       97             0.471444        0.499756        0.478682
1871-1879       98             0.445032        0.509690        0.461106
1871-1879       99             0.554950        0.569316        0.558382
1871-1879      100             0.546624        0.610714        0.561418
1871-1879      101             0.594286        0.457317        0.561684
1871-1879      102             0.552083        0.750000        0.600000
1871-1879      103             0.566038        0.613636        0.576355
1871-1879      104             0.804878        0.461538        0.722222
1871-1879      105             0.675000        0.400000        0.600000
1871-1879      106             0.666667        0.272727        0.517241
1871-1879      107             1.285714        0.857143        1.071429
1871-1879      108             3.000000        0.000000        0.750000
1871-1879      109                   .        1.500000        1.500000
1871-1879      110+                  .              .              .
1880-1889        0                    .               .               .
1880-1889        1                    .               .               .
1880-1889        2                    .               .               .
1880-1889        3                    .               .               .
1880-1889        4                    .               .               .
1880-1889        5                    .               .               .
1880-1889        6                    .               .               .
1880-1889        7                    .               .               .
1880-1889        8                    .               .               .
1880-1889        9                    .               .               .
1880-1889       10                    .               .               .
1880-1889       11                    .               .               .
1880-1889       12                    .               .               .
1880-1889       13                    .               .               .
1880-1889       14                    .               .               .
1880-1889       15                    .               .               .
1880-1889       16                    .               .               .
1880-1889       17                    .               .               .
1880-1889       18                    .               .               .
1880-1889       19                    .               .               .
1880-1889       20                    .               .               .
1880-1889       21                    .               .               .
1880-1889       22                    .               .               .
1880-1889       23                    .               .               .
1880-1889       24                    .               .               .
1880-1889       25                    .               .               .
1880-1889       26                    .               .               .
1880-1889       27                    .               .               .
1880-1889       28                    .               .               .
1880-1889       29                    .               .               .
1880-1889       30                    .               .               .
1880-1889       31                    .               .               .
1880-1889       32                    .               .               .
1880-1889       33                    .               .               .
1880-1889       34                    .               .               .
1880-1889       35                    .               .               .
1880-1889       36                    .               .               .
1880-1889       37                    .               .               .
1880-1889       38                    .               .               .
1880-1889       39                    .               .               .
1880-1889       40                    .               .               .
1880-1889       41                    .               .               .
1880-1889       42                    .               .               .
1880-1889       43                    .               .               .
1880-1889       44                    .               .               .
1880-1889       45                    .               .               .
1880-1889       46                    .               .               .
1880-1889       47                    .               .               .
1880-1889       48                    .               .               .
1880-1889       49                    .               .               .
1880-1889       50                    .               .               .
1880-1889       51                    .               .               .
1880-1889       52                    .               .               .
1880-1889       53                    .               .               .
1880-1889       54                    .               .               .
1880-1889       55                    .               .               .
1880-1889       56                    .               .               .
1880-1889       57                    .               .               .
1880-1889       58                    .               .               .
1880-1889       59             0.016217        0.026598        0.020704
1880-1889       60             0.016072        0.027249        0.020885
1880-1889       61             0.017872        0.028533        0.022444
1880-1889       62             0.018711        0.030580        0.023776
1880-1889       63             0.020307        0.032266        0.025402
1880-1889       64             0.021440        0.034777        0.027103
1880-1889       65             0.023949        0.037221        0.029561
1880-1889       66             0.026482        0.040542        0.032399
1880-1889       67             0.027243        0.041883        0.033378
1880-1889       68             0.029902        0.045739        0.036482
1880-1889       69             0.033237        0.051434        0.040720
1880-1889       70             0.036532        0.054726        0.043931
1880-1889       71             0.040156        0.058982        0.047728
1880-1889       72             0.044691        0.064826        0.052698
1880-1889       73             0.048913        0.071171        0.057649
1880-1889       74             0.054370        0.076921        0.063103
1880-1889       75             0.059813        0.085869        0.069753
1880-1889       76             0.065766        0.091940        0.075587
1880-1889       77             0.074531        0.100444        0.084102
1880-1889       78             0.081754        0.110532        0.092197
1880-1889       79             0.090921        0.122653        0.102205
1880-1889       80             0.103240        0.134127        0.113960
1880-1889       81             0.114232        0.146885        0.125331
1880-1889       82             0.125862        0.161507        0.137708
1880-1889       83             0.140038        0.175668        0.151596
1880-1889       84             0.153705        0.190681        0.165407
1880-1889       85             0.169774        0.206295        0.181044
1880-1889       86             0.185860        0.224970        0.197612
1880-1889       87             0.202809        0.240619        0.213865
1880-1889       88             0.223656        0.266405        0.235808
1880-1889       89             0.239830        0.282655        0.251618
1880-1889       90             0.260514        0.309901        0.273669
1880-1889       91             0.291490        0.332987        0.302175
1880-1889       92             0.313969        0.358714        0.325120
1880-1889       93             0.329184        0.371396        0.339385
1880-1889       94             0.367288        0.407809        0.376749
1880-1889       95             0.382326        0.405453        0.387584
1880-1889       96             0.400911        0.446731        0.411044
1880-1889       97             0.422077        0.508325        0.440239
1880-1889       98             0.436870        0.492245        0.447841
1880-1889       99             0.491189        0.444156        0.481881
1880-1889      100             0.528464        0.562092        0.535114
1880-1889      101             0.500453        0.628458        0.524336
1880-1889      102             0.574961        0.464789        0.555133
1880-1889      103             0.546961        0.686747        0.573034
1880-1889      104             0.637306        0.627907        0.635593
1880-1889      105             0.583333        0.600000        0.585938
1880-1889      106             0.568966        3.000000        0.761905
1880-1889      107             0.750000              .        0.750000
1880-1889      108             0.750000              .        0.750000
1880-1889      109             0.375000              .        0.375000
1880-1889      110+            0.250000              .        0.250000
1890-1899        0                    .               .               .
1890-1899        1                    .               .               .
1890-1899        2                    .               .               .
1890-1899        3                    .               .               .
1890-1899        4                    .               .               .
1890-1899        5                    .               .               .
1890-1899        6                    .               .               .
1890-1899        7                    .               .               .
1890-1899        8                    .               .               .
1890-1899        9                    .               .               .
1890-1899       10                    .               .               .
1890-1899       11                    .               .               .
1890-1899       12                    .               .               .
1890-1899       13                    .               .               .
1890-1899       14                    .               .               .
1890-1899       15                    .               .               .
1890-1899       16                    .               .               .
1890-1899       17                    .               .               .
1890-1899       18                    .               .               .
1890-1899       19                    .               .               .
1890-1899       20                    .               .               .
1890-1899       21                    .               .               .
1890-1899       22                    .               .               .
1890-1899       23                    .               .               .
1890-1899       24                    .               .               .
1890-1899       25                    .               .               .
1890-1899       26                    .               .               .
1890-1899       27                    .               .               .
1890-1899       28                    .               .               .
1890-1899       29                    .               .               .
1890-1899       30                    .               .               .
1890-1899       31                    .               .               .
1890-1899       32                    .               .               .
1890-1899       33                    .               .               .
1890-1899       34                    .               .               .
1890-1899       35                    .               .               .
1890-1899       36                    .               .               .
1890-1899       37                    .               .               .
1890-1899       38                    .               .               .
1890-1899       39                    .               .               .
1890-1899       40                    .               .               .
1890-1899       41                    .               .               .
1890-1899       42                    .               .               .
1890-1899       43                    .               .               .
1890-1899       44                    .               .               .
1890-1899       45                    .               .               .
1890-1899       46                    .               .               .
1890-1899       47                    .               .               .
1890-1899       48                    .               .               .
1890-1899       49             0.007766        0.011918        0.009690
1890-1899       50             0.007410        0.012141        0.009585
1890-1899       51             0.007647        0.012262        0.009751
1890-1899       52             0.008009        0.013711        0.010588
1890-1899       53             0.008057        0.014370        0.010888
1890-1899       54             0.008652        0.014868        0.011420
1890-1899       55             0.008926        0.016290        0.012187
1890-1899       56             0.009735        0.017783        0.013280
1890-1899       57             0.009749        0.017792        0.013273
1890-1899       58             0.010620        0.019405        0.014452
1890-1899       59             0.011113        0.021393        0.015570
1890-1899       60             0.012220        0.023236        0.016967
1890-1899       61             0.013098        0.025859        0.018562
1890-1899       62             0.014636        0.028139        0.020373
1890-1899       63             0.015769        0.030028        0.021778
1890-1899       64             0.017259        0.033206        0.023921
1890-1899       65             0.018922        0.036635        0.026246
1890-1899       66             0.020631        0.040104        0.028597
1890-1899       67             0.023001        0.043226        0.031178
1890-1899       68             0.025598        0.047708        0.034426
1890-1899       69             0.028475        0.052409        0.037899
1890-1899       70             0.032682        0.057686        0.042385
1890-1899       71             0.036789        0.063177        0.046875
1890-1899       72             0.040852        0.069363        0.051561
