Belgium, Death rates (cohort 1x10), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1765-1769        0                    .               .               .
1765-1769        1                    .               .               .
1765-1769        2                    .               .               .
1765-1769        3                    .               .               .
1765-1769        4                    .               .               .
1765-1769        5                    .               .               .
1765-1769        6                    .               .               .
1765-1769        7                    .               .               .
1765-1769        8                    .               .               .
1765-1769        9                    .               .               .
1765-1769       10                    .               .               .
1765-1769       11                    .               .               .
1765-1769       12                    .               .               .
1765-1769       13                    .               .               .
1765-1769       14                    .               .               .
1765-1769       15                    .               .               .
1765-1769       16                    .               .               .
1765-1769       17                    .               .               .
1765-1769       18                    .               .               .
1765-1769       19                    .               .               .
1765-1769       20                    .               .               .
1765-1769       21                    .               .               .
1765-1769       22                    .               .               .
1765-1769       23                    .               .               .
1765-1769       24                    .               .               .
1765-1769       25                    .               .               .
1765-1769       26                    .               .               .
1765-1769       27                    .               .               .
1765-1769       28                    .               .               .
1765-1769       29                    .               .               .
1765-1769       30                    .               .               .
1765-1769       31                    .               .               .
1765-1769       32                    .               .               .
1765-1769       33                    .               .               .
1765-1769       34                    .               .               .
1765-1769       35                    .               .               .
1765-1769       36                    .               .               .
1765-1769       37                    .               .               .
1765-1769       38                    .               .               .
1765-1769       39                    .               .               .
1765-1769       40                    .               .               .
1765-1769       41                    .               .               .
1765-1769       42                    .               .               .
1765-1769       43                    .               .               .
1765-1769       44                    .               .               .
1765-1769       45                    .               .               .
1765-1769       46                    .               .               .
1765-1769       47                    .               .               .
1765-1769       48                    .               .               .
1765-1769       49                    .               .               .
1765-1769       50                    .               .               .
1765-1769       51                    .               .               .
1765-1769       52                    .               .               .
1765-1769       53                    .               .               .
1765-1769       54                    .               .               .
1765-1769       55                    .               .               .
1765-1769       56                    .               .               .
1765-1769       57                    .               .               .
1765-1769       58                    .               .               .
1765-1769       59                    .               .               .
1765-1769       60                    .               .               .
1765-1769       61                    .               .               .
1765-1769       62                    .               .               .
1765-1769       63                    .               .               .
1765-1769       64                    .               .               .
1765-1769       65                    .               .               .
1765-1769       66                    .               .               .
1765-1769       67                    .               .               .
1765-1769       68                    .               .               .
1765-1769       69                    .               .               .
1765-1769       70                    .               .               .
1765-1769       71                    .               .               .
1765-1769       72                    .               .               .
1765-1769       73             0.097871        0.104212        0.100859
1765-1769       74             0.100816        0.106750        0.103603
1765-1769       75             0.102027        0.108818        0.105207
1765-1769       76             0.100039        0.108901        0.104186
1765-1769       77             0.111831        0.123483        0.117253
1765-1769       78             0.125843        0.139206        0.132021
1765-1769       79             0.140143        0.153696        0.146362
1765-1769       80             0.163518        0.177904        0.170042
1765-1769       81             0.176989        0.190814        0.183211
1765-1769       82             0.187203        0.201742        0.193695
1765-1769       83             0.197241        0.213590        0.204479
1765-1769       84             0.210621        0.229999        0.219115
1765-1769       85             0.231999        0.253033        0.241115
1765-1769       86             0.256768        0.280003        0.266709
1765-1769       87             0.279512        0.298893        0.287699
1765-1769       88             0.304691        0.315285        0.309126
