Japan, Death rates (cohort 1x10), 	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1868-1869        0                    .               .               .
1868-1869        1                    .               .               .
1868-1869        2                    .               .               .
1868-1869        3                    .               .               .
1868-1869        4                    .               .               .
1868-1869        5                    .               .               .
1868-1869        6                    .               .               .
1868-1869        7                    .               .               .
1868-1869        8                    .               .               .
1868-1869        9                    .               .               .
1868-1869       10                    .               .               .
1868-1869       11                    .               .               .
1868-1869       12                    .               .               .
1868-1869       13                    .               .               .
1868-1869       14                    .               .               .
1868-1869       15                    .               .               .
1868-1869       16                    .               .               .
1868-1869       17                    .               .               .
1868-1869       18                    .               .               .
1868-1869       19                    .               .               .
1868-1869       20                    .               .               .
1868-1869       21                    .               .               .
1868-1869       22                    .               .               .
1868-1869       23                    .               .               .
1868-1869       24                    .               .               .
1868-1869       25                    .               .               .
1868-1869       26                    .               .               .
1868-1869       27                    .               .               .
1868-1869       28                    .               .               .
1868-1869       29                    .               .               .
1868-1869       30                    .               .               .
1868-1869       31                    .               .               .
1868-1869       32                    .               .               .
1868-1869       33                    .               .               .
1868-1869       34                    .               .               .
1868-1869       35                    .               .               .
1868-1869       36                    .               .               .
1868-1869       37                    .               .               .
1868-1869       38                    .               .               .
1868-1869       39                    .               .               .
1868-1869       40                    .               .               .
1868-1869       41                    .               .               .
1868-1869       42                    .               .               .
1868-1869       43                    .               .               .
1868-1869       44                    .               .               .
1868-1869       45                    .               .               .
1868-1869       46                    .               .               .
1868-1869       47                    .               .               .
1868-1869       48                    .               .               .
1868-1869       49                    .               .               .
1868-1869       50                    .               .               .
1868-1869       51                    .               .               .
1868-1869       52                    .               .               .
1868-1869       53                    .               .               .
1868-1869       54                    .               .               .
1868-1869       55                    .               .               .
1868-1869       56                    .               .               .
1868-1869       57                    .               .               .
1868-1869       58                    .               .               .
1868-1869       59                    .               .               .
1868-1869       60                    .               .               .
1868-1869       61                    .               .               .
1868-1869       62                    .               .               .
1868-1869       63                    .               .               .
1868-1869       64                    .               .               .
1868-1869       65                    .               .               .
1868-1869       66                    .               .               .
1868-1869       67                    .               .               .
1868-1869       68                    .               .               .
1868-1869       69                    .               .               .
1868-1869       70                    .               .               .
1868-1869       71                    .               .               .
1868-1869       72                    .               .               .
1868-1869       73                    .               .               .
1868-1869       74                    .               .               .
1868-1869       75                    .               .               .
1868-1869       76                    .               .               .
1868-1869       77                    .               .               .
1868-1869       78                    .               .               .
1868-1869       79             0.114110        0.142909        0.124734
1868-1869       80             0.117916        0.145730        0.127991
1868-1869       81             0.134616        0.170530        0.147367
1868-1869       82             0.145452        0.181165        0.157843
1868-1869       83             0.155187        0.190840        0.167265
1868-1869       84             0.167380        0.207105        0.180501
1868-1869       85             0.176671        0.216878        0.189592
1868-1869       86             0.191771        0.230956        0.204020
1868-1869       87             0.222873        0.265466        0.235828
1868-1869       88             0.250136        0.303248        0.265753
1868-1869       89             0.251945        0.299536        0.265424
1868-1869       90             0.273572        0.326254        0.287971
1868-1869       91             0.310485        0.357771        0.322957
1868-1869       92             0.348784        0.387862        0.358736
