Norway, Death rates (cohort 1x10), 	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1770-1779        0                    .               .               .
1770-1779        1                    .               .               .
1770-1779        2                    .               .               .
1770-1779        3                    .               .               .
1770-1779        4                    .               .               .
1770-1779        5                    .               .               .
1770-1779        6                    .               .               .
1770-1779        7                    .               .               .
1770-1779        8                    .               .               .
1770-1779        9                    .               .               .
1770-1779       10                    .               .               .
1770-1779       11                    .               .               .
1770-1779       12                    .               .               .
1770-1779       13                    .               .               .
1770-1779       14                    .               .               .
1770-1779       15                    .               .               .
1770-1779       16                    .               .               .
1770-1779       17                    .               .               .
1770-1779       18                    .               .               .
1770-1779       19                    .               .               .
1770-1779       20                    .               .               .
1770-1779       21                    .               .               .
1770-1779       22                    .               .               .
1770-1779       23                    .               .               .
1770-1779       24                    .               .               .
1770-1779       25                    .               .               .
1770-1779       26                    .               .               .
1770-1779       27                    .               .               .
1770-1779       28                    .               .               .
1770-1779       29                    .               .               .
1770-1779       30                    .               .               .
1770-1779       31                    .               .               .
1770-1779       32                    .               .               .
1770-1779       33                    .               .               .
1770-1779       34                    .               .               .
1770-1779       35                    .               .               .
1770-1779       36                    .               .               .
1770-1779       37                    .               .               .
1770-1779       38                    .               .               .
1770-1779       39                    .               .               .
1770-1779       40                    .               .               .
1770-1779       41                    .               .               .
1770-1779       42                    .               .               .
1770-1779       43                    .               .               .
1770-1779       44                    .               .               .
1770-1779       45                    .               .               .
1770-1779       46                    .               .               .
1770-1779       47                    .               .               .
1770-1779       48                    .               .               .
1770-1779       49                    .               .               .
1770-1779       50                    .               .               .
1770-1779       51                    .               .               .
1770-1779       52                    .               .               .
1770-1779       53                    .               .               .
1770-1779       54                    .               .               .
1770-1779       55                    .               .               .
1770-1779       56                    .               .               .
1770-1779       57                    .               .               .
1770-1779       58                    .               .               .
1770-1779       59                    .               .               .
1770-1779       60                    .               .               .
1770-1779       61                    .               .               .
1770-1779       62                    .               .               .
1770-1779       63                    .               .               .
1770-1779       64                    .               .               .
1770-1779       65                    .               .               .
1770-1779       66                    .               .               .
1770-1779       67                    .               .               .
1770-1779       68             0.054979        0.061928        0.058053
1770-1779       69             0.060854        0.068615        0.064263
1770-1779       70             0.057739        0.065341        0.061054
1770-1779       71             0.054449        0.063352        0.058310
1770-1779       72             0.063096        0.074228        0.067902
1770-1779       73             0.072934        0.082526        0.077051
1770-1779       74             0.087393        0.094329        0.090359
1770-1779       75             0.095244        0.104629        0.099241
1770-1779       76             0.101114        0.111250        0.105402
1770-1779       77             0.116612        0.126219        0.120643
1770-1779       78             0.120107        0.127459        0.123170
1770-1779       79             0.126797        0.135214        0.130286
1770-1779       80             0.104325        0.117515        0.109701
