Switzerland, Death rates (cohort 1x5), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1805-1809        0                    .               .               .
1805-1809        1                    .               .               .
1805-1809        2                    .               .               .
1805-1809        3                    .               .               .
1805-1809        4                    .               .               .
1805-1809        5                    .               .               .
1805-1809        6                    .               .               .
1805-1809        7                    .               .               .
1805-1809        8                    .               .               .
1805-1809        9                    .               .               .
1805-1809       10                    .               .               .
1805-1809       11                    .               .               .
1805-1809       12                    .               .               .
1805-1809       13                    .               .               .
1805-1809       14                    .               .               .
1805-1809       15                    .               .               .
1805-1809       16                    .               .               .
1805-1809       17                    .               .               .
1805-1809       18                    .               .               .
1805-1809       19                    .               .               .
1805-1809       20                    .               .               .
1805-1809       21                    .               .               .
1805-1809       22                    .               .               .
1805-1809       23                    .               .               .
1805-1809       24                    .               .               .
1805-1809       25                    .               .               .
1805-1809       26                    .               .               .
1805-1809       27                    .               .               .
1805-1809       28                    .               .               .
1805-1809       29                    .               .               .
1805-1809       30                    .               .               .
1805-1809       31                    .               .               .
1805-1809       32                    .               .               .
1805-1809       33                    .               .               .
1805-1809       34                    .               .               .
1805-1809       35                    .               .               .
1805-1809       36                    .               .               .
1805-1809       37                    .               .               .
1805-1809       38                    .               .               .
1805-1809       39                    .               .               .
1805-1809       40                    .               .               .
1805-1809       41                    .               .               .
1805-1809       42                    .               .               .
1805-1809       43                    .               .               .
1805-1809       44                    .               .               .
1805-1809       45                    .               .               .
1805-1809       46                    .               .               .
1805-1809       47                    .               .               .
1805-1809       48                    .               .               .
1805-1809       49                    .               .               .
1805-1809       50                    .               .               .
1805-1809       51                    .               .               .
1805-1809       52                    .               .               .
1805-1809       53                    .               .               .
1805-1809       54                    .               .               .
1805-1809       55                    .               .               .
1805-1809       56                    .               .               .
1805-1809       57                    .               .               .
1805-1809       58                    .               .               .
1805-1809       59                    .               .               .
1805-1809       60                    .               .               .
1805-1809       61                    .               .               .
1805-1809       62                    .               .               .
1805-1809       63                    .               .               .
1805-1809       64                    .               .               .
1805-1809       65                    .               .               .
1805-1809       66                    .               .               .
1805-1809       67                    .               .               .
1805-1809       68             0.092485        0.091779        0.092148
1805-1809       69             0.089514        0.092607        0.090994
1805-1809       70             0.100719        0.101873        0.101274
1805-1809       71             0.095882        0.091836        0.093939
1805-1809       72             0.099047        0.096755        0.097951
1805-1809       73             0.107824        0.113073        0.110334
1805-1809       74             0.118178        0.121144        0.119596
1805-1809       75             0.125740        0.127303        0.126488
1805-1809       76             0.135800        0.143641        0.139537
1805-1809       77             0.140214        0.152224        0.145909
1805-1809       78             0.161972        0.161441        0.161720
1805-1809       79             0.178732        0.180618        0.179623
1805-1809       80             0.188089        0.192717        0.190239
1805-1809       81             0.203883        0.215775        0.209374
1805-1809       82             0.216284        0.223498        0.219599
1805-1809       83             0.229747        0.249542        0.238798
1805-1809       84             0.263121        0.268466        0.265542
1805-1809       85             0.275319        0.287420        0.280777
1805-1809       86             0.315079        0.296844        0.306830
1805-1809       87             0.288672        0.320707        0.303178
1805-1809       88             0.298902        0.324097        0.310087
1805-1809       89             0.313121        0.354921        0.331291
1805-1809       90             0.327308        0.389497        0.353603
1805-1809       91             0.389856        0.456164        0.416609
1805-1809       92             0.349932        0.417292        0.376151
1805-1809       93             0.432759        0.449526        0.439169
1805-1809       94             0.465547        0.494551        0.476361
1805-1809       95             0.409714        0.588789        0.472781
1805-1809       96             0.557429        0.701960        0.603678
1805-1809       97             0.727876        0.669216        0.711095
1805-1809       98             0.290487        0.517837        0.357812
1805-1809       99             1.040088        1.961538        1.238770
1805-1809      100             1.524038        3.000000        1.606657
1805-1809      101             2.036697              .        2.036697
1805-1809      102                   .              .              .
1805-1809      103                   .              .              .
1805-1809      104                   .              .              .
1805-1809      105                   .              .              .
1805-1809      106                   .              .              .
1805-1809      107                   .              .              .
1805-1809      108                   .              .              .
1805-1809      109                   .              .              .
1805-1809      110+                  .              .              .
1810-1814        0                    .               .               .
1810-1814        1                    .               .               .
1810-1814        2                    .               .               .
1810-1814        3                    .               .               .
1810-1814        4                    .               .               .
1810-1814        5                    .               .               .
1810-1814        6                    .               .               .
1810-1814        7                    .               .               .
1810-1814        8                    .               .               .
1810-1814        9                    .               .               .
1810-1814       10                    .               .               .
1810-1814       11                    .               .               .
1810-1814       12                    .               .               .
1810-1814       13                    .               .               .
1810-1814       14                    .               .               .
1810-1814       15                    .               .               .
1810-1814       16                    .               .               .
1810-1814       17                    .               .               .
1810-1814       18                    .               .               .
1810-1814       19                    .               .               .
1810-1814       20                    .               .               .
1810-1814       21                    .               .               .
1810-1814       22                    .               .               .
1810-1814       23                    .               .               .
1810-1814       24                    .               .               .
1810-1814       25                    .               .               .
1810-1814       26                    .               .               .
1810-1814       27                    .               .               .
1810-1814       28                    .               .               .
1810-1814       29                    .               .               .
1810-1814       30                    .               .               .
1810-1814       31                    .               .               .
1810-1814       32                    .               .               .
1810-1814       33                    .               .               .
1810-1814       34                    .               .               .
1810-1814       35                    .               .               .
1810-1814       36                    .               .               .
1810-1814       37                    .               .               .
1810-1814       38                    .               .               .
1810-1814       39                    .               .               .
1810-1814       40                    .               .               .
1810-1814       41                    .               .               .
1810-1814       42                    .               .               .
1810-1814       43                    .               .               .
1810-1814       44                    .               .               .
1810-1814       45                    .               .               .
1810-1814       46                    .               .               .
1810-1814       47                    .               .               .
1810-1814       48                    .               .               .
1810-1814       49                    .               .               .
1810-1814       50                    .               .               .
1810-1814       51                    .               .               .
1810-1814       52                    .               .               .
1810-1814       53                    .               .               .
1810-1814       54                    .               .               .
1810-1814       55                    .               .               .
1810-1814       56                    .               .               .
1810-1814       57                    .               .               .
1810-1814       58                    .               .               .
1810-1814       59                    .               .               .
1810-1814       60                    .               .               .
1810-1814       61                    .               .               .
1810-1814       62                    .               .               .
1810-1814       63             0.054719        0.064688        0.059502
1810-1814       64             0.059607        0.063333        0.061396
1810-1814       65             0.060036        0.065035        0.062433
1810-1814       66             0.058314        0.059205        0.058741
1810-1814       67             0.063702        0.063012        0.063372
1810-1814       68             0.072689        0.070486        0.071638
1810-1814       69             0.072053        0.073177        0.072589
1810-1814       70             0.079325        0.084628        0.081837
1810-1814       71             0.089301        0.086515        0.087982
1810-1814       72             0.093725        0.093411        0.093577
1810-1814       73             0.104065        0.108393        0.106101
1810-1814       74             0.112626        0.114680        0.113593
1810-1814       75             0.128361        0.136956        0.132401
1810-1814       76             0.136807        0.144104        0.140222
1810-1814       77             0.145892        0.155544        0.150353
1810-1814       78             0.161287        0.161374        0.161327
1810-1814       79             0.174379        0.179285        0.176654
1810-1814       80             0.189630        0.197655        0.193342
1810-1814       81             0.193625        0.208254        0.200353
1810-1814       82             0.215035        0.203367        0.209679
1810-1814       83             0.233469        0.227023        0.230493
1810-1814       84             0.223397        0.230625        0.226735
1810-1814       85             0.239164        0.264923        0.250958
1810-1814       86             0.292321        0.282018        0.287622
1810-1814       87             0.274238        0.314926        0.292683
1810-1814       88             0.310422        0.333010        0.320466
1810-1814       89             0.329422        0.373946        0.348824
1810-1814       90             0.377149        0.420064        0.395357
1810-1814       91             0.436895        0.372659        0.409581
1810-1814       92             0.452727        0.378502        0.419798
