West Germany, Death rates (cohort 1x5), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1876-1879        0                    .               .               .
1876-1879        1                    .               .               .
1876-1879        2                    .               .               .
1876-1879        3                    .               .               .
1876-1879        4                    .               .               .
1876-1879        5                    .               .               .
1876-1879        6                    .               .               .
1876-1879        7                    .               .               .
1876-1879        8                    .               .               .
1876-1879        9                    .               .               .
1876-1879       10                    .               .               .
1876-1879       11                    .               .               .
1876-1879       12                    .               .               .
1876-1879       13                    .               .               .
1876-1879       14                    .               .               .
1876-1879       15                    .               .               .
1876-1879       16                    .               .               .
1876-1879       17                    .               .               .
1876-1879       18                    .               .               .
1876-1879       19                    .               .               .
1876-1879       20                    .               .               .
1876-1879       21                    .               .               .
1876-1879       22                    .               .               .
1876-1879       23                    .               .               .
1876-1879       24                    .               .               .
1876-1879       25                    .               .               .
1876-1879       26                    .               .               .
1876-1879       27                    .               .               .
1876-1879       28                    .               .               .
1876-1879       29                    .               .               .
1876-1879       30                    .               .               .
1876-1879       31                    .               .               .
1876-1879       32                    .               .               .
1876-1879       33                    .               .               .
1876-1879       34                    .               .               .
1876-1879       35                    .               .               .
1876-1879       36                    .               .               .
1876-1879       37                    .               .               .
1876-1879       38                    .               .               .
1876-1879       39                    .               .               .
1876-1879       40                    .               .               .
1876-1879       41                    .               .               .
1876-1879       42                    .               .               .
1876-1879       43                    .               .               .
1876-1879       44                    .               .               .
1876-1879       45                    .               .               .
1876-1879       46                    .               .               .
1876-1879       47                    .               .               .
1876-1879       48                    .               .               .
1876-1879       49                    .               .               .
1876-1879       50                    .               .               .
1876-1879       51                    .               .               .
1876-1879       52                    .               .               .
1876-1879       53                    .               .               .
1876-1879       54                    .               .               .
1876-1879       55                    .               .               .
1876-1879       56                    .               .               .
1876-1879       57                    .               .               .
1876-1879       58                    .               .               .
1876-1879       59                    .               .               .
1876-1879       60                    .               .               .
1876-1879       61                    .               .               .
1876-1879       62                    .               .               .
1876-1879       63                    .               .               .
1876-1879       64                    .               .               .
1876-1879       65                    .               .               .
1876-1879       66                    .               .               .
1876-1879       67                    .               .               .
1876-1879       68                    .               .               .
1876-1879       69                    .               .               .
1876-1879       70                    .               .               .
1876-1879       71                    .               .               .
1876-1879       72                    .               .               .
1876-1879       73                    .               .               .
1876-1879       74                    .               .               .
1876-1879       75                    .               .               .
1876-1879       76                    .               .               .
1876-1879       77                    .               .               .
1876-1879       78             0.120073        0.145932        0.131146
1876-1879       79             0.121941        0.143686        0.131241
1876-1879       80             0.113282        0.131857        0.121184
1876-1879       81             0.121071        0.143222        0.130384
1876-1879       82             0.134214        0.156456        0.143445
1876-1879       83             0.149474        0.173251        0.159210
1876-1879       84             0.160390        0.185386        0.170475
1876-1879       85             0.174749        0.202858        0.185912
1876-1879       86             0.189059        0.220514        0.201330
1876-1879       87             0.202952        0.230539        0.213518
1876-1879       88             0.224742        0.258135        0.237290
1876-1879       89             0.250547        0.279181        0.261094
1876-1879       90             0.272739        0.306014        0.284757
1876-1879       91             0.297886        0.331495        0.309766
1876-1879       92             0.320999        0.362005        0.335139
1876-1879       93             0.345786        0.374510        0.355458
1876-1879       94             0.367827        0.403956        0.379737
1876-1879       95             0.397843        0.425865        0.406869
1876-1879       96             0.428363        0.464716        0.439822
1876-1879       97             0.448895        0.467703        0.454679
1876-1879       98             0.457982        0.509477        0.473538
1876-1879       99             0.601784        0.681281        0.624594
1876-1879      100             0.600603        0.684400        0.623291
1876-1879      101             0.607711        0.606164        0.607304
1876-1879      102             0.588369        0.533333        0.573826
1876-1879      103             0.592516        0.680233        0.615620
1876-1879      104             0.569767        0.521739        0.557143
1876-1879      105             0.727941        0.954545        0.783333
1876-1879      106             0.493151        1.058824        0.600000
1876-1879      107             0.477273        1.500000        0.600000
1876-1879      108             1.263158              .        1.263158
1876-1879      109             1.800000              .        1.800000
1876-1879      110+                  .              .              .
1880-1884        0                    .               .               .
1880-1884        1                    .               .               .
1880-1884        2                    .               .               .
1880-1884        3                    .               .               .
1880-1884        4                    .               .               .
1880-1884        5                    .               .               .
1880-1884        6                    .               .               .
1880-1884        7                    .               .               .
1880-1884        8                    .               .               .
1880-1884        9                    .               .               .
1880-1884       10                    .               .               .
1880-1884       11                    .               .               .
1880-1884       12                    .               .               .
1880-1884       13                    .               .               .
1880-1884       14                    .               .               .
1880-1884       15                    .               .               .
1880-1884       16                    .               .               .
1880-1884       17                    .               .               .
1880-1884       18                    .               .               .
1880-1884       19                    .               .               .
1880-1884       20                    .               .               .
1880-1884       21                    .               .               .
1880-1884       22                    .               .               .
1880-1884       23                    .               .               .
1880-1884       24                    .               .               .
1880-1884       25                    .               .               .
1880-1884       26                    .               .               .
1880-1884       27                    .               .               .
1880-1884       28                    .               .               .
1880-1884       29                    .               .               .
1880-1884       30                    .               .               .
1880-1884       31                    .               .               .
1880-1884       32                    .               .               .
1880-1884       33                    .               .               .
1880-1884       34                    .               .               .
1880-1884       35                    .               .               .
1880-1884       36                    .               .               .
1880-1884       37                    .               .               .
1880-1884       38                    .               .               .
1880-1884       39                    .               .               .
1880-1884       40                    .               .               .
1880-1884       41                    .               .               .
1880-1884       42                    .               .               .
1880-1884       43                    .               .               .
1880-1884       44                    .               .               .
1880-1884       45                    .               .               .
1880-1884       46                    .               .               .
1880-1884       47                    .               .               .
1880-1884       48                    .               .               .
1880-1884       49                    .               .               .
1880-1884       50                    .               .               .
1880-1884       51                    .               .               .
1880-1884       52                    .               .               .
1880-1884       53                    .               .               .
1880-1884       54                    .               .               .
1880-1884       55                    .               .               .
1880-1884       56                    .               .               .
1880-1884       57                    .               .               .
1880-1884       58                    .               .               .
1880-1884       59                    .               .               .
1880-1884       60                    .               .               .
1880-1884       61                    .               .               .
1880-1884       62                    .               .               .
1880-1884       63                    .               .               .
1880-1884       64                    .               .               .
1880-1884       65                    .               .               .
1880-1884       66                    .               .               .
1880-1884       67                    .               .               .
1880-1884       68                    .               .               .
1880-1884       69                    .               .               .
1880-1884       70                    .               .               .
1880-1884       71                    .               .               .
1880-1884       72                    .               .               .
1880-1884       73             0.067723        0.088797        0.076641
1880-1884       74             0.068908        0.088826        0.077320
1880-1884       75             0.075315        0.094495        0.083399
1880-1884       76             0.072684        0.091719        0.080664
1880-1884       77             0.080683        0.099218        0.088375
1880-1884       78             0.088612        0.109687        0.097258
1880-1884       79             0.096891        0.119227        0.105930
1880-1884       80             0.104363        0.127432        0.113584
1880-1884       81             0.115453        0.140055        0.125147
1880-1884       82             0.126649        0.153826        0.137189
1880-1884       83             0.138545        0.165791        0.148934
1880-1884       84             0.154391        0.183548        0.165315
1880-1884       85             0.172996        0.203114        0.184073
1880-1884       86             0.189855        0.220620        0.200948
1880-1884       87             0.208018        0.238563        0.218818
1880-1884       88             0.225989        0.259144        0.237475
1880-1884       89             0.243392        0.274944        0.254085
1880-1884       90             0.261694        0.302590        0.275233
1880-1884       91             0.288031        0.326700        0.300486
1880-1884       92             0.303138        0.345294        0.316342
1880-1884       93             0.322952        0.367960        0.336642
1880-1884       94             0.343404        0.388921        0.356784
1880-1884       95             0.362592        0.408715        0.375708
1880-1884       96             0.378168        0.402971        0.385033
1880-1884       97             0.405375        0.426725        0.411191
1880-1884       98             0.417083        0.439875        0.423151
1880-1884       99             0.553291        0.602349        0.566158
1880-1884      100             0.505134        0.589102        0.526065
1880-1884      101             0.527347        0.533391        0.528790
1880-1884      102             0.522962        0.638498        0.549585
1880-1884      103             0.482650        0.466102        0.479038
1880-1884      104             0.477876        0.555556        0.494538
1880-1884      105             0.428571        0.395349        0.421648
1880-1884      106             0.454839        0.340909        0.429648
1880-1884      107             0.224299        0.550000        0.295620
1880-1884      108             0.420382        0.416667        0.419689
1880-1884      109             1.056818        1.411765        1.114286
1880-1884      110+            1.222222        3.000000        1.285714
1885-1889        0                    .               .               .
1885-1889        1                    .               .               .
1885-1889        2                    .               .               .
1885-1889        3                    .               .               .
1885-1889        4                    .               .               .
1885-1889        5                    .               .               .
1885-1889        6                    .               .               .
1885-1889        7                    .               .               .
1885-1889        8                    .               .               .
1885-1889        9                    .               .               .
1885-1889       10                    .               .               .
1885-1889       11                    .               .               .
1885-1889       12                    .               .               .
1885-1889       13                    .               .               .
1885-1889       14                    .               .               .
1885-1889       15                    .               .               .
1885-1889       16                    .               .               .
1885-1889       17                    .               .               .
1885-1889       18                    .               .               .
1885-1889       19                    .               .               .
1885-1889       20                    .               .               .
1885-1889       21                    .               .               .
1885-1889       22                    .               .               .
1885-1889       23                    .               .               .
1885-1889       24                    .               .               .
1885-1889       25                    .               .               .
1885-1889       26                    .               .               .
1885-1889       27                    .               .               .
1885-1889       28                    .               .               .
1885-1889       29                    .               .               .
1885-1889       30                    .               .               .
1885-1889       31                    .               .               .
1885-1889       32                    .               .               .
1885-1889       33                    .               .               .
1885-1889       34                    .               .               .
1885-1889       35                    .               .               .
1885-1889       36                    .               .               .
1885-1889       37                    .               .               .
