England and Wales, Civilian National Population, Death rates (cohort 1x5), 	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1765-1769        0                    .               .               .
1765-1769        1                    .               .               .
1765-1769        2                    .               .               .
1765-1769        3                    .               .               .
1765-1769        4                    .               .               .
1765-1769        5                    .               .               .
1765-1769        6                    .               .               .
1765-1769        7                    .               .               .
1765-1769        8                    .               .               .
1765-1769        9                    .               .               .
1765-1769       10                    .               .               .
1765-1769       11                    .               .               .
1765-1769       12                    .               .               .
1765-1769       13                    .               .               .
1765-1769       14                    .               .               .
1765-1769       15                    .               .               .
1765-1769       16                    .               .               .
1765-1769       17                    .               .               .
1765-1769       18                    .               .               .
1765-1769       19                    .               .               .
1765-1769       20                    .               .               .
1765-1769       21                    .               .               .
1765-1769       22                    .               .               .
1765-1769       23                    .               .               .
1765-1769       24                    .               .               .
1765-1769       25                    .               .               .
1765-1769       26                    .               .               .
1765-1769       27                    .               .               .
1765-1769       28                    .               .               .
1765-1769       29                    .               .               .
1765-1769       30                    .               .               .
1765-1769       31                    .               .               .
1765-1769       32                    .               .               .
1765-1769       33                    .               .               .
1765-1769       34                    .               .               .
1765-1769       35                    .               .               .
1765-1769       36                    .               .               .
1765-1769       37                    .               .               .
1765-1769       38                    .               .               .
1765-1769       39                    .               .               .
1765-1769       40                    .               .               .
1765-1769       41                    .               .               .
1765-1769       42                    .               .               .
1765-1769       43                    .               .               .
1765-1769       44                    .               .               .
1765-1769       45                    .               .               .
1765-1769       46                    .               .               .
1765-1769       47                    .               .               .
1765-1769       48                    .               .               .
1765-1769       49                    .               .               .
1765-1769       50                    .               .               .
1765-1769       51                    .               .               .
1765-1769       52                    .               .               .
1765-1769       53                    .               .               .
1765-1769       54                    .               .               .
1765-1769       55                    .               .               .
1765-1769       56                    .               .               .
1765-1769       57                    .               .               .
1765-1769       58                    .               .               .
1765-1769       59                    .               .               .
1765-1769       60                    .               .               .
1765-1769       61                    .               .               .
1765-1769       62                    .               .               .
1765-1769       63                    .               .               .
1765-1769       64                    .               .               .
1765-1769       65                    .               .               .
1765-1769       66                    .               .               .
1765-1769       67                    .               .               .
1765-1769       68                    .               .               .
1765-1769       69                    .               .               .
1765-1769       70                    .               .               .
1765-1769       71                    .               .               .
1765-1769       72                    .               .               .
1765-1769       73             0.090666        0.098765        0.094407
1765-1769       74             0.091556        0.100351        0.095596
1765-1769       75             0.097722        0.106997        0.101968
1765-1769       76             0.097891        0.106786        0.101957
1765-1769       77             0.109867        0.119774        0.114364
1765-1769       78             0.123691        0.134869        0.128726
1765-1769       79             0.137549        0.150451        0.143310
1765-1769       80             0.133967        0.150695        0.141262
1765-1769       81             0.146799        0.165776        0.154992
1765-1769       82             0.157960        0.179219        0.167033
1765-1769       83             0.171685        0.196815        0.182270
1765-1769       84             0.188476        0.220964        0.201935
1765-1769       85             0.195397        0.218214        0.204692
1765-1769       86             0.213343        0.238227        0.223337
1765-1769       87             0.227738        0.255606        0.238754
1765-1769       88             0.244027        0.274017        0.255673
