Sweden, Death rates (cohort 1x5), 	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1676-1679        0                    .               .               .
1676-1679        1                    .               .               .
1676-1679        2                    .               .               .
1676-1679        3                    .               .               .
1676-1679        4                    .               .               .
1676-1679        5                    .               .               .
1676-1679        6                    .               .               .
1676-1679        7                    .               .               .
1676-1679        8                    .               .               .
1676-1679        9                    .               .               .
1676-1679       10                    .               .               .
1676-1679       11                    .               .               .
1676-1679       12                    .               .               .
1676-1679       13                    .               .               .
1676-1679       14                    .               .               .
1676-1679       15                    .               .               .
1676-1679       16                    .               .               .
1676-1679       17                    .               .               .
1676-1679       18                    .               .               .
1676-1679       19                    .               .               .
1676-1679       20                    .               .               .
1676-1679       21                    .               .               .
1676-1679       22                    .               .               .
1676-1679       23                    .               .               .
1676-1679       24                    .               .               .
1676-1679       25                    .               .               .
1676-1679       26                    .               .               .
1676-1679       27                    .               .               .
1676-1679       28                    .               .               .
1676-1679       29                    .               .               .
1676-1679       30                    .               .               .
1676-1679       31                    .               .               .
1676-1679       32                    .               .               .
1676-1679       33                    .               .               .
1676-1679       34                    .               .               .
1676-1679       35                    .               .               .
1676-1679       36                    .               .               .
1676-1679       37                    .               .               .
1676-1679       38                    .               .               .
1676-1679       39                    .               .               .
1676-1679       40                    .               .               .
1676-1679       41                    .               .               .
1676-1679       42                    .               .               .
1676-1679       43                    .               .               .
1676-1679       44                    .               .               .
1676-1679       45                    .               .               .
1676-1679       46                    .               .               .
1676-1679       47                    .               .               .
1676-1679       48                    .               .               .
1676-1679       49                    .               .               .
1676-1679       50                    .               .               .
1676-1679       51                    .               .               .
1676-1679       52                    .               .               .
1676-1679       53                    .               .               .
1676-1679       54                    .               .               .
1676-1679       55                    .               .               .
1676-1679       56                    .               .               .
1676-1679       57                    .               .               .
1676-1679       58                    .               .               .
1676-1679       59                    .               .               .
1676-1679       60                    .               .               .
1676-1679       61                    .               .               .
1676-1679       62                    .               .               .
1676-1679       63                    .               .               .
1676-1679       64                    .               .               .
1676-1679       65                    .               .               .
1676-1679       66                    .               .               .
1676-1679       67                    .               .               .
1676-1679       68                    .               .               .
1676-1679       69                    .               .               .
1676-1679       70                    .               .               .
1676-1679       71                    .               .               .
1676-1679       72                    .               .               .
1676-1679       73             0.106993        0.114270        0.109896
1676-1679       74             0.111951        0.116358        0.113734
1676-1679       75             0.104177        0.105645        0.104779
1676-1679       76             0.104044        0.108091        0.105670
1676-1679       77             0.112606        0.119431        0.115297
1676-1679       78             0.130905        0.137828        0.133593
1676-1679       79             0.151384        0.159578        0.154519
1676-1679       80             0.138257        0.141282        0.139424
1676-1679       81             0.149870        0.153226        0.151162
1676-1679       82             0.164114        0.168304        0.165723
1676-1679       83             0.183563        0.190368        0.186168
1676-1679       84             0.202921        0.208536        0.205061
1676-1679       85             0.216645        0.219997        0.217920
1676-1679       86             0.218614        0.228403        0.222322
1676-1679       87             0.215600        0.234295        0.222621
1676-1679       88             0.215448        0.247735        0.227384
1676-1679       89             0.215574        0.266171        0.233811
1676-1679       90             0.252928        0.287545        0.265056
1676-1679       91             0.250340        0.293729        0.265132
1676-1679       92             0.271129        0.305901        0.282682
1676-1679       93             0.309984        0.341802        0.320322
1676-1679       94             0.351384        0.374122        0.358627
1676-1679       95             0.408164        0.416510        0.410797
1676-1679       96             0.448042        0.452385        0.449406
1676-1679       97             0.446645        0.459998        0.450820
1676-1679       98             0.470111        0.521519        0.485840
1676-1679       99             0.485990        0.612637        0.522514
1676-1679      100             0.484337        0.752368        0.551428
1676-1679      101             0.552036        1.021763        0.640188
1676-1679      102             0.758242        1.540541        0.844388
1676-1679      103             1.196989        3.000000        1.262394
1676-1679      104             2.420000              .        2.420000
1676-1679      105                   .              .              .
1676-1679      106                   .              .              .
1676-1679      107                   .              .              .
1676-1679      108                   .              .              .
1676-1679      109                   .              .              .
1676-1679      110+                  .              .              .
1680-1684        0                    .               .               .
1680-1684        1                    .               .               .
1680-1684        2                    .               .               .
1680-1684        3                    .               .               .
1680-1684        4                    .               .               .
1680-1684        5                    .               .               .
1680-1684        6                    .               .               .
1680-1684        7                    .               .               .
1680-1684        8                    .               .               .
1680-1684        9                    .               .               .
1680-1684       10                    .               .               .
1680-1684       11                    .               .               .
1680-1684       12                    .               .               .
1680-1684       13                    .               .               .
1680-1684       14                    .               .               .
1680-1684       15                    .               .               .
1680-1684       16                    .               .               .
1680-1684       17                    .               .               .
1680-1684       18                    .               .               .
1680-1684       19                    .               .               .
1680-1684       20                    .               .               .
1680-1684       21                    .               .               .
1680-1684       22                    .               .               .
1680-1684       23                    .               .               .
1680-1684       24                    .               .               .
1680-1684       25                    .               .               .
1680-1684       26                    .               .               .
1680-1684       27                    .               .               .
1680-1684       28                    .               .               .
1680-1684       29                    .               .               .
1680-1684       30                    .               .               .
1680-1684       31                    .               .               .
1680-1684       32                    .               .               .
1680-1684       33                    .               .               .
1680-1684       34                    .               .               .
1680-1684       35                    .               .               .
1680-1684       36                    .               .               .
1680-1684       37                    .               .               .
1680-1684       38                    .               .               .
1680-1684       39                    .               .               .
1680-1684       40                    .               .               .
1680-1684       41                    .               .               .
1680-1684       42                    .               .               .
1680-1684       43                    .               .               .
1680-1684       44                    .               .               .
1680-1684       45                    .               .               .
1680-1684       46                    .               .               .
1680-1684       47                    .               .               .
1680-1684       48                    .               .               .
1680-1684       49                    .               .               .
1680-1684       50                    .               .               .
1680-1684       51                    .               .               .
1680-1684       52                    .               .               .
1680-1684       53                    .               .               .
1680-1684       54                    .               .               .
1680-1684       55                    .               .               .
1680-1684       56                    .               .               .
1680-1684       57                    .               .               .
1680-1684       58                    .               .               .
1680-1684       59                    .               .               .
1680-1684       60                    .               .               .
1680-1684       61                    .               .               .
1680-1684       62                    .               .               .
1680-1684       63                    .               .               .
1680-1684       64                    .               .               .
1680-1684       65                    .               .               .
1680-1684       66                    .               .               .
1680-1684       67                    .               .               .
1680-1684       68             0.057103        0.063528        0.059703
1680-1684       69             0.057771        0.064068        0.060280
1680-1684       70             0.063451        0.071276        0.066516
1680-1684       71             0.066326        0.073002        0.068957
1680-1684       72             0.078227        0.083866        0.080466
1680-1684       73             0.095255        0.098057        0.096372
1680-1684       74             0.110400        0.110485        0.110434
1680-1684       75             0.119826        0.120668        0.120160
1680-1684       76             0.121374        0.123553        0.122232
1680-1684       77             0.124584        0.128779        0.126225
1680-1684       78             0.130207        0.135931        0.132433
1680-1684       79             0.141296        0.146459        0.143293
1680-1684       80             0.140711        0.146643        0.142967
1680-1684       81             0.166223        0.170772        0.167948
1680-1684       82             0.188776        0.192268        0.190096
1680-1684       83             0.206080        0.208165        0.206867
1680-1684       84             0.216240        0.221502        0.218223
1680-1684       85             0.216501        0.232512        0.222495
1680-1684       86             0.218633        0.244995        0.228373
1680-1684       87             0.224857        0.260565        0.237793
1680-1684       88             0.237787        0.278568        0.252200
1680-1684       89             0.250635        0.288669        0.263727
1680-1684       90             0.311197        0.329962        0.317538
1680-1684       91             0.344822        0.362513        0.350729
1680-1684       92             0.355872        0.377657        0.363051
1680-1684       93             0.345981        0.376498        0.355864
1680-1684       94             0.354657        0.400882        0.369249
1680-1684       95             0.368563        0.438436        0.389742
1680-1684       96             0.379569        0.470248        0.405537
1680-1684       97             0.427846        0.520761        0.452658
1680-1684       98             0.501932        0.623564        0.532184
1680-1684       99             0.585970        0.871535        0.646853
1680-1684      100             0.690596        1.116649        0.758347
1680-1684      101             0.898290        1.452756        0.953846
1680-1684      102             1.225352        3.000000        1.293103
1680-1684      103             2.420690              .        2.420690
1680-1684      104                   .              .              .
1680-1684      105                   .              .              .
1680-1684      106                   .              .              .
1680-1684      107                   .              .              .
1680-1684      108                   .              .              .
1680-1684      109                   .              .              .
1680-1684      110+                  .              .              .
1685-1689        0                    .               .               .
1685-1689        1                    .               .               .
1685-1689        2                    .               .               .
1685-1689        3                    .               .               .
1685-1689        4                    .               .               .
1685-1689        5                    .               .               .
1685-1689        6                    .               .               .
1685-1689        7                    .               .               .
1685-1689        8                    .               .               .
1685-1689        9                    .               .               .
1685-1689       10                    .               .               .
1685-1689       11                    .               .               .
1685-1689       12                    .               .               .
1685-1689       13                    .               .               .
1685-1689       14                    .               .               .
1685-1689       15                    .               .               .
1685-1689       16                    .               .               .
1685-1689       17                    .               .               .
1685-1689       18                    .               .               .
1685-1689       19                    .               .               .
1685-1689       20                    .               .               .
1685-1689       21                    .               .               .
1685-1689       22                    .               .               .
1685-1689       23                    .               .               .
1685-1689       24                    .               .               .
1685-1689       25                    .               .               .
1685-1689       26                    .               .               .
1685-1689       27                    .               .               .
1685-1689       28                    .               .               .
1685-1689       29                    .               .               .
1685-1689       30                    .               .               .
1685-1689       31                    .               .               .
1685-1689       32                    .               .               .
1685-1689       33                    .               .               .
1685-1689       34                    .               .               .
1685-1689       35                    .               .               .
1685-1689       36                    .               .               .
1685-1689       37                    .               .               .
1685-1689       38                    .               .               .
1685-1689       39                    .               .               .
1685-1689       40                    .               .               .
1685-1689       41                    .               .               .
1685-1689       42                    .               .               .
1685-1689       43                    .               .               .
1685-1689       44                    .               .               .
1685-1689       45                    .               .               .
1685-1689       46                    .               .               .
1685-1689       47                    .               .               .
1685-1689       48                    .               .               .
1685-1689       49                    .               .               .
1685-1689       50                    .               .               .
1685-1689       51                    .               .               .
1685-1689       52                    .               .               .
1685-1689       53                    .               .               .
1685-1689       54                    .               .               .
1685-1689       55                    .               .               .
1685-1689       56                    .               .               .
1685-1689       57                    .               .               .
1685-1689       58                    .               .               .
1685-1689       59                    .               .               .
1685-1689       60                    .               .               .
1685-1689       61                    .               .               .
1685-1689       62                    .               .               .
1685-1689       63             0.044167        0.053255        0.047777
1685-1689       64             0.043161        0.051170        0.046377
1685-1689       65             0.043934        0.050023        0.046415
1685-1689       66             0.039679        0.044234        0.041529
1685-1689       67             0.042869        0.046807        0.044457
1685-1689       68             0.051114        0.054753        0.052574
1685-1689       69             0.061235        0.064301        0.062459
1685-1689       70             0.070380        0.071368        0.070773
1685-1689       71             0.080952        0.079949        0.080557
1685-1689       72             0.091951        0.088803        0.090718
1685-1689       73             0.100656        0.097763        0.099525
1685-1689       74             0.107430        0.105749        0.106771
1685-1689       75             0.115841        0.115576        0.115737
1685-1689       76             0.119722        0.122154        0.120675
1685-1689       77             0.125557        0.127297        0.126236
1685-1689       78             0.130858        0.133253        0.131791
1685-1689       79             0.139534        0.142554        0.140712
1685-1689       80             0.143063        0.149316        0.145443
1685-1689       81             0.162171        0.166488        0.163809
1685-1689       82             0.188149        0.192036        0.189620
1685-1689       83             0.224005        0.228286        0.225621
1685-1689       84             0.251981        0.256856        0.253817
1685-1689       85             0.257635        0.266039        0.260788
1685-1689       86             0.259805        0.281440        0.267847
1685-1689       87             0.255997        0.287003        0.267328
1685-1689       88             0.251428        0.301508        0.269301
1685-1689       89             0.268013        0.361218        0.299784
1685-1689       90             0.267981        0.304859        0.279954
1685-1689       91             0.280988        0.320702        0.293556
1685-1689       92             0.314293        0.355166        0.326861
1685-1689       93             0.356599        0.402352        0.370275
1685-1689       94             0.395737        0.461893        0.414717
1685-1689       95             0.436235        0.507794        0.455758
