Australia, Death rates (cohort 5x1), 	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1845           0                    .               .               .
  1845         1-4                    .               .               .
  1845         5-9                    .               .               .
  1845        10-14                   .               .               .
  1845        15-19                   .               .               .
  1845        20-24                   .               .               .
  1845        25-29                   .               .               .
  1845        30-34                   .               .               .
  1845        35-39                   .               .               .
  1845        40-44                   .               .               .
  1845        45-49                   .               .               .
  1845        50-54                   .               .               .
  1845        55-59                   .               .               .
  1845        60-64                   .               .               .
  1845        65-69                   .               .               .
  1845        70-74                   .               .               .
  1845        75-79                   .               .               .
  1845        80-84            0.122922        0.149426        0.134899
  1845        85-89            0.190950        0.222224        0.204008
  1845        90-94            0.273394        0.296639        0.282167
  1845        95-99            0.422641        0.464784        0.437186
  1845       100-104           0.629889        0.735089        0.668268
  1845       105-109           3.000000              .        3.000000
  1845       110+                    .              .              .
  1846           0                    .               .               .
  1846         1-4                    .               .               .
  1846         5-9                    .               .               .
  1846        10-14                   .               .               .
  1846        15-19                   .               .               .
  1846        20-24                   .               .               .
  1846        25-29                   .               .               .
  1846        30-34                   .               .               .
  1846        35-39                   .               .               .
  1846        40-44                   .               .               .
  1846        45-49                   .               .               .
  1846        50-54                   .               .               .
  1846        55-59                   .               .               .
  1846        60-64                   .               .               .
  1846        65-69                   .               .               .
  1846        70-74                   .               .               .
  1846        75-79            0.081521        0.102943        0.091805
  1846        80-84            0.118490        0.148078        0.131783
  1846        85-89            0.191290        0.224202        0.204853
  1846        90-94            0.272961        0.302673        0.283933
  1846        95-99            0.456173        0.445284        0.452224
  1846       100-104           0.575670        0.682823        0.615245
  1846       105-109           3.000000              .        3.000000
  1846       110+                    .              .              .
  1847           0                    .               .               .
  1847         1-4                    .               .               .
  1847         5-9                    .               .               .
  1847        10-14                   .               .               .
  1847        15-19                   .               .               .
  1847        20-24                   .               .               .
  1847        25-29                   .               .               .
  1847        30-34                   .               .               .
  1847        35-39                   .               .               .
  1847        40-44                   .               .               .
  1847        45-49                   .               .               .
  1847        50-54                   .               .               .
  1847        55-59                   .               .               .
  1847        60-64                   .               .               .
  1847        65-69                   .               .               .
  1847        70-74                   .               .               .
  1847        75-79            0.084249        0.104157        0.093960
  1847        80-84            0.119438        0.145769        0.131493
  1847        85-89            0.192030        0.219936        0.203924
  1847        90-94            0.290163        0.292939        0.291279
  1847        95-99            0.425540        0.444044        0.433074
  1847       100-104           0.588712        0.802863        0.656322
  1847       105-109                 .              .              .
  1847       110+                    .              .              .
  1848           0                    .               .               .
  1848         1-4                    .               .               .
  1848         5-9                    .               .               .
  1848        10-14                   .               .               .
  1848        15-19                   .               .               .
  1848        20-24                   .               .               .
  1848        25-29                   .               .               .
  1848        30-34                   .               .               .
  1848        35-39                   .               .               .
  1848        40-44                   .               .               .
  1848        45-49                   .               .               .
  1848        50-54                   .               .               .
  1848        55-59                   .               .               .
  1848        60-64                   .               .               .
  1848        65-69                   .               .               .
  1848        70-74                   .               .               .
  1848        75-79            0.081485        0.103378        0.092294
  1848        80-84            0.116804        0.143640        0.129312
  1848        85-89            0.190892        0.219823        0.203339
  1848        90-94            0.289544        0.304297        0.295410
  1848        95-99            0.384420        0.443506        0.406668
  1848       100-104           0.588724        0.834129        0.654511
  1848       105-109           3.000000              .        3.000000
  1848       110+                    .              .              .
  1849           0                    .               .               .
  1849         1-4                    .               .               .
  1849         5-9                    .               .               .
  1849        10-14                   .               .               .
  1849        15-19                   .               .               .
  1849        20-24                   .               .               .
  1849        25-29                   .               .               .
  1849        30-34                   .               .               .
  1849        35-39                   .               .               .
  1849        40-44                   .               .               .
  1849        45-49                   .               .               .
  1849        50-54                   .               .               .
  1849        55-59                   .               .               .
  1849        60-64                   .               .               .
  1849        65-69                   .               .               .
  1849        70-74                   .               .               .
  1849        75-79            0.082195        0.102256        0.092176
  1849        80-84            0.113301        0.145652        0.128421
  1849        85-89            0.193568        0.225930        0.207224
  1849        90-94            0.271104        0.314468        0.287314
  1849        95-99            0.411003        0.408830        0.410243
  1849       100-104           0.679239        0.865176        0.727521
  1849       105-109                 .              .              .
  1849       110+                    .              .              .
  1850           0                    .               .               .
  1850         1-4                    .               .               .
  1850         5-9                    .               .               .
  1850        10-14                   .               .               .
  1850        15-19                   .               .               .
  1850        20-24                   .               .               .
  1850        25-29                   .               .               .
  1850        30-34                   .               .               .
  1850        35-39                   .               .               .
  1850        40-44                   .               .               .
  1850        45-49                   .               .               .
  1850        50-54                   .               .               .
  1850        55-59                   .               .               .
  1850        60-64                   .               .               .
