Czechia, Death rates (cohort 5x1), 	Last modified: 25 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1871           0                    .               .               .
  1871         1-4                    .               .               .
  1871         5-9                    .               .               .
  1871        10-14                   .               .               .
  1871        15-19                   .               .               .
  1871        20-24                   .               .               .
  1871        25-29                   .               .               .
  1871        30-34                   .               .               .
  1871        35-39                   .               .               .
  1871        40-44                   .               .               .
  1871        45-49                   .               .               .
  1871        50-54                   .               .               .
  1871        55-59                   .               .               .
  1871        60-64                   .               .               .
  1871        65-69                   .               .               .
  1871        70-74                   .               .               .
  1871        75-79                   .               .               .
  1871        80-84            0.150067        0.169099        0.158008
  1871        85-89            0.221578        0.260585        0.236389
  1871        90-94            0.333381        0.370947        0.345968
  1871        95-99            0.475441        0.521270        0.488276
  1871       100-104           0.410545        0.571595        0.459605
  1871       105-109           0.572727        2.033333        0.708247
  1871       110+                    .              .              .
  1872           0                    .               .               .
  1872         1-4                    .               .               .
  1872         5-9                    .               .               .
  1872        10-14                   .               .               .
  1872        15-19                   .               .               .
  1872        20-24                   .               .               .
  1872        25-29                   .               .               .
  1872        30-34                   .               .               .
  1872        35-39                   .               .               .
  1872        40-44                   .               .               .
  1872        45-49                   .               .               .
  1872        50-54                   .               .               .
  1872        55-59                   .               .               .
  1872        60-64                   .               .               .
  1872        65-69                   .               .               .
  1872        70-74                   .               .               .
  1872        75-79                   .               .               .
  1872        80-84            0.150963        0.171256        0.159154
  1872        85-89            0.226499        0.262762        0.240016
  1872        90-94            0.322228        0.340458        0.328384
  1872        95-99            0.456606        0.542544        0.479544
  1872       100-104           0.462096        0.518591        0.477769
  1872       105-109           0.690500        2.040000        0.782847
  1872       110+                    .              .              .
  1873           0                    .               .               .
  1873         1-4                    .               .               .
  1873         5-9                    .               .               .
  1873        10-14                   .               .               .
  1873        15-19                   .               .               .
  1873        20-24                   .               .               .
  1873        25-29                   .               .               .
  1873        30-34                   .               .               .
  1873        35-39                   .               .               .
  1873        40-44                   .               .               .
  1873        45-49                   .               .               .
