Estonia, Death rates (cohort 5x1), 	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1883           0                    .               .               .
  1883         1-4                    .               .               .
  1883         5-9                    .               .               .
  1883        10-14                   .               .               .
  1883        15-19                   .               .               .
  1883        20-24                   .               .               .
  1883        25-29                   .               .               .
  1883        30-34                   .               .               .
  1883        35-39                   .               .               .
  1883        40-44                   .               .               .
  1883        45-49                   .               .               .
  1883        50-54                   .               .               .
  1883        55-59                   .               .               .
  1883        60-64                   .               .               .
  1883        65-69                   .               .               .
  1883        70-74                   .               .               .
  1883        75-79                   .               .               .
  1883        80-84            0.113085        0.140346        0.120319
  1883        85-89            0.181467        0.213853        0.189169
  1883        90-94            0.270120        0.297585        0.275795
  1883        95-99            0.364686        0.415403        0.373908
  1883       100-104           0.568715        0.767123        0.592274
  1883       105-109           1.228448              .        1.228448
  1883       110+                    .              .              .
  1884           0                    .               .               .
  1884         1-4                    .               .               .
  1884         5-9                    .               .               .
  1884        10-14                   .               .               .
  1884        15-19                   .               .               .
  1884        20-24                   .               .               .
  1884        25-29                   .               .               .
  1884        30-34                   .               .               .
  1884        35-39                   .               .               .
  1884        40-44                   .               .               .
  1884        45-49                   .               .               .
  1884        50-54                   .               .               .
  1884        55-59                   .               .               .
  1884        60-64                   .               .               .
  1884        65-69                   .               .               .
  1884        70-74                   .               .               .
  1884        75-79            0.068051        0.100177        0.077204
  1884        80-84            0.113033        0.137491        0.119334
  1884        85-89            0.183665        0.225735        0.193333
  1884        90-94            0.275885        0.284245        0.277574
  1884        95-99            0.354944        0.429923        0.367622
  1884       100-104           0.550285        0.710526        0.571094
  1884       105-109           1.316547              .        1.316547
  1884       110+                    .              .              .
  1885           0                    .               .               .
  1885         1-4                    .               .               .
  1885         5-9                    .               .               .
  1885        10-14                   .               .               .
  1885        15-19                   .               .               .
  1885        20-24                   .               .               .
  1885        25-29                   .               .               .
  1885        30-34                   .               .               .
  1885        35-39                   .               .               .
  1885        40-44                   .               .               .
  1885        45-49                   .               .               .
  1885        50-54                   .               .               .
  1885        55-59                   .               .               .
  1885        60-64                   .               .               .
  1885        65-69                   .               .               .
  1885        70-74                   .               .               .
  1885        75-79            0.065431        0.099766        0.074995
  1885        80-84            0.114400        0.149146        0.123007
  1885        85-89            0.181889        0.217999        0.189703
  1885        90-94            0.279815        0.306534        0.284801
  1885        95-99            0.349961        0.408861        0.358784
  1885       100-104           0.582325        0.739552        0.601364
  1885       105-109           3.000000              .        3.000000
  1885       110+                    .              .              .
  1886           0                    .               .               .
  1886         1-4                    .               .               .
  1886         5-9                    .               .               .
  1886        10-14                   .               .               .
  1886        15-19                   .               .               .
  1886        20-24                   .               .               .
  1886        25-29                   .               .               .
  1886        30-34                   .               .               .
  1886        35-39                   .               .               .
  1886        40-44                   .               .               .
  1886        45-49                   .               .               .
  1886        50-54                   .               .               .
  1886        55-59                   .               .               .
  1886        60-64                   .               .               .
  1886        65-69                   .               .               .
  1886        70-74                   .               .               .
  1886        75-79            0.067420        0.098222        0.076153
  1886        80-84            0.113140        0.150197        0.122395
  1886        85-89            0.179811        0.213629        0.187147
  1886        90-94            0.275536        0.320577        0.283868
  1886        95-99            0.357949        0.377222        0.361019
  1886       100-104           0.539449        0.897070        0.571768
  1886       105-109           1.327660              .        1.327660
  1886       110+                    .              .              .
  1887           0                    .               .               .
  1887         1-4                    .               .               .
  1887         5-9                    .               .               .
  1887        10-14                   .               .               .
  1887        15-19                   .               .               .
  1887        20-24                   .               .               .
  1887        25-29                   .               .               .
  1887        30-34                   .               .               .
  1887        35-39                   .               .               .
  1887        40-44                   .               .               .
  1887        45-49                   .               .               .
  1887        50-54                   .               .               .
  1887        55-59                   .               .               .
  1887        60-64                   .               .               .
  1887        65-69                   .               .               .
  1887        70-74                   .               .               .
  1887        75-79            0.074120        0.104137        0.082699
  1887        80-84            0.114611        0.143080        0.121852
  1887        85-89            0.173461        0.218210        0.183454
  1887        90-94            0.263697        0.319953        0.274082
  1887        95-99            0.393883        0.385337        0.392428
  1887       100-104           0.581949        1.344415        0.625331
  1887       105-109           3.000000              .        3.000000
  1887       110+                    .              .              .
  1888           0                    .               .               .
  1888         1-4                    .               .               .
  1888         5-9                    .               .               .
  1888        10-14                   .               .               .
  1888        15-19                   .               .               .
  1888        20-24                   .               .               .
  1888        25-29                   .               .               .
  1888        30-34                   .               .               .
  1888        35-39                   .               .               .
  1888        40-44                   .               .               .
  1888        45-49                   .               .               .
  1888        50-54                   .               .               .
  1888        55-59                   .               .               .
  1888        60-64                   .               .               .
  1888        65-69                   .               .               .
  1888        70-74                   .               .               .
  1888        75-79            0.065671        0.090957        0.072769
  1888        80-84            0.114259        0.143686        0.121701
  1888        85-89            0.179601        0.220300        0.188504
  1888        90-94            0.261187        0.316406        0.271163
  1888        95-99            0.403008        0.416315        0.405247
  1888       100-104           0.602001        1.065672        0.637846
  1888       105-109           3.000000              .        3.000000
  1888       110+                    .              .              .
  1889           0                    .               .               .
  1889         1-4                    .               .               .
  1889         5-9                    .               .               .
  1889        10-14                   .               .               .
  1889        15-19                   .               .               .
  1889        20-24                   .               .               .
  1889        25-29                   .               .               .
  1889        30-34                   .               .               .
  1889        35-39                   .               .               .
  1889        40-44                   .               .               .
  1889        45-49                   .               .               .
  1889        50-54                   .               .               .
  1889        55-59                   .               .               .
  1889        60-64                   .               .               .
  1889        65-69                   .               .               .
  1889        70-74            0.040652        0.068562        0.049334
  1889        75-79            0.068581        0.098437        0.076957
  1889        80-84            0.112558        0.148202        0.121417
  1889        85-89            0.180944        0.224147        0.190096
