Northern Ireland, Death rates (cohort 5x1), 	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1846           0                    .               .               .
  1846         1-4                    .               .               .
  1846         5-9                    .               .               .
  1846        10-14                   .               .               .
  1846        15-19                   .               .               .
  1846        20-24                   .               .               .
  1846        25-29                   .               .               .
  1846        30-34                   .               .               .
  1846        35-39                   .               .               .
  1846        40-44                   .               .               .
  1846        45-49                   .               .               .
  1846        50-54                   .               .               .
  1846        55-59                   .               .               .
  1846        60-64                   .               .               .
  1846        65-69                   .               .               .
  1846        70-74                   .               .               .
  1846        75-79                   .               .               .
  1846        80-84            0.154918        0.171358        0.161586
  1846        85-89            0.193921        0.232105        0.208235
  1846        90-94            0.286219        0.307553        0.293438
  1846        95-99            0.336898        0.391431        0.354007
  1846       100-104           0.614667        0.978426        0.688222
  1846       105-109           0.272727              .        0.272727
  1846       110+                    .              .              .
  1847           0                    .               .               .
  1847         1-4                    .               .               .
  1847         5-9                    .               .               .
  1847        10-14                   .               .               .
  1847        15-19                   .               .               .
  1847        20-24                   .               .               .
  1847        25-29                   .               .               .
  1847        30-34                   .               .               .
  1847        35-39                   .               .               .
  1847        40-44                   .               .               .
  1847        45-49                   .               .               .
  1847        50-54                   .               .               .
  1847        55-59                   .               .               .
  1847        60-64                   .               .               .
  1847        65-69                   .               .               .
  1847        70-74                   .               .               .
  1847        75-79            0.100962        0.114304        0.106759
  1847        80-84            0.155233        0.172164        0.162115
  1847        85-89            0.193444        0.218204        0.202777
  1847        90-94            0.273074        0.295465        0.280895
  1847        95-99            0.335394        0.386416        0.352498
  1847       100-104           0.535293        0.795276        0.595277
  1847       105-109           0.300000              .        0.300000
  1847       110+                    .              .              .
  1848           0                    .               .               .
  1848         1-4                    .               .               .
  1848         5-9                    .               .               .
  1848        10-14                   .               .               .
  1848        15-19                   .               .               .
  1848        20-24                   .               .               .
  1848        25-29                   .               .               .
  1848        30-34                   .               .               .
  1848        35-39                   .               .               .
  1848        40-44                   .               .               .
  1848        45-49                   .               .               .
  1848        50-54                   .               .               .
  1848        55-59                   .               .               .
  1848        60-64                   .               .               .
  1848        65-69                   .               .               .
  1848        70-74                   .               .               .
  1848        75-79            0.102594        0.117910        0.109210
  1848        80-84            0.155697        0.172302        0.162495
  1848        85-89            0.195562        0.218911        0.204519
  1848        90-94            0.272223        0.294664        0.280067
  1848        95-99            0.366823        0.394039        0.376056
  1848       100-104           0.570827        0.908405        0.648891
  1848       105-109                 .              .              .
  1848       110+                    .              .              .
  1849           0                    .               .               .
  1849         1-4                    .               .               .
  1849         5-9                    .               .               .
  1849        10-14                   .               .               .
  1849        15-19                   .               .               .
  1849        20-24                   .               .               .
  1849        25-29                   .               .               .
  1849        30-34                   .               .               .
  1849        35-39                   .               .               .
  1849        40-44                   .               .               .
  1849        45-49                   .               .               .
  1849        50-54                   .               .               .
  1849        55-59                   .               .               .
  1849        60-64                   .               .               .
  1849        65-69                   .               .               .
  1849        70-74                   .               .               .
  1849        75-79            0.085885        0.101905        0.092657
  1849        80-84            0.151089        0.168514        0.158314
  1849        85-89            0.195224        0.219521        0.204757
  1849        90-94            0.273950        0.288277        0.279052
  1849        95-99            0.373723        0.394867        0.381084
  1849       100-104           0.606393        0.954689        0.688087
  1849       105-109                 .              .              .
