Hong Kong, Death rates (cohort 5x1), 	Last modified: 27 Sep 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1905           0                    .               .               .
  1905         1-4                    .               .               .
  1905         5-9                    .               .               .
  1905        10-14                   .               .               .
  1905        15-19                   .               .               .
  1905        20-24                   .               .               .
  1905        25-29                   .               .               .
  1905        30-34                   .               .               .
  1905        35-39                   .               .               .
  1905        40-44                   .               .               .
  1905        45-49                   .               .               .
  1905        50-54                   .               .               .
  1905        55-59                   .               .               .
  1905        60-64                   .               .               .
  1905        65-69                   .               .               .
  1905        70-74                   .               .               .
  1905        75-79                   .               .               .
  1905        80-84                   .               .               .
  1905        85-89            0.106872        0.158649        0.120218
  1905        90-94            0.152661        0.213635        0.165489
  1905        95-99            0.212428        0.256795        0.219636
  1905       100-104           0.350897        0.409768        0.358684
  1905       105-109           0.501243        0.626138        0.513705
  1905       110+              1.040888              .        1.040888
  1906           0                    .               .               .
  1906         1-4                    .               .               .
  1906         5-9                    .               .               .
  1906        10-14                   .               .               .
  1906        15-19                   .               .               .
  1906        20-24                   .               .               .
  1906        25-29                   .               .               .
  1906        30-34                   .               .               .
  1906        35-39                   .               .               .
  1906        40-44                   .               .               .
  1906        45-49                   .               .               .
  1906        50-54                   .               .               .
  1906        55-59                   .               .               .
  1906        60-64                   .               .               .
  1906        65-69                   .               .               .
  1906        70-74                   .               .               .
  1906        75-79                   .               .               .
  1906        80-84            0.075156        0.117526        0.088540
  1906        85-89            0.103511        0.153956        0.117077
  1906        90-94            0.148473        0.204131        0.160683
  1906        95-99            0.218817        0.264258        0.226786
  1906       100-104           0.351608        0.402654        0.358956
  1906       105-109           0.506690        0.589628        0.516275
  1906       110+              1.280844              .        1.280844
  1907           0                    .               .               .
  1907         1-4                    .               .               .
  1907         5-9                    .               .               .
  1907        10-14                   .               .               .
  1907        15-19                   .               .               .
  1907        20-24                   .               .               .
  1907        25-29                   .               .               .
  1907        30-34                   .               .               .
  1907        35-39                   .               .               .
  1907        40-44                   .               .               .
  1907        45-49                   .               .               .
  1907        50-54                   .               .               .
  1907        55-59                   .               .               .
  1907        60-64                   .               .               .
  1907        65-69                   .               .               .
  1907        70-74                   .               .               .
  1907        75-79                   .               .               .
  1907        80-84            0.073961        0.117488        0.087655
  1907        85-89            0.101774        0.156505        0.116367
  1907        90-94            0.143366        0.209070        0.157106
  1907        95-99            0.217149        0.272593        0.225929
  1907       100-104           0.353807        0.400564        0.359836
  1907       105-109           0.523479        0.633551        0.534921
  1907       110+              1.266784              .        1.266784
  1908           0                    .               .               .
  1908         1-4                    .               .               .
  1908         5-9                    .               .               .
  1908        10-14                   .               .               .
  1908        15-19                   .               .               .
  1908        20-24                   .               .               .
  1908        25-29                   .               .               .
  1908        30-34                   .               .               .
  1908        35-39                   .               .               .
  1908        40-44                   .               .               .
  1908        45-49                   .               .               .
  1908        50-54                   .               .               .
  1908        55-59                   .               .               .
  1908        60-64                   .               .               .
  1908        65-69                   .               .               .
  1908        70-74                   .               .               .
  1908        75-79                   .               .               .
  1908        80-84            0.074065        0.114461        0.087256
  1908        85-89            0.097027        0.150300        0.111895
  1908        90-94            0.141231        0.203258        0.154975
  1908        95-99            0.221986        0.289228        0.233479
  1908       100-104           0.352657        0.392585        0.358145
  1908       105-109           0.544584        0.729101        0.562879
  1908       110+              0.921854              .        0.921854
  1909           0                    .               .               .
  1909         1-4                    .               .               .
  1909         5-9                    .               .               .
  1909        10-14                   .               .               .
  1909        15-19                   .               .               .
  1909        20-24                   .               .               .
  1909        25-29                   .               .               .
  1909        30-34                   .               .               .
  1909        35-39                   .               .               .
  1909        40-44                   .               .               .
  1909        45-49                   .               .               .
  1909        50-54                   .               .               .
  1909        55-59                   .               .               .
  1909        60-64                   .               .               .
  1909        65-69                   .               .               .
  1909        70-74                   .               .               .
  1909        75-79                   .               .               .
  1909        80-84            0.070246        0.106975        0.082749
  1909        85-89            0.096767        0.143071        0.110562
  1909        90-94            0.145588        0.196859        0.158125
  1909        95-99            0.226463        0.286159        0.238341
  1909       100-104           0.350477        0.392640        0.357146
