Hungary, Death rates (cohort 5x1), 	Last modified: 30 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1874           0                    .               .               .
  1874         1-4                    .               .               .
  1874         5-9                    .               .               .
  1874        10-14                   .               .               .
  1874        15-19                   .               .               .
  1874        20-24                   .               .               .
  1874        25-29                   .               .               .
  1874        30-34                   .               .               .
  1874        35-39                   .               .               .
  1874        40-44                   .               .               .
  1874        45-49                   .               .               .
  1874        50-54                   .               .               .
  1874        55-59                   .               .               .
  1874        60-64                   .               .               .
  1874        65-69                   .               .               .
  1874        70-74                   .               .               .
  1874        75-79                   .               .               .
  1874        80-84            0.145819        0.160660        0.151998
  1874        85-89            0.225890        0.259466        0.238906
  1874        90-94            0.313597        0.359934        0.329488
  1874        95-99            0.423486        0.497002        0.443270
  1874       100-104           0.538364        0.774600        0.571900
  1874       105-109           2.123894              .        2.123894
  1874       110+                    .              .              .
  1875           0                    .               .               .
  1875         1-4                    .               .               .
  1875         5-9                    .               .               .
  1875        10-14                   .               .               .
  1875        15-19                   .               .               .
  1875        20-24                   .               .               .
  1875        25-29                   .               .               .
  1875        30-34                   .               .               .
  1875        35-39                   .               .               .
  1875        40-44                   .               .               .
  1875        45-49                   .               .               .
  1875        50-54                   .               .               .
  1875        55-59                   .               .               .
  1875        60-64                   .               .               .
  1875        65-69                   .               .               .
  1875        70-74                   .               .               .
  1875        75-79            0.094618        0.108574        0.100672
  1875        80-84            0.148431        0.161658        0.154017
  1875        85-89            0.227137        0.246099        0.234727
  1875        90-94            0.334765        0.355636        0.342716
  1875        95-99            0.464008        0.494933        0.474683
  1875       100-104           0.544470        0.631128        0.561970
  1875       105-109           1.278027              .        1.278027
  1875       110+                    .              .              .
  1876           0                    .               .               .
  1876         1-4                    .               .               .
  1876         5-9                    .               .               .
  1876        10-14                   .               .               .
  1876        15-19                   .               .               .
  1876        20-24                   .               .               .
  1876        25-29                   .               .               .
  1876        30-34                   .               .               .
  1876        35-39                   .               .               .
  1876        40-44                   .               .               .
  1876        45-49                   .               .               .
  1876        50-54                   .               .               .
  1876        55-59                   .               .               .
  1876        60-64                   .               .               .
  1876        65-69                   .               .               .
  1876        70-74                   .               .               .
  1876        75-79            0.098170        0.109504        0.103026
  1876        80-84            0.143856        0.154904        0.148467
  1876        85-89            0.225152        0.255686        0.237107
  1876        90-94            0.312041        0.349045        0.325161
  1876        95-99            0.448627        0.518955        0.469381
  1876       100-104           0.554589        0.720840        0.584087
  1876       105-109           1.143836              .        1.143836
  1876       110+                    .              .              .
  1877           0                    .               .               .
  1877         1-4                    .               .               .
  1877         5-9                    .               .               .
  1877        10-14                   .               .               .
  1877        15-19                   .               .               .
  1877        20-24                   .               .               .
  1877        25-29                   .               .               .
  1877        30-34                   .               .               .
  1877        35-39                   .               .               .
  1877        40-44                   .               .               .
  1877        45-49                   .               .               .
  1877        50-54                   .               .               .
  1877        55-59                   .               .               .
  1877        60-64                   .               .               .
  1877        65-69                   .               .               .
  1877        70-74                   .               .               .
  1877        75-79            0.091604        0.105625        0.097555
  1877        80-84            0.148386        0.162694        0.154250
  1877        85-89            0.212157        0.249864        0.226413
  1877        90-94            0.318113        0.329765        0.322108
  1877        95-99            0.406052        0.494663        0.433366
  1877       100-104           0.603566        0.754746        0.631921
  1877       105-109           1.495356              .        1.495356
  1877       110+                    .              .              .
  1878           0                    .               .               .
  1878         1-4                    .               .               .
  1878         5-9                    .               .               .
  1878        10-14                   .               .               .
  1878        15-19                   .               .               .
  1878        20-24                   .               .               .
  1878        25-29                   .               .               .
  1878        30-34                   .               .               .
  1878        35-39                   .               .               .
  1878        40-44                   .               .               .
  1878        45-49                   .               .               .
  1878        50-54                   .               .               .
  1878        55-59                   .               .               .
  1878        60-64                   .               .               .
  1878        65-69                   .               .               .
  1878        70-74                   .               .               .
  1878        75-79            0.090703        0.103084        0.095975
  1878        80-84            0.144570        0.164631        0.152728
  1878        85-89            0.216013        0.235640        0.223477
  1878        90-94            0.307208        0.362270        0.326072
  1878        95-99            0.425464        0.496981        0.444768
  1878       100-104           0.607156        0.760086        0.633929
  1878       105-109           1.589641              .        1.589641
  1878       110+                    .              .              .
  1879           0                    .               .               .
  1879         1-4                    .               .               .
  1879         5-9                    .               .               .
  1879        10-14                   .               .               .
  1879        15-19                   .               .               .
  1879        20-24                   .               .               .
  1879        25-29                   .               .               .
  1879        30-34                   .               .               .
  1879        35-39                   .               .               .
  1879        40-44                   .               .               .
  1879        45-49                   .               .               .
  1879        50-54                   .               .               .
  1879        55-59                   .               .               .
  1879        60-64                   .               .               .
  1879        65-69                   .               .               .
  1879        70-74                   .               .               .
  1879        75-79            0.090321        0.098376        0.093792
  1879        80-84            0.142581        0.160880        0.150070
  1879        85-89            0.220555        0.251904        0.232521
  1879        90-94            0.305431        0.367230        0.325787
  1879        95-99            0.439157        0.463939        0.445990
  1879       100-104           0.554544        0.684363        0.578700
  1879       105-109           1.172237              .        1.172237
  1879       110+                    .              .              .
  1880           0                    .               .               .
  1880         1-4                    .               .               .
  1880         5-9                    .               .               .
  1880        10-14                   .               .               .
  1880        15-19                   .               .               .
  1880        20-24                   .               .               .
  1880        25-29                   .               .               .
  1880        30-34                   .               .               .
  1880        35-39                   .               .               .
  1880        40-44                   .               .               .
  1880        45-49                   .               .               .
  1880        50-54                   .               .               .
  1880        55-59                   .               .               .
  1880        60-64                   .               .               .
  1880        65-69                   .               .               .
  1880        70-74            0.055676        0.067267        0.060643
  1880        75-79            0.084542        0.099806        0.090892
  1880        80-84            0.138282        0.157068        0.145734
  1880        85-89            0.213698        0.244802        0.225161
  1880        90-94            0.311523        0.344630        0.322530
  1880        95-99            0.430816        0.485540        0.446332
  1880       100-104           0.558646        0.639013        0.574525
  1880       105-109           1.197397              .        1.197397
  1880       110+                    .              .              .
  1881           0                    .               .               .
  1881         1-4                    .               .               .
  1881         5-9                    .               .               .
  1881        10-14                   .               .               .
  1881        15-19                   .               .               .
  1881        20-24                   .               .               .
  1881        25-29                   .               .               .
  1881        30-34                   .               .               .
  1881        35-39                   .               .               .
  1881        40-44                   .               .               .
  1881        45-49                   .               .               .
  1881        50-54                   .               .               .
  1881        55-59                   .               .               .
  1881        60-64                   .               .               .
  1881        65-69                   .               .               .
  1881        70-74            0.052847        0.064608        0.057999
  1881        75-79            0.087619        0.097609        0.091861
  1881        80-84            0.133617        0.158322        0.143417
  1881        85-89            0.209320        0.242463        0.221390
  1881        90-94            0.313283        0.342199        0.322511
  1881        95-99            0.428089        0.484284        0.444294
  1881       100-104           0.595996        0.610405        0.599250
  1881       105-109           1.518987              .        1.518987
  1881       110+                    .              .              .
  1882           0                    .               .               .
  1882         1-4                    .               .               .
  1882         5-9                    .               .               .
  1882        10-14                   .               .               .
  1882        15-19                   .               .               .
  1882        20-24                   .               .               .
  1882        25-29                   .               .               .
  1882        30-34                   .               .               .
  1882        35-39                   .               .               .
  1882        40-44                   .               .               .
  1882        45-49                   .               .               .
  1882        50-54                   .               .               .
  1882        55-59                   .               .               .
  1882        60-64                   .               .               .
  1882        65-69                   .               .               .
  1882        70-74            0.052436        0.065153        0.057744
  1882        75-79            0.083995        0.101213        0.090971
  1882        80-84            0.131623        0.155213        0.140721
  1882        85-89            0.215139        0.241689        0.224613
  1882        90-94            0.318335        0.345892        0.327242
  1882        95-99            0.432806        0.475920        0.445320
  1882       100-104           0.621527        0.487220        0.584062
  1882       105-109           1.488550        0.365854        0.594406
  1882       110+                    .              .              .
  1883           0                    .               .               .
  1883         1-4                    .               .               .
  1883         5-9                    .               .               .
  1883        10-14                   .               .               .
  1883        15-19                   .               .               .
  1883        20-24                   .               .               .
  1883        25-29                   .               .               .
  1883        30-34                   .               .               .
  1883        35-39                   .               .               .
  1883        40-44                   .               .               .
  1883        45-49                   .               .               .
  1883        50-54                   .               .               .
  1883        55-59                   .               .               .
  1883        60-64                   .               .               .
  1883        65-69                   .               .               .
  1883        70-74            0.051716        0.062074        0.056188
  1883        75-79            0.087367        0.102281        0.093574
  1883        80-84            0.133192        0.156797        0.142407
  1883        85-89            0.209080        0.245938        0.222132
