Luxembourg, Death rates (cohort 5x1), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1886           0                    .               .               .
  1886         1-4                    .               .               .
  1886         5-9                    .               .               .
  1886        10-14                   .               .               .
  1886        15-19                   .               .               .
  1886        20-24                   .               .               .
  1886        25-29                   .               .               .
  1886        30-34                   .               .               .
  1886        35-39                   .               .               .
  1886        40-44                   .               .               .
  1886        45-49                   .               .               .
  1886        50-54                   .               .               .
  1886        55-59                   .               .               .
  1886        60-64                   .               .               .
  1886        65-69                   .               .               .
  1886        70-74                   .               .               .
  1886        75-79            0.079090        0.096904        0.086561
  1886        80-84            0.125277        0.160370        0.139289
  1886        85-89            0.203254        0.224468        0.210845
  1886        90-94            0.252439        0.375601        0.288710
  1886        95-99            0.386233        0.702422        0.422520
  1886       100-104           0.708201        1.500000        0.734560
  1886       105-109                 .              .              .
  1886       110+                    .              .              .
  1887           0                    .               .               .
  1887         1-4                    .               .               .
  1887         5-9                    .               .               .
  1887        10-14                   .               .               .
  1887        15-19                   .               .               .
  1887        20-24                   .               .               .
  1887        25-29                   .               .               .
  1887        30-34                   .               .               .
  1887        35-39                   .               .               .
  1887        40-44                   .               .               .
  1887        45-49                   .               .               .
  1887        50-54                   .               .               .
  1887        55-59                   .               .               .
  1887        60-64                   .               .               .
  1887        65-69                   .               .               .
  1887        70-74                   .               .               .
  1887        75-79            0.079043        0.104024        0.089479
  1887        80-84            0.122570        0.150562        0.133609
  1887        85-89            0.188711        0.236531        0.205577
  1887        90-94            0.266323        0.331528        0.285988
  1887        95-99            0.365973        0.479044        0.380714
  1887       100-104           0.890453        3.000000        0.967571
  1887       105-109                 .              .              .
  1887       110+                    .              .              .
  1888           0                    .               .               .
  1888         1-4                    .               .               .
  1888         5-9                    .               .               .
  1888        10-14                   .               .               .
  1888        15-19                   .               .               .
  1888        20-24                   .               .               .
  1888        25-29                   .               .               .
  1888        30-34                   .               .               .
  1888        35-39                   .               .               .
  1888        40-44                   .               .               .
  1888        45-49                   .               .               .
  1888        50-54                   .               .               .
  1888        55-59                   .               .               .
  1888        60-64                   .               .               .
  1888        65-69                   .               .               .
  1888        70-74                   .               .               .
  1888        75-79            0.073383        0.093300        0.081969
  1888        80-84            0.123975        0.154933        0.135948
  1888        85-89            0.195204        0.235051        0.209119
  1888        90-94            0.282586        0.321544        0.295094
  1888        95-99            0.308063        0.643581        0.361267
  1888       100-104           0.997292        1.500000        1.023121
  1888       105-109                 .              .              .
  1888       110+                    .              .              .
  1889           0                    .               .               .
  1889         1-4                    .               .               .
  1889         5-9                    .               .               .
  1889        10-14                   .               .               .
  1889        15-19                   .               .               .
  1889        20-24                   .               .               .
  1889        25-29                   .               .               .
  1889        30-34                   .               .               .
  1889        35-39                   .               .               .
  1889        40-44                   .               .               .
  1889        45-49                   .               .               .
  1889        50-54                   .               .               .
  1889        55-59                   .               .               .
  1889        60-64                   .               .               .
  1889        65-69                   .               .               .
  1889        70-74                   .               .               .
  1889        75-79            0.071801        0.100082        0.083236
  1889        80-84            0.127693        0.159634        0.139960
  1889        85-89            0.207021        0.231398        0.215501
  1889        90-94            0.260148        0.302051        0.273457
  1889        95-99            0.423594        0.604455        0.470596
  1889       100-104           1.546191        2.152174        1.656954
  1889       105-109                 .              .              .
  1889       110+                    .              .              .
  1890           0                    .               .               .
  1890         1-4                    .               .               .
  1890         5-9                    .               .               .
  1890        10-14                   .               .               .
  1890        15-19                   .               .               .
  1890        20-24                   .               .               .
  1890        25-29                   .               .               .
  1890        30-34                   .               .               .
  1890        35-39                   .               .               .
  1890        40-44                   .               .               .
  1890        45-49                   .               .               .
  1890        50-54                   .               .               .
  1890        55-59                   .               .               .
  1890        60-64                   .               .               .
  1890        65-69                   .               .               .
  1890        70-74            0.045612        0.066255        0.054552
  1890        75-79            0.078832        0.115894        0.093565
  1890        80-84            0.124521        0.157186        0.136084
  1890        85-89            0.191638        0.220839        0.200742
  1890        90-94            0.273651        0.257615        0.268611
  1890        95-99            0.438919        0.604778        0.483580
  1890       100-104           0.470699        3.000000        0.541571
  1890       105-109           0.272727              .        0.272727
  1890       110+                    .              .              .
  1891           0                    .               .               .
  1891         1-4                    .               .               .
  1891         5-9                    .               .               .
  1891        10-14                   .               .               .
  1891        15-19                   .               .               .
  1891        20-24                   .               .               .
  1891        25-29                   .               .               .
  1891        30-34                   .               .               .
  1891        35-39                   .               .               .
  1891        40-44                   .               .               .
  1891        45-49                   .               .               .
  1891        50-54                   .               .               .
  1891        55-59                   .               .               .
  1891        60-64                   .               .               .
  1891        65-69                   .               .               .
  1891        70-74            0.042671        0.066484        0.053047
  1891        75-79            0.079705        0.113535        0.093078
  1891        80-84            0.116639        0.154807        0.130313
  1891        85-89            0.186579        0.225116        0.198611
  1891        90-94            0.281429        0.267538        0.277239
  1891        95-99            0.410083        0.667176        0.470521
  1891       100-104           0.329280              .        0.329280
  1891       105-109           0.387097              .        0.387097
  1891       110+                    .              .              .
  1892           0                    .               .               .
  1892         1-4                    .               .               .
  1892         5-9                    .               .               .
  1892        10-14                   .               .               .
  1892        15-19                   .               .               .
  1892        20-24                   .               .               .
  1892        25-29                   .               .               .
  1892        30-34                   .               .               .
  1892        35-39                   .               .               .
  1892        40-44                   .               .               .
  1892        45-49                   .               .               .
  1892        50-54                   .               .               .
  1892        55-59                   .               .               .
  1892        60-64                   .               .               .
  1892        65-69                   .               .               .
  1892        70-74            0.044035        0.068793        0.054886
  1892        75-79            0.080052        0.100314        0.088471
  1892        80-84            0.113015        0.165008        0.131408
  1892        85-89            0.178414        0.237517        0.195534
  1892        90-94            0.298877        0.307298        0.301070
  1892        95-99            0.324345        0.481385        0.359879
  1892       100-104           0.221146        1.045455        0.265674
  1892       105-109           0.986014              .        0.986014
  1892       110+                    .              .              .
  1893           0                    .               .               .
  1893         1-4                    .               .               .
  1893         5-9                    .               .               .
  1893        10-14                   .               .               .
  1893        15-19                   .               .               .
  1893        20-24                   .               .               .
  1893        25-29                   .               .               .
  1893        30-34                   .               .               .
  1893        35-39                   .               .               .
  1893        40-44                   .               .               .
  1893        45-49                   .               .               .
  1893        50-54                   .               .               .
  1893        55-59                   .               .               .
  1893        60-64                   .               .               .
  1893        65-69                   .               .               .
