Latvia, Death rates (cohort 5x1), 	Last modified: 11 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1881           0                    .               .               .
  1881         1-4                    .               .               .
  1881         5-9                    .               .               .
  1881        10-14                   .               .               .
  1881        15-19                   .               .               .
  1881        20-24                   .               .               .
  1881        25-29                   .               .               .
  1881        30-34                   .               .               .
  1881        35-39                   .               .               .
  1881        40-44                   .               .               .
  1881        45-49                   .               .               .
  1881        50-54                   .               .               .
  1881        55-59                   .               .               .
  1881        60-64                   .               .               .
  1881        65-69                   .               .               .
  1881        70-74                   .               .               .
  1881        75-79                   .               .               .
  1881        80-84            0.107942        0.129540        0.114836
  1881        85-89            0.172162        0.196466        0.179309
  1881        90-94            0.251237        0.273000        0.257043
  1881        95-99            0.344100        0.332526        0.341153
  1881       100-104           0.442282        0.495543        0.456328
  1881       105-109           0.699248        2.051282        0.774148
  1881       110+                    .              .              .
  1882           0                    .               .               .
  1882         1-4                    .               .               .
  1882         5-9                    .               .               .
  1882        10-14                   .               .               .
  1882        15-19                   .               .               .
  1882        20-24                   .               .               .
  1882        25-29                   .               .               .
  1882        30-34                   .               .               .
  1882        35-39                   .               .               .
  1882        40-44                   .               .               .
  1882        45-49                   .               .               .
  1882        50-54                   .               .               .
  1882        55-59                   .               .               .
  1882        60-64                   .               .               .
  1882        65-69                   .               .               .
  1882        70-74                   .               .               .
  1882        75-79                   .               .               .
  1882        80-84            0.105215        0.129855        0.112976
  1882        85-89            0.171157        0.201378        0.179830
  1882        90-94            0.256157        0.282648        0.262881
  1882        95-99            0.343462        0.329377        0.340079
  1882       100-104           0.430311        0.519900        0.450087
  1882       105-109           0.742155        3.000000        0.788422
  1882       110+                    .              .              .
  1883           0                    .               .               .
  1883         1-4                    .               .               .
  1883         5-9                    .               .               .
  1883        10-14                   .               .               .
  1883        15-19                   .               .               .
  1883        20-24                   .               .               .
  1883        25-29                   .               .               .
  1883        30-34                   .               .               .
  1883        35-39                   .               .               .
  1883        40-44                   .               .               .
  1883        45-49                   .               .               .
  1883        50-54                   .               .               .
  1883        55-59                   .               .               .
  1883        60-64                   .               .               .
  1883        65-69                   .               .               .
  1883        70-74                   .               .               .
  1883        75-79                   .               .               .
  1883        80-84            0.102729        0.128471        0.110868
  1883        85-89            0.169732        0.201456        0.178763
  1883        90-94            0.251387        0.277863        0.258111
  1883        95-99            0.330633        0.336676        0.332076
  1883       100-104           0.443105        0.621508        0.479370
  1883       105-109           0.754074              .        0.754074
  1883       110+                    .              .              .
  1884           0                    .               .               .
  1884         1-4                    .               .               .
  1884         5-9                    .               .               .
  1884        10-14                   .               .               .
  1884        15-19                   .               .               .
  1884        20-24                   .               .               .
  1884        25-29                   .               .               .
  1884        30-34                   .               .               .
  1884        35-39                   .               .               .
  1884        40-44                   .               .               .
  1884        45-49                   .               .               .
  1884        50-54                   .               .               .
  1884        55-59                   .               .               .
  1884        60-64                   .               .               .
  1884        65-69                   .               .               .
  1884        70-74                   .               .               .
  1884        75-79            0.064499        0.084082        0.071064
  1884        80-84            0.103784        0.125687        0.110436
  1884        85-89            0.168283        0.199252        0.176800
  1884        90-94            0.248340        0.267367        0.253160
  1884        95-99            0.320316        0.360498        0.329472
  1884       100-104           0.450488        0.599226        0.480046
  1884       105-109           0.789260        3.000000        0.826531
  1884       110+                    .              .              .
  1885           0                    .               .               .
  1885         1-4                    .               .               .
  1885         5-9                    .               .               .
  1885        10-14                   .               .               .
  1885        15-19                   .               .               .
  1885        20-24                   .               .               .
  1885        25-29                   .               .               .
  1885        30-34                   .               .               .
  1885        35-39                   .               .               .
  1885        40-44                   .               .               .
  1885        45-49                   .               .               .
  1885        50-54                   .               .               .
  1885        55-59                   .               .               .
  1885        60-64                   .               .               .
  1885        65-69                   .               .               .
  1885        70-74                   .               .               .
  1885        75-79            0.061532        0.087752        0.069709
  1885        80-84            0.107509        0.132382        0.114573
  1885        85-89            0.168945        0.203350        0.177722
  1885        90-94            0.256277        0.302180        0.266406
  1885        95-99            0.332572        0.361680        0.338007
  1885       100-104           0.445891        0.598408        0.468189
  1885       105-109           0.822891        3.000000        0.853599
  1885       110+                    .              .              .
  1886           0                    .               .               .
  1886         1-4                    .               .               .
  1886         5-9                    .               .               .
  1886        10-14                   .               .               .
  1886        15-19                   .               .               .
  1886        20-24                   .               .               .
  1886        25-29                   .               .               .
  1886        30-34                   .               .               .
  1886        35-39                   .               .               .
  1886        40-44                   .               .               .
  1886        45-49                   .               .               .
  1886        50-54                   .               .               .
  1886        55-59                   .               .               .
  1886        60-64                   .               .               .
  1886        65-69                   .               .               .
  1886        70-74                   .               .               .
  1886        75-79            0.061787        0.086531        0.069463
  1886        80-84            0.107399        0.134151        0.115073
  1886        85-89            0.168718        0.204994        0.177997
  1886        90-94            0.264479        0.300884        0.272581
  1886        95-99            0.328184        0.349211        0.332303
