Ukraine, Death rates (cohort 5x1), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1878           0                    .               .               .
  1878         1-4                    .               .               .
  1878         5-9                    .               .               .
  1878        10-14                   .               .               .
  1878        15-19                   .               .               .
  1878        20-24                   .               .               .
  1878        25-29                   .               .               .
  1878        30-34                   .               .               .
  1878        35-39                   .               .               .
  1878        40-44                   .               .               .
  1878        45-49                   .               .               .
  1878        50-54                   .               .               .
  1878        55-59                   .               .               .
  1878        60-64                   .               .               .
  1878        65-69                   .               .               .
  1878        70-74                   .               .               .
  1878        75-79                   .               .               .
  1878        80-84                   .               .               .
  1878        85-89            0.156443        0.187565        0.165208
  1878        90-94            0.221841        0.259059        0.231061
  1878        95-99            0.286982        0.315530        0.293089
  1878       100-104           0.384408        0.435861        0.394494
  1878       105-109           0.405824        0.624649        0.428634
  1878       110+              0.643074        3.000000        0.653264
  1879           0                    .               .               .
  1879         1-4                    .               .               .
  1879         5-9                    .               .               .
  1879        10-14                   .               .               .
  1879        15-19                   .               .               .
  1879        20-24                   .               .               .
  1879        25-29                   .               .               .
  1879        30-34                   .               .               .
  1879        35-39                   .               .               .
  1879        40-44                   .               .               .
  1879        45-49                   .               .               .
  1879        50-54                   .               .               .
  1879        55-59                   .               .               .
  1879        60-64                   .               .               .
  1879        65-69                   .               .               .
  1879        70-74                   .               .               .
  1879        75-79                   .               .               .
  1879        80-84            0.101132        0.127055        0.109254
  1879        85-89            0.157555        0.190317        0.166729
  1879        90-94            0.218463        0.267505        0.230258
  1879        95-99            0.283122        0.312175        0.289035
  1879       100-104           0.384786        0.474926        0.400565
  1879       105-109           0.406359        0.604500        0.424677
  1879       110+              0.720990        2.050633        0.736554
  1880           0                    .               .               .
  1880         1-4                    .               .               .
  1880         5-9                    .               .               .
  1880        10-14                   .               .               .
  1880        15-19                   .               .               .
  1880        20-24                   .               .               .
  1880        25-29                   .               .               .
  1880        30-34                   .               .               .
  1880        35-39                   .               .               .
  1880        40-44                   .               .               .
  1880        45-49                   .               .               .
  1880        50-54                   .               .               .
  1880        55-59                   .               .               .
  1880        60-64                   .               .               .
  1880        65-69                   .               .               .
  1880        70-74                   .               .               .
  1880        75-79                   .               .               .
  1880        80-84            0.098857        0.123106        0.106522
  1880        85-89            0.153901        0.189755        0.164093
  1880        90-94            0.217033        0.261468        0.227844
  1880        95-99            0.297020        0.325912        0.303071
  1880       100-104           0.368368        0.489737        0.388658
  1880       105-109           0.413380        0.578250        0.428328
  1880       110+              0.834101        2.062500        0.855437
  1881           0                    .               .               .
  1881         1-4                    .               .               .
  1881         5-9                    .               .               .
  1881        10-14                   .               .               .
  1881        15-19                   .               .               .
  1881        20-24                   .               .               .
  1881        25-29                   .               .               .
  1881        30-34                   .               .               .
  1881        35-39                   .               .               .
  1881        40-44                   .               .               .
  1881        45-49                   .               .               .
  1881        50-54                   .               .               .
  1881        55-59                   .               .               .
  1881        60-64                   .               .               .
  1881        65-69                   .               .               .
  1881        70-74                   .               .               .
  1881        75-79                   .               .               .
  1881        80-84            0.099003        0.121748        0.106329
  1881        85-89            0.151764        0.186434        0.161927
  1881        90-94            0.217500        0.255747        0.227246
  1881        95-99            0.299251        0.333972        0.306772
  1881       100-104           0.358592        0.473354        0.377516
