The United States of America, Death rates (cohort 5x1), 	Last modified: 05 Sep 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1852           0                    .               .               .
  1852         1-4                    .               .               .
  1852         5-9                    .               .               .
  1852        10-14                   .               .               .
  1852        15-19                   .               .               .
  1852        20-24                   .               .               .
  1852        25-29                   .               .               .
  1852        30-34                   .               .               .
  1852        35-39                   .               .               .
  1852        40-44                   .               .               .
  1852        45-49                   .               .               .
  1852        50-54                   .               .               .
  1852        55-59                   .               .               .
  1852        60-64                   .               .               .
  1852        65-69                   .               .               .
  1852        70-74                   .               .               .
  1852        75-79                   .               .               .
  1852        80-84                   .               .               .
  1852        85-89            0.190896        0.219332        0.203138
  1852        90-94            0.255924        0.289348        0.269011
  1852        95-99            0.309098        0.336905        0.319057
  1852       100-104           0.351928        0.338537        0.347423
  1852       105-109           0.357836        0.309800        0.339804
  1852       110+              0.231301        0.290517        0.252361
  1853           0                    .               .               .
  1853         1-4                    .               .               .
  1853         5-9                    .               .               .
  1853        10-14                   .               .               .
  1853        15-19                   .               .               .
  1853        20-24                   .               .               .
  1853        25-29                   .               .               .
  1853        30-34                   .               .               .
  1853        35-39                   .               .               .
  1853        40-44                   .               .               .
  1853        45-49                   .               .               .
  1853        50-54                   .               .               .
  1853        55-59                   .               .               .
  1853        60-64                   .               .               .
  1853        65-69                   .               .               .
  1853        70-74                   .               .               .
  1853        75-79                   .               .               .
  1853        80-84            0.129074        0.151228        0.139305
  1853        85-89            0.190132        0.219062        0.202572
  1853        90-94            0.251843        0.284599        0.264620
  1853        95-99            0.318037        0.341406        0.326463
  1853       100-104           0.334929        0.345499        0.338460
  1853       105-109           0.334531        0.278777        0.314049
  1853       110+              0.207740        0.273655        0.228055
  1854           0                    .               .               .
  1854         1-4                    .               .               .
  1854         5-9                    .               .               .
  1854        10-14                   .               .               .
  1854        15-19                   .               .               .
  1854        20-24                   .               .               .
  1854        25-29                   .               .               .
  1854        30-34                   .               .               .
  1854        35-39                   .               .               .
  1854        40-44                   .               .               .
  1854        45-49                   .               .               .
  1854        50-54                   .               .               .
  1854        55-59                   .               .               .
  1854        60-64                   .               .               .
  1854        65-69                   .               .               .
  1854        70-74                   .               .               .
  1854        75-79                   .               .               .
  1854        80-84            0.128040        0.150838        0.138553
  1854        85-89            0.189057        0.219460        0.202089
  1854        90-94            0.245567        0.277974        0.258132
  1854        95-99            0.324128        0.349235        0.333075
  1854       100-104           0.351760        0.352336        0.351955
  1854       105-109           0.316391        0.310485        0.314307
  1854       110+              0.223415        0.231572        0.226238
  1855           0                    .               .               .
  1855         1-4                    .               .               .
  1855         5-9                    .               .               .
  1855        10-14                   .               .               .
  1855        15-19                   .               .               .
  1855        20-24                   .               .               .
  1855        25-29                   .               .               .
  1855        30-34                   .               .               .
  1855        35-39                   .               .               .
  1855        40-44                   .               .               .
  1855        45-49                   .               .               .
  1855        50-54                   .               .               .
  1855        55-59                   .               .               .
  1855        60-64                   .               .               .
  1855        65-69                   .               .               .
  1855        70-74                   .               .               .
  1855        75-79                   .               .               .
  1855        80-84            0.128019        0.151250        0.138701
  1855        85-89            0.184142        0.215919        0.197690
  1855        90-94            0.243480        0.277274        0.256474
  1855        95-99            0.322723        0.351761        0.332858
  1855       100-104           0.360598        0.363778        0.361646
  1855       105-109           0.305899        0.335812        0.315595
  1855       110+              0.227437        0.322228        0.250350
  1856           0                    .               .               .
  1856         1-4                    .               .               .
  1856         5-9                    .               .               .
  1856        10-14                   .               .               .
  1856        15-19                   .               .               .
  1856        20-24                   .               .               .
  1856        25-29                   .               .               .
  1856        30-34                   .               .               .
  1856        35-39                   .               .               .
  1856        40-44                   .               .               .
  1856        45-49                   .               .               .
  1856        50-54                   .               .               .
  1856        55-59                   .               .               .
  1856        60-64                   .               .               .
  1856        65-69                   .               .               .
  1856        70-74                   .               .               .
  1856        75-79                   .               .               .
  1856        80-84            0.127142        0.150972        0.138053
  1856        85-89            0.179936        0.212831        0.193851
  1856        90-94            0.246522        0.283128        0.260405
  1856        95-99            0.321995        0.349882        0.331523
  1856       100-104           0.372918        0.351435        0.365731
  1856       105-109           0.333179        0.342175        0.336399
  1856       110+              0.236704        0.233412        0.235467
  1857           0                    .               .               .
  1857         1-4                    .               .               .
  1857         5-9                    .               .               .
  1857        10-14                   .               .               .
  1857        15-19                   .               .               .
  1857        20-24                   .               .               .
  1857        25-29                   .               .               .
  1857        30-34                   .               .               .
  1857        35-39                   .               .               .
  1857        40-44                   .               .               .
  1857        45-49                   .               .               .
  1857        50-54                   .               .               .
  1857        55-59                   .               .               .
  1857        60-64                   .               .               .
  1857        65-69                   .               .               .
  1857        70-74                   .               .               .
  1857        75-79                   .               .               .
  1857        80-84            0.125346        0.149131        0.136201
  1857        85-89            0.179483        0.211708        0.193060
  1857        90-94            0.248566        0.285824        0.262664
  1857        95-99            0.323344        0.360300        0.335794
  1857       100-104           0.389645        0.402664        0.393597
  1857       105-109           0.321141        0.309886        0.317584
  1857       110+              0.322164        0.253168        0.294618
  1858           0                    .               .               .
  1858         1-4                    .               .               .
  1858         5-9                    .               .               .
  1858        10-14                   .               .               .
  1858        15-19                   .               .               .
  1858        20-24                   .               .               .
  1858        25-29                   .               .               .
  1858        30-34                   .               .               .
  1858        35-39                   .               .               .
  1858        40-44                   .               .               .
  1858        45-49                   .               .               .
  1858        50-54                   .               .               .
  1858        55-59                   .               .               .
  1858        60-64                   .               .               .
  1858        65-69                   .               .               .
  1858        70-74                   .               .               .
  1858        75-79            0.086973        0.102872        0.094712
  1858        80-84            0.124776        0.148961        0.135771
  1858        85-89            0.178100        0.209395        0.191233
  1858        90-94            0.246075        0.281583        0.259491
  1858        95-99            0.323736        0.357365        0.335118
  1858       100-104           0.388486        0.407007        0.394157
  1858       105-109           0.342005        0.289565        0.324149
  1858       110+              0.279851        0.291563        0.284160
  1859           0                    .               .               .
  1859         1-4                    .               .               .
  1859         5-9                    .               .               .
  1859        10-14                   .               .               .
  1859        15-19                   .               .               .
  1859        20-24                   .               .               .
  1859        25-29                   .               .               .
  1859        30-34                   .               .               .
  1859        35-39                   .               .               .
  1859        40-44                   .               .               .
  1859        45-49                   .               .               .
  1859        50-54                   .               .               .
  1859        55-59                   .               .               .
  1859        60-64                   .               .               .
  1859        65-69                   .               .               .
  1859        70-74                   .               .               .
  1859        75-79            0.086811        0.102916        0.094615
  1859        80-84            0.123001        0.148056        0.134319
  1859        85-89            0.172243        0.202480        0.184862
  1859        90-94            0.239693        0.274780        0.252906
  1859        95-99            0.321015        0.356345        0.332858
  1859       100-104           0.365270        0.366057        0.365514
  1859       105-109           0.330910        0.325042        0.328936
  1859       110+              0.275945        0.417220        0.309457
  1860           0                    .               .               .
  1860         1-4                    .               .               .
  1860         5-9                    .               .               .
  1860        10-14                   .               .               .
  1860        15-19                   .               .               .
  1860        20-24                   .               .               .
  1860        25-29                   .               .               .
  1860        30-34                   .               .               .
  1860        35-39                   .               .               .
  1860        40-44                   .               .               .
  1860        45-49                   .               .               .
  1860        50-54                   .               .               .
  1860        55-59                   .               .               .
  1860        60-64                   .               .               .
  1860        65-69                   .               .               .
  1860        70-74                   .               .               .
  1860        75-79            0.087088        0.103447        0.094981
  1860        80-84            0.119001        0.144138        0.130280
