England and Wales, Total Population, Death rates (cohort 5x10), 	Last modified: 27 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1764-1769        0                    .               .               .
1764-1769      1-4                    .               .               .
1764-1769      5-9                    .               .               .
1764-1769     10-14                   .               .               .
1764-1769     15-19                   .               .               .
1764-1769     20-24                   .               .               .
1764-1769     25-29                   .               .               .
1764-1769     30-34                   .               .               .
1764-1769     35-39                   .               .               .
1764-1769     40-44                   .               .               .
1764-1769     45-49                   .               .               .
1764-1769     50-54                   .               .               .
1764-1769     55-59                   .               .               .
1764-1769     60-64                   .               .               .
1764-1769     65-69                   .               .               .
1764-1769     70-74                   .               .               .
1764-1769     75-79            0.115458        0.125591        0.120059
1764-1769     80-84            0.155367        0.176534        0.164434
1764-1769     85-89            0.220115        0.245106        0.230067
1764-1769     90-94            0.302211        0.331380        0.312851
1764-1769     95-99            0.404612        0.432607        0.413965
1764-1769    100-104           0.478663        0.585188        0.507858
1764-1769    105-109           0.833826        1.923469        0.907369
1764-1769    110+                    .              .              .
1770-1779        0                    .               .               .
1770-1779      1-4                    .               .               .
1770-1779      5-9                    .               .               .
1770-1779     10-14                   .               .               .
1770-1779     15-19                   .               .               .
1770-1779     20-24                   .               .               .
1770-1779     25-29                   .               .               .
1770-1779     30-34                   .               .               .
1770-1779     35-39                   .               .               .
1770-1779     40-44                   .               .               .
1770-1779     45-49                   .               .               .
1770-1779     50-54                   .               .               .
1770-1779     55-59                   .               .               .
1770-1779     60-64                   .               .               .
1770-1779     65-69            0.052485        0.058019        0.055072
1770-1779     70-74            0.075695        0.083684        0.079357
1770-1779     75-79            0.112932        0.123716        0.117745
1770-1779     80-84            0.157130        0.177814        0.165926
1770-1779     85-89            0.218944        0.242352        0.228207
1770-1779     90-94            0.295930        0.329645        0.308158
1770-1779     95-99            0.385429        0.433074        0.400504
1770-1779    100-104           0.543363        0.633572        0.566437
1770-1779    105-109           1.032743        2.473973        1.096786
1770-1779    110+                    .              .              .
1780-1789        0                    .               .               .
1780-1789      1-4                    .               .               .
1780-1789      5-9                    .               .               .
1780-1789     10-14                   .               .               .
1780-1789     15-19                   .               .               .
1780-1789     20-24                   .               .               .
1780-1789     25-29                   .               .               .
1780-1789     30-34                   .               .               .
1780-1789     35-39                   .               .               .
1780-1789     40-44                   .               .               .
1780-1789     45-49                   .               .               .
1780-1789     50-54                   .               .               .
1780-1789     55-59            0.025119        0.028592        0.026786
1780-1789     60-64            0.034360        0.038491        0.036316
1780-1789     65-69            0.048831        0.054894        0.051651
1780-1789     70-74            0.072298        0.080344        0.075969
1780-1789     75-79            0.110809        0.120932        0.115325
1780-1789     80-84            0.158703        0.179678        0.167638
1780-1789     85-89            0.222370        0.247909        0.232457
1780-1789     90-94            0.317181        0.350263        0.329099
1780-1789     95-99            0.411434        0.446812        0.422785
1780-1789    100-104           0.526949        0.604793        0.548068
1780-1789    105-109           1.095289        2.303150        1.181601
1780-1789    110+                    .              .              .
1790-1799        0                    .               .               .
1790-1799      1-4                    .               .               .
1790-1799      5-9                    .               .               .
1790-1799     10-14                   .               .               .
1790-1799     15-19                   .               .               .
1790-1799     20-24                   .               .               .
1790-1799     25-29                   .               .               .
1790-1799     30-34                   .               .               .
1790-1799     35-39                   .               .               .
1790-1799     40-44                   .               .               .
1790-1799     45-49            0.015374        0.017332        0.016334
1790-1799     50-54            0.018183        0.021045        0.019578
1790-1799     55-59            0.023503        0.026929        0.025158
