Belarus, Death rates (cohort 5x5), 	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1878-1879        0                    .               .               .
1878-1879      1-4                    .               .               .
1878-1879      5-9                    .               .               .
1878-1879     10-14                   .               .               .
1878-1879     15-19                   .               .               .
1878-1879     20-24                   .               .               .
1878-1879     25-29                   .               .               .
1878-1879     30-34                   .               .               .
1878-1879     35-39                   .               .               .
1878-1879     40-44                   .               .               .
1878-1879     45-49                   .               .               .
1878-1879     50-54                   .               .               .
1878-1879     55-59                   .               .               .
1878-1879     60-64                   .               .               .
1878-1879     65-69                   .               .               .
1878-1879     70-74                   .               .               .
1878-1879     75-79                   .               .               .
1878-1879     80-84                   .               .               .
1878-1879     85-89            0.127267        0.161538        0.136863
1878-1879     90-94            0.167668        0.219717        0.180071
1878-1879     95-99            0.208517        0.258767        0.218245
1878-1879    100-104           0.257785        0.327421        0.268788
1878-1879    105-109           0.294632        0.536099        0.313780
1878-1879    110+              0.592372        1.645768        0.604717
1880-1884        0                    .               .               .
1880-1884      1-4                    .               .               .
1880-1884      5-9                    .               .               .
1880-1884     10-14                   .               .               .
1880-1884     15-19                   .               .               .
1880-1884     20-24                   .               .               .
1880-1884     25-29                   .               .               .
1880-1884     30-34                   .               .               .
1880-1884     35-39                   .               .               .
1880-1884     40-44                   .               .               .
1880-1884     45-49                   .               .               .
1880-1884     50-54                   .               .               .
1880-1884     55-59                   .               .               .
1880-1884     60-64                   .               .               .
1880-1884     65-69                   .               .               .
1880-1884     70-74                   .               .               .
1880-1884     75-79                   .               .               .
1880-1884     80-84            0.080958        0.105610        0.088857
1880-1884     85-89            0.122652        0.154721        0.131964
1880-1884     90-94            0.165711        0.211185        0.177172
1880-1884     95-99            0.221714        0.284828        0.234616
1880-1884    100-104           0.266696        0.383192        0.283454
1880-1884    105-109           0.393236        0.563423        0.406045
1880-1884    110+              0.859618        2.582888        0.871853
1885-1889        0                    .               .               .
1885-1889      1-4                    .               .               .
1885-1889      5-9                    .               .               .
1885-1889     10-14                   .               .               .
1885-1889     15-19                   .               .               .
1885-1889     20-24                   .               .               .
1885-1889     25-29                   .               .               .
1885-1889     30-34                   .               .               .
1885-1889     35-39                   .               .               .
1885-1889     40-44                   .               .               .
1885-1889     45-49                   .               .               .
1885-1889     50-54                   .               .               .
1885-1889     55-59                   .               .               .
1885-1889     60-64                   .               .               .
1885-1889     65-69                   .               .               .
1885-1889     70-74                   .               .               .
1885-1889     75-79            0.050151        0.068302        0.055886
1885-1889     80-84            0.083745        0.112548        0.091810
1885-1889     85-89            0.125249        0.164777        0.135005
1885-1889     90-94            0.178814        0.232685        0.189989
1885-1889     95-99            0.246259        0.295659        0.254450
1885-1889    100-104           0.328467        0.421704        0.339740
1885-1889    105-109           0.650966        0.808349        0.662458
1885-1889    110+              1.657787              .        1.657787
1890-1894        0                    .               .               .
1890-1894      1-4                    .               .               .
1890-1894      5-9                    .               .               .
1890-1894     10-14                   .               .               .
1890-1894     15-19                   .               .               .
1890-1894     20-24                   .               .               .
1890-1894     25-29                   .               .               .
1890-1894     30-34                   .               .               .
1890-1894     35-39                   .               .               .
1890-1894     40-44                   .               .               .
1890-1894     45-49                   .               .               .
1890-1894     50-54                   .               .               .
1890-1894     55-59                   .               .               .
1890-1894     60-64                   .               .               .
1890-1894     65-69                   .               .               .
1890-1894     70-74            0.028895        0.045762        0.034894
1890-1894     75-79            0.048891        0.072025        0.056782
1890-1894     80-84            0.081920        0.115799        0.092341
1890-1894     85-89            0.125622        0.174593        0.138667
1890-1894     90-94            0.184228        0.247558        0.197746
1890-1894     95-99            0.259278        0.319633        0.269196
1890-1894    100-104           0.464723        0.541040        0.474210
1890-1894    105-109           0.643602        0.576087        0.636420
1890-1894    110+              1.347767        2.060440        1.425904
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69            0.018608        0.032068        0.023501
1895-1899     70-74            0.033137        0.051460        0.039623
1895-1899     75-79            0.055326        0.079290        0.063416
1895-1899     80-84            0.093425        0.127756        0.103908
1895-1899     85-89            0.144678        0.191551        0.157026
1895-1899     90-94            0.205459        0.264901        0.218323
1895-1899     95-99            0.288440        0.343721        0.297704
1895-1899    100-104           0.465067        0.413744        0.456989
1895-1899    105-109           0.567067        0.635113        0.579617
1895-1899    110+              1.315589              .        1.315589
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64            0.010844        0.021831        0.014749
1900-1904     65-69            0.017586        0.033470        0.023100
1900-1904     70-74            0.030463        0.052250        0.037630
1900-1904     75-79            0.051347        0.082727        0.060812
1900-1904     80-84            0.096816        0.129836        0.106174
1900-1904     85-89            0.151416        0.191820        0.161410
1900-1904     90-94            0.237169        0.281256        0.246400
1900-1904     95-99            0.325931        0.352725        0.330752
1900-1904    100-104           0.467756        0.456661        0.465801
1900-1904    105-109           0.655976        0.700493        0.663392
1900-1904    110+              2.374332              .        2.374332
