Switzerland, Death rates (cohort 5x5), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1805-1809        0                    .               .               .
1805-1809      1-4                    .               .               .
1805-1809      5-9                    .               .               .
1805-1809     10-14                   .               .               .
1805-1809     15-19                   .               .               .
1805-1809     20-24                   .               .               .
1805-1809     25-29                   .               .               .
1805-1809     30-34                   .               .               .
1805-1809     35-39                   .               .               .
1805-1809     40-44                   .               .               .
1805-1809     45-49                   .               .               .
1805-1809     50-54                   .               .               .
1805-1809     55-59                   .               .               .
1805-1809     60-64                   .               .               .
1805-1809     65-69                   .               .               .
1805-1809     70-74            0.103576        0.103867        0.103715
1805-1809     75-79            0.144805        0.149464        0.147021
1805-1809     80-84            0.212888        0.221815        0.216998
1805-1809     85-89            0.294577        0.307149        0.300224
1805-1809     90-94            0.370626        0.424929        0.392550
1805-1809     95-99            0.516554        0.658957        0.562767
1805-1809    100-104           1.600273        3.000000        1.667532
1805-1809    105-109                 .              .              .
1805-1809    110+                    .              .              .
1810-1814        0                    .               .               .
1810-1814      1-4                    .               .               .
1810-1814      5-9                    .               .               .
1810-1814     10-14                   .               .               .
1810-1814     15-19                   .               .               .
1810-1814     20-24                   .               .               .
1810-1814     25-29                   .               .               .
1810-1814     30-34                   .               .               .
1810-1814     35-39                   .               .               .
1810-1814     40-44                   .               .               .
1810-1814     45-49                   .               .               .
1810-1814     50-54                   .               .               .
1810-1814     55-59                   .               .               .
1810-1814     60-64                   .               .               .
1810-1814     65-69            0.065116        0.065864        0.065474
1810-1814     70-74            0.094186        0.095829        0.094962
1810-1814     75-79            0.146222        0.152596        0.149193
1810-1814     80-84            0.206475        0.209911        0.208059
1810-1814     85-89            0.277980        0.298072        0.287074
1810-1814     90-94            0.415340        0.408835        0.412529
1810-1814     95-99            0.564513        0.559122        0.562081
1810-1814    100-104           1.164740        3.000000        1.384224
1810-1814    105-109                 .              .              .
1810-1814    110+                    .              .              .
1815-1819        0                    .               .               .
1815-1819      1-4                    .               .               .
1815-1819      5-9                    .               .               .
1815-1819     10-14                   .               .               .
1815-1819     15-19                   .               .               .
1815-1819     20-24                   .               .               .
1815-1819     25-29                   .               .               .
1815-1819     30-34                   .               .               .
1815-1819     35-39                   .               .               .
1815-1819     40-44                   .               .               .
1815-1819     45-49                   .               .               .
1815-1819     50-54                   .               .               .
1815-1819     55-59                   .               .               .
1815-1819     60-64            0.039832        0.044213        0.041903
1815-1819     65-69            0.059047        0.062227        0.060536
1815-1819     70-74            0.091593        0.095644        0.093482
1815-1819     75-79            0.136557        0.142157        0.139142
1815-1819     80-84            0.194001        0.201819        0.197547
1815-1819     85-89            0.274266        0.296825        0.284172
1815-1819     90-94            0.390357        0.410628        0.398568
1815-1819     95-99            0.515990        0.622163        0.552751
1815-1819    100-104           1.242086        3.000000        1.293976
1815-1819    105-109                 .              .              .
1815-1819    110+                    .              .              .
1820-1824        0                    .               .               .
1820-1824      1-4                    .               .               .
1820-1824      5-9                    .               .               .
1820-1824     10-14                   .               .               .
1820-1824     15-19                   .               .               .
1820-1824     20-24                   .               .               .
1820-1824     25-29                   .               .               .
1820-1824     30-34                   .               .               .
1820-1824     35-39                   .               .               .
1820-1824     40-44                   .               .               .
1820-1824     45-49                   .               .               .
1820-1824     50-54                   .               .               .
1820-1824     55-59            0.026935        0.033109        0.029868
1820-1824     60-64            0.040171        0.043851        0.041895
1820-1824     65-69            0.061919        0.063779        0.062783
1820-1824     70-74            0.092719        0.093311        0.092993
1820-1824     75-79            0.135283        0.138917        0.136952
1820-1824     80-84            0.190490        0.207397        0.198015
1820-1824     85-89            0.272466        0.296407        0.282527
1820-1824     90-94            0.373033        0.428205        0.393569
1820-1824     95-99            0.544718        0.615262        0.565654
1820-1824    100-104           1.761813        1.482916        1.678862
1820-1824    105-109                 .              .              .
1820-1824    110+                    .              .              .
1825-1829        0                    .               .               .
1825-1829      1-4                    .               .               .
1825-1829      5-9                    .               .               .
1825-1829     10-14                   .               .               .
1825-1829     15-19                   .               .               .
1825-1829     20-24                   .               .               .
1825-1829     25-29                   .               .               .
1825-1829     30-34                   .               .               .
1825-1829     35-39                   .               .               .
1825-1829     40-44                   .               .               .
1825-1829     45-49                   .               .               .
1825-1829     50-54            0.017916        0.023739        0.020701
1825-1829     55-59            0.024783        0.030105        0.027294
1825-1829     60-64            0.038781        0.042657        0.040586
1825-1829     65-69            0.057851        0.061568        0.059567
1825-1829     70-74            0.085369        0.089484        0.087254
1825-1829     75-79            0.129095        0.135150        0.131838
1825-1829     80-84            0.189665        0.203477        0.195729
