Netherlands, Death rates (cohort 5x5), 	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1780-1784        0                    .               .               .
1780-1784      1-4                    .               .               .
1780-1784      5-9                    .               .               .
1780-1784     10-14                   .               .               .
1780-1784     15-19                   .               .               .
1780-1784     20-24                   .               .               .
1780-1784     25-29                   .               .               .
1780-1784     30-34                   .               .               .
1780-1784     35-39                   .               .               .
1780-1784     40-44                   .               .               .
1780-1784     45-49                   .               .               .
1780-1784     50-54                   .               .               .
1780-1784     55-59                   .               .               .
1780-1784     60-64                   .               .               .
1780-1784     65-69                   .               .               .
1780-1784     70-74            0.086503        0.091024        0.088485
1780-1784     75-79            0.134945        0.130601        0.133019
1780-1784     80-84            0.178389        0.187761        0.182360
1780-1784     85-89            0.261264        0.275034        0.266943
1780-1784     90-94            0.380898        0.369143        0.376176
1780-1784     95-99            0.507757        0.615385        0.550552
1780-1784    100-104           0.857143        3.000000        1.043478
1780-1784    105-109                 .              .              .
1780-1784    110+                    .              .              .
1785-1789        0                    .               .               .
1785-1789      1-4                    .               .               .
1785-1789      5-9                    .               .               .
1785-1789     10-14                   .               .               .
1785-1789     15-19                   .               .               .
1785-1789     20-24                   .               .               .
1785-1789     25-29                   .               .               .
1785-1789     30-34                   .               .               .
1785-1789     35-39                   .               .               .
1785-1789     40-44                   .               .               .
1785-1789     45-49                   .               .               .
1785-1789     50-54                   .               .               .
1785-1789     55-59                   .               .               .
1785-1789     60-64                   .               .               .
1785-1789     65-69            0.056367        0.061635        0.058686
1785-1789     70-74            0.090727        0.092289        0.091408
1785-1789     75-79            0.127409        0.127491        0.127444
1785-1789     80-84            0.183857        0.193604        0.187893
1785-1789     85-89            0.253533        0.276773        0.262819
1785-1789     90-94            0.347247        0.372489        0.356273
1785-1789     95-99            0.481640        0.544964        0.502027
1785-1789    100-104           1.285714        0.642857        0.964286
1785-1789    105-109                 .        0.000000        0.000000
1785-1789    110+                    .        2.040816        2.040816
1790-1794        0                    .               .               .
1790-1794      1-4                    .               .               .
1790-1794      5-9                    .               .               .
1790-1794     10-14                   .               .               .
1790-1794     15-19                   .               .               .
1790-1794     20-24                   .               .               .
1790-1794     25-29                   .               .               .
1790-1794     30-34                   .               .               .
1790-1794     35-39                   .               .               .
1790-1794     40-44                   .               .               .
1790-1794     45-49                   .               .               .
1790-1794     50-54                   .               .               .
1790-1794     55-59                   .               .               .
1790-1794     60-64            0.037294        0.042644        0.039706
1790-1794     65-69            0.057662        0.063024        0.060038
1790-1794     70-74            0.079351        0.083982        0.081364
1790-1794     75-79            0.124017        0.124744        0.124328
1790-1794     80-84            0.173626        0.183338        0.177626
1790-1794     85-89            0.253970        0.262998        0.257586
1790-1794     90-94            0.346760        0.378358        0.358439
1790-1794     95-99            0.492873        0.509434        0.498516
1790-1794    100-104           0.735849        2.250000        1.015385
1790-1794    105-109           3.000000              .        3.000000
1790-1794    110+                    .              .              .
1795-1799        0                    .               .               .
1795-1799      1-4                    .               .               .
1795-1799      5-9                    .               .               .
1795-1799     10-14                   .               .               .
1795-1799     15-19                   .               .               .
1795-1799     20-24                   .               .               .
1795-1799     25-29                   .               .               .
1795-1799     30-34                   .               .               .
1795-1799     35-39                   .               .               .
1795-1799     40-44                   .               .               .
1795-1799     45-49                   .               .               .
1795-1799     50-54                   .               .               .
1795-1799     55-59            0.024704        0.030507        0.027450
1795-1799     60-64            0.037162        0.044434        0.040550
1795-1799     65-69            0.052332        0.055778        0.053918
1795-1799     70-74            0.081425        0.085321        0.083201
1795-1799     75-79            0.120101        0.126127        0.122804
1795-1799     80-84            0.171938        0.184368        0.177332
1795-1799     85-89            0.249608        0.254486        0.251670
