New Zealand, Death rates (cohort 5x5), 	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1867-1869        0                    .               .               .
1867-1869      1-4                    .               .               .
1867-1869      5-9                    .               .               .
1867-1869     10-14                   .               .               .
1867-1869     15-19                   .               .               .
1867-1869     20-24                   .               .               .
1867-1869     25-29                   .               .               .
1867-1869     30-34                   .               .               .
1867-1869     35-39                   .               .               .
1867-1869     40-44                   .               .               .
1867-1869     45-49                   .               .               .
1867-1869     50-54                   .               .               .
1867-1869     55-59                   .               .               .
1867-1869     60-64                   .               .               .
1867-1869     65-69                   .               .               .
1867-1869     70-74                   .               .               .
1867-1869     75-79                   .               .               .
1867-1869     80-84                   .               .               .
1867-1869     85-89            0.169150        0.200199        0.181936
1867-1869     90-94            0.238284        0.302633        0.261861
1867-1869     95-99            0.404259        0.436549        0.413375
1867-1869    100-104           0.430515        0.537560        0.460130
1867-1869    105-109           0.317829              .        0.317829
1867-1869    110+              2.054795              .        2.054795
1870-1874        0                    .               .               .
1870-1874      1-4                    .               .               .
1870-1874      5-9                    .               .               .
1870-1874     10-14                   .               .               .
1870-1874     15-19                   .               .               .
1870-1874     20-24                   .               .               .
1870-1874     25-29                   .               .               .
1870-1874     30-34                   .               .               .
1870-1874     35-39                   .               .               .
1870-1874     40-44                   .               .               .
1870-1874     45-49                   .               .               .
1870-1874     50-54                   .               .               .
1870-1874     55-59                   .               .               .
1870-1874     60-64                   .               .               .
1870-1874     65-69                   .               .               .
1870-1874     70-74                   .               .               .
1870-1874     75-79            0.078091        0.098253        0.087611
1870-1874     80-84            0.105256        0.129475        0.116092
1870-1874     85-89            0.173582        0.211880        0.189270
1870-1874     90-94            0.255859        0.294350        0.269719
1870-1874     95-99            0.370819        0.433363        0.390194
1870-1874    100-104           0.478498        0.694054        0.523999
1870-1874    105-109           0.351307              .        0.351307
1870-1874    110+              0.375000              .        0.375000
1875-1879        0                    .               .               .
1875-1879      1-4                    .               .               .
1875-1879      5-9                    .               .               .
1875-1879     10-14                   .               .               .
1875-1879     15-19                   .               .               .
1875-1879     20-24                   .               .               .
1875-1879     25-29                   .               .               .
1875-1879     30-34                   .               .               .
1875-1879     35-39                   .               .               .
1875-1879     40-44                   .               .               .
1875-1879     45-49                   .               .               .
1875-1879     50-54                   .               .               .
1875-1879     55-59                   .               .               .
1875-1879     60-64                   .               .               .
1875-1879     65-69                   .               .               .
1875-1879     70-74            0.046799        0.065171        0.055613
1875-1879     75-79            0.069543        0.091974        0.079943
1875-1879     80-84            0.105134        0.135211        0.117946
1875-1879     85-89            0.171569        0.214423        0.187958
1875-1879     90-94            0.244519        0.289344        0.259300
1875-1879     95-99            0.350582        0.422133        0.370328
1875-1879    100-104           0.481670        0.637118        0.511313
1875-1879    105-109           0.554348              .        0.554348
1875-1879    110+                    .              .              .
1880-1884        0                    .               .               .
1880-1884      1-4                    .               .               .
1880-1884      5-9                    .               .               .
1880-1884     10-14                   .               .               .
1880-1884     15-19                   .               .               .
1880-1884     20-24                   .               .               .
1880-1884     25-29                   .               .               .
1880-1884     30-34                   .               .               .
1880-1884     35-39                   .               .               .
1880-1884     40-44                   .               .               .
1880-1884     45-49                   .               .               .
1880-1884     50-54                   .               .               .
1880-1884     55-59                   .               .               .
1880-1884     60-64                   .               .               .
1880-1884     65-69            0.028009        0.041922        0.034800
1880-1884     70-74            0.039688        0.058137        0.048375
1880-1884     75-79            0.067304        0.094196        0.079285
1880-1884     80-84            0.101674        0.136380        0.115938
1880-1884     85-89            0.166237        0.212636        0.183055
1880-1884     90-94            0.238206        0.293407        0.255105
1880-1884     95-99            0.326920        0.388246        0.341978
1880-1884    100-104           0.435568        0.626343        0.466861
1880-1884    105-109           0.522270        0.434794        0.512873
1880-1884    110+                    .        1.500000        1.500000
1885-1889        0                    .               .               .
1885-1889      1-4                    .               .               .
1885-1889      5-9                    .               .               .
1885-1889     10-14                   .               .               .
1885-1889     15-19                   .               .               .
1885-1889     20-24                   .               .               .
1885-1889     25-29                   .               .               .
1885-1889     30-34                   .               .               .
1885-1889     35-39                   .               .               .
1885-1889     40-44                   .               .               .
1885-1889     45-49                   .               .               .
1885-1889     50-54                   .               .               .
1885-1889     55-59                   .               .               .
1885-1889     60-64            0.017830        0.027010        0.022319
1885-1889     65-69            0.023958        0.038211        0.030689
1885-1889     70-74            0.037378        0.059398        0.047263
1885-1889     75-79            0.063453        0.096174        0.077174
1885-1889     80-84            0.098243        0.137224        0.112900
1885-1889     85-89            0.152479        0.207195        0.170201
1885-1889     90-94            0.216950        0.279652        0.233421
1885-1889     95-99            0.313825        0.376624        0.326624
1885-1889    100-104           0.412650        0.503888        0.425310
1885-1889    105-109           0.590049        0.559716        0.585349
1885-1889    110+              3.000000              .        3.000000
1890-1894        0                    .               .               .
1890-1894      1-4                    .               .               .
1890-1894      5-9                    .               .               .
1890-1894     10-14                   .               .               .
1890-1894     15-19                   .               .               .
1890-1894     20-24                   .               .               .
1890-1894     25-29                   .               .               .
1890-1894     30-34                   .               .               .
1890-1894     35-39                   .               .               .
1890-1894     40-44                   .               .               .
1890-1894     45-49                   .               .               .
1890-1894     50-54                   .               .               .
1890-1894     55-59            0.011818        0.017083        0.014347
1890-1894     60-64            0.014847        0.024202        0.019263
1890-1894     65-69            0.022233        0.038506        0.029583
