Slovenia, Death rates (cohort 5x5), 	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69                   .               .               .
1905-1909     70-74                   .               .               .
1905-1909     75-79            0.070748        0.110009        0.084663
1905-1909     80-84            0.099382        0.141441        0.112486
1905-1909     85-89            0.158985        0.201127        0.170278
1905-1909     90-94            0.233816        0.297579        0.247866
1905-1909     95-99            0.351176        0.401871        0.359839
1905-1909    100-104           0.443703        0.560578        0.457945
1905-1909    105-109           0.949974        1.591603        0.971259
1905-1909    110+                    .              .              .
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64                   .               .               .
1910-1914     65-69                   .               .               .
1910-1914     70-74            0.037417        0.066840        0.048724
1910-1914     75-79            0.054064        0.087389        0.065847
1910-1914     80-84            0.090241        0.128426        0.102129
1910-1914     85-89            0.142985        0.185796        0.154581
1910-1914     90-94            0.221168        0.277147        0.233744
1910-1914     95-99            0.345549        0.387119        0.353117
1910-1914    100-104           0.598391        0.655533        0.606430
1910-1914    105-109                  .               .               .
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59                   .               .               .
1915-1919     60-64                   .               .               .
1915-1919     65-69            0.021426        0.044238        0.030318
1915-1919     70-74            0.030819        0.056486        0.040226
1915-1919     75-79            0.048959        0.081080        0.059647
1915-1919     80-84            0.078504        0.120069        0.090831
1915-1919     85-89            0.128350        0.172205        0.139433
1915-1919     90-94            0.211165        0.256189        0.220671
1915-1919     95-99            0.344625        0.371916        0.349486
1915-1919    100-104                  .               .               .
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54                   .               .               .
1920-1924     55-59                   .               .               .
1920-1924     60-64            0.012549        0.030117        0.019349
1920-1924     65-69            0.016939        0.037588        0.024515
1920-1924     70-74            0.026824        0.051958        0.035379
1920-1924     75-79            0.041239        0.073374        0.051155
1920-1924     80-84            0.070798        0.107461        0.080795
1920-1924     85-89            0.119725        0.154568        0.128003
1920-1924     90-94            0.201648        0.242022        0.209980
1920-1924     95-99                   .               .               .
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49                   .               .               .
1925-1929     50-54                   .               .               .
1925-1929     55-59            0.008064        0.021981        0.014274
1925-1929     60-64            0.010283        0.025796        0.016846
1925-1929     65-69            0.015061        0.035769        0.023348
1925-1929     70-74            0.023225        0.048573        0.032679
1925-1929     75-79            0.036254        0.066888        0.046701
1925-1929     80-84            0.059778        0.093982        0.070212
1925-1929     85-89            0.106494        0.143727        0.116507
1925-1929     90-94                   .               .               .
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44                   .               .               .
1930-1934     45-49                   .               .               .
1930-1934     50-54            0.005622        0.014407        0.009862
1930-1934     55-59            0.006652        0.018172        0.012084
1930-1934     60-64            0.009556        0.024930        0.016522
1930-1934     65-69            0.013563        0.032809        0.021853
1930-1934     70-74            0.019919        0.042559        0.029098
1930-1934     75-79            0.030835        0.056381        0.040466
1930-1934     80-84            0.053883        0.085211        0.064691
1930-1934     85-89                   .               .               .
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39                   .               .               .
1935-1939     40-44                   .               .               .
1935-1939     45-49            0.003525        0.008598        0.006087
1935-1939     50-54            0.004405        0.010822        0.007607
1935-1939     55-59            0.005849        0.014865        0.010237
1935-1939     60-64            0.008033        0.020560        0.013943
1935-1939     65-69            0.010760        0.025882        0.017641
1935-1939     70-74            0.015468        0.033759        0.023422
1935-1939     75-79            0.025740        0.046265        0.034170
1935-1939     80-84                   .               .               .
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34                   .               .               .
1940-1944     35-39                   .               .               .
1940-1944     40-44            0.002064        0.005100        0.003614
1940-1944     45-49            0.002809        0.006525        0.004694
1940-1944     50-54            0.004174        0.009564        0.006865
1940-1944     55-59            0.005418        0.013246        0.009257
1940-1944     60-64            0.006894        0.017332        0.011893
1940-1944     65-69            0.009383        0.021247        0.014896
1940-1944     70-74            0.014120        0.029631        0.021059
1940-1944     75-79                   .               .               .
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29                   .               .               .
1945-1949     30-34                   .               .               .
1945-1949     35-39            0.001297        0.003233        0.002297
1945-1949     40-44            0.001678        0.004138        0.002942
1945-1949     45-49            0.002769        0.006081        0.004460
1945-1949     50-54            0.003807        0.008566        0.006217
1945-1949     55-59            0.004725        0.011578        0.008149
1945-1949     60-64            0.005817        0.014535        0.010082
1945-1949     65-69            0.008593        0.018793        0.013451
1945-1949     70-74                   .               .               .
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24                   .               .               .
1950-1954     25-29                   .               .               .
1950-1954     30-34            0.000761        0.002457        0.001636
1950-1954     35-39            0.001008        0.002822        0.001943
1950-1954     40-44            0.001679        0.004059        0.002907
1950-1954     45-49            0.002485        0.005593        0.004097
1950-1954     50-54            0.003430        0.007736        0.005649
1950-1954     55-59            0.004229        0.009939        0.007139
1950-1954     60-64            0.006007        0.013212        0.009610
1950-1954     65-69                   .               .               .
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
