Denmark, Exposure to risk (cohort 1x10), 	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1764-1769        0                    .               .               .
1764-1769        1                    .               .               .
1764-1769        2                    .               .               .
1764-1769        3                    .               .               .
1764-1769        4                    .               .               .
1764-1769        5                    .               .               .
1764-1769        6                    .               .               .
1764-1769        7                    .               .               .
1764-1769        8                    .               .               .
1764-1769        9                    .               .               .
1764-1769       10                    .               .               .
1764-1769       11                    .               .               .
1764-1769       12                    .               .               .
1764-1769       13                    .               .               .
1764-1769       14                    .               .               .
1764-1769       15                    .               .               .
1764-1769       16                    .               .               .
1764-1769       17                    .               .               .
1764-1769       18                    .               .               .
1764-1769       19                    .               .               .
1764-1769       20                    .               .               .
1764-1769       21                    .               .               .
1764-1769       22                    .               .               .
1764-1769       23                    .               .               .
1764-1769       24                    .               .               .
1764-1769       25                    .               .               .
1764-1769       26                    .               .               .
1764-1769       27                    .               .               .
1764-1769       28                    .               .               .
1764-1769       29                    .               .               .
1764-1769       30                    .               .               .
1764-1769       31                    .               .               .
1764-1769       32                    .               .               .
1764-1769       33                    .               .               .
1764-1769       34                    .               .               .
1764-1769       35                    .               .               .
1764-1769       36                    .               .               .
1764-1769       37                    .               .               .
1764-1769       38                    .               .               .
1764-1769       39                    .               .               .
1764-1769       40                    .               .               .
1764-1769       41                    .               .               .
1764-1769       42                    .               .               .
1764-1769       43                    .               .               .
1764-1769       44                    .               .               .
1764-1769       45                    .               .               .
1764-1769       46                    .               .               .
1764-1769       47                    .               .               .
1764-1769       48                    .               .               .
1764-1769       49                    .               .               .
1764-1769       50                    .               .               .
1764-1769       51                    .               .               .
1764-1769       52                    .               .               .
1764-1769       53                    .               .               .
1764-1769       54                    .               .               .
1764-1769       55                    .               .               .
1764-1769       56                    .               .               .
1764-1769       57                    .               .               .
1764-1769       58                    .               .               .
1764-1769       59                    .               .               .
1764-1769       60                    .               .               .
1764-1769       61                    .               .               .
1764-1769       62                    .               .               .
1764-1769       63                    .               .               .
1764-1769       64                    .               .               .
1764-1769       65                    .               .               .
1764-1769       66                    .               .               .
1764-1769       67              6214.44         5217.17        11431.61
1764-1769       68              8882.15         7364.57        16246.72
1764-1769       69             11221.47         9198.31        20419.79
1764-1769       70             13186.18        10705.80        23891.98
1764-1769       71             14700.17        11867.88        26568.06
1764-1769       72             13625.23        10927.40        24552.63
1764-1769       73             12574.03         9986.51        22560.53
1764-1769       74             11584.78         9070.79        20655.57
1764-1769       75             10654.29         8197.54        18851.82
1764-1769       76              9692.10         7355.84        17047.94
1764-1769       77              8745.11         6545.79        15290.90
1764-1769       78              7817.62         5768.79        13586.41
1764-1769       79              6920.57         5031.72        11952.29
1764-1769       80              6445.82         4437.46        10883.27
1764-1769       81              5569.51         3754.17         9323.68
1764-1769       82              4743.83         3127.48         7871.31
1764-1769       83              3983.21         2562.35         6545.57
1764-1769       84              3291.89         2064.46         5356.34
1764-1769       85              2677.59         1639.96         4317.55
1764-1769       86              2133.34         1273.84         3407.18
1764-1769       87              1662.12          962.02         2624.14
1764-1769       88              1267.52          707.79         1975.32
1764-1769       89               955.74          513.69         1469.43
1764-1769       90               713.55          369.77         1083.32
1764-1769       91               524.85          258.30          783.15
1764-1769       92               382.34          174.56          556.90
1764-1769       93               277.97          115.67          393.64
1764-1769       94               202.29           77.03          279.32
1764-1769       95               145.35           51.75          197.10
1764-1769       96               101.23           33.50          134.73
1764-1769       97                65.77           20.17           85.94
1764-1769       98                36.42           10.71           47.13
1764-1769       99                14.69            4.35           19.04
1764-1769      100                 3.14            0.97            4.11
1764-1769      101                 0.17            0.00            0.17
1764-1769      102                 0.00            0.00            0.00
1764-1769      103                 0.00            0.00            0.00
1764-1769      104                 0.00            0.00            0.00
