Portugal, Exposure to risk (cohort 1x10), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1860-1869        0                    .               .               .
1860-1869        1                    .               .               .
1860-1869        2                    .               .               .
1860-1869        3                    .               .               .
1860-1869        4                    .               .               .
1860-1869        5                    .               .               .
1860-1869        6                    .               .               .
1860-1869        7                    .               .               .
1860-1869        8                    .               .               .
1860-1869        9                    .               .               .
1860-1869       10                    .               .               .
1860-1869       11                    .               .               .
1860-1869       12                    .               .               .
1860-1869       13                    .               .               .
1860-1869       14                    .               .               .
1860-1869       15                    .               .               .
1860-1869       16                    .               .               .
1860-1869       17                    .               .               .
1860-1869       18                    .               .               .
1860-1869       19                    .               .               .
1860-1869       20                    .               .               .
1860-1869       21                    .               .               .
1860-1869       22                    .               .               .
1860-1869       23                    .               .               .
1860-1869       24                    .               .               .
1860-1869       25                    .               .               .
1860-1869       26                    .               .               .
1860-1869       27                    .               .               .
1860-1869       28                    .               .               .
1860-1869       29                    .               .               .
1860-1869       30                    .               .               .
1860-1869       31                    .               .               .
1860-1869       32                    .               .               .
1860-1869       33                    .               .               .
1860-1869       34                    .               .               .
1860-1869       35                    .               .               .
1860-1869       36                    .               .               .
1860-1869       37                    .               .               .
1860-1869       38                    .               .               .
1860-1869       39                    .               .               .
1860-1869       40                    .               .               .
1860-1869       41                    .               .               .
1860-1869       42                    .               .               .
1860-1869       43                    .               .               .
1860-1869       44                    .               .               .
1860-1869       45                    .               .               .
1860-1869       46                    .               .               .
1860-1869       47                    .               .               .
1860-1869       48                    .               .               .
1860-1869       49                    .               .               .
1860-1869       50                    .               .               .
1860-1869       51                    .               .               .
1860-1869       52                    .               .               .
1860-1869       53                    .               .               .
1860-1869       54                    .               .               .
1860-1869       55                    .               .               .
1860-1869       56                    .               .               .
1860-1869       57                    .               .               .
1860-1869       58                    .               .               .
1860-1869       59                    .               .               .
1860-1869       60                    .               .               .
1860-1869       61                    .               .               .
1860-1869       62                    .               .               .
1860-1869       63                    .               .               .
1860-1869       64                    .               .               .
1860-1869       65                    .               .               .
1860-1869       66                    .               .               .
1860-1869       67                    .               .               .
1860-1869       68                    .               .               .
1860-1869       69                    .               .               .
1860-1869       70                    .               .               .
1860-1869       71                    .               .               .
1860-1869       72             26282.79        18700.96        44983.75
1860-1869       73             37752.40        26629.55        64381.95
1860-1869       74             47986.66        33362.12        81348.78
1860-1869       75             60586.97        39823.77       100410.74
1860-1869       76             67370.65        43108.40       110479.05
1860-1869       77             72032.65        45160.84       117193.49
1860-1869       78             76569.62        46075.75       122645.37
1860-1869       79             75714.39        44612.75       120327.14
1860-1869       80             82501.14        43470.68       125971.82
1860-1869       81             72821.60        37224.98       110046.57
1860-1869       82             65273.22        32107.40        97380.62
1860-1869       83             57262.42        26972.84        84235.26
1860-1869       84             49670.93        22205.65        71876.58
1860-1869       85             41913.29        17808.09        59721.38
1860-1869       86             34783.11        14150.40        48933.51
1860-1869       87             28614.31        11048.42        39662.73
1860-1869       88             22984.21         8322.59        31306.81
1860-1869       89             18229.73         6192.02        24421.75
1860-1869       90             14110.09         4542.80        18652.89
1860-1869       91             10726.24         3274.45        14000.69
1860-1869       92              8198.26         2350.79        10549.06
1860-1869       93              6048.48         1587.52         7636.01
1860-1869       94              4370.46         1027.27         5397.73
1860-1869       95              3052.91          667.18         3720.09
1860-1869       96              2075.91          421.95         2497.86
1860-1869       97              1365.96          259.19         1625.15
1860-1869       98               864.88          158.51         1023.39
1860-1869       99               546.02           93.69          639.71
1860-1869      100               336.52           50.11          386.63
1860-1869      101               194.19           29.10          223.29
1860-1869      102               116.40           17.72          134.12
1860-1869      103                73.05            9.95           82.99
1860-1869      104                47.70            3.89           51.60
1860-1869      105                29.26            0.00           29.26
1860-1869      106                18.48            0.00           18.48
1860-1869      107                11.62            0.00           11.62
1860-1869      108                 6.99            0.00            6.99
1860-1869      109                 4.48            0.00            4.48
1860-1869      110+                8.47            0.00            8.47
1870-1879        0                    .               .               .
1870-1879        1                    .               .               .
1870-1879        2                    .               .               .
1870-1879        3                    .               .               .
1870-1879        4                    .               .               .
1870-1879        5                    .               .               .
1870-1879        6                    .               .               .
1870-1879        7                    .               .               .
1870-1879        8                    .               .               .
1870-1879        9                    .               .               .
1870-1879       10                    .               .               .
1870-1879       11                    .               .               .
1870-1879       12                    .               .               .
1870-1879       13                    .               .               .
1870-1879       14                    .               .               .
1870-1879       15                    .               .               .
1870-1879       16                    .               .               .
1870-1879       17                    .               .               .
1870-1879       18                    .               .               .
1870-1879       19                    .               .               .
1870-1879       20                    .               .               .
1870-1879       21                    .               .               .
1870-1879       22                    .               .               .
1870-1879       23                    .               .               .
1870-1879       24                    .               .               .
1870-1879       25                    .               .               .
1870-1879       26                    .               .               .
1870-1879       27                    .               .               .
1870-1879       28                    .               .               .
1870-1879       29                    .               .               .
1870-1879       30                    .               .               .
1870-1879       31                    .               .               .
1870-1879       32                    .               .               .
1870-1879       33                    .               .               .
1870-1879       34                    .               .               .
1870-1879       35                    .               .               .
1870-1879       36                    .               .               .
1870-1879       37                    .               .               .
1870-1879       38                    .               .               .
1870-1879       39                    .               .               .
1870-1879       40                    .               .               .
1870-1879       41                    .               .               .
1870-1879       42                    .               .               .
1870-1879       43                    .               .               .
1870-1879       44                    .               .               .
1870-1879       45                    .               .               .
1870-1879       46                    .               .               .
1870-1879       47                    .               .               .
1870-1879       48                    .               .               .
1870-1879       49                    .               .               .
1870-1879       50                    .               .               .
1870-1879       51                    .               .               .
1870-1879       52                    .               .               .
1870-1879       53                    .               .               .
1870-1879       54                    .               .               .
1870-1879       55                    .               .               .
1870-1879       56                    .               .               .
1870-1879       57                    .               .               .
1870-1879       58                    .               .               .
1870-1879       59                    .               .               .
1870-1879       60                    .               .               .
1870-1879       61                    .               .               .
1870-1879       62             47540.12        38086.23        85626.35
1870-1879       63             73426.21        58614.71       132040.92
1870-1879       64             96934.56        76190.35       173124.92
1870-1879       65            124358.24        94243.37       218601.61
1870-1879       66            145046.54       109108.30       254154.84
1870-1879       67            160618.31       119262.28       279880.59
1870-1879       68            177953.08       129546.63       307499.71
1870-1879       69            186096.90       134230.27       320327.17
1870-1879       70            208728.09       146103.43       354831.52
1870-1879       71            198327.28       137141.68       335468.96
1870-1879       72            189285.21       128726.90       318012.11
1870-1879       73            178915.74       119397.59       298313.32
1870-1879       74            168895.69       110480.97       279376.65
1870-1879       75            157939.80       101295.16       259234.96
1870-1879       76            146720.34        92265.64       238985.98
1870-1879       77            136089.35        83526.82       219616.17
1870-1879       78            124841.65        74442.86       199284.51
1870-1879       79            113962.71        65959.50       179922.21
1870-1879       80            113770.93        60307.24       174078.17
1870-1879       81            101850.37        52348.00       154198.37
1870-1879       82             90840.00        44983.90       135823.90
1870-1879       83             79648.53        37805.17       117453.70
1870-1879       84             68915.30        31255.91       100171.21
1870-1879       85             58391.33        25269.44        83660.77
1870-1879       86             48621.10        20090.05        68711.15
1870-1879       87             40026.49        15819.73        55846.22
1870-1879       88             32407.79        12176.58        44584.37
1870-1879       89             25608.20         9135.78        34743.98
1870-1879       90             19906.04         6703.57        26609.61
1870-1879       91             15352.29         4805.71        20158.01
1870-1879       92             11589.10         3380.71        14969.81
1870-1879       93              8535.84         2349.11        10884.95
1870-1879       94              6169.32         1622.51         7791.83
1870-1879       95              4333.82         1077.08         5410.90
1870-1879       96              2967.30          692.94         3660.24
1870-1879       97              1944.51          447.40         2391.91
1870-1879       98              1209.77          283.90         1493.67
1870-1879       99               710.86          172.59          883.44
1870-1879      100               403.71          110.28          513.99
1870-1879      101               245.99           72.00          317.99
1870-1879      102               155.86           44.07          199.93
1870-1879      103                91.26           24.13          115.40
1870-1879      104                49.30           13.42           62.72
1870-1879      105                25.30            6.81           32.11
1870-1879      106                11.12            3.24           14.36
1870-1879      107                 3.70            1.68            5.38
1870-1879      108                 0.49            0.68            1.17
1870-1879      109                 0.00            0.10            0.10
1870-1879      110+                0.00            0.00            0.00
1880-1889        0                    .               .               .
1880-1889        1                    .               .               .
1880-1889        2                    .               .               .
1880-1889        3                    .               .               .
1880-1889        4                    .               .               .
1880-1889        5                    .               .               .
1880-1889        6                    .               .               .
1880-1889        7                    .               .               .
1880-1889        8                    .               .               .
1880-1889        9                    .               .               .
1880-1889       10                    .               .               .
1880-1889       11                    .               .               .
1880-1889       12                    .               .               .
1880-1889       13                    .               .               .
1880-1889       14                    .               .               .
1880-1889       15                    .               .               .
1880-1889       16                    .               .               .
1880-1889       17                    .               .               .
1880-1889       18                    .               .               .
1880-1889       19                    .               .               .
1880-1889       20                    .               .               .
1880-1889       21                    .               .               .
1880-1889       22                    .               .               .
1880-1889       23                    .               .               .
1880-1889       24                    .               .               .
1880-1889       25                    .               .               .
1880-1889       26                    .               .               .
1880-1889       27                    .               .               .
1880-1889       28                    .               .               .
1880-1889       29                    .               .               .
1880-1889       30                    .               .               .
1880-1889       31                    .               .               .
1880-1889       32                    .               .               .
1880-1889       33                    .               .               .
1880-1889       34                    .               .               .
1880-1889       35                    .               .               .
1880-1889       36                    .               .               .
1880-1889       37                    .               .               .
1880-1889       38                    .               .               .
1880-1889       39                    .               .               .
1880-1889       40                    .               .               .
1880-1889       41                    .               .               .
1880-1889       42                    .               .               .
1880-1889       43                    .               .               .
1880-1889       44                    .               .               .
1880-1889       45                    .               .               .
1880-1889       46                    .               .               .
1880-1889       47                    .               .               .
1880-1889       48                    .               .               .
1880-1889       49                    .               .               .
1880-1889       50                    .               .               .
1880-1889       51                    .               .               .
1880-1889       52             68725.13        57936.96       126662.09
1880-1889       53            103338.44        85676.63       189015.08
1880-1889       54            136979.62       111498.76       248478.39
1880-1889       55            172887.55       138713.15       311600.70
