Belgium, Exposure to risk (cohort 1x5), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1765-1769        0                    .               .               .
1765-1769        1                    .               .               .
1765-1769        2                    .               .               .
1765-1769        3                    .               .               .
1765-1769        4                    .               .               .
1765-1769        5                    .               .               .
1765-1769        6                    .               .               .
1765-1769        7                    .               .               .
1765-1769        8                    .               .               .
1765-1769        9                    .               .               .
1765-1769       10                    .               .               .
1765-1769       11                    .               .               .
1765-1769       12                    .               .               .
1765-1769       13                    .               .               .
1765-1769       14                    .               .               .
1765-1769       15                    .               .               .
1765-1769       16                    .               .               .
1765-1769       17                    .               .               .
1765-1769       18                    .               .               .
1765-1769       19                    .               .               .
1765-1769       20                    .               .               .
1765-1769       21                    .               .               .
1765-1769       22                    .               .               .
1765-1769       23                    .               .               .
1765-1769       24                    .               .               .
1765-1769       25                    .               .               .
1765-1769       26                    .               .               .
1765-1769       27                    .               .               .
1765-1769       28                    .               .               .
1765-1769       29                    .               .               .
1765-1769       30                    .               .               .
1765-1769       31                    .               .               .
1765-1769       32                    .               .               .
1765-1769       33                    .               .               .
1765-1769       34                    .               .               .
1765-1769       35                    .               .               .
1765-1769       36                    .               .               .
1765-1769       37                    .               .               .
1765-1769       38                    .               .               .
1765-1769       39                    .               .               .
1765-1769       40                    .               .               .
1765-1769       41                    .               .               .
1765-1769       42                    .               .               .
1765-1769       43                    .               .               .
1765-1769       44                    .               .               .
1765-1769       45                    .               .               .
1765-1769       46                    .               .               .
1765-1769       47                    .               .               .
1765-1769       48                    .               .               .
1765-1769       49                    .               .               .
1765-1769       50                    .               .               .
1765-1769       51                    .               .               .
1765-1769       52                    .               .               .
1765-1769       53                    .               .               .
1765-1769       54                    .               .               .
1765-1769       55                    .               .               .
1765-1769       56                    .               .               .
1765-1769       57                    .               .               .
1765-1769       58                    .               .               .
1765-1769       59                    .               .               .
1765-1769       60                    .               .               .
1765-1769       61                    .               .               .
1765-1769       62                    .               .               .
1765-1769       63                    .               .               .
1765-1769       64                    .               .               .
1765-1769       65                    .               .               .
1765-1769       66                    .               .               .
1765-1769       67                    .               .               .
1765-1769       68                    .               .               .
1765-1769       69                    .               .               .
1765-1769       70                    .               .               .
1765-1769       71                    .               .               .
1765-1769       72                    .               .               .
1765-1769       73             13940.05        12422.70        26362.75
1765-1769       74             19012.60        16837.03        35849.63
1765-1769       75             24001.61        21138.44        45140.04
1765-1769       76             26719.68        23495.34        50215.01
1765-1769       77             24044.10        20925.29        44969.39
1765-1769       78             21361.44        18365.19        39726.63
1765-1769       79             18704.07        15862.00        34566.06
1765-1769       80             15120.26        12546.83        27667.09
1765-1769       81             12749.13        10431.66        23180.79
1765-1769       82             10622.18         8569.21        19191.39
1765-1769       83              8765.07         6963.99        15729.06
1765-1769       84              7149.16         5578.97        12728.13
1765-1769       85              5731.44         4383.97        10115.41
1765-1769       86              4484.52         3353.35         7837.88
1765-1769       87              3428.54         2507.72         5936.27
1765-1769       88              2557.41         1841.83         4399.24
