England and Wales, Civilian National Population, Exposure to risk (cohort 1x5), 	Last modified: 23 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1765-1769        0                    .               .               .
1765-1769        1                    .               .               .
1765-1769        2                    .               .               .
1765-1769        3                    .               .               .
1765-1769        4                    .               .               .
1765-1769        5                    .               .               .
1765-1769        6                    .               .               .
1765-1769        7                    .               .               .
1765-1769        8                    .               .               .
1765-1769        9                    .               .               .
1765-1769       10                    .               .               .
1765-1769       11                    .               .               .
1765-1769       12                    .               .               .
1765-1769       13                    .               .               .
1765-1769       14                    .               .               .
1765-1769       15                    .               .               .
1765-1769       16                    .               .               .
1765-1769       17                    .               .               .
1765-1769       18                    .               .               .
1765-1769       19                    .               .               .
1765-1769       20                    .               .               .
1765-1769       21                    .               .               .
1765-1769       22                    .               .               .
1765-1769       23                    .               .               .
1765-1769       24                    .               .               .
1765-1769       25                    .               .               .
1765-1769       26                    .               .               .
1765-1769       27                    .               .               .
1765-1769       28                    .               .               .
1765-1769       29                    .               .               .
1765-1769       30                    .               .               .
1765-1769       31                    .               .               .
1765-1769       32                    .               .               .
1765-1769       33                    .               .               .
1765-1769       34                    .               .               .
1765-1769       35                    .               .               .
1765-1769       36                    .               .               .
1765-1769       37                    .               .               .
1765-1769       38                    .               .               .
1765-1769       39                    .               .               .
1765-1769       40                    .               .               .
1765-1769       41                    .               .               .
1765-1769       42                    .               .               .
1765-1769       43                    .               .               .
1765-1769       44                    .               .               .
1765-1769       45                    .               .               .
1765-1769       46                    .               .               .
1765-1769       47                    .               .               .
1765-1769       48                    .               .               .
1765-1769       49                    .               .               .
1765-1769       50                    .               .               .
1765-1769       51                    .               .               .
1765-1769       52                    .               .               .
1765-1769       53                    .               .               .
1765-1769       54                    .               .               .
1765-1769       55                    .               .               .
1765-1769       56                    .               .               .
1765-1769       57                    .               .               .
1765-1769       58                    .               .               .
1765-1769       59                    .               .               .
1765-1769       60                    .               .               .
1765-1769       61                    .               .               .
1765-1769       62                    .               .               .
1765-1769       63                    .               .               .
1765-1769       64                    .               .               .
1765-1769       65                    .               .               .
1765-1769       66                    .               .               .
1765-1769       67                    .               .               .
1765-1769       68                    .               .               .
1765-1769       69                    .               .               .
1765-1769       70                    .               .               .
1765-1769       71                    .               .               .
1765-1769       72                    .               .               .
1765-1769       73             45048.72        38662.96        83711.68
1765-1769       74             62835.01        53374.17       116209.19
1765-1769       75             75853.57        64049.05       139902.62
1765-1769       76             83930.16        70656.40       154586.57
1765-1769       77             76625.16        63689.73       140314.89
1765-1769       78             69104.23        56641.00       125745.22
1765-1769       79             61579.44        49681.91       111261.34
1765-1769       80             61555.41        47610.04       109165.45
1765-1769       81             53495.14        40644.96        94140.10
1765-1769       82             45919.96        34192.89        80112.85
1765-1769       83             38970.02        28362.51        67332.53
1765-1769       84             32541.64        23016.56        55558.20
1765-1769       85             26785.85        18412.10        45197.95
1765-1769       86             21818.52        14644.28        36462.80
1765-1769       87             17504.41        11442.96        28947.37
1765-1769       88             13824.48         8776.48        22600.97
