Northern Ireland, Exposure to risk (cohort 1x5), 	Last modified: 21 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1846-1849        0                    .               .               .
1846-1849        1                    .               .               .
1846-1849        2                    .               .               .
1846-1849        3                    .               .               .
1846-1849        4                    .               .               .
1846-1849        5                    .               .               .
1846-1849        6                    .               .               .
1846-1849        7                    .               .               .
1846-1849        8                    .               .               .
1846-1849        9                    .               .               .
1846-1849       10                    .               .               .
1846-1849       11                    .               .               .
1846-1849       12                    .               .               .
1846-1849       13                    .               .               .
1846-1849       14                    .               .               .
1846-1849       15                    .               .               .
1846-1849       16                    .               .               .
1846-1849       17                    .               .               .
1846-1849       18                    .               .               .
1846-1849       19                    .               .               .
1846-1849       20                    .               .               .
1846-1849       21                    .               .               .
1846-1849       22                    .               .               .
1846-1849       23                    .               .               .
1846-1849       24                    .               .               .
1846-1849       25                    .               .               .
1846-1849       26                    .               .               .
1846-1849       27                    .               .               .
1846-1849       28                    .               .               .
1846-1849       29                    .               .               .
1846-1849       30                    .               .               .
1846-1849       31                    .               .               .
1846-1849       32                    .               .               .
1846-1849       33                    .               .               .
1846-1849       34                    .               .               .
1846-1849       35                    .               .               .
1846-1849       36                    .               .               .
1846-1849       37                    .               .               .
1846-1849       38                    .               .               .
1846-1849       39                    .               .               .
1846-1849       40                    .               .               .
1846-1849       41                    .               .               .
1846-1849       42                    .               .               .
1846-1849       43                    .               .               .
1846-1849       44                    .               .               .
1846-1849       45                    .               .               .
1846-1849       46                    .               .               .
1846-1849       47                    .               .               .
1846-1849       48                    .               .               .
1846-1849       49                    .               .               .
1846-1849       50                    .               .               .
1846-1849       51                    .               .               .
1846-1849       52                    .               .               .
1846-1849       53                    .               .               .
1846-1849       54                    .               .               .
1846-1849       55                    .               .               .
1846-1849       56                    .               .               .
1846-1849       57                    .               .               .
1846-1849       58                    .               .               .
1846-1849       59                    .               .               .
1846-1849       60                    .               .               .
1846-1849       61                    .               .               .
1846-1849       62                    .               .               .
1846-1849       63                    .               .               .
1846-1849       64                    .               .               .
1846-1849       65                    .               .               .
1846-1849       66                    .               .               .
1846-1849       67                    .               .               .
1846-1849       68                    .               .               .
1846-1849       69                    .               .               .
1846-1849       70                    .               .               .
1846-1849       71                    .               .               .
1846-1849       72                    .               .               .
1846-1849       73                    .               .               .
1846-1849       74              5041.21         3897.33         8938.54
1846-1849       75              6710.89         5188.98        11899.87
1846-1849       76              7987.38         6139.36        14126.74
1846-1849       77              7255.85         5491.46        12747.32
1846-1849       78              6548.79         4871.33        11420.12
1846-1849       79              5872.31         4295.33        10167.65
1846-1849       80              4505.62         3201.77         7707.39
1846-1849       81              3914.25         2741.20         6655.45
1846-1849       82              3350.21         2311.48         5661.69
1846-1849       83              2834.54         1922.08         4756.63
1846-1849       84              2387.69         1585.28         3972.98
1846-1849       85              2003.78         1292.41         3296.19
1846-1849       86              1672.99         1048.79         2721.78
1846-1849       87              1382.36          845.69         2228.05
1846-1849       88              1121.47          670.89         1792.36
1846-1849       89               902.64          522.07         1424.72
1846-1849       90               718.21          398.57         1116.78
1846-1849       91               561.93          298.91          860.84
1846-1849       92               427.20          221.30          648.50
1846-1849       93               313.09          162.70          475.79
1846-1849       94               221.73          117.65          339.38
1846-1849       95               157.76           83.45          241.21
1846-1849       96               114.93           58.31          173.24
1846-1849       97                80.73           39.26          119.99
1846-1849       98                53.87           25.44           79.32
1846-1849       99                34.07           15.53           49.60
1846-1849      100                20.83            8.41           29.24
1846-1849      101                11.99            3.60           15.59
1846-1849      102                 6.35            0.69            7.04
1846-1849      103                 3.10            0.00            3.10
1846-1849      104                 1.40            0.00            1.40
1846-1849      105                 1.00            0.00            1.00
1846-1849      106                 1.00            0.00            1.00
1846-1849      107                 1.00            0.00            1.00
1846-1849      108                 0.49            0.00            0.49
1846-1849      109                 0.00            0.00            0.00
1846-1849      110+                0.00            0.00            0.00
1850-1854        0                    .               .               .
1850-1854        1                    .               .               .
