Israel, Total Population, Exposure to risk (cohort 1x5), 	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1905-1909        0                    .               .               .
1905-1909        1                    .               .               .
1905-1909        2                    .               .               .
1905-1909        3                    .               .               .
1905-1909        4                    .               .               .
1905-1909        5                    .               .               .
1905-1909        6                    .               .               .
1905-1909        7                    .               .               .
1905-1909        8                    .               .               .
1905-1909        9                    .               .               .
1905-1909       10                    .               .               .
1905-1909       11                    .               .               .
1905-1909       12                    .               .               .
1905-1909       13                    .               .               .
1905-1909       14                    .               .               .
1905-1909       15                    .               .               .
1905-1909       16                    .               .               .
1905-1909       17                    .               .               .
1905-1909       18                    .               .               .
1905-1909       19                    .               .               .
1905-1909       20                    .               .               .
1905-1909       21                    .               .               .
1905-1909       22                    .               .               .
1905-1909       23                    .               .               .
1905-1909       24                    .               .               .
1905-1909       25                    .               .               .
1905-1909       26                    .               .               .
1905-1909       27                    .               .               .
1905-1909       28                    .               .               .
1905-1909       29                    .               .               .
1905-1909       30                    .               .               .
1905-1909       31                    .               .               .
1905-1909       32                    .               .               .
1905-1909       33                    .               .               .
1905-1909       34                    .               .               .
1905-1909       35                    .               .               .
1905-1909       36                    .               .               .
1905-1909       37                    .               .               .
1905-1909       38                    .               .               .
1905-1909       39                    .               .               .
1905-1909       40                    .               .               .
1905-1909       41                    .               .               .
1905-1909       42                    .               .               .
1905-1909       43                    .               .               .
1905-1909       44                    .               .               .
1905-1909       45                    .               .               .
1905-1909       46                    .               .               .
1905-1909       47                    .               .               .
1905-1909       48                    .               .               .
1905-1909       49                    .               .               .
1905-1909       50                    .               .               .
1905-1909       51                    .               .               .
1905-1909       52                    .               .               .
1905-1909       53                    .               .               .
1905-1909       54                    .               .               .
1905-1909       55                    .               .               .
1905-1909       56                    .               .               .
1905-1909       57                    .               .               .
1905-1909       58                    .               .               .
1905-1909       59                    .               .               .
1905-1909       60                    .               .               .
1905-1909       61                    .               .               .
1905-1909       62                    .               .               .
1905-1909       63                    .               .               .
1905-1909       64                    .               .               .
1905-1909       65                    .               .               .
1905-1909       66                    .               .               .
1905-1909       67                    .               .               .
1905-1909       68                    .               .               .
