Japan, Exposure to risk (cohort 1x5), 	Last modified: 05 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1868-1869        0                    .               .               .
1868-1869        1                    .               .               .
1868-1869        2                    .               .               .
1868-1869        3                    .               .               .
1868-1869        4                    .               .               .
1868-1869        5                    .               .               .
1868-1869        6                    .               .               .
1868-1869        7                    .               .               .
1868-1869        8                    .               .               .
1868-1869        9                    .               .               .
1868-1869       10                    .               .               .
1868-1869       11                    .               .               .
1868-1869       12                    .               .               .
1868-1869       13                    .               .               .
1868-1869       14                    .               .               .
1868-1869       15                    .               .               .
1868-1869       16                    .               .               .
1868-1869       17                    .               .               .
1868-1869       18                    .               .               .
1868-1869       19                    .               .               .
1868-1869       20                    .               .               .
1868-1869       21                    .               .               .
1868-1869       22                    .               .               .
1868-1869       23                    .               .               .
1868-1869       24                    .               .               .
1868-1869       25                    .               .               .
1868-1869       26                    .               .               .
1868-1869       27                    .               .               .
1868-1869       28                    .               .               .
1868-1869       29                    .               .               .
1868-1869       30                    .               .               .
1868-1869       31                    .               .               .
1868-1869       32                    .               .               .
1868-1869       33                    .               .               .
1868-1869       34                    .               .               .
1868-1869       35                    .               .               .
1868-1869       36                    .               .               .
1868-1869       37                    .               .               .
1868-1869       38                    .               .               .
1868-1869       39                    .               .               .
1868-1869       40                    .               .               .
1868-1869       41                    .               .               .
1868-1869       42                    .               .               .
1868-1869       43                    .               .               .
1868-1869       44                    .               .               .
1868-1869       45                    .               .               .
1868-1869       46                    .               .               .
1868-1869       47                    .               .               .
1868-1869       48                    .               .               .
1868-1869       49                    .               .               .
1868-1869       50                    .               .               .
1868-1869       51                    .               .               .
1868-1869       52                    .               .               .
1868-1869       53                    .               .               .
1868-1869       54                    .               .               .
1868-1869       55                    .               .               .
1868-1869       56                    .               .               .
1868-1869       57                    .               .               .
1868-1869       58                    .               .               .
1868-1869       59                    .               .               .
1868-1869       60                    .               .               .
1868-1869       61                    .               .               .
1868-1869       62                    .               .               .
1868-1869       63                    .               .               .
1868-1869       64                    .               .               .
1868-1869       65                    .               .               .
1868-1869       66                    .               .               .
1868-1869       67                    .               .               .
1868-1869       68                    .               .               .
1868-1869       69                    .               .               .
1868-1869       70                    .               .               .
1868-1869       71                    .               .               .
1868-1869       72                    .               .               .
1868-1869       73                    .               .               .
1868-1869       74                    .               .               .
1868-1869       75                    .               .               .
1868-1869       76                    .               .               .
1868-1869       77                    .               .               .
1868-1869       78                    .               .               .
1868-1869       79            105303.03        61548.86       166851.89
1868-1869       80             96458.71        54787.81       151246.52
1868-1869       81             84996.65        46788.36       131785.01
1868-1869       82             73906.57        39268.05       113174.63
1868-1869       83             63681.48        32627.29        96308.76
1868-1869       84             54178.98        26721.99        80900.97
1868-1869       85             45529.97        21560.99        67090.96
1868-1869       86             37934.67        17251.20        55185.87
1868-1869       87             30881.48        13498.16        44379.64
1868-1869       88             24333.04        10135.22        34468.26
1868-1869       89             18918.73         7475.68        26394.41
1868-1869       90             14550.00         5472.51        20022.51
1868-1869       91             10858.12         3889.81        14747.93
1868-1869       92              7825.64         2673.78        10499.42
