Netherlands, Exposure to risk (cohort 1x5), 	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1780-1784        0                    .               .               .
1780-1784        1                    .               .               .
1780-1784        2                    .               .               .
1780-1784        3                    .               .               .
1780-1784        4                    .               .               .
1780-1784        5                    .               .               .
1780-1784        6                    .               .               .
1780-1784        7                    .               .               .
1780-1784        8                    .               .               .
1780-1784        9                    .               .               .
1780-1784       10                    .               .               .
1780-1784       11                    .               .               .
1780-1784       12                    .               .               .
1780-1784       13                    .               .               .
1780-1784       14                    .               .               .
1780-1784       15                    .               .               .
1780-1784       16                    .               .               .
1780-1784       17                    .               .               .
1780-1784       18                    .               .               .
1780-1784       19                    .               .               .
1780-1784       20                    .               .               .
1780-1784       21                    .               .               .
1780-1784       22                    .               .               .
1780-1784       23                    .               .               .
1780-1784       24                    .               .               .
1780-1784       25                    .               .               .
1780-1784       26                    .               .               .
1780-1784       27                    .               .               .
1780-1784       28                    .               .               .
1780-1784       29                    .               .               .
1780-1784       30                    .               .               .
1780-1784       31                    .               .               .
1780-1784       32                    .               .               .
1780-1784       33                    .               .               .
1780-1784       34                    .               .               .
1780-1784       35                    .               .               .
1780-1784       36                    .               .               .
1780-1784       37                    .               .               .
1780-1784       38                    .               .               .
1780-1784       39                    .               .               .
1780-1784       40                    .               .               .
1780-1784       41                    .               .               .
1780-1784       42                    .               .               .
1780-1784       43                    .               .               .
1780-1784       44                    .               .               .
1780-1784       45                    .               .               .
1780-1784       46                    .               .               .
1780-1784       47                    .               .               .
1780-1784       48                    .               .               .
1780-1784       49                    .               .               .
1780-1784       50                    .               .               .
1780-1784       51                    .               .               .
1780-1784       52                    .               .               .
1780-1784       53                    .               .               .
1780-1784       54                    .               .               .
1780-1784       55                    .               .               .
1780-1784       56                    .               .               .
1780-1784       57                    .               .               .
1780-1784       58                    .               .               .
1780-1784       59                    .               .               .
1780-1784       60                    .               .               .
1780-1784       61                    .               .               .
1780-1784       62                    .               .               .
1780-1784       63                    .               .               .
1780-1784       64                    .               .               .
1780-1784       65                    .               .               .
1780-1784       66                    .               .               .
1780-1784       67             14533.00        11579.67        26112.67
1780-1784       68             19862.00        15789.33        35651.33
1780-1784       69             24147.00        19100.00        43247.00
1780-1784       70             28637.33        22617.00        51254.33
1780-1784       71             26700.67        20970.00        47670.67
1780-1784       72             24663.00        19227.67        43890.67
1780-1784       73             22473.00        17400.33        39873.33
1780-1784       74             20204.33        15595.00        35799.33
1780-1784       75             17822.67        13781.33        31604.00
1780-1784       76             15500.33        12556.00        28056.33
1780-1784       77             13762.67        11074.33        24837.00
1780-1784       78             12370.33         9945.67        22316.00
1780-1784       79             10720.67         8561.00        19281.67
1780-1784       80              9177.33         6865.33        16042.67
1780-1784       81              7843.33         5789.33        13632.67
1780-1784       82              6663.33         4843.33        11506.67
1780-1784       83              5485.67         3992.00         9477.67
1780-1784       84              4414.33         3206.33         7620.67
1780-1784       85              3548.33         2549.00         6097.33
1780-1784       86              2782.67         1978.00         4760.67
1780-1784       87              2111.00         1482.33         3593.33
1780-1784       88              1593.00         1081.00         2674.00
1780-1784       89              1195.00          792.33         1987.33
1780-1784       90               868.33          576.33         1444.67
1780-1784       91               610.67          408.00         1018.67
1780-1784       92               424.67          284.33          709.00
1780-1784       93               280.33          187.33          467.67
1780-1784       94               168.33          123.33          291.67
1780-1784       95               103.00           73.67          176.67
1780-1784       96                65.67           40.00          105.67
1780-1784       97                37.67           23.67           61.33
1780-1784       98                20.00           12.67           32.67
1780-1784       99                10.00            6.00           16.00
1780-1784      100                 3.33            0.67            4.00
1780-1784      101                 1.00            0.00            1.00
1780-1784      102                 1.00            0.00            1.00
1780-1784      103                 1.00            0.00            1.00
1780-1784      104                 0.67            0.00            0.67
1780-1784      105                 0.00            0.00            0.00
1780-1784      106                 0.00            0.00            0.00
1780-1784      107                 0.00            0.00            0.00
1780-1784      108                 0.00            0.00            0.00
1780-1784      109                 0.00            0.00            0.00
1780-1784      110+                0.00            0.00            0.00
1785-1789        0                    .               .               .
1785-1789        1                    .               .               .
1785-1789        2                    .               .               .
1785-1789        3                    .               .               .
1785-1789        4                    .               .               .
1785-1789        5                    .               .               .
1785-1789        6                    .               .               .
1785-1789        7                    .               .               .
1785-1789        8                    .               .               .
1785-1789        9                    .               .               .
1785-1789       10                    .               .               .
1785-1789       11                    .               .               .
1785-1789       12                    .               .               .
1785-1789       13                    .               .               .
1785-1789       14                    .               .               .
1785-1789       15                    .               .               .
1785-1789       16                    .               .               .
1785-1789       17                    .               .               .
1785-1789       18                    .               .               .
1785-1789       19                    .               .               .
1785-1789       20                    .               .               .
1785-1789       21                    .               .               .
1785-1789       22                    .               .               .
1785-1789       23                    .               .               .
1785-1789       24                    .               .               .
1785-1789       25                    .               .               .
1785-1789       26                    .               .               .
1785-1789       27                    .               .               .
1785-1789       28                    .               .               .
1785-1789       29                    .               .               .
1785-1789       30                    .               .               .
1785-1789       31                    .               .               .
1785-1789       32                    .               .               .
1785-1789       33                    .               .               .
1785-1789       34                    .               .               .
1785-1789       35                    .               .               .
1785-1789       36                    .               .               .
1785-1789       37                    .               .               .
1785-1789       38                    .               .               .
1785-1789       39                    .               .               .
1785-1789       40                    .               .               .
1785-1789       41                    .               .               .
1785-1789       42                    .               .               .
1785-1789       43                    .               .               .
1785-1789       44                    .               .               .
1785-1789       45                    .               .               .
1785-1789       46                    .               .               .
1785-1789       47                    .               .               .
1785-1789       48                    .               .               .
1785-1789       49                    .               .               .
1785-1789       50                    .               .               .
1785-1789       51                    .               .               .
1785-1789       52                    .               .               .
1785-1789       53                    .               .               .
1785-1789       54                    .               .               .
1785-1789       55                    .               .               .
1785-1789       56                    .               .               .
1785-1789       57                    .               .               .
1785-1789       58                    .               .               .
1785-1789       59                    .               .               .
1785-1789       60                    .               .               .
1785-1789       61                    .               .               .
1785-1789       62             20261.33        15692.33        35953.67
1785-1789       63             29828.00        23720.67        53548.67
1785-1789       64             37682.33        30079.67        67762.00
1785-1789       65             44691.67        35545.67        80237.33
1785-1789       66             42607.00        33664.00        76271.00
1785-1789       67             40470.00        31751.67        72221.67
1785-1789       68             38110.67        29746.00        67856.67
1785-1789       69             35587.33        27725.33        63312.67
1785-1789       70             32121.33        25272.00        57393.33
1785-1789       71             29874.67        23404.00        53278.67
1785-1789       72             27224.00        20876.00        48100.00
1785-1789       73             24940.67        18901.33        43842.00
1785-1789       74             22655.67        17193.00        39848.67
1785-1789       75             20362.00        15424.33        35786.33
1785-1789       76             18176.67        13737.00        31913.67
1785-1789       77             16138.33        12157.00        28295.33
1785-1789       78             14098.33        10647.00        24745.33
1785-1789       79             12137.33         9199.67        21337.00
1785-1789       80             11239.33         8076.00        19315.33
1785-1789       81              9560.33         6793.00        16353.33
1785-1789       82              8038.00         5635.33        13673.33
1785-1789       83              6576.00         4595.67        11171.67
1785-1789       84              5281.00         3659.67         8940.67
1785-1789       85              4214.33         2894.00         7108.33
1785-1789       86              3303.00         2244.33         5547.33
1785-1789       87              2570.67         1709.67         4280.33
1785-1789       88              1971.33         1260.67         3232.00
1785-1789       89              1481.33          902.33         2383.67
1785-1789       90              1094.33          644.33         1738.67
1785-1789       91               803.67          449.67         1253.33
1785-1789       92               576.00          309.67          885.67
1785-1789       93               397.00          205.33          602.33
1785-1789       94               259.33          133.33          392.67
1785-1789       95               164.67           86.00          250.67
1785-1789       96               105.33           50.67          156.00
1785-1789       97                64.67           27.67           92.33
1785-1789       98                36.33           13.33           49.67
1785-1789       99                19.33            7.67           27.00
1785-1789      100                 7.33            3.67           11.00
1785-1789      101                 1.67            2.00            3.67
1785-1789      102                 0.33            1.67            2.00
1785-1789      103                 0.00            1.00            1.00
1785-1789      104                 0.00            1.00            1.00
1785-1789      105                 0.00            1.00            1.00
1785-1789      106                 0.00            1.00            1.00
1785-1789      107                 0.00            1.00            1.00
1785-1789      108                 0.00            1.00            1.00
