Norway, Exposure to risk (cohort 1x5), 	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1770-1774        0                    .               .               .
1770-1774        1                    .               .               .
1770-1774        2                    .               .               .
1770-1774        3                    .               .               .
1770-1774        4                    .               .               .
1770-1774        5                    .               .               .
1770-1774        6                    .               .               .
1770-1774        7                    .               .               .
1770-1774        8                    .               .               .
1770-1774        9                    .               .               .
1770-1774       10                    .               .               .
1770-1774       11                    .               .               .
1770-1774       12                    .               .               .
1770-1774       13                    .               .               .
1770-1774       14                    .               .               .
1770-1774       15                    .               .               .
1770-1774       16                    .               .               .
1770-1774       17                    .               .               .
1770-1774       18                    .               .               .
1770-1774       19                    .               .               .
1770-1774       20                    .               .               .
1770-1774       21                    .               .               .
1770-1774       22                    .               .               .
1770-1774       23                    .               .               .
1770-1774       24                    .               .               .
1770-1774       25                    .               .               .
1770-1774       26                    .               .               .
1770-1774       27                    .               .               .
1770-1774       28                    .               .               .
1770-1774       29                    .               .               .
1770-1774       30                    .               .               .
1770-1774       31                    .               .               .
1770-1774       32                    .               .               .
1770-1774       33                    .               .               .
1770-1774       34                    .               .               .
1770-1774       35                    .               .               .
1770-1774       36                    .               .               .
1770-1774       37                    .               .               .
1770-1774       38                    .               .               .
1770-1774       39                    .               .               .
1770-1774       40                    .               .               .
1770-1774       41                    .               .               .
1770-1774       42                    .               .               .
1770-1774       43                    .               .               .
1770-1774       44                    .               .               .
1770-1774       45                    .               .               .
1770-1774       46                    .               .               .
1770-1774       47                    .               .               .
1770-1774       48                    .               .               .
1770-1774       49                    .               .               .
1770-1774       50                    .               .               .
1770-1774       51                    .               .               .
1770-1774       52                    .               .               .
1770-1774       53                    .               .               .
1770-1774       54                    .               .               .
1770-1774       55                    .               .               .
1770-1774       56                    .               .               .
1770-1774       57                    .               .               .
1770-1774       58                    .               .               .
1770-1774       59                    .               .               .
1770-1774       60                    .               .               .
1770-1774       61                    .               .               .
1770-1774       62                    .               .               .
1770-1774       63                    .               .               .
1770-1774       64                    .               .               .
1770-1774       65                    .               .               .
1770-1774       66                    .               .               .
1770-1774       67                    .               .               .
1770-1774       68                    .               .               .
1770-1774       69                    .               .               .
1770-1774       70                    .               .               .
1770-1774       71                    .               .               .
1770-1774       72                    .               .               .
1770-1774       73              3904.17         3029.33         6933.50
1770-1774       74              5493.83         4259.83         9753.67
1770-1774       75              6925.17         5337.67        12262.83
1770-1774       76              8054.67         6130.83        14185.50
1770-1774       77              7275.17         5475.67        12750.83
1770-1774       78              6526.33         4845.67        11372.00
1770-1774       79              5864.50         4307.50        10172.00
1770-1774       80              6785.00         4638.67        11423.67
1770-1774       81              6118.67         4135.50        10254.17
1770-1774       82              5475.33         3638.50         9113.83
1770-1774       83              4831.50         3155.33         7986.83
1770-1774       84              4193.00         2687.33         6880.33
1770-1774       85              3586.83         2243.67         5830.50
1770-1774       86              3020.00         1821.50         4841.50
1770-1774       87              2516.17         1451.00         3967.17
1770-1774       88              2057.00         1145.50         3202.50
1770-1774       89              1647.83          890.17         2538.00
1770-1774       90              1315.33          686.83         2002.17
1770-1774       91              1032.00          540.83         1572.83
1770-1774       92               793.83          416.50         1210.33
1770-1774       93               597.67          307.50          905.17
1770-1774       94               441.17          217.50          658.67
1770-1774       95               318.83          144.50          463.33
1770-1774       96               218.50           91.83          310.33
1770-1774       97               143.83           60.00          203.83
1770-1774       98                95.50           40.83          136.33
1770-1774       99                62.17           27.00           89.17
1770-1774      100                34.50           15.33           49.83
1770-1774      101                19.00            9.33           28.33
1770-1774      102                13.50            6.33           19.83
1770-1774      103                 8.17            4.67           12.83
1770-1774      104                 3.50            2.17            5.67
1770-1774      105                 1.17            0.33            1.50
1770-1774      106                 0.17            0.00            0.17
1770-1774      107                 0.00            0.00            0.00
1770-1774      108                 0.00            0.00            0.00
1770-1774      109                 0.00            0.00            0.00
1770-1774      110+                0.00            0.00            0.00
1775-1779        0                    .               .               .
1775-1779        1                    .               .               .
1775-1779        2                    .               .               .
1775-1779        3                    .               .               .
1775-1779        4                    .               .               .
1775-1779        5                    .               .               .
1775-1779        6                    .               .               .
1775-1779        7                    .               .               .
1775-1779        8                    .               .               .
1775-1779        9                    .               .               .
1775-1779       10                    .               .               .
1775-1779       11                    .               .               .
1775-1779       12                    .               .               .
1775-1779       13                    .               .               .
1775-1779       14                    .               .               .
1775-1779       15                    .               .               .
1775-1779       16                    .               .               .
1775-1779       17                    .               .               .
1775-1779       18                    .               .               .
1775-1779       19                    .               .               .
1775-1779       20                    .               .               .
1775-1779       21                    .               .               .
1775-1779       22                    .               .               .
1775-1779       23                    .               .               .
1775-1779       24                    .               .               .
1775-1779       25                    .               .               .
1775-1779       26                    .               .               .
1775-1779       27                    .               .               .
1775-1779       28                    .               .               .
1775-1779       29                    .               .               .
1775-1779       30                    .               .               .
1775-1779       31                    .               .               .
1775-1779       32                    .               .               .
1775-1779       33                    .               .               .
1775-1779       34                    .               .               .
1775-1779       35                    .               .               .
1775-1779       36                    .               .               .
1775-1779       37                    .               .               .
1775-1779       38                    .               .               .
1775-1779       39                    .               .               .
1775-1779       40                    .               .               .
1775-1779       41                    .               .               .
1775-1779       42                    .               .               .
1775-1779       43                    .               .               .
1775-1779       44                    .               .               .
1775-1779       45                    .               .               .
1775-1779       46                    .               .               .
1775-1779       47                    .               .               .
1775-1779       48                    .               .               .
1775-1779       49                    .               .               .
1775-1779       50                    .               .               .
1775-1779       51                    .               .               .
1775-1779       52                    .               .               .
1775-1779       53                    .               .               .
1775-1779       54                    .               .               .
1775-1779       55                    .               .               .
1775-1779       56                    .               .               .
1775-1779       57                    .               .               .
1775-1779       58                    .               .               .
1775-1779       59                    .               .               .
1775-1779       60                    .               .               .
1775-1779       61                    .               .               .
1775-1779       62                    .               .               .
1775-1779       63                    .               .               .
1775-1779       64                    .               .               .
1775-1779       65                    .               .               .
1775-1779       66                    .               .               .
1775-1779       67                    .               .               .
1775-1779       68              6329.67         5022.00        11351.67
1775-1779       69              9005.17         7053.83        16059.00
1775-1779       70             11032.33         8532.17        19564.50
1775-1779       71             13333.67        10212.83        23546.50
1775-1779       72             12533.83         9466.67        22000.50
1775-1779       73             11705.83         8706.33        20412.17
1775-1779       74             10829.00         7936.83        18765.83
1775-1779       75              9921.00         7158.83        17079.83
1775-1779       76              9020.17         6390.50        15410.67
1775-1779       77              8130.67         5663.67        13794.33
1775-1779       78              7303.00         5032.00        12335.00
1775-1779       79              6588.50         4508.17        11096.67
1775-1779       80              6859.83         4747.33        11607.17
1775-1779       81              6214.50         4233.50        10448.00
1775-1779       82              5552.33         3724.00         9276.33
1775-1779       83              4896.33         3208.83         8105.17
1775-1779       84              4244.17         2725.83         6970.00
1775-1779       85              3610.17         2288.17         5898.33
1775-1779       86              3043.50         1904.67         4948.17
1775-1779       87              2535.17         1549.50         4084.67
1775-1779       88              2068.33         1231.83         3300.17
1775-1779       89              1653.67          965.00         2618.67
1775-1779       90              1321.17          748.50         2069.67
1775-1779       91              1045.50          567.17         1612.67
1775-1779       92               814.00          414.50         1228.50
1775-1779       93               621.00          295.33          916.33
1775-1779       94               463.00          202.00          665.00
1775-1779       95               322.83          138.50          461.33
1775-1779       96               217.17           94.17          311.33
1775-1779       97               145.83           65.17          211.00
1775-1779       98                95.67           41.33          137.00
1775-1779       99                62.00           24.17           86.17
1775-1779      100                31.83           13.67           45.50
1775-1779      101                16.83            7.17           24.00
1775-1779      102                 9.33            2.50           11.83
1775-1779      103                 4.33            0.33            4.67
1775-1779      104                 1.33            0.00            1.33
1775-1779      105                 0.17            0.00            0.17
1775-1779      106                 0.00            0.00            0.00
1775-1779      107                 0.00            0.00            0.00
1775-1779      108                 0.00            0.00            0.00
1775-1779      109                 0.00            0.00            0.00
1775-1779      110+                0.00            0.00            0.00
1780-1784        0                    .               .               .
1780-1784        1                    .               .               .
1780-1784        2                    .               .               .
1780-1784        3                    .               .               .
1780-1784        4                    .               .               .
1780-1784        5                    .               .               .
1780-1784        6                    .               .               .
1780-1784        7                    .               .               .
1780-1784        8                    .               .               .
1780-1784        9                    .               .               .
1780-1784       10                    .               .               .
1780-1784       11                    .               .               .
1780-1784       12                    .               .               .
1780-1784       13                    .               .               .
1780-1784       14                    .               .               .
1780-1784       15                    .               .               .
1780-1784       16                    .               .               .
1780-1784       17                    .               .               .
1780-1784       18                    .               .               .
1780-1784       19                    .               .               .
1780-1784       20                    .               .               .
1780-1784       21                    .               .               .
1780-1784       22                    .               .               .
1780-1784       23                    .               .               .
1780-1784       24                    .               .               .
1780-1784       25                    .               .               .
1780-1784       26                    .               .               .
1780-1784       27                    .               .               .
1780-1784       28                    .               .               .
1780-1784       29                    .               .               .
1780-1784       30                    .               .               .
1780-1784       31                    .               .               .
1780-1784       32                    .               .               .
1780-1784       33                    .               .               .
1780-1784       34                    .               .               .
1780-1784       35                    .               .               .
1780-1784       36                    .               .               .
1780-1784       37                    .               .               .
1780-1784       38                    .               .               .
1780-1784       39                    .               .               .
1780-1784       40                    .               .               .
1780-1784       41                    .               .               .
1780-1784       42                    .               .               .
1780-1784       43                    .               .               .
1780-1784       44                    .               .               .
1780-1784       45                    .               .               .
1780-1784       46                    .               .               .
1780-1784       47                    .               .               .
1780-1784       48                    .               .               .
1780-1784       49                    .               .               .
1780-1784       50                    .               .               .
1780-1784       51                    .               .               .
1780-1784       52                    .               .               .
1780-1784       53                    .               .               .
1780-1784       54                    .               .               .
1780-1784       55                    .               .               .
1780-1784       56                    .               .               .
1780-1784       57                    .               .               .
1780-1784       58                    .               .               .
1780-1784       59                    .               .               .
1780-1784       60                    .               .               .
1780-1784       61                    .               .               .
1780-1784       62                    .               .               .
1780-1784       63              7897.33         6574.33        14471.67
1780-1784       64             11565.50         9539.50        21105.00
1780-1784       65             14941.83        12210.00        27151.83
1780-1784       66             18054.17        14606.83        32661.00
1780-1784       67             17278.33        13822.50        31100.83
1780-1784       68             16477.00        13044.83        29521.83
1780-1784       69             15678.50        12271.67        27950.17
1780-1784       70             14775.17        11450.00        26225.17
1780-1784       71             13958.67        10698.00        24656.67
1780-1784       72             13148.17         9950.00        23098.17
1780-1784       73             12314.17         9223.00        21537.17
