New Zealand, Exposure to risk (cohort 1x5), 	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1867-1869        0                    .               .               .
1867-1869        1                    .               .               .
1867-1869        2                    .               .               .
1867-1869        3                    .               .               .
1867-1869        4                    .               .               .
1867-1869        5                    .               .               .
1867-1869        6                    .               .               .
1867-1869        7                    .               .               .
1867-1869        8                    .               .               .
1867-1869        9                    .               .               .
1867-1869       10                    .               .               .
1867-1869       11                    .               .               .
1867-1869       12                    .               .               .
1867-1869       13                    .               .               .
1867-1869       14                    .               .               .
1867-1869       15                    .               .               .
1867-1869       16                    .               .               .
1867-1869       17                    .               .               .
1867-1869       18                    .               .               .
1867-1869       19                    .               .               .
1867-1869       20                    .               .               .
1867-1869       21                    .               .               .
1867-1869       22                    .               .               .
1867-1869       23                    .               .               .
1867-1869       24                    .               .               .
1867-1869       25                    .               .               .
1867-1869       26                    .               .               .
1867-1869       27                    .               .               .
1867-1869       28                    .               .               .
1867-1869       29                    .               .               .
1867-1869       30                    .               .               .
1867-1869       31                    .               .               .
1867-1869       32                    .               .               .
1867-1869       33                    .               .               .
1867-1869       34                    .               .               .
1867-1869       35                    .               .               .
1867-1869       36                    .               .               .
1867-1869       37                    .               .               .
1867-1869       38                    .               .               .
1867-1869       39                    .               .               .
1867-1869       40                    .               .               .
1867-1869       41                    .               .               .
1867-1869       42                    .               .               .
1867-1869       43                    .               .               .
1867-1869       44                    .               .               .
1867-1869       45                    .               .               .
1867-1869       46                    .               .               .
1867-1869       47                    .               .               .
1867-1869       48                    .               .               .
1867-1869       49                    .               .               .
1867-1869       50                    .               .               .
1867-1869       51                    .               .               .
1867-1869       52                    .               .               .
1867-1869       53                    .               .               .
1867-1869       54                    .               .               .
1867-1869       55                    .               .               .
1867-1869       56                    .               .               .
1867-1869       57                    .               .               .
1867-1869       58                    .               .               .
1867-1869       59                    .               .               .
1867-1869       60                    .               .               .
1867-1869       61                    .               .               .
1867-1869       62                    .               .               .
1867-1869       63                    .               .               .
1867-1869       64                    .               .               .
1867-1869       65                    .               .               .
1867-1869       66                    .               .               .
1867-1869       67                    .               .               .
1867-1869       68                    .               .               .
1867-1869       69                    .               .               .
1867-1869       70                    .               .               .
1867-1869       71                    .               .               .
1867-1869       72                    .               .               .
1867-1869       73                    .               .               .
1867-1869       74                    .               .               .
1867-1869       75                    .               .               .
1867-1869       76                    .               .               .
1867-1869       77                    .               .               .
1867-1869       78                    .               .               .
1867-1869       79                    .               .               .
1867-1869       80                    .               .               .
1867-1869       81              3702.38         3041.91         6744.30
1867-1869       82              3348.24         2689.19         6037.43
1867-1869       83              2976.34         2328.86         5305.21
1867-1869       84              2598.27         1982.08         4580.36
1867-1869       85              2251.97         1670.96         3922.94
1867-1869       86              1944.76         1393.66         3338.43
1867-1869       87              1654.83         1138.52         2793.35
1867-1869       88              1378.53          914.05         2292.59
1867-1869       89              1119.12          728.39         1847.51
1867-1869       90               900.59          567.19         1467.77
1867-1869       91               721.50          432.07         1153.57
1867-1869       92               565.58          320.51          886.09
1867-1869       93               434.42          231.74          666.16
1867-1869       94               334.55          158.19          492.75
1867-1869       95               246.58          102.56          349.14
1867-1869       96               169.92           67.70          237.62
1867-1869       97               115.00           42.90          157.90
1867-1869       98                71.04           24.92           95.96
1867-1869       99                41.59           15.29           56.88
1867-1869      100                25.56           10.57           36.13
1867-1869      101                17.31            7.27           24.58
1867-1869      102                11.31            4.23           15.54
1867-1869      103                 5.59            1.93            7.52
1867-1869      104                 3.46            0.18            3.64
1867-1869      105                 2.79            0.00            2.79
1867-1869      106                 1.64            0.00            1.64
1867-1869      107                 1.31            0.00            1.31
1867-1869      108                 1.00            0.00            1.00
1867-1869      109                 1.00            0.00            1.00
1867-1869      110+                0.49            0.00            0.49
1870-1874        0                    .               .               .
1870-1874        1                    .               .               .
1870-1874        2                    .               .               .
1870-1874        3                    .               .               .
1870-1874        4                    .               .               .
1870-1874        5                    .               .               .
1870-1874        6                    .               .               .
1870-1874        7                    .               .               .
1870-1874        8                    .               .               .
1870-1874        9                    .               .               .
1870-1874       10                    .               .               .
1870-1874       11                    .               .               .
1870-1874       12                    .               .               .
1870-1874       13                    .               .               .
1870-1874       14                    .               .               .
1870-1874       15                    .               .               .
1870-1874       16                    .               .               .
1870-1874       17                    .               .               .
1870-1874       18                    .               .               .
1870-1874       19                    .               .               .
1870-1874       20                    .               .               .
1870-1874       21                    .               .               .
1870-1874       22                    .               .               .
1870-1874       23                    .               .               .
1870-1874       24                    .               .               .
1870-1874       25                    .               .               .
1870-1874       26                    .               .               .
1870-1874       27                    .               .               .
1870-1874       28                    .               .               .
1870-1874       29                    .               .               .
1870-1874       30                    .               .               .
1870-1874       31                    .               .               .
1870-1874       32                    .               .               .
1870-1874       33                    .               .               .
1870-1874       34                    .               .               .
1870-1874       35                    .               .               .
1870-1874       36                    .               .               .
1870-1874       37                    .               .               .
1870-1874       38                    .               .               .
1870-1874       39                    .               .               .
1870-1874       40                    .               .               .
1870-1874       41                    .               .               .
1870-1874       42                    .               .               .
1870-1874       43                    .               .               .
1870-1874       44                    .               .               .
1870-1874       45                    .               .               .
1870-1874       46                    .               .               .
1870-1874       47                    .               .               .
1870-1874       48                    .               .               .
1870-1874       49                    .               .               .
1870-1874       50                    .               .               .
1870-1874       51                    .               .               .
1870-1874       52                    .               .               .
1870-1874       53                    .               .               .
1870-1874       54                    .               .               .
1870-1874       55                    .               .               .
1870-1874       56                    .               .               .
1870-1874       57                    .               .               .
1870-1874       58                    .               .               .
1870-1874       59                    .               .               .
1870-1874       60                    .               .               .
1870-1874       61                    .               .               .
1870-1874       62                    .               .               .
1870-1874       63                    .               .               .
1870-1874       64                    .               .               .
1870-1874       65                    .               .               .
1870-1874       66                    .               .               .
1870-1874       67                    .               .               .
1870-1874       68                    .               .               .
1870-1874       69                    .               .               .
1870-1874       70                    .               .               .
1870-1874       71                    .               .               .
1870-1874       72                    .               .               .
1870-1874       73                    .               .               .
1870-1874       74                    .               .               .
1870-1874       75              7686.74         7092.14        14778.88
1870-1874       76             10275.91         9051.31        19327.22
1870-1874       77             11403.33        10630.74        22034.07
1870-1874       78             11620.50        10066.17        21686.66
1870-1874       79             10529.74         9247.92        19777.65
1870-1874       80             10236.02         8636.46        18872.48
1870-1874       81              9366.35         7732.11        17098.46
1870-1874       82              8508.89         6878.71        15387.60
1870-1874       83              7617.52         5995.00        13612.52
1870-1874       84              6703.27         5116.47        11819.74
1870-1874       85              5804.18         4274.78        10078.96
1870-1874       86              4943.33         3522.29         8465.62
1870-1874       87              4155.35         2851.21         7006.56
1870-1874       88              3472.45         2284.37         5756.82
1870-1874       89              2846.76         1791.56         4638.32
1870-1874       90              2283.81         1358.52         3642.34
1870-1874       91              1814.74         1034.48         2849.22
1870-1874       92              1410.10          776.81         2186.92
1870-1874       93              1060.13          563.40         1623.52
1870-1874       94               782.45          403.16         1185.61
1870-1874       95               570.73          273.65          844.38
1870-1874       96               403.11          179.89          583.00
1870-1874       97               273.15          119.89          393.04
1870-1874       98               181.68           75.75          257.44
1870-1874       99               117.12           44.58          161.70
1870-1874      100                72.19           22.95           95.14
1870-1874      101                44.92           11.75           56.67
1870-1874      102                28.49            7.53           36.02
1870-1874      103                16.50            3.53           20.03
1870-1874      104                10.76            0.48           11.24
1870-1874      105                 7.36            0.00            7.36
1870-1874      106                 5.97            0.00            5.97
1870-1874      107                 3.82            0.00            3.82
1870-1874      108                 2.00            0.00            2.00
1870-1874      109                 1.00            0.00            1.00
1870-1874      110+                2.67            0.00            2.67
1875-1879        0                    .               .               .
1875-1879        1                    .               .               .
1875-1879        2                    .               .               .
1875-1879        3                    .               .               .
1875-1879        4                    .               .               .
1875-1879        5                    .               .               .
1875-1879        6                    .               .               .
1875-1879        7                    .               .               .
1875-1879        8                    .               .               .
1875-1879        9                    .               .               .
1875-1879       10                    .               .               .
1875-1879       11                    .               .               .
1875-1879       12                    .               .               .
1875-1879       13                    .               .               .
1875-1879       14                    .               .               .
1875-1879       15                    .               .               .
1875-1879       16                    .               .               .
1875-1879       17                    .               .               .
1875-1879       18                    .               .               .
1875-1879       19                    .               .               .
1875-1879       20                    .               .               .
1875-1879       21                    .               .               .
1875-1879       22                    .               .               .
1875-1879       23                    .               .               .
1875-1879       24                    .               .               .
1875-1879       25                    .               .               .
1875-1879       26                    .               .               .
1875-1879       27                    .               .               .
1875-1879       28                    .               .               .
1875-1879       29                    .               .               .
1875-1879       30                    .               .               .
1875-1879       31                    .               .               .
1875-1879       32                    .               .               .
1875-1879       33                    .               .               .
1875-1879       34                    .               .               .
1875-1879       35                    .               .               .
1875-1879       36                    .               .               .
1875-1879       37                    .               .               .
1875-1879       38                    .               .               .
1875-1879       39                    .               .               .
1875-1879       40                    .               .               .
1875-1879       41                    .               .               .
1875-1879       42                    .               .               .
1875-1879       43                    .               .               .
1875-1879       44                    .               .               .
1875-1879       45                    .               .               .
1875-1879       46                    .               .               .
1875-1879       47                    .               .               .
1875-1879       48                    .               .               .
1875-1879       49                    .               .               .
1875-1879       50                    .               .               .
1875-1879       51                    .               .               .
1875-1879       52                    .               .               .
1875-1879       53                    .               .               .
1875-1879       54                    .               .               .
1875-1879       55                    .               .               .
1875-1879       56                    .               .               .
1875-1879       57                    .               .               .
1875-1879       58                    .               .               .
1875-1879       59                    .               .               .
1875-1879       60                    .               .               .
1875-1879       61                    .               .               .
1875-1879       62                    .               .               .
1875-1879       63                    .               .               .
1875-1879       64                    .               .               .
1875-1879       65                    .               .               .
1875-1879       66                    .               .               .
1875-1879       67                    .               .               .
1875-1879       68                    .               .               .
1875-1879       69                    .               .               .
1875-1879       70             12370.87        11547.67        23918.53
1875-1879       71             17267.44        16028.57        33296.01
1875-1879       72             21517.46        19946.87        41464.33
1875-1879       73             25118.69        23127.78        48246.47
1875-1879       74             23798.34        21641.44        45439.78
1875-1879       75             22398.69        20109.23        42507.91
1875-1879       76             21122.68        18614.57        39737.25
1875-1879       77             19907.09        17207.27        37114.36
1875-1879       78             18596.03        15704.13        34300.16
1875-1879       79             17208.57        14137.65        31346.22
1875-1879       80             16650.17        13029.05        29679.22
1875-1879       81             15245.08        11590.89        26835.97
1875-1879       82             13841.50        10230.43        24071.93
1875-1879       83             12361.66         8836.22        21197.88
1875-1879       84             10885.35         7508.74        18394.09
1875-1879       85              9465.50         6291.53        15757.03
1875-1879       86              8104.75         5181.03        13285.78
1875-1879       87              6831.30         4180.88        11012.18
1875-1879       88              5714.28         3312.25         9026.53
1875-1879       89              4679.32         2581.10         7260.42
1875-1879       90              3752.79         1979.66         5732.45
1875-1879       91              3002.48         1513.69         4516.17
1875-1879       92              2371.23         1139.05         3510.28
1875-1879       93              1815.76          822.90         2638.66
1875-1879       94              1359.78          597.15         1956.93
1875-1879       95               998.28          418.15         1416.43
1875-1879       96               725.84          279.81         1005.64
1875-1879       97               510.95          185.35          696.30
1875-1879       98               339.86          116.61          456.48
1875-1879       99               221.42           65.95          287.37
1875-1879      100               140.49           36.40          176.89
1875-1879      101                83.42           19.37          102.78
1875-1879      102                49.78           13.07           62.85
1875-1879      103                33.99            7.37           41.36
1875-1879      104                21.39            1.33           22.72
1875-1879      105                14.67            0.00           14.67
1875-1879      106                 9.00            0.00            9.00
1875-1879      107                 4.00            0.00            4.00
1875-1879      108                 2.00            0.00            2.00
1875-1879      109                 1.00            0.00            1.00
1875-1879      110+                0.00            0.00            0.00
1880-1884        0                    .               .               .
1880-1884        1                    .               .               .
1880-1884        2                    .               .               .
1880-1884        3                    .               .               .
1880-1884        4                    .               .               .
1880-1884        5                    .               .               .
1880-1884        6                    .               .               .
1880-1884        7                    .               .               .
1880-1884        8                    .               .               .
1880-1884        9                    .               .               .
1880-1884       10                    .               .               .
1880-1884       11                    .               .               .
1880-1884       12                    .               .               .
1880-1884       13                    .               .               .
1880-1884       14                    .               .               .
1880-1884       15                    .               .               .
1880-1884       16                    .               .               .
1880-1884       17                    .               .               .
1880-1884       18                    .               .               .
1880-1884       19                    .               .               .
1880-1884       20                    .               .               .
1880-1884       21                    .               .               .
1880-1884       22                    .               .               .
1880-1884       23                    .               .               .
1880-1884       24                    .               .               .
1880-1884       25                    .               .               .
1880-1884       26                    .               .               .
1880-1884       27                    .               .               .
1880-1884       28                    .               .               .
1880-1884       29                    .               .               .
1880-1884       30                    .               .               .
1880-1884       31                    .               .               .
1880-1884       32                    .               .               .
1880-1884       33                    .               .               .
1880-1884       34                    .               .               .
1880-1884       35                    .               .               .
1880-1884       36                    .               .               .
1880-1884       37                    .               .               .
1880-1884       38                    .               .               .
1880-1884       39                    .               .               .
1880-1884       40                    .               .               .
1880-1884       41                    .               .               .
1880-1884       42                    .               .               .
1880-1884       43                    .               .               .
1880-1884       44                    .               .               .
1880-1884       45                    .               .               .
1880-1884       46                    .               .               .
1880-1884       47                    .               .               .
1880-1884       48                    .               .               .
1880-1884       49                    .               .               .
1880-1884       50                    .               .               .
1880-1884       51                    .               .               .
1880-1884       52                    .               .               .
1880-1884       53                    .               .               .
1880-1884       54                    .               .               .
1880-1884       55                    .               .               .
1880-1884       56                    .               .               .
1880-1884       57                    .               .               .
1880-1884       58                    .               .               .
1880-1884       59                    .               .               .
1880-1884       60                    .               .               .
1880-1884       61                    .               .               .
1880-1884       62                    .               .               .
1880-1884       63                    .               .               .
1880-1884       64                    .               .               .
1880-1884       65             14623.40        14392.25        29015.65
1880-1884       66             21386.82        20875.91        42262.73
1880-1884       67             28414.78        27334.22        55749.01
1880-1884       68             35316.10        33381.79        68697.90
1880-1884       69             34491.63        31995.01        66486.63
1880-1884       70             33371.73        30498.75        63870.49
1880-1884       71             31734.29        28669.56        60403.85
1880-1884       72             30439.63        27170.86        57610.49
1880-1884       73             29044.51        25426.95        54471.46
1880-1884       74             27605.92        23676.77        51282.69
1880-1884       75             26280.47        22094.38        48374.85
1880-1884       76             24901.40        20491.61        45393.01
1880-1884       77             23453.85        18814.80        42268.64
1880-1884       78             22016.22        17133.07        39149.29
1880-1884       79             20213.29        15370.05        35583.34
1880-1884       80             19396.48        14407.81        33804.29
1880-1884       81             17779.78        12803.90        30583.68
1880-1884       82             16228.86        11236.98        27465.84
1880-1884       83             14597.09         9724.83        24321.92
1880-1884       84             12901.65         8275.72        21177.37
1880-1884       85             11234.89         6916.21        18151.10
1880-1884       86              9672.23         5705.61        15377.84
1880-1884       87              8220.95         4605.79        12826.74
1880-1884       88              6908.25         3642.04        10550.28
1880-1884       89              5693.70         2854.39         8548.09
1880-1884       90              4600.39         2199.94         6800.34
1880-1884       91              3682.43         1680.22         5362.65
1880-1884       92              2905.47         1248.32         4153.79
1880-1884       93              2248.41          905.04         3153.45
1880-1884       94              1713.26          650.43         2363.68
1880-1884       95              1286.34          459.43         1745.77
1880-1884       96               939.29          315.59         1254.88
1880-1884       97               681.88          211.33          893.20
1880-1884       98               481.40          136.36          617.76
1880-1884       99               334.88           89.20          424.08
1880-1884      100               223.86           53.65          277.51
1880-1884      101               145.53           30.65          176.17
1880-1884      102                92.86           14.98          107.84
1880-1884      103                55.19            5.31           60.51
1880-1884      104                35.86            3.98           39.84
1880-1884      105                25.86            2.65           28.51
1880-1884      106                17.54            1.31           18.85
1880-1884      107                 7.61            0.98            8.59
1880-1884      108                 3.98            0.98            4.96
1880-1884      109                 2.33            0.98            3.31
1880-1884      110+                0.00            0.67            0.67
1885-1889        0                    .               .               .
1885-1889        1                    .               .               .
1885-1889        2                    .               .               .
1885-1889        3                    .               .               .
1885-1889        4                    .               .               .
1885-1889        5                    .               .               .
1885-1889        6                    .               .               .
1885-1889        7                    .               .               .
1885-1889        8                    .               .               .
1885-1889        9                    .               .               .
1885-1889       10                    .               .               .
1885-1889       11                    .               .               .
1885-1889       12                    .               .               .
1885-1889       13                    .               .               .
1885-1889       14                    .               .               .
1885-1889       15                    .               .               .
1885-1889       16                    .               .               .
1885-1889       17                    .               .               .
1885-1889       18                    .               .               .
1885-1889       19                    .               .               .
1885-1889       20                    .               .               .
1885-1889       21                    .               .               .
1885-1889       22                    .               .               .
1885-1889       23                    .               .               .
1885-1889       24                    .               .               .
1885-1889       25                    .               .               .
1885-1889       26                    .               .               .
1885-1889       27                    .               .               .
1885-1889       28                    .               .               .
1885-1889       29                    .               .               .
1885-1889       30                    .               .               .
1885-1889       31                    .               .               .
1885-1889       32                    .               .               .
1885-1889       33                    .               .               .
1885-1889       34                    .               .               .
1885-1889       35                    .               .               .
1885-1889       36                    .               .               .
1885-1889       37                    .               .               .
1885-1889       38                    .               .               .
1885-1889       39                    .               .               .
1885-1889       40                    .               .               .
1885-1889       41                    .               .               .
1885-1889       42                    .               .               .
1885-1889       43                    .               .               .
1885-1889       44                    .               .               .
1885-1889       45                    .               .               .
1885-1889       46                    .               .               .
1885-1889       47                    .               .               .
1885-1889       48                    .               .               .
1885-1889       49                    .               .               .
1885-1889       50                    .               .               .
1885-1889       51                    .               .               .
1885-1889       52                    .               .               .
1885-1889       53                    .               .               .
1885-1889       54                    .               .               .
1885-1889       55                    .               .               .
1885-1889       56                    .               .               .
1885-1889       57                    .               .               .
1885-1889       58                    .               .               .
1885-1889       59                    .               .               .
1885-1889       60             16420.49        15910.35        32330.84
1885-1889       61             24417.63        23569.80        47987.43
1885-1889       62             32447.30        31191.25        63638.55
1885-1889       63             40080.73        38316.93        78397.66
1885-1889       64             39392.35        37211.78        76604.13
1885-1889       65             38868.32        35868.82        74737.13
1885-1889       66             37954.39        34547.04        72501.43
1885-1889       67             37437.50        33540.68        70978.18
1885-1889       68             36838.18        32388.14        69226.33
1885-1889       69             35961.29        31046.69        67007.98
1885-1889       70             34863.55        29511.88        64375.43
1885-1889       71             33759.56        28062.34        61821.90
1885-1889       72             32563.49        26369.94        58933.43
1885-1889       73             31016.52        24787.80        55804.32
1885-1889       74             29701.66        23160.95        52862.61
1885-1889       75             28218.22        21564.72        49782.94
1885-1889       76             27079.62        20070.32        47149.93
1885-1889       77             25468.62        18282.20        43750.82
1885-1889       78             23742.38        16541.50        40283.89
1885-1889       79             21889.05        14818.82        36707.87
1885-1889       80             21103.35        13640.31        34743.65
1885-1889       81             19440.13        12094.70        31534.84
1885-1889       82             17806.99        10631.78        28438.77
1885-1889       83             16013.26         9185.48        25198.74
1885-1889       84             14192.66         7813.47        22006.13
1885-1889       85             12490.67         6535.68        19026.35
1885-1889       86             10844.79         5397.82        16242.61
1885-1889       87              9294.38         4390.34        13684.71
1885-1889       88              7943.77         3529.09        11472.86
1885-1889       89              6688.99         2788.17         9477.16
1885-1889       90              5548.98         2171.69         7720.67
1885-1889       91              4547.55         1674.83         6222.38
1885-1889       92              3650.60         1277.77         4928.37
1885-1889       93              2883.12          936.84         3819.96
1885-1889       94              2266.14          670.95         2937.09
1885-1889       95              1744.16          482.97         2227.13
1885-1889       96              1294.16          336.64         1630.80
1885-1889       97               925.49          232.14         1157.63
1885-1889       98               653.49          151.64          805.13
1885-1889       99               465.16           97.64          562.80
1885-1889      100               324.49           57.64          382.13
1885-1889      101               214.25           30.64          244.88
1885-1889      102               144.85           21.79          166.64
1885-1889      103                94.48           14.88          109.36
1885-1889      104                59.04            9.92           68.96
1885-1889      105                34.96            6.96           41.92
1885-1889      106                21.00            4.67           25.67
1885-1889      107                13.33            2.33           15.67
