Australia, Exposure to risk (cohort 5x1), 	Last modified: 10 Oct 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1845           0                    .               .               .
  1845         1-4                    .               .               .
  1845         5-9                    .               .               .
  1845        10-14                   .               .               .
  1845        15-19                   .               .               .
  1845        20-24                   .               .               .
  1845        25-29                   .               .               .
  1845        30-34                   .               .               .
  1845        35-39                   .               .               .
  1845        40-44                   .               .               .
  1845        45-49                   .               .               .
  1845        50-54                   .               .               .
  1845        55-59                   .               .               .
  1845        60-64                   .               .               .
  1845        65-69                   .               .               .
  1845        70-74                   .               .               .
  1845        75-79                   .               .               .
  1845        80-84            13981.79        11527.08        25508.87
  1845        85-89             6458.25         4629.82        11088.07
  1845        90-94             2030.11         1230.65         3260.77
  1845        95-99              357.94          188.65          546.59
  1845       100-104              23.35           13.41           36.77
  1845       105-109               0.10            0.00            0.10
  1845       110+                  0.00            0.00            0.00
  1846           0                    .               .               .
  1846         1-4                    .               .               .
  1846         5-9                    .               .               .
  1846        10-14                   .               .               .
  1846        15-19                   .               .               .
  1846        20-24                   .               .               .
  1846        25-29                   .               .               .
  1846        30-34                   .               .               .
  1846        35-39                   .               .               .
  1846        40-44                   .               .               .
  1846        45-49                   .               .               .
  1846        50-54                   .               .               .
  1846        55-59                   .               .               .
  1846        60-64                   .               .               .
  1846        65-69                   .               .               .
  1846        70-74                   .               .               .
  1846        75-79            22054.11        20365.40        42419.51
  1846        80-84            14138.49        11533.64        25672.13
  1846        85-89             6593.82         4622.40        11216.22
  1846        90-94             2102.64         1231.06         3333.71
  1846        95-99              346.36          197.11          543.47
  1846       100-104              25.48           14.92           40.41
  1846       105-109               0.11            0.00            0.11
  1846       110+                  0.00            0.00            0.00
  1847           0                    .               .               .
  1847         1-4                    .               .               .
  1847         5-9                    .               .               .
  1847        10-14                   .               .               .
  1847        15-19                   .               .               .
  1847        20-24                   .               .               .
  1847        25-29                   .               .               .
  1847        30-34                   .               .               .
  1847        35-39                   .               .               .
  1847        40-44                   .               .               .
  1847        45-49                   .               .               .
  1847        50-54                   .               .               .
  1847        55-59                   .               .               .
  1847        60-64                   .               .               .
  1847        65-69                   .               .               .
  1847        70-74                   .               .               .
  1847        75-79            22226.92        21164.95        43391.88
  1847        80-84            14269.55        12049.77        26319.32
  1847        85-89             6532.69         4852.83        11385.52
  1847        90-94             2026.62         1363.77         3390.39
  1847        95-99              330.33          226.85          557.18
  1847       100-104              26.75           12.34           39.10
  1847       105-109               0.00            0.00            0.00
  1847       110+                  0.00            0.00            0.00
  1848           0                    .               .               .
  1848         1-4                    .               .               .
  1848         5-9                    .               .               .
  1848        10-14                   .               .               .
  1848        15-19                   .               .               .
  1848        20-24                   .               .               .
  1848        25-29                   .               .               .
  1848        30-34                   .               .               .
  1848        35-39                   .               .               .
  1848        40-44                   .               .               .
  1848        45-49                   .               .               .
  1848        50-54                   .               .               .
  1848        55-59                   .               .               .
  1848        60-64                   .               .               .
  1848        65-69                   .               .               .
  1848        70-74                   .               .               .
  1848        75-79            22835.85        22269.57        45105.42
  1848        80-84            14463.94        12627.30        27091.25
  1848        85-89             6743.82         5092.33        11836.15
  1848        90-94             2109.04         1392.22         3501.27
  1848        95-99              363.33          219.43          582.76
  1848       100-104              30.51           11.17           41.68
  1848       105-109               0.10            0.00            0.10
  1848       110+                  0.00            0.00            0.00
  1849           0                    .               .               .
  1849         1-4                    .               .               .
  1849         5-9                    .               .               .
  1849        10-14                   .               .               .
  1849        15-19                   .               .               .
  1849        20-24                   .               .               .
  1849        25-29                   .               .               .
  1849        30-34                   .               .               .
  1849        35-39                   .               .               .
  1849        40-44                   .               .               .
  1849        45-49                   .               .               .
  1849        50-54                   .               .               .
  1849        55-59                   .               .               .
  1849        60-64                   .               .               .
  1849        65-69                   .               .               .
  1849        70-74                   .               .               .
  1849        75-79            24090.37        23854.86        47945.23
  1849        80-84            15756.61        13825.72        29582.33
  1849        85-89             7396.51         5399.41        12795.92
  1849        90-94             2327.15         1389.27         3716.42
  1849        95-99              422.02          226.87          648.88
  1849       100-104              28.90           10.14           39.04
  1849       105-109               0.00            0.00            0.00
  1849       110+                  0.00            0.00            0.00
  1850           0                    .               .               .
  1850         1-4                    .               .               .
  1850         5-9                    .               .               .
  1850        10-14                   .               .               .
  1850        15-19                   .               .               .
  1850        20-24                   .               .               .
  1850        25-29                   .               .               .
  1850        30-34                   .               .               .
  1850        35-39                   .               .               .
  1850        40-44                   .               .               .
  1850        45-49                   .               .               .
  1850        50-54                   .               .               .
  1850        55-59                   .               .               .
