West Germany, Exposure to risk (cohort 5x1), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1876           0                    .               .               .
  1876         1-4                    .               .               .
  1876         5-9                    .               .               .
  1876        10-14                   .               .               .
  1876        15-19                   .               .               .
  1876        20-24                   .               .               .
  1876        25-29                   .               .               .
  1876        30-34                   .               .               .
  1876        35-39                   .               .               .
  1876        40-44                   .               .               .
  1876        45-49                   .               .               .
  1876        50-54                   .               .               .
  1876        55-59                   .               .               .
  1876        60-64                   .               .               .
  1876        65-69                   .               .               .
  1876        70-74                   .               .               .
  1876        75-79                   .               .               .
  1876        80-84           336943.33       250055.35       586998.67
  1876        85-89           145686.79        95797.16       241483.95
  1876        90-94            41539.48        23396.07        64935.54
  1876        95-99             6624.67         3076.69         9701.36
  1876       100-104             434.00          185.33          619.33
  1876       105-109              14.00            2.33           16.33
  1876       110+                  0.00            0.00            0.00
  1877           0                    .               .               .
  1877         1-4                    .               .               .
  1877         5-9                    .               .               .
  1877        10-14                   .               .               .
  1877        15-19                   .               .               .
  1877        20-24                   .               .               .
  1877        25-29                   .               .               .
  1877        30-34                   .               .               .
  1877        35-39                   .               .               .
  1877        40-44                   .               .               .
  1877        45-49                   .               .               .
  1877        50-54                   .               .               .
  1877        55-59                   .               .               .
  1877        60-64                   .               .               .
  1877        65-69                   .               .               .
  1877        70-74                   .               .               .
  1877        75-79                   .               .               .
  1877        80-84           351028.19       255137.64       606165.83
  1877        85-89           152894.60        98232.86       251127.47
  1877        90-94            43832.59        24121.16        67953.74
  1877        95-99             6836.69         3231.04        10067.72
  1877       100-104             490.00          176.00          666.00
  1877       105-109              24.00            3.67           27.67
  1877       110+                  0.00            0.00            0.00
  1878           0                    .               .               .
  1878         1-4                    .               .               .
  1878         5-9                    .               .               .
  1878        10-14                   .               .               .
  1878        15-19                   .               .               .
  1878        20-24                   .               .               .
  1878        25-29                   .               .               .
  1878        30-34                   .               .               .
  1878        35-39                   .               .               .
  1878        40-44                   .               .               .
  1878        45-49                   .               .               .
  1878        50-54                   .               .               .
  1878        55-59                   .               .               .
  1878        60-64                   .               .               .
  1878        65-69                   .               .               .
  1878        70-74                   .               .               .
  1878        75-79                   .               .               .
  1878        80-84           362460.79       253854.60       616315.39
  1878        85-89           160085.79        98149.82       258235.61
  1878        90-94            45217.33        24054.60        69271.94
  1878        95-99             7162.04         3318.73        10480.77
  1878       100-104             555.67          214.33          770.00
  1878       105-109              29.33           12.00           41.33
  1878       110+                  0.00            0.00            0.00
  1879           0                    .               .               .
  1879         1-4                    .               .               .
  1879         5-9                    .               .               .
  1879        10-14                   .               .               .
  1879        15-19                   .               .               .
  1879        20-24                   .               .               .
  1879        25-29                   .               .               .
  1879        30-34                   .               .               .
  1879        35-39                   .               .               .
  1879        40-44                   .               .               .
  1879        45-49                   .               .               .
  1879        50-54                   .               .               .
  1879        55-59                   .               .               .
  1879        60-64                   .               .               .
  1879        65-69                   .               .               .
  1879        70-74                   .               .               .
  1879        75-79                   .               .               .
  1879        80-84           372810.24       256088.99       628899.23
  1879        85-89           166095.94       100435.55       266531.49
  1879        90-94            47104.03        24195.90        71299.93
  1879        95-99             7420.36         3192.04        10612.40
  1879       100-104             599.33          181.67          781.00
  1879       105-109              25.00            4.33           29.33
  1879       110+                  0.00            0.00            0.00
  1880           0                    .               .               .
  1880         1-4                    .               .               .
  1880         5-9                    .               .               .
  1880        10-14                   .               .               .
  1880        15-19                   .               .               .
  1880        20-24                   .               .               .
  1880        25-29                   .               .               .
  1880        30-34                   .               .               .
  1880        35-39                   .               .               .
  1880        40-44                   .               .               .
  1880        45-49                   .               .               .
  1880        50-54                   .               .               .
  1880        55-59                   .               .               .
  1880        60-64                   .               .               .
  1880        65-69                   .               .               .
  1880        70-74                   .               .               .
  1880        75-79                   .               .               .
  1880        80-84           377802.24       254035.86       631838.09
  1880        85-89           169497.79        99590.35       269088.13
  1880        90-94            48970.15        24358.88        73329.03
  1880        95-99             8596.36         3553.69        12150.05
  1880       100-104             878.33          301.67         1180.00
  1880       105-109             166.67           47.00          213.67
  1880       110+                  1.00            0.33            1.33
  1881           0                    .               .               .
  1881         1-4                    .               .               .
  1881         5-9                    .               .               .
  1881        10-14                   .               .               .
  1881        15-19                   .               .               .
  1881        20-24                   .               .               .
  1881        25-29                   .               .               .
  1881        30-34                   .               .               .
  1881        35-39                   .               .               .
  1881        40-44                   .               .               .
  1881        45-49                   .               .               .
  1881        50-54                   .               .               .
  1881        55-59                   .               .               .
  1881        60-64                   .               .               .
  1881        65-69                   .               .               .
