Luxembourg, Exposure to risk (cohort 5x1), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1886           0                    .               .               .
  1886         1-4                    .               .               .
  1886         5-9                    .               .               .
  1886        10-14                   .               .               .
  1886        15-19                   .               .               .
  1886        20-24                   .               .               .
  1886        25-29                   .               .               .
  1886        30-34                   .               .               .
  1886        35-39                   .               .               .
  1886        40-44                   .               .               .
  1886        45-49                   .               .               .
  1886        50-54                   .               .               .
  1886        55-59                   .               .               .
  1886        60-64                   .               .               .
  1886        65-69                   .               .               .
  1886        70-74                   .               .               .
  1886        75-79             3939.31         2845.28         6784.59
  1886        80-84             2295.47         1525.66         3821.13
  1886        85-89             1046.03          582.93         1628.97
  1886        90-94              314.06          131.10          445.15
  1886        95-99               66.88            8.67           75.55
  1886       100-104               7.36            0.25            7.61
  1886       105-109               0.00            0.00            0.00
  1886       110+                  0.00            0.00            0.00
  1887           0                    .               .               .
  1887         1-4                    .               .               .
  1887         5-9                    .               .               .
  1887        10-14                   .               .               .
  1887        15-19                   .               .               .
  1887        20-24                   .               .               .
  1887        25-29                   .               .               .
  1887        30-34                   .               .               .
  1887        35-39                   .               .               .
  1887        40-44                   .               .               .
  1887        45-49                   .               .               .
  1887        50-54                   .               .               .
  1887        55-59                   .               .               .
  1887        60-64                   .               .               .
  1887        65-69                   .               .               .
  1887        70-74                   .               .               .
  1887        75-79             3868.76         2775.60         6644.36
  1887        80-84             2424.48         1578.75         4003.23
  1887        85-89             1130.09          615.78         1745.86
  1887        90-94              353.44          152.63          506.07
  1887        95-99               75.33           11.29           86.63
  1887       100-104               5.45            0.21            5.65
  1887       105-109               0.00            0.00            0.00
  1887       110+                  0.00            0.00            0.00
  1888           0                    .               .               .
  1888         1-4                    .               .               .
  1888         5-9                    .               .               .
  1888        10-14                   .               .               .
  1888        15-19                   .               .               .
  1888        20-24                   .               .               .
  1888        25-29                   .               .               .
  1888        30-34                   .               .               .
  1888        35-39                   .               .               .
  1888        40-44                   .               .               .
  1888        45-49                   .               .               .
  1888        50-54                   .               .               .
  1888        55-59                   .               .               .
  1888        60-64                   .               .               .
  1888        65-69                   .               .               .
  1888        70-74                   .               .               .
  1888        75-79             3924.22         2973.75         6897.97
  1888        80-84             2487.35         1568.62         4055.97
  1888        85-89             1117.81          599.83         1717.63
  1888        90-94              340.18          160.88          501.06
  1888        95-99               73.30           13.81           87.11
  1888       100-104               4.92            0.27            5.19
  1888       105-109               0.00            0.00            0.00
  1888       110+                  0.00            0.00            0.00
  1889           0                    .               .               .
  1889         1-4                    .               .               .
  1889         5-9                    .               .               .
  1889        10-14                   .               .               .
  1889        15-19                   .               .               .
  1889        20-24                   .               .               .
  1889        25-29                   .               .               .
  1889        30-34                   .               .               .
  1889        35-39                   .               .               .
  1889        40-44                   .               .               .
  1889        45-49                   .               .               .
  1889        50-54                   .               .               .
  1889        55-59                   .               .               .
  1889        60-64                   .               .               .
  1889        65-69                   .               .               .
  1889        70-74                   .               .               .
  1889        75-79             4062.31         2757.54         6819.85
  1889        80-84             2385.95         1487.59         3873.54
  1889        85-89             1046.22          558.04         1604.26
  1889        90-94              324.78          151.17          475.94
  1889        95-99               56.26           19.75           76.01
  1889       100-104               2.06            0.46            2.52
  1889       105-109               0.00            0.00            0.00
  1889       110+                  0.00            0.00            0.00
  1890           0                    .               .               .
  1890         1-4                    .               .               .
  1890         5-9                    .               .               .
  1890        10-14                   .               .               .
  1890        15-19                   .               .               .
  1890        20-24                   .               .               .
  1890        25-29                   .               .               .
  1890        30-34                   .               .               .
  1890        35-39                   .               .               .
  1890        40-44                   .               .               .
  1890        45-49                   .               .               .
  1890        50-54                   .               .               .
  1890        55-59                   .               .               .
  1890        60-64                   .               .               .
  1890        65-69                   .               .               .
  1890        70-74             5477.48         4183.66         9661.14
  1890        75-79             4087.95         2697.47         6785.42
  1890        80-84             2555.71         1400.32         3956.03
  1890        85-89             1184.89          536.73         1721.62
  1890        90-94              364.00          166.88          530.88
  1890        95-99               64.75           23.86           88.61
  1890       100-104               7.05            0.20            7.26
  1890       105-109               1.65            0.00            1.65
  1890       110+                  0.00            0.00            0.00
  1891           0                    .               .               .
  1891         1-4                    .               .               .
  1891         5-9                    .               .               .
  1891        10-14                   .               .               .
  1891        15-19                   .               .               .
  1891        20-24                   .               .               .
  1891        25-29                   .               .               .
  1891        30-34                   .               .               .
  1891        35-39                   .               .               .
  1891        40-44                   .               .               .
  1891        45-49                   .               .               .
  1891        50-54                   .               .               .
  1891        55-59                   .               .               .
  1891        60-64                   .               .               .
  1891        65-69                   .               .               .
  1891        70-74             5563.04         4296.07         9859.11
  1891        75-79             4233.84         2767.42         7001.26
  1891        80-84             2625.53         1465.63         4091.16
  1891        85-89             1227.74          557.31         1785.05
  1891        90-94              384.47          166.07          550.54
  1891        95-99               71.01           21.82           92.83
  1891       100-104              10.42            0.00           10.42
  1891       105-109               2.58            0.00            2.58
  1891       110+                  0.00            0.00            0.00
  1892           0                    .               .               .
  1892         1-4                    .               .               .
  1892         5-9                    .               .               .
  1892        10-14                   .               .               .
  1892        15-19                   .               .               .
  1892        20-24                   .               .               .
  1892        25-29                   .               .               .
  1892        30-34                   .               .               .
  1892        35-39                   .               .               .
  1892        40-44                   .               .               .
  1892        45-49                   .               .               .
  1892        50-54                   .               .               .
  1892        55-59                   .               .               .
  1892        60-64                   .               .               .
  1892        65-69                   .               .               .
  1892        70-74             5707.00         4452.66        10159.66
  1892        75-79             4199.04         2985.14         7184.18
  1892        80-84             2757.17         1509.32         4266.48
  1892        85-89             1327.31          541.27         1868.57
  1892        90-94              411.27          144.84          556.12
  1892        95-99               78.99           23.10          102.09
  1892       100-104              19.26            1.10           20.36
  1892       105-109               2.38            0.00            2.38
  1892       110+                  0.00            0.00            0.00
  1893           0                    .               .               .
  1893         1-4                    .               .               .
  1893         5-9                    .               .               .
  1893        10-14                   .               .               .
  1893        15-19                   .               .               .
  1893        20-24                   .               .               .
  1893        25-29                   .               .               .
  1893        30-34                   .               .               .
  1893        35-39                   .               .               .
  1893        40-44                   .               .               .
  1893        45-49                   .               .               .
  1893        50-54                   .               .               .
  1893        55-59                   .               .               .
  1893        60-64                   .               .               .
  1893        65-69                   .               .               .
