Slovenia, Exposure to risk (cohort 5x1), 	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1904           0                    .               .               .
  1904         1-4                    .               .               .
  1904         5-9                    .               .               .
  1904        10-14                   .               .               .
  1904        15-19                   .               .               .
  1904        20-24                   .               .               .
  1904        25-29                   .               .               .
  1904        30-34                   .               .               .
  1904        35-39                   .               .               .
  1904        40-44                   .               .               .
  1904        45-49                   .               .               .
  1904        50-54                   .               .               .
  1904        55-59                   .               .               .
  1904        60-64                   .               .               .
  1904        65-69                   .               .               .
  1904        70-74                   .               .               .
  1904        75-79                   .               .               .
  1904        80-84            17581.08         7882.00        25463.08
  1904        85-89             8861.75         3228.67        12090.42
  1904        90-94             3079.75          900.00         3979.75
  1904        95-99              616.42          162.67          779.08
  1904       100-104              83.42           10.67           94.08
  1904       105-109               5.21            0.00            5.21
  1904       110+                  0.00            0.00            0.00
  1905           0                    .               .               .
  1905         1-4                    .               .               .
  1905         5-9                    .               .               .
  1905        10-14                   .               .               .
  1905        15-19                   .               .               .
  1905        20-24                   .               .               .
  1905        25-29                   .               .               .
  1905        30-34                   .               .               .
  1905        35-39                   .               .               .
  1905        40-44                   .               .               .
  1905        45-49                   .               .               .
  1905        50-54                   .               .               .
  1905        55-59                   .               .               .
  1905        60-64                   .               .               .
  1905        65-69                   .               .               .
  1905        70-74                   .               .               .
  1905        75-79                   .               .               .
  1905        80-84            18078.40         8082.68        26161.08
  1905        85-89             9190.07         3395.02        12585.08
  1905        90-94             3292.73          961.35         4254.08
  1905        95-99              728.07          146.68          874.75
  1905       100-104              89.85           12.59          102.44
  1905       105-109               6.34            0.00            6.34
  1905       110+                  0.00            0.00            0.00
  1906           0                    .               .               .
  1906         1-4                    .               .               .
  1906         5-9                    .               .               .
  1906        10-14                   .               .               .
  1906        15-19                   .               .               .
  1906        20-24                   .               .               .
  1906        25-29                   .               .               .
  1906        30-34                   .               .               .
  1906        35-39                   .               .               .
  1906        40-44                   .               .               .
  1906        45-49                   .               .               .
  1906        50-54                   .               .               .
  1906        55-59                   .               .               .
  1906        60-64                   .               .               .
  1906        65-69                   .               .               .
  1906        70-74                   .               .               .
  1906        75-79                   .               .               .
  1906        80-84            19718.55         8607.83        28326.38
  1906        85-89            10550.22         3559.50        14109.72
  1906        90-94             3917.55         1001.83         4919.38
  1906        95-99              912.55          176.50         1089.05
  1906       100-104             137.69           16.62          154.31
  1906       105-109               7.16            0.63            7.79
  1906       110+                  0.00            0.00            0.00
  1907           0                    .               .               .
  1907         1-4                    .               .               .
  1907         5-9                    .               .               .
  1907        10-14                   .               .               .
  1907        15-19                   .               .               .
  1907        20-24                   .               .               .
  1907        25-29                   .               .               .
  1907        30-34                   .               .               .
  1907        35-39                   .               .               .
  1907        40-44                   .               .               .
  1907        45-49                   .               .               .
  1907        50-54                   .               .               .
  1907        55-59                   .               .               .
  1907        60-64                   .               .               .
  1907        65-69                   .               .               .
  1907        70-74                   .               .               .
  1907        75-79                   .               .               .
  1907        80-84            19555.72         8546.82        28102.53
  1907        85-89            10303.38         3640.15        13943.53
  1907        90-94             3851.05         1059.15         4910.20
  1907        95-99              906.38          191.48         1097.87
  1907       100-104             124.78           14.86          139.64
  1907       105-109               5.08            0.15            5.23
  1907       110+                  0.00            0.00            0.00
  1908           0                    .               .               .
  1908         1-4                    .               .               .
  1908         5-9                    .               .               .
  1908        10-14                   .               .               .
  1908        15-19                   .               .               .
  1908        20-24                   .               .               .
  1908        25-29                   .               .               .
  1908        30-34                   .               .               .
  1908        35-39                   .               .               .
  1908        40-44                   .               .               .
  1908        45-49                   .               .               .
  1908        50-54                   .               .               .
  1908        55-59                   .               .               .
  1908        60-64                   .               .               .
  1908        65-69                   .               .               .
  1908        70-74                   .               .               .
  1908        75-79            30149.33        16900.33        47049.67
  1908        80-84            20580.07         9461.88        30041.95
  1908        85-89            10845.07         3962.55        14807.62
  1908        90-94             4171.73         1159.88         5331.62
  1908        95-99             1036.07          200.88         1236.95
  1908       100-104             132.51           20.48          152.99
  1908       105-109               4.31            0.10            4.41
  1908       110+                  0.00            0.00            0.00
  1909           0                    .               .               .
  1909         1-4                    .               .               .
  1909         5-9                    .               .               .
  1909        10-14                   .               .               .
  1909        15-19                   .               .               .
  1909        20-24                   .               .               .
  1909        25-29                   .               .               .
  1909        30-34                   .               .               .
  1909        35-39                   .               .               .
  1909        40-44                   .               .               .
  1909        45-49                   .               .               .
  1909        50-54                   .               .               .
  1909        55-59                   .               .               .
  1909        60-64                   .               .               .
  1909        65-69                   .               .               .
  1909        70-74                   .               .               .
  1909        75-79            31487.00        17969.00        49456.00
  1909        80-84            21471.53        10287.60        31759.13
  1909        85-89            11581.53         4649.60        16231.13
  1909        90-94             4564.53         1412.93         5977.47
  1909        95-99             1101.20          249.93         1351.13
  1909       100-104             140.71           22.26          162.97
  1909       105-109               2.56            0.00            2.56
  1909       110+                     .               .               .
  1910           0                    .               .               .
  1910         1-4                    .               .               .
  1910         5-9                    .               .               .
