Austria, Exposure to risk (cohort 5x10), 	Last modified: 30 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1871-1879        0                    .               .               .
1871-1879      1-4                    .               .               .
1871-1879      5-9                    .               .               .
1871-1879     10-14                   .               .               .
1871-1879     15-19                   .               .               .
1871-1879     20-24                   .               .               .
1871-1879     25-29                   .               .               .
1871-1879     30-34                   .               .               .
1871-1879     35-39                   .               .               .
1871-1879     40-44                   .               .               .
1871-1879     45-49                   .               .               .
1871-1879     50-54                   .               .               .
1871-1879     55-59                   .               .               .
1871-1879     60-64                   .               .               .
1871-1879     65-69                   .               .               .
1871-1879     70-74           611231.74       443179.76      1054411.50
1871-1879     75-79           743736.79       506820.17      1250556.96
1871-1879     80-84           444099.37       270172.88       714272.24
1871-1879     85-89           193103.38       100418.77       293522.15
1871-1879     90-94            54206.85        23366.37        77573.22
1871-1879     95-99             8560.81         3014.69        11575.50
1871-1879    100-104             662.33          202.00          864.33
1871-1879    105-109              22.00           12.67           34.67
1871-1879    110+                  0.00            0.00            0.00
1880-1889        0                    .               .               .
1880-1889      1-4                    .               .               .
1880-1889      5-9                    .               .               .
1880-1889     10-14                   .               .               .
1880-1889     15-19                   .               .               .
1880-1889     20-24                   .               .               .
1880-1889     25-29                   .               .               .
1880-1889     30-34                   .               .               .
1880-1889     35-39                   .               .               .
1880-1889     40-44                   .               .               .
1880-1889     45-49                   .               .               .
1880-1889     50-54                   .               .               .
1880-1889     55-59                   .               .               .
1880-1889     60-64           991911.12       738688.53      1730599.65
1880-1889     65-69          1622477.54      1164450.18      2786927.73
1880-1889     70-74          1441545.54       952160.59      2393706.13
1880-1889     75-79          1079772.43       634102.47      1713874.90
1880-1889     80-84           663573.31       332968.96       996542.27
1880-1889     85-89           300038.33       125946.89       425985.22
1880-1889     90-94            88126.39        30108.16       118234.54
1880-1889     95-99            14856.67         4134.00        18990.67
1880-1889    100-104            1389.00          326.67         1715.67
1880-1889    105-109              71.33            8.33           79.67
1880-1889    110+                  8.00            0.00            8.00
1890-1899        0                    .               .               .
1890-1899      1-4                    .               .               .
1890-1899      5-9                    .               .               .
1890-1899     10-14                   .               .               .
1890-1899     15-19                   .               .               .
1890-1899     20-24                   .               .               .
1890-1899     25-29                   .               .               .
1890-1899     30-34                   .               .               .
1890-1899     35-39                   .               .               .
1890-1899     40-44                   .               .               .
1890-1899     45-49                   .               .               .
1890-1899     50-54          1299785.00      1067850.66      2367635.67
1890-1899     55-59          2248176.12      1752495.71      4000671.83
1890-1899     60-64          2233233.80      1649075.44      3882309.24
1890-1899     65-69          2032853.27      1379614.52      3412467.79
1890-1899     70-74          1738207.59      1047572.95      2785780.53
1890-1899     75-79          1331262.39       686719.22      2017981.61
1890-1899     80-84           853307.26       358836.97      1212144.24
1890-1899     85-89           413139.00       141344.67       554483.67
1890-1899     90-94           137856.33        37895.33       175751.67
1890-1899     95-99            28199.33         6120.00        34319.33
1890-1899    100-104            2990.00          457.00         3447.00
1890-1899    105-109             201.33           13.00          214.33
1890-1899    110+                  1.00            0.33            1.33
1900-1909        0                    .               .               .
1900-1909      1-4                    .               .               .
1900-1909      5-9                    .               .               .
1900-1909     10-14                   .               .               .
1900-1909     15-19                   .               .               .
1900-1909     20-24                   .               .               .
1900-1909     25-29                   .               .               .
1900-1909     30-34                   .               .               .
1900-1909     35-39                   .               .               .
1900-1909     40-44          1472407.58      1244025.66      2716433.24
1900-1909     45-49          2698934.90      2323036.36      5021971.26
1900-1909     50-54          2784315.43      2361504.91      5145820.34
1900-1909     55-59          2682917.03      2201125.47      4884042.49
1900-1909     60-64          2548539.59      1972431.10      4520970.69
1900-1909     65-69          2350064.34      1662372.84      4012437.18
1900-1909     70-74          2053702.21      1284873.24      3338575.45
1900-1909     75-79          1635763.67       871464.00      2507227.67
1900-1909     80-84          1123417.67       491214.33      1614632.00
1900-1909     85-89           617625.00       219936.00       837561.00
1900-1909     90-94           237589.67        67693.67       305283.33
1900-1909     95-99            54507.33        12181.67        66689.00
1900-1909    100-104            6478.00         1133.33         7611.33
1900-1909    105-109             363.67           47.00          410.67
1900-1909    110+                  5.00            0.00            5.00
1910-1919        0                    .               .               .
1910-1919      1-4                    .               .               .
1910-1919      5-9                    .               .               .
1910-1919     10-14                   .               .               .
1910-1919     15-19                   .               .               .
1910-1919     20-24                   .               .               .
1910-1919     25-29                   .               .               .
1910-1919     30-34          1005043.83       774355.91      1779399.74
1910-1919     35-39          2176001.20      1688350.29      3864351.49
1910-1919     40-44          2309573.76      1778010.14      4087583.90
1910-1919     45-49          2266247.37      1729777.15      3996024.52
1910-1919     50-54          2225247.32      1673984.45      3899231.77
1910-1919     55-59          2159249.07      1581427.05      3740676.12
1910-1919     60-64          2064566.21      1437880.95      3502447.16
1910-1919     65-69          1925940.94      1246106.31      3172047.25
1910-1919     70-74          1728660.93      1008261.88      2736922.81
1910-1919     75-79          1449421.13       741512.35      2190933.48
1910-1919     80-84          1076754.73       468193.61      1544948.35
1910-1919     85-89           659180.10       240048.44       899228.53
1910-1919     90-94           287883.50        86757.83       374641.33
1910-1919     95-99            75389.88        18384.34        93774.22
1910-1919    100-104            7986.25         1495.21         9481.46
1910-1919    105-109                  .               .               .
1910-1919    110+                     .               .               .
1920-1929        0                    .               .               .
1920-1929      1-4                    .               .               .
1920-1929      5-9                    .               .               .
1920-1929     10-14                   .               .               .
1920-1929     15-19                   .               .               .
1920-1929     20-24          1294342.25      1208536.71      2502878.96
1920-1929     25-29          2553153.35      2138831.83      4691985.18
1920-1929     30-34          2678020.53      2198255.29      4876275.81
1920-1929     35-39          2644590.61      2169354.33      4813944.94
1920-1929     40-44          2628498.00      2159423.95      4787921.94
1920-1929     45-49          2602875.41      2114134.71      4717010.12
1920-1929     50-54          2556219.53      2026776.46      4582995.98
1920-1929     55-59          2491019.92      1901735.93      4392755.86
1920-1929     60-64          2400145.10      1739291.00      4139436.10
1920-1929     65-69          2271008.54      1538365.70      3809374.24
1920-1929     70-74          2085431.34      1293195.60      3378626.94
1920-1929     75-79          1825452.59      1017662.03      2843114.63
1920-1929     80-84          1458169.41       714249.89      2172419.30
1920-1929     85-89           978619.34       413906.80      1392526.14
