Scotland, Exposure to risk (cohort 5x10), 	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1777-1779        0                    .               .               .
1777-1779      1-4                    .               .               .
1777-1779      5-9                    .               .               .
1777-1779     10-14                   .               .               .
1777-1779     15-19                   .               .               .
1777-1779     20-24                   .               .               .
1777-1779     25-29                   .               .               .
1777-1779     30-34                   .               .               .
1777-1779     35-39                   .               .               .
1777-1779     40-44                   .               .               .
1777-1779     45-49                   .               .               .
1777-1779     50-54                   .               .               .
1777-1779     55-59                   .               .               .
1777-1779     60-64                   .               .               .
1777-1779     65-69                   .               .               .
1777-1779     70-74                   .               .               .
1777-1779     75-79                   .               .               .
1777-1779     80-84            31072.96        19509.18        50582.14
1777-1779     85-89            12836.32         7227.37        20063.69
1777-1779     90-94             4099.41         1917.05         6016.46
1777-1779     95-99             1003.80          358.55         1362.35
1777-1779    100-104             139.71           27.81          167.52
1777-1779    105-109               5.93            0.00            5.93
1777-1779    110+                  0.00            0.00            0.00
1780-1789        0                    .               .               .
1780-1789      1-4                    .               .               .
1780-1789      5-9                    .               .               .
1780-1789     10-14                   .               .               .
1780-1789     15-19                   .               .               .
1780-1789     20-24                   .               .               .
1780-1789     25-29                   .               .               .
1780-1789     30-34                   .               .               .
1780-1789     35-39                   .               .               .
1780-1789     40-44                   .               .               .
1780-1789     45-49                   .               .               .
1780-1789     50-54                   .               .               .
1780-1789     55-59                   .               .               .
1780-1789     60-64                   .               .               .
1780-1789     65-69                   .               .               .
1780-1789     70-74           171298.76       121365.30       292664.07
1780-1789     75-79           165248.17       112247.83       277496.01
1780-1789     80-84           103172.39        64446.27       167618.65
1780-1789     85-89            41266.85        23700.18        64967.02
1780-1789     90-94            12079.54         6007.15        18086.69
1780-1789     95-99             2651.96         1165.81         3817.77
1780-1789    100-104             302.17          122.10          424.27
1780-1789    105-109               3.53            0.40            3.94
1780-1789    110+                  0.00            0.00            0.00
1790-1799        0                    .               .               .
1790-1799      1-4                    .               .               .
1790-1799      5-9                    .               .               .
1790-1799     10-14                   .               .               .
1790-1799     15-19                   .               .               .
1790-1799     20-24                   .               .               .
1790-1799     25-29                   .               .               .
1790-1799     30-34                   .               .               .
1790-1799     35-39                   .               .               .
1790-1799     40-44                   .               .               .
1790-1799     45-49                   .               .               .
1790-1799     50-54                   .               .               .
1790-1799     55-59                   .               .               .
1790-1799     60-64           323413.51       248411.94       571825.46
1790-1799     65-69           368834.90       274549.06       643383.96
1790-1799     70-74           277872.60       199560.89       477433.49
1790-1799     75-79           185400.09       126432.25       311832.35
1790-1799     80-84           103572.22        64973.63       168545.85
1790-1799     85-89            40563.93        22914.55        63478.48
1790-1799     90-94            11777.70         5691.72        17469.42
1790-1799     95-99             2147.32          877.48         3024.80
1790-1799    100-104             223.43           55.31          278.74
1790-1799    105-109               0.77            0.00            0.77
1790-1799    110+                  0.00            0.00            0.00
1800-1809        0                    .               .               .
1800-1809      1-4                    .               .               .
1800-1809      5-9                    .               .               .
1800-1809     10-14                   .               .               .
1800-1809     15-19                   .               .               .
1800-1809     20-24                   .               .               .
1800-1809     25-29                   .               .               .
1800-1809     30-34                   .               .               .
1800-1809     35-39                   .               .               .
1800-1809     40-44                   .               .               .
1800-1809     45-49                   .               .               .
1800-1809     50-54           436012.79       365619.42       801632.21
1800-1809     55-59           566122.84       463120.02      1029242.86
1800-1809     60-64           497623.38       393563.20       891186.58
1800-1809     65-69           413340.93       312747.94       726088.87
1800-1809     70-74           307281.05       221768.67       529049.72
1800-1809     75-79           203798.48       138736.64       342535.12
1800-1809     80-84           113984.04        70714.36       184698.40
1800-1809     85-89            44456.91        24621.68        69078.59
1800-1809     90-94            12300.78         5846.10        18146.88
1800-1809     95-99             2396.01          890.16         3286.17
1800-1809    100-104             218.12           57.10          275.22
1800-1809    105-109               1.01            0.00            1.01
1800-1809    110+                  0.00            0.00            0.00
1810-1819        0                    .               .               .
1810-1819      1-4                    .               .               .
1810-1819      5-9                    .               .               .
1810-1819     10-14                   .               .               .
1810-1819     15-19                   .               .               .
1810-1819     20-24                   .               .               .
1810-1819     25-29                   .               .               .
1810-1819     30-34                   .               .               .
1810-1819     35-39                   .               .               .
1810-1819     40-44           578725.62       491090.38      1069816.00
1810-1819     45-49           757949.26       640825.13      1398774.40
1810-1819     50-54           687687.27       573346.69      1261033.96
1810-1819     55-59           621607.91       504141.37      1125749.28
1810-1819     60-64           539569.22       420375.66       959944.88
1810-1819     65-69           444343.20       329585.45       773928.65
1810-1819     70-74           334718.26       234892.57       569610.83
1810-1819     75-79           219921.60       143871.03       363792.63
1810-1819     80-84           114403.46        67370.64       181774.10
1810-1819     85-89            44875.80        22731.02        67606.83
1810-1819     90-94            11920.77         4778.34        16699.11
1810-1819     95-99             2164.29          629.04         2793.33
1810-1819    100-104             179.98           25.82          205.80
1810-1819    105-109               0.83            0.00            0.83
1810-1819    110+                  0.00            0.00            0.00
1820-1829        0                    .               .               .
1820-1829      1-4                    .               .               .
1820-1829      5-9                    .               .               .
1820-1829     10-14                   .               .               .
1820-1829     15-19                   .               .               .
1820-1829     20-24                   .               .               .
1820-1829     25-29                   .               .               .
1820-1829     30-34           739544.96       607232.99      1346777.96
1820-1829     35-39           980787.51       811097.30      1791884.81
1820-1829     40-44           906662.47       756467.65      1663130.12
1820-1829     45-49           833870.04       696109.02      1529979.06
1820-1829     50-54           749880.10       618832.82      1368712.92
1820-1829     55-59           674583.78       543328.43      1217912.21
1820-1829     60-64           584042.53       453779.25      1037821.78
1820-1829     65-69           479440.12       355186.91       834627.03
1820-1829     70-74           356652.18       249666.36       606318.54
1820-1829     75-79           234004.23       151047.14       385051.37
1820-1829     80-84           125467.86        71624.36       197092.22
1820-1829     85-89            50453.19        24903.49        75356.68
1820-1829     90-94            13734.38         5555.75        19290.13
1820-1829     95-99             2428.20          774.73         3202.93
1820-1829    100-104             181.27           14.17          195.44
1820-1829    105-109               0.09            0.00            0.09
1820-1829    110+                  0.00            0.00            0.00
1830-1839        0                    .               .               .
1830-1839      1-4                    .               .               .
1830-1839      5-9                    .               .               .
1830-1839     10-14                   .               .               .
1830-1839     15-19                   .               .               .
1830-1839     20-24          1001520.51       812760.05      1814280.55
1830-1839     25-29          1307134.72      1048606.34      2355741.06
1830-1839     30-34          1182972.66       957163.11      2140135.77
1830-1839     35-39          1081254.48       891570.83      1972825.32
1830-1839     40-44           993568.20       831439.91      1825008.12
1830-1839     45-49           919475.89       769084.71      1688560.60
1830-1839     50-54           825388.89       682175.78      1507564.67
1830-1839     55-59           739724.95       599940.94      1339665.90
1830-1839     60-64           639559.24       501648.81      1141208.05
1830-1839     65-69           537163.10       396895.26       934058.37
1830-1839     70-74           416035.72       283504.59       699540.31
1830-1839     75-79           271878.87       167777.30       439656.18
1830-1839     80-84           146542.56        80010.14       226552.70
1830-1839     85-89            58408.23        26931.46        85339.69
1830-1839     90-94            15047.95         5336.37        20384.32
1830-1839     95-99             2495.85          678.96         3174.81
1830-1839    100-104             153.97           26.84          180.81
1830-1839    105-109               0.09            0.00            0.09
1830-1839    110+                  0.00            0.00            0.00
1840-1849        0                    .               .               .
1840-1849      1-4                    .               .               .
1840-1849      5-9                    .               .               .
1840-1849     10-14          1112981.18      1108130.46      2221111.65
1840-1849     15-19          1563361.00      1481171.87      3044532.87
1840-1849     20-24          1496502.96      1342904.26      2839407.22
1840-1849     25-29          1382460.71      1193975.60      2576436.31
1840-1849     30-34          1254040.14      1083558.49      2337598.64
1840-1849     35-39          1155550.16      1009001.58      2164551.74
1840-1849     40-44          1067633.06       937738.79      2005371.85
1840-1849     45-49           992140.87       870050.81      1862191.68
1840-1849     50-54           899613.52       783125.83      1682739.35
1840-1849     55-59           802111.92       688053.12      1490165.04
1840-1849     60-64           696284.70       578339.05      1274623.75
1840-1849     65-69           594803.79       460776.87      1055580.66
1840-1849     70-74           463333.76       326129.99       789463.75
1840-1849     75-79           302782.98       191917.77       494700.75
1840-1849     80-84           169986.15        92134.35       262120.50
1840-1849     85-89            66699.18        30186.48        96885.67
1840-1849     90-94            16797.73         5881.73        22679.46
1840-1849     95-99             2538.46          678.62         3217.08
1840-1849    100-104             171.83           18.40          190.23
1840-1849    105-109               0.00            0.00            0.00
1840-1849    110+                  0.00            0.00            0.00
1850-1859        0            233341.54       243718.06       477059.60
1850-1859      1-4           1188304.11      1226433.29      2414737.41
1850-1859      5-9           1806073.69      1865666.82      3671740.51
1850-1859     10-14          1753120.74      1791708.56      3544829.30
1850-1859     15-19          1710266.64      1690506.86      3400773.51
1850-1859     20-24          1642004.37      1549518.32      3191522.69
1850-1859     25-29          1521430.35      1394591.39      2916021.74
1850-1859     30-34          1381009.69      1260188.87      2641198.55
1850-1859     35-39          1271029.20      1168687.25      2439716.45
1850-1859     40-44          1188736.51      1102003.01      2290739.52
1850-1859     45-49          1108076.26      1024868.45      2132944.71
1850-1859     50-54          1009319.35       925298.56      1934617.91
1850-1859     55-59           899572.58       818055.67      1717628.25
1850-1859     60-64           795533.16       701959.89      1497493.05
1850-1859     65-69           682385.24       569340.58      1251725.82
1850-1859     70-74           550536.73       422570.33       973107.05
1850-1859     75-79           364283.02       246632.72       610915.74
1850-1859     80-84           207022.16       120304.58       327326.74
1850-1859     85-89            83123.50        39430.33       122553.83
1850-1859     90-94            21707.99         7965.30        29673.29
1850-1859     95-99             3223.00          875.33         4098.33
1850-1859    100-104             227.66           27.66          255.32
1850-1859    105-109               0.89            0.00            0.89
1850-1859    110+                  0.00            0.00            0.00
1860-1869        0            501113.22       522494.57      1023607.79
1860-1869      1-4           1726086.94      1773722.39      3499809.33
1860-1869      5-9           2002642.23      2056833.58      4059475.82
1860-1869     10-14          1949416.46      1986990.83      3936407.29
1860-1869     15-19          1894963.58      1874375.92      3769339.50
1860-1869     20-24          1807887.05      1690587.22      3498474.27
1860-1869     25-29          1693611.41      1525539.23      3219150.64
1860-1869     30-34          1574801.98      1425411.55      3000213.53
1860-1869     35-39          1471535.19      1352112.03      2823647.22
1860-1869     40-44          1370557.16      1268300.41      2638857.57
1860-1869     45-49          1267701.65      1180624.90      2448326.55
1860-1869     50-54          1166632.30      1090770.30      2257402.60
1860-1869     55-59          1052345.75       976652.66      2028998.41
1860-1869     60-64           935075.41       845049.50      1780124.91
1860-1869     65-69           818359.50       697349.79      1515709.29
1860-1869     70-74           654211.02       517229.35      1171440.36
1860-1869     75-79           471400.32       330880.92       802281.24
1860-1869     80-84           266505.08       160651.34       427156.42
1860-1869     85-89           111620.58        54291.23       165911.81
1860-1869     90-94            30606.56        11072.95        41679.50
1860-1869     95-99             4964.45         1274.81         6239.25
1860-1869    100-104             494.51           79.48          573.99
1860-1869    105-109              17.40            0.00           17.40
1860-1869    110+                  0.00            0.00            0.00
1870-1879        0            552993.61       576264.90      1129258.51
1870-1879      1-4           1919316.12      1969593.68      3888909.80
1870-1879      5-9           2240883.36      2298566.85      4539450.21
1870-1879     10-14          2172240.83      2217093.53      4389334.36
1870-1879     15-19          2121304.42      2114828.58      4236133.00
1870-1879     20-24          2076436.37      1984897.35      4061333.73
1870-1879     25-29          1968797.44      1828637.50      3797434.95
1870-1879     30-34          1817488.27      1683457.19      3500945.46
1870-1879     35-39          1668744.76      1554361.96      3223106.72
1870-1879     40-44          1568919.99      1466824.68      3035744.67
1870-1879     45-49          1471291.23      1379551.20      2850842.43
1870-1879     50-54          1356266.37      1274082.53      2630348.90
1870-1879     55-59          1242775.86      1151118.20      2393894.06
1870-1879     60-64          1130555.31      1020576.71      2151132.02
1870-1879     65-69           997228.54       859947.42      1857175.96
1870-1879     70-74           822956.74       661142.40      1484099.14
1870-1879     75-79           575183.88       416647.18       991831.06
1870-1879     80-84           341967.56       211488.98       553456.54
1870-1879     85-89           151159.74        75203.75       226363.49
1870-1879     90-94            47323.84        17537.19        64861.03
1870-1879     95-99             9157.29         2405.91        11563.20
1870-1879    100-104            1018.17          168.65         1186.82
1870-1879    105-109              45.96            3.92           49.88
1870-1879    110+                  1.48            0.00            1.48
1880-1889        0            569314.29       591998.56      1161312.85
1880-1889      1-4           1994859.82      2043961.83      4038821.65
1880-1889      5-9           2347746.84      2408137.15      4755884.00
1880-1889     10-14          2303458.25      2356097.78      4659556.03
1880-1889     15-19          2246280.82      2239496.99      4485777.81
1880-1889     20-24          2150712.87      2040374.22      4191087.09
1880-1889     25-29          1994497.39      1802063.13      3796560.52
1880-1889     30-34          1850019.83      1616731.04      3466750.88
1880-1889     35-39          1715705.08      1473477.41      3189182.49
1880-1889     40-44          1594605.50      1371154.25      2965759.75
1880-1889     45-49          1521018.22      1310512.05      2831530.26
1880-1889     50-54          1456719.07      1235460.59      2692179.66
1880-1889     55-59          1380555.98      1143473.22      2524029.20
1880-1889     60-64          1259084.40      1007133.93      2266218.33
1880-1889     65-69          1099847.97       826614.36      1926462.32
1880-1889     70-74           904034.61       620323.52      1524358.13
1880-1889     75-79           665591.54       399630.52      1065222.06
1880-1889     80-84           419062.12       209101.53       628163.65
1880-1889     85-89           205072.09        81089.79       286161.88
1880-1889     90-94            71292.44        20750.27        92042.71
1880-1889     95-99            15930.26         3152.94        19083.20
1880-1889    100-104            2127.17          259.18         2386.35
1880-1889    105-109             162.90            7.66          170.56
1880-1889    110+                  5.94            0.00            5.94
1890-1899        0            575627.71       595915.71      1171543.42
1890-1899      1-4           2039175.84      2077191.20      4116367.04
1890-1899      5-9           2440215.92      2489593.95      4929809.87
1890-1899     10-14          2368006.11      2404036.35      4772042.46
1890-1899     15-19          2263499.98      2216999.08      4480499.06
1890-1899     20-24          2161240.43      1981275.06      4142515.48
1890-1899     25-29          2018059.01      1699674.62      3717733.62
1890-1899     30-34          1849784.76      1524415.21      3374199.97
1890-1899     35-39          1743876.57      1469287.44      3213164.01
1890-1899     40-44          1698380.65      1406771.43      3105152.08
1890-1899     45-49          1669791.48      1352889.86      3022681.34
1890-1899     50-54          1594429.64      1300446.21      2894875.85
1890-1899     55-59          1484624.48      1188823.00      2673447.47
1890-1899     60-64          1376686.27      1041354.81      2418041.08
1890-1899     65-69          1231991.75       851026.09      2083017.85
1890-1899     70-74          1032538.35       628664.99      1661203.34
1890-1899     75-79           786412.66       403515.40      1189928.06
1890-1899     80-84           527648.57       212531.32       740179.89
1890-1899     85-89           280903.61        84492.52       365396.13
1890-1899     90-94           108880.27        23738.21       132618.48
1890-1899     95-99            26727.53         4081.33        30808.86
1890-1899    100-104            3452.55          335.69         3788.24
1890-1899    105-109             185.92           17.32          203.24
1890-1899    110+                  9.67            0.00            9.67
1900-1909        0            599941.08       616749.54      1216690.62
1900-1909      1-4           2136904.75      2161274.22      4298178.97
1900-1909      5-9           2540143.32      2560935.29      5101078.61
1900-1909     10-14          2463311.12      2456401.19      4919712.31
1900-1909     15-19          2377521.90      2350210.04      4727731.93
1900-1909     20-24          2225130.24      2130409.40      4355539.64
1900-1909     25-29          2073707.54      1921296.60      3995004.14
1900-1909     30-34          2005654.10      1747771.81      3753425.91
1900-1909     35-39          1965707.88      1556363.41      3522071.29
1900-1909     40-44          1915469.47      1669437.27      3584906.75
1900-1909     45-49          1829047.69      1699342.56      3528390.25
1900-1909     50-54          1756041.62      1611979.24      3368020.86
1900-1909     55-59          1672619.87      1484126.40      3156746.27
1900-1909     60-64          1566972.11      1305505.84      2872477.95
1900-1909     65-69          1422808.37      1080749.70      2503558.07
1900-1909     70-74          1222702.57       815129.34      2037831.91
1900-1909     75-79           966409.23       535935.98      1502345.21
1900-1909     80-84           673156.20       293959.36       967115.56
1900-1909     85-89           385557.01       127530.76       513087.77
1900-1909     90-94           163034.87        39978.63       203013.50
1900-1909     95-99            41851.73         7673.26        49524.99
1900-1909    100-104            5440.37          716.50         6156.87
1900-1909    105-109             319.14           29.73          348.87
1900-1909    110+                  1.44            1.48            2.92
1910-1919        0            517343.21       533581.55      1050924.76
1910-1919      1-4           1893042.55      1922718.77      3815761.32
1910-1919      5-9           2255314.34      2290899.60      4546213.94
1910-1919     10-14          2184206.40      2214171.17      4398377.57
1910-1919     15-19          2124824.24      2129081.55      4253905.78
1910-1919     20-24          2017848.43      1761044.58      3778893.01
1910-1919     25-29          1886341.25      1399038.37      3285379.62
1910-1919     30-34          1863353.96      1530735.62      3394089.59
1910-1919     35-39          1813584.06      1682089.29      3495673.35
1910-1919     40-44          1754270.74      1623840.91      3378111.66
1910-1919     45-49          1708869.42      1557110.29      3265979.71
1910-1919     50-54          1635236.55      1474781.06      3110017.61
1910-1919     55-59          1562993.62      1366548.86      2929542.48
1910-1919     60-64          1472544.69      1224084.67      2696629.36
1910-1919     65-69          1339727.74      1036046.10      2375773.84
1910-1919     70-74          1161957.07       808507.57      1970464.65
1910-1919     75-79           938771.93       564307.87      1503079.80
1910-1919     80-84           673867.90       335862.52      1009730.42
1910-1919     85-89           404606.75       162839.16       567445.91
1910-1919     90-94           178833.16        57605.80       236438.96
1910-1919     95-99            48860.04        12139.97        61000.01
1910-1919    100-104            6401.09         1188.99         7590.08
1910-1919    105-109             205.22           19.05          224.27
1910-1919    110+                     .               .               .
1920-1929        0            503237.68       521106.91      1024344.59
1920-1929      1-4           1870575.23      1902199.49      3772774.72
1920-1929      5-9           2249704.89      2276345.96      4526050.85
1920-1929     10-14          2225021.03      2250562.21      4475583.24
1920-1929     15-19          2175944.80      1990610.54      4166555.34
1920-1929     20-24          1890235.06      1425649.36      3315884.42
1920-1929     25-29          1904689.32      1826075.62      3730764.94
1920-1929     30-34          1829031.43      1762831.09      3591862.52
1920-1929     35-39          1758246.58      1681471.48      3439718.06
1920-1929     40-44          1701938.46      1615826.08      3317764.54
1920-1929     45-49          1655971.65      1557118.73      3213090.38
1920-1929     50-54          1610554.72      1492923.70      3103478.42
1920-1929     55-59          1550035.01      1400000.32      2950035.33
1920-1929     60-64          1470446.40      1275617.93      2746064.32
1920-1929     65-69          1359402.98      1112191.64      2471594.62
1920-1929     70-74          1203240.40       903574.12      2106814.52
1920-1929     75-79          1003161.84       676443.30      1679605.14
1920-1929     80-84           759571.14       452374.04      1211945.18
1920-1929     85-89           485798.40       250460.82       736259.23
1920-1929     90-94           207906.17        89420.18       297326.35
1920-1929     95-99            29462.88         9489.15        38952.03
1920-1929    100-104                  .               .               .
1920-1929    105-109                  .               .               .
1920-1929    110+                     .               .               .
1930-1939        0            418415.68       433524.73       851940.41
1930-1939      1-4           1607082.24      1648634.44      3255716.68
1930-1939      5-9           1997661.48      2055096.90      4052758.38
1930-1939     10-14          1956063.93      2005880.69      3961944.63
1930-1939     15-19          1874826.45      1740500.73      3615327.17
1930-1939     20-24          1781364.26      1588586.93      3369951.19
1930-1939     25-29          1673331.93      1617019.75      3290351.68
1930-1939     30-34          1586179.58      1547563.89      3133743.46
1930-1939     35-39          1543071.18      1482684.13      3025755.31
1930-1939     40-44          1519847.52      1455716.47      2975564.00
1930-1939     45-49          1496395.73      1424043.54      2920439.27
1930-1939     50-54          1466163.61      1377845.41      2844009.01
1930-1939     55-59          1430543.81      1320378.06      2750921.86
1930-1939     60-64          1379833.40      1238495.56      2618328.96
1930-1939     65-69          1303160.13      1120691.98      2423852.11
1930-1939     70-74          1189785.63       970542.65      2160328.28
1930-1939     75-79          1028832.36       787889.17      1816721.53
1930-1939     80-84           718895.17       507125.92      1226021.09
1930-1939     85-89           220173.84       137117.87       357291.71
1930-1939     90-94                   .               .               .
1930-1939     95-99                   .               .               .
1930-1939    100-104                  .               .               .
1930-1939    105-109                  .               .               .
1930-1939    110+                     .               .               .
1940-1949        0            446528.18       467410.04       913938.23
1940-1949      1-4           1711868.48      1776832.72      3488701.20
1940-1949      5-9           2075955.35      2157882.41      4233837.76
1940-1949     10-14          2025975.96      2105513.30      4131489.26
1940-1949     15-19          1933668.59      1957524.61      3891193.20
1940-1949     20-24          1797945.47      1778392.87      3576338.34
1940-1949     25-29          1701631.47      1700779.79      3402411.26
1940-1949     30-34          1669059.31      1667264.58      3336323.89
1940-1949     35-39          1647275.84      1633532.12      3280807.97
1940-1949     40-44          1628368.00      1604137.44      3232505.44
1940-1949     45-49          1614568.58      1582320.13      3196888.70
1940-1949     50-54          1598920.37      1556110.85      3155031.22
1940-1949     55-59          1578643.16      1516642.01      3095285.17
1940-1949     60-64          1542380.19      1453800.98      2996181.17
1940-1949     65-69          1471253.08      1352463.23      2823716.30
1940-1949     70-74          1183146.34      1045798.48      2228944.82
1940-1949     75-79           437575.41       357109.15       794684.56
1940-1949     80-84                   .               .               .
1940-1949     85-89                   .               .               .
1940-1949     90-94                   .               .               .
1940-1949     95-99                   .               .               .
1940-1949    100-104                  .               .               .
1940-1949    105-109                  .               .               .
1940-1949    110+                     .               .               .
1950-1959        0            443162.83       465499.87       908662.69
1950-1959      1-4           1734614.82      1818644.84      3553259.66
1950-1959      5-9           2110169.44      2213225.14      4323394.58
1950-1959     10-14          2045498.52      2147245.69      4192744.21
1950-1959     15-19          1984905.06      2044001.43      4028906.49
1950-1959     20-24          1902477.17      1949021.83      3851499.00
1950-1959     25-29          1820925.07      1848076.38      3669001.44
1950-1959     30-34          1784107.46      1772627.75      3556735.21
1950-1959     35-39          1780804.95      1738616.55      3519421.50
1950-1959     40-44          1780822.47      1728725.37      3509547.85
1950-1959     45-49          1776250.97      1722104.60      3498355.58
