New Zealand -- Non-Maori, Exposure to risk (cohort 5x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1822-1829        0                    .               .               .
1822-1829      1-4                    .               .               .
1822-1829      5-9                    .               .               .
1822-1829     10-14                   .               .               .
1822-1829     15-19                   .               .               .
1822-1829     20-24                   .               .               .
1822-1829     25-29                   .               .               .
1822-1829     30-34                   .               .               .
1822-1829     35-39                   .               .               .
1822-1829     40-44                   .               .               .
1822-1829     45-49                   .               .               .
1822-1829     50-54                   .               .               .
1822-1829     55-59                   .               .               .
1822-1829     60-64                   .               .               .
1822-1829     65-69                   .               .               .
1822-1829     70-74                   .               .               .
1822-1829     75-79             7108.31        11170.62        18278.92
1822-1829     80-84             6888.57         9339.33        16227.91
1822-1829     85-89             3149.99         3831.89         6981.88
1822-1829     90-94              945.46         1117.52         2062.98
1822-1829     95-99              171.14          228.71          399.85
1822-1829    100-104              14.62           15.59           30.21
1822-1829    105-109               3.49            1.23            4.72
1822-1829    110+                  0.00            0.00            0.00
1830-1839        0                    .               .               .
1830-1839      1-4                    .               .               .
1830-1839      5-9                    .               .               .
1830-1839     10-14                   .               .               .
1830-1839     15-19                   .               .               .
1830-1839     20-24                   .               .               .
1830-1839     25-29                   .               .               .
1830-1839     30-34                   .               .               .
1830-1839     35-39                   .               .               .
1830-1839     40-44                   .               .               .
1830-1839     45-49                   .               .               .
1830-1839     50-54                   .               .               .
1830-1839     55-59                   .               .               .
1830-1839     60-64                   .               .               .
1830-1839     65-69            40528.37        63956.28       104484.64
1830-1839     70-74            49231.68        76732.51       125964.19
1830-1839     75-79            35631.22        53182.90        88814.12
1830-1839     80-84            23464.42        31963.15        55427.57
1830-1839     85-89            10451.89        12742.33        23194.22
1830-1839     90-94             3154.76         3518.39         6673.14
1830-1839     95-99              602.90          655.91         1258.81
1830-1839    100-104              59.29           55.51          114.80
1830-1839    105-109               0.49            8.51            9.00
1830-1839    110+                  0.00            6.23            6.23
1840-1849        0                    .               .               .
1840-1849      1-4                    .               .               .
1840-1849      5-9                    .               .               .
1840-1849     10-14                   .               .               .
1840-1849     15-19                   .               .               .
