Switzerland, Exposure to risk (cohort 5x5), 	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1805-1809        0                    .               .               .
1805-1809      1-4                    .               .               .
1805-1809      5-9                    .               .               .
1805-1809     10-14                   .               .               .
1805-1809     15-19                   .               .               .
1805-1809     20-24                   .               .               .
1805-1809     25-29                   .               .               .
1805-1809     30-34                   .               .               .
1805-1809     35-39                   .               .               .
1805-1809     40-44                   .               .               .
1805-1809     45-49                   .               .               .
1805-1809     50-54                   .               .               .
1805-1809     55-59                   .               .               .
1805-1809     60-64                   .               .               .
1805-1809     65-69                   .               .               .
1805-1809     70-74           114969.00       105760.33       220729.33
1805-1809     75-79            67870.67        61607.00       129477.67
1805-1809     80-84            29813.85        25435.63        55249.48
1805-1809     85-89             8252.52         6729.63        14982.15
1805-1809     90-94             1616.18         1094.30         2710.48
1805-1809     95-99              173.98           83.59          257.57
1805-1809    100-104               2.44            0.12            2.57
1805-1809    105-109               0.00            0.00            0.00
1805-1809    110+                  0.00            0.00            0.00
1810-1814        0                    .               .               .
1810-1814      1-4                    .               .               .
1810-1814      5-9                    .               .               .
1810-1814     10-14                   .               .               .
1810-1814     15-19                   .               .               .
1810-1814     20-24                   .               .               .
1810-1814     25-29                   .               .               .
1810-1814     30-34                   .               .               .
1810-1814     35-39                   .               .               .
1810-1814     40-44                   .               .               .
1810-1814     45-49                   .               .               .
1810-1814     50-54                   .               .               .
1810-1814     55-59                   .               .               .
1810-1814     60-64                   .               .               .
1810-1814     65-69           173368.33       158674.33       332042.67
1810-1814     70-74           125719.00       112471.67       238190.67
1810-1814     75-79            68799.67        60080.33       128880.00
1810-1814     80-84            29926.10        25596.55        55522.65
1810-1814     85-89             9011.43         7451.22        16462.65
1810-1814     90-94             1622.77         1235.22         2857.98
1810-1814     95-99              143.43          117.86          261.30
1810-1814    100-104               3.46            0.47            3.93
1810-1814    105-109               0.00            0.00            0.00
1810-1814    110+                  0.00            0.00            0.00
1815-1819        0                    .               .               .
1815-1819      1-4                    .               .               .
1815-1819      5-9                    .               .               .
1815-1819     10-14                   .               .               .
1815-1819     15-19                   .               .               .
1815-1819     20-24                   .               .               .
1815-1819     25-29                   .               .               .
1815-1819     30-34                   .               .               .
1815-1819     35-39                   .               .               .
1815-1819     40-44                   .               .               .
1815-1819     45-49                   .               .               .
1815-1819     50-54                   .               .               .
1815-1819     55-59                   .               .               .
1815-1819     60-64           233654.00       209441.67       443095.67
1815-1819     65-69           190763.67       167982.67       358746.33
1815-1819     70-74           131986.00       115303.00       247289.00
1815-1819     75-79            73405.33        62951.67       136357.00
1815-1819     80-84            32680.30        27128.22        59808.52
1815-1819     85-89            10165.30         7957.55        18122.85
1815-1819     90-94             1913.63         1302.88         3216.52
1815-1819     95-99              211.28          111.90          323.18
1815-1819    100-104               5.37            0.16            5.53
1815-1819    105-109               0.00            0.00            0.00
1815-1819    110+                  0.00            0.00            0.00
1820-1824        0                    .               .               .
1820-1824      1-4                    .               .               .
1820-1824      5-9                    .               .               .
1820-1824     10-14                   .               .               .
1820-1824     15-19                   .               .               .
1820-1824     20-24                   .               .               .
1820-1824     25-29                   .               .               .
1820-1824     30-34                   .               .               .
1820-1824     35-39                   .               .               .
1820-1824     40-44                   .               .               .
1820-1824     45-49                   .               .               .
1820-1824     50-54                   .               .               .
1820-1824     55-59           297942.67       269595.00       567537.67
1820-1824     60-64           267952.00       236184.33       504136.33
1820-1824     65-69           213149.33       184872.00       398021.33
1820-1824     70-74           147057.67       127048.00       274105.67
1820-1824     75-79            85849.67        72943.00       158792.67
1820-1824     80-84            40070.45        32141.27        72211.72
1820-1824     85-89            12665.78         9179.93        21845.72
1820-1824     90-94             2501.12         1482.93         3984.05
1820-1824     95-99              271.70          114.67          386.37
1820-1824    100-104               3.46            1.46            4.92
1820-1824    105-109               0.00            0.00            0.00
1820-1824    110+                  0.00            0.00            0.00
1825-1829        0                    .               .               .
1825-1829      1-4                    .               .               .
1825-1829      5-9                    .               .               .
1825-1829     10-14                   .               .               .
1825-1829     15-19                   .               .               .
1825-1829     20-24                   .               .               .
1825-1829     25-29                   .               .               .
1825-1829     30-34                   .               .               .
1825-1829     35-39                   .               .               .
1825-1829     40-44                   .               .               .
1825-1829     45-49                   .               .               .
1825-1829     50-54           350087.67       320946.33       671034.00
1825-1829     55-59           326075.33       291246.67       617322.00
1825-1829     60-64           277376.00       241720.33       519096.33
1825-1829     65-69           219393.00       188230.00       407623.00
1825-1829     70-74           155466.00       131375.67       286841.67
1825-1829     75-79            92281.00        76426.00       168707.00
