France, Total Population, Exposure to risk (cohort 5x5), 	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1737-1739        0                    .               .               .
1737-1739      1-4                    .               .               .
1737-1739      5-9                    .               .               .
1737-1739     10-14                   .               .               .
1737-1739     15-19                   .               .               .
1737-1739     20-24                   .               .               .
1737-1739     25-29                   .               .               .
1737-1739     30-34                   .               .               .
1737-1739     35-39                   .               .               .
1737-1739     40-44                   .               .               .
1737-1739     45-49                   .               .               .
1737-1739     50-54                   .               .               .
1737-1739     55-59                   .               .               .
1737-1739     60-64                   .               .               .
1737-1739     65-69                   .               .               .
1737-1739     70-74                   .               .               .
1737-1739     75-79                   .               .               .
1737-1739     80-84           210233.80       195870.83       406104.63
1737-1739     85-89            75467.52        70091.14       145558.66
1737-1739     90-94            23301.85        20462.53        43764.37
1737-1739     95-99             4695.47         4063.85         8759.32
1737-1739    100-104             443.45          317.54          760.98
1737-1739    105-109              22.51           11.35           33.86
1737-1739    110+                  0.00            0.00            0.00
1740-1744        0                    .               .               .
1740-1744      1-4                    .               .               .
1740-1744      5-9                    .               .               .
1740-1744     10-14                   .               .               .
1740-1744     15-19                   .               .               .
1740-1744     20-24                   .               .               .
1740-1744     25-29                   .               .               .
1740-1744     30-34                   .               .               .
1740-1744     35-39                   .               .               .
1740-1744     40-44                   .               .               .
1740-1744     45-49                   .               .               .
1740-1744     50-54                   .               .               .
1740-1744     55-59                   .               .               .
1740-1744     60-64                   .               .               .
1740-1744     65-69                   .               .               .
1740-1744     70-74                   .               .               .
1740-1744     75-79           734751.99       688328.35      1423080.34
1740-1744     80-84           369004.23       344826.37       713830.60
1740-1744     85-89           129048.51       119660.91       248709.42
1740-1744     90-94            37893.25        33896.65        71789.91
1740-1744     95-99             7550.45         6606.83        14157.29
1740-1744    100-104             735.50          518.11         1253.61
1740-1744    105-109              36.68           23.35           60.03
1740-1744    110+                  0.00            0.00            0.00
1745-1749        0                    .               .               .
1745-1749      1-4                    .               .               .
1745-1749      5-9                    .               .               .
1745-1749     10-14                   .               .               .
1745-1749     15-19                   .               .               .
1745-1749     20-24                   .               .               .
1745-1749     25-29                   .               .               .
1745-1749     30-34                   .               .               .
1745-1749     35-39                   .               .               .
1745-1749     40-44                   .               .               .
1745-1749     45-49                   .               .               .
1745-1749     50-54                   .               .               .
1745-1749     55-59                   .               .               .
1745-1749     60-64                   .               .               .
1745-1749     65-69                   .               .               .
1745-1749     70-74          1334513.00      1244732.02      2579245.03
1745-1749     75-79           878179.17       818932.89      1697112.05
1745-1749     80-84           413876.19       377560.60       791436.79
1745-1749     85-89           140095.75       124484.58       264580.32
1745-1749     90-94            40781.47        34720.46        75501.93
1745-1749     95-99             8127.22         7033.73        15160.95
1745-1749    100-104             722.90          521.87         1244.77
1745-1749    105-109              35.23           24.28           59.51
1745-1749    110+                  0.00            0.00            0.00
1750-1754        0                    .               .               .
1750-1754      1-4                    .               .               .
1750-1754      5-9                    .               .               .
1750-1754     10-14                   .               .               .
1750-1754     15-19                   .               .               .
1750-1754     20-24                   .               .               .
1750-1754     25-29                   .               .               .
1750-1754     30-34                   .               .               .
1750-1754     35-39                   .               .               .
1750-1754     40-44                   .               .               .
1750-1754     45-49                   .               .               .
1750-1754     50-54                   .               .               .
1750-1754     55-59                   .               .               .
1750-1754     60-64                   .               .               .
1750-1754     65-69          2071990.01      1941133.30      4013123.32
1750-1754     70-74          1652359.40      1494202.38      3146561.78
1750-1754     75-79           994870.58       912963.67      1907834.25
1750-1754     80-84           466500.42       425137.52       891637.94
1750-1754     85-89           159423.16       139319.56       298742.72
1750-1754     90-94            45185.53        37196.78        82382.31
1750-1754     95-99             8145.92         6634.06        14779.97
1750-1754    100-104             673.08          442.64         1115.72
1750-1754    105-109              25.45           13.43           38.89
1750-1754    110+                  0.00            0.00            0.00
1755-1759        0                    .               .               .
1755-1759      1-4                    .               .               .
1755-1759      5-9                    .               .               .
1755-1759     10-14                   .               .               .
1755-1759     15-19                   .               .               .
1755-1759     20-24                   .               .               .
1755-1759     25-29                   .               .               .
1755-1759     30-34                   .               .               .
1755-1759     35-39                   .               .               .
1755-1759     40-44                   .               .               .
1755-1759     45-49                   .               .               .
1755-1759     50-54                   .               .               .
1755-1759     55-59                   .               .               .
1755-1759     60-64          2731606.26      2566997.45      5298603.71
1755-1759     65-69          2312898.35      2164809.87      4477708.21
1755-1759     70-74          1678850.64      1555469.88      3234320.52
1755-1759     75-79          1011951.27       922788.69      1934739.96
1755-1759     80-84           479187.60       424201.84       903389.44
1755-1759     85-89           163864.53       134807.70       298672.23
1755-1759     90-94            43835.15        31627.79        75462.94
1755-1759     95-99             7589.24         4988.90        12578.15
1755-1759    100-104             588.93          373.75          962.68
1755-1759    105-109              30.87           13.97           44.84
1755-1759    110+                  0.00            0.00            0.00
1760-1764        0                    .               .               .
1760-1764      1-4                    .               .               .
1760-1764      5-9                    .               .               .
1760-1764     10-14                   .               .               .
1760-1764     15-19                   .               .               .
1760-1764     20-24                   .               .               .
1760-1764     25-29                   .               .               .
1760-1764     30-34                   .               .               .
