New Zealand -- Maori, Exposure to risk (cohort 5x5), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1867-1869        0                    .               .               .
1867-1869      1-4                    .               .               .
1867-1869      5-9                    .               .               .
1867-1869     10-14                   .               .               .
1867-1869     15-19                   .               .               .
1867-1869     20-24                   .               .               .
1867-1869     25-29                   .               .               .
1867-1869     30-34                   .               .               .
1867-1869     35-39                   .               .               .
1867-1869     40-44                   .               .               .
1867-1869     45-49                   .               .               .
1867-1869     50-54                   .               .               .
1867-1869     55-59                   .               .               .
1867-1869     60-64                   .               .               .
1867-1869     65-69                   .               .               .
1867-1869     70-74                   .               .               .
1867-1869     75-79                   .               .               .
1867-1869     80-84                   .               .               .
1867-1869     85-89              185.46          202.93          388.38
1867-1869     90-94              108.63           96.93          205.56
1867-1869     95-99               59.76           33.80           93.56
1867-1869    100-104              10.19            6.25           16.44
1867-1869    105-109               5.00            0.00            5.00
1867-1869    110+                  0.49            0.00            0.49
1870-1874        0                    .               .               .
1870-1874      1-4                    .               .               .
1870-1874      5-9                    .               .               .
1870-1874     10-14                   .               .               .
1870-1874     15-19                   .               .               .
1870-1874     20-24                   .               .               .
1870-1874     25-29                   .               .               .
1870-1874     30-34                   .               .               .
1870-1874     35-39                   .               .               .
1870-1874     40-44                   .               .               .
1870-1874     45-49                   .               .               .
1870-1874     50-54                   .               .               .
1870-1874     55-59                   .               .               .
1870-1874     60-64                   .               .               .
1870-1874     65-69                   .               .               .
1870-1874     70-74                   .               .               .
1870-1874     75-79              428.54          609.36         1037.89
1870-1874     80-84              489.68          538.69         1028.37
1870-1874     85-89              262.65          241.30          503.95
1870-1874     90-94              110.67           77.51          188.17
1870-1874     95-99               36.04           26.72           62.76
1870-1874    100-104              13.20            3.80           17.00
1870-1874    105-109               5.00            0.00            5.00
1870-1874    110+                  2.67            0.00            2.67
1875-1879        0                    .               .               .
1875-1879      1-4                    .               .               .
1875-1879      5-9                    .               .               .
1875-1879     10-14                   .               .               .
1875-1879     15-19                   .               .               .
1875-1879     20-24                   .               .               .
1875-1879     25-29                   .               .               .
1875-1879     30-34                   .               .               .
1875-1879     35-39                   .               .               .
1875-1879     40-44                   .               .               .
1875-1879     45-49                   .               .               .
1875-1879     50-54                   .               .               .
1875-1879     55-59                   .               .               .
1875-1879     60-64                   .               .               .
1875-1879     65-69                   .               .               .
1875-1879     70-74             1462.95         1706.78         3169.73
1875-1879     75-79              989.08         1218.53         2207.61
1875-1879     80-84              777.01          811.48         1588.49
1875-1879     85-89              405.27          398.33          803.61
1875-1879     90-94              199.26          122.30          321.56
1875-1879     95-99               68.49           44.87          113.36
1875-1879    100-104              18.75            6.97           25.71
1875-1879    105-109              11.33            0.00           11.33
1875-1879    110+                  0.00            0.00            0.00
1880-1884        0                    .               .               .
1880-1884      1-4                    .               .               .
1880-1884      5-9                    .               .               .
1880-1884     10-14                   .               .               .
1880-1884     15-19                   .               .               .
1880-1884     20-24                   .               .               .
1880-1884     25-29                   .               .               .
1880-1884     30-34                   .               .               .
1880-1884     35-39                   .               .               .
1880-1884     40-44                   .               .               .
1880-1884     45-49                   .               .               .
1880-1884     50-54                   .               .               .
1880-1884     55-59                   .               .               .
1880-1884     60-64                   .               .               .
1880-1884     65-69             2059.54         2515.18         4574.73
1880-1884     70-74             1999.25         2304.80         4304.05
1880-1884     75-79             1088.80         1373.24         2462.03
1880-1884     80-84              715.43          864.81         1580.23
1880-1884     85-89              359.22          345.58          704.80
1880-1884     90-94              124.47          103.72          228.20
1880-1884     95-99               54.82           38.85           93.68
1880-1884    100-104              10.33            2.67           13.00
1880-1884    105-109               1.33            0.00            1.33
1880-1884    110+                  0.00            0.00            0.00
1885-1889        0                    .               .               .
1885-1889      1-4                    .               .               .
1885-1889      5-9                    .               .               .
1885-1889     10-14                   .               .               .
1885-1889     15-19                   .               .               .
1885-1889     20-24                   .               .               .
1885-1889     25-29                   .               .               .
1885-1889     30-34                   .               .               .
1885-1889     35-39                   .               .               .
1885-1889     40-44                   .               .               .
1885-1889     45-49                   .               .               .
1885-1889     50-54                   .               .               .
1885-1889     55-59                   .               .               .
1885-1889     60-64             2808.22         3579.03         6387.26
1885-1889     65-69             3117.79         3660.93         6778.72
1885-1889     70-74             2078.18         2470.00         4548.17
1885-1889     75-79             1296.65         1483.81         2780.46
1885-1889     80-84              785.03          916.14         1701.17
1885-1889     85-89              374.40          352.17          726.57
1885-1889     90-94              123.17           98.88          222.05
1885-1889     95-99               31.18           37.83           69.02
1885-1889    100-104               9.25           11.33           20.58
1885-1889    105-109               0.00            0.00            0.00
1885-1889    110+                  0.00            0.00            0.00
1890-1894        0                    .               .               .
1890-1894      1-4                    .               .               .
1890-1894      5-9                    .               .               .
1890-1894     10-14                   .               .               .
1890-1894     15-19                   .               .               .
1890-1894     20-24                   .               .               .
1890-1894     25-29                   .               .               .
1890-1894     30-34                   .               .               .
1890-1894     35-39                   .               .               .
1890-1894     40-44                   .               .               .
1890-1894     45-49                   .               .               .
1890-1894     50-54                   .               .               .
1890-1894     55-59             3081.80         4133.66         7215.46
1890-1894     60-64             3933.18         4937.68         8870.85
1890-1894     65-69             3121.66         3764.75         6886.41
1890-1894     70-74             2033.94         2501.69         4535.64
1890-1894     75-79             1310.15         1382.68         2692.83
