Taiwan, Exposure to risk (cohort 5x5), 	Last modified: 18 Sep 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1891-1894        0                    .               .               .
1891-1894      1-4                    .               .               .
1891-1894      5-9                    .               .               .
1891-1894     10-14                   .               .               .
1891-1894     15-19                   .               .               .
1891-1894     20-24                   .               .               .
1891-1894     25-29                   .               .               .
1891-1894     30-34                   .               .               .
1891-1894     35-39                   .               .               .
1891-1894     40-44                   .               .               .
1891-1894     45-49                   .               .               .
1891-1894     50-54                   .               .               .
1891-1894     55-59                   .               .               .
1891-1894     60-64                   .               .               .
1891-1894     65-69                   .               .               .
1891-1894     70-74                   .               .               .
1891-1894     75-79                   .               .               .
1891-1894     80-84            87600.09        52191.99       139792.08
1891-1894     85-89            42832.78        22897.82        65730.60
1891-1894     90-94            15640.77         7730.88        23371.64
1891-1894     95-99             3670.33         1705.31         5375.64
1891-1894    100-104             511.32          193.68          705.00
1891-1894    105-109              33.76            5.19           38.95
1891-1894    110+                  0.00            0.00            0.00
1895-1899        0                    .               .               .
1895-1899      1-4                    .               .               .
1895-1899      5-9                    .               .               .
1895-1899     10-14                   .               .               .
1895-1899     15-19                   .               .               .
1895-1899     20-24                   .               .               .
1895-1899     25-29                   .               .               .
1895-1899     30-34                   .               .               .
1895-1899     35-39                   .               .               .
1895-1899     40-44                   .               .               .
1895-1899     45-49                   .               .               .
1895-1899     50-54                   .               .               .
1895-1899     55-59                   .               .               .
1895-1899     60-64                   .               .               .
1895-1899     65-69                   .               .               .
1895-1899     70-74                   .               .               .
1895-1899     75-79           230767.96       166205.92       396973.88
1895-1899     80-84           143124.67        91316.64       234441.31
1895-1899     85-89            72303.04        40848.04       113151.07
1895-1899     90-94            26609.29        13517.54        40126.84
1895-1899     95-99             6675.51         3012.02         9687.53
1895-1899    100-104            1066.21          401.22         1467.43
1895-1899    105-109              78.94           18.95           97.89
1895-1899    110+                  0.00            0.00            0.00
1900-1904        0                    .               .               .
1900-1904      1-4                    .               .               .
1900-1904      5-9                    .               .               .
1900-1904     10-14                   .               .               .
1900-1904     15-19                   .               .               .
1900-1904     20-24                   .               .               .
1900-1904     25-29                   .               .               .
1900-1904     30-34                   .               .               .
1900-1904     35-39                   .               .               .
1900-1904     40-44                   .               .               .
1900-1904     45-49                   .               .               .
1900-1904     50-54                   .               .               .
1900-1904     55-59                   .               .               .
1900-1904     60-64                   .               .               .
1900-1904     65-69                   .               .               .
1900-1904     70-74           395253.25       350098.31       745351.56
1900-1904     75-79           303142.17       243630.09       546772.26
1900-1904     80-84           189862.17       134072.30       323934.47
1900-1904     85-89            98775.72        61439.27       160214.99
1900-1904     90-94            38896.21        20872.71        59768.92
1900-1904     95-99            10506.35         4904.48        15410.83
1900-1904    100-104            1823.56          786.97         2610.53
1900-1904    105-109             161.42           81.83          243.26
1900-1904    110+                  0.94            0.65            1.59
1905-1909        0                    .               .               .
1905-1909      1-4                    .               .               .
1905-1909      5-9                    .               .               .
1905-1909     10-14                   .               .               .
1905-1909     15-19                   .               .               .
1905-1909     20-24                   .               .               .
1905-1909     25-29                   .               .               .
1905-1909     30-34                   .               .               .
1905-1909     35-39                   .               .               .
1905-1909     40-44                   .               .               .
1905-1909     45-49                   .               .               .
1905-1909     50-54                   .               .               .
1905-1909     55-59                   .               .               .
1905-1909     60-64                   .               .               .
1905-1909     65-69           609127.67       627671.23      1236798.90
1905-1909     70-74           526846.48       499773.00      1026619.48
1905-1909     75-79           408381.40       353150.21       761531.61
1905-1909     80-84           262313.75       195299.60       457613.35
1905-1909     85-89           143002.87        93882.78       236885.65
1905-1909     90-94            58335.85        33654.09        91989.94
1905-1909     95-99            16815.24         8966.63        25781.87
1905-1909    100-104            3111.96         1864.73         4976.70
1905-1909    105-109             274.63          192.30          466.93
1905-1909    110+                  2.86            0.45            3.32
1910-1914        0                    .               .               .
1910-1914      1-4                    .               .               .
1910-1914      5-9                    .               .               .
1910-1914     10-14                   .               .               .
1910-1914     15-19                   .               .               .
1910-1914     20-24                   .               .               .
1910-1914     25-29                   .               .               .
1910-1914     30-34                   .               .               .
1910-1914     35-39                   .               .               .
1910-1914     40-44                   .               .               .
1910-1914     45-49                   .               .               .
1910-1914     50-54                   .               .               .
1910-1914     55-59                   .               .               .
1910-1914     60-64           847504.29      1041398.91      1888903.19
1910-1914     65-69           778112.00       905959.08      1684071.08
1910-1914     70-74           673507.58       735949.52      1409457.11
1910-1914     75-79           532735.16       533094.77      1065829.93
1910-1914     80-84           360068.53       311453.54       671522.07
1910-1914     85-89           207464.79       157533.41       364998.20
1910-1914     90-94            92092.20        62539.64       154631.84
1910-1914     95-99            28577.76        18641.66        47219.43
1910-1914    100-104            5233.89         3561.29         8795.18
1910-1914    105-109             394.13          201.83          595.96
1910-1914    110+                     .               .               .
1915-1919        0                    .               .               .
1915-1919      1-4                    .               .               .
1915-1919      5-9                    .               .               .
1915-1919     10-14                   .               .               .
1915-1919     15-19                   .               .               .
1915-1919     20-24                   .               .               .
1915-1919     25-29                   .               .               .
1915-1919     30-34                   .               .               .
1915-1919     35-39                   .               .               .
1915-1919     40-44                   .               .               .
1915-1919     45-49                   .               .               .
1915-1919     50-54                   .               .               .
1915-1919     55-59           977407.88      1321223.80      2298631.68
1915-1919     60-64           929081.21      1214125.03      2143206.24
1915-1919     65-69           856579.53      1065504.47      1922084.00
1915-1919     70-74           755289.47       883458.29      1638747.76
1915-1919     75-79           607427.21       664112.56      1271539.77
1915-1919     80-84           427045.35       401658.95       828704.30
1915-1919     85-89           264821.00       219796.80       484617.79
1915-1919     90-94           128488.40        95558.81       224047.21
1915-1919     95-99            42133.70        29236.09        71369.80
1915-1919    100-104            6923.30         4378.19        11301.49
1915-1919    105-109                  .               .               .
1915-1919    110+                     .               .               .
1920-1924        0                    .               .               .
1920-1924      1-4                    .               .               .
1920-1924      5-9                    .               .               .
1920-1924     10-14                   .               .               .
1920-1924     15-19                   .               .               .
1920-1924     20-24                   .               .               .
1920-1924     25-29                   .               .               .
1920-1924     30-34                   .               .               .
1920-1924     35-39                   .               .               .
1920-1924     40-44                   .               .               .
1920-1924     45-49                   .               .               .
1920-1924     50-54          1300539.22      1904928.15      3205467.36
1920-1924     55-59          1254735.10      1792477.53      3047212.63
1920-1924     60-64          1197170.62      1649702.60      2846873.23
1920-1924     65-69          1112168.79      1461070.37      2573239.16
1920-1924     70-74           982905.61      1230019.77      2212925.38
1920-1924     75-79           816303.51       949481.58      1765785.08
1920-1924     80-84           608045.46       621171.32      1229216.78
1920-1924     85-89           400182.77       364324.88       764507.64
1920-1924     90-94           204104.34       164535.47       368639.80
1920-1924     95-99            57743.75        41340.03        99083.78
1920-1924    100-104                  .               .               .
1920-1924    105-109                  .               .               .
1920-1924    110+                     .               .               .
1925-1929        0                    .               .               .
1925-1929      1-4                    .               .               .
1925-1929      5-9                    .               .               .
1925-1929     10-14                   .               .               .
1925-1929     15-19                   .               .               .
1925-1929     20-24                   .               .               .
1925-1929     25-29                   .               .               .
1925-1929     30-34                   .               .               .
1925-1929     35-39                   .               .               .
1925-1929     40-44                   .               .               .
1925-1929     45-49          1609745.94      2438686.70      4048432.64
1925-1929     50-54          1572671.21      2370231.21      3942902.42
1925-1929     55-59          1526101.33      2246955.30      3773056.63
1925-1929     60-64          1465034.08      2079177.73      3544211.80
1925-1929     65-69          1366042.86      1868736.11      3234778.97
1925-1929     70-74          1225111.68      1601735.24      2826846.92
1925-1929     75-79          1049069.84      1273896.42      2322966.27
1925-1929     80-84           820134.43       887339.68      1707474.11
1925-1929     85-89           561310.59       535549.36      1096859.96
1925-1929     90-94           235729.79       198013.85       433743.64
1925-1929     95-99                   .               .               .
1925-1929    100-104                  .               .               .
1925-1929    105-109                  .               .               .
1925-1929    110+                     .               .               .
1930-1934        0                    .               .               .
1930-1934      1-4                    .               .               .
1930-1934      5-9                    .               .               .
1930-1934     10-14                   .               .               .
1930-1934     15-19                   .               .               .
1930-1934     20-24                   .               .               .
1930-1934     25-29                   .               .               .
1930-1934     30-34                   .               .               .
1930-1934     35-39                   .               .               .
1930-1934     40-44          1875909.36      2317018.88      4192928.24
1930-1934     45-49          1839756.83      2268958.40      4108715.23
1930-1934     50-54          1809999.86      2192152.73      4002152.59
1930-1934     55-59          1765598.25      2088361.73      3853959.98
1930-1934     60-64          1688204.30      1930623.89      3618828.19
1930-1934     65-69          1583444.81      1739136.27      3322581.08
1930-1934     70-74          1446425.47      1503868.78      2950294.25
1930-1934     75-79          1267412.31      1220242.07      2487654.38
1930-1934     80-84          1024704.99       888543.73      1913248.73
1930-1934     85-89           557854.70       440536.58       998391.28
1930-1934     90-94                   .               .               .
1930-1934     95-99                   .               .               .
1930-1934    100-104                  .               .               .
1930-1934    105-109                  .               .               .
1930-1934    110+                     .               .               .
1935-1939        0                    .               .               .
1935-1939      1-4                    .               .               .
1935-1939      5-9                    .               .               .
1935-1939     10-14                   .               .               .
1935-1939     15-19                   .               .               .
1935-1939     20-24                   .               .               .
1935-1939     25-29                   .               .               .
1935-1939     30-34                   .               .               .
1935-1939     35-39          2145666.39      2212514.93      4358181.32
1935-1939     40-44          2106695.21      2189545.40      4296240.61
1935-1939     45-49          2081484.95      2136463.65      4217948.60
1935-1939     50-54          2054785.38      2079144.27      4133929.65
1935-1939     55-59          1995186.81      1960750.23      3955937.04
1935-1939     60-64          1920712.67      1816858.76      3737571.43
1935-1939     65-69          1823037.33      1651867.71      3474905.04
1935-1939     70-74          1691624.05      1447222.70      3138846.75
1935-1939     75-79          1505845.44      1193621.54      2699466.98
1935-1939     80-84           948013.55       684645.06      1632658.61
1935-1939     85-89                   .               .               .
1935-1939     90-94                   .               .               .
1935-1939     95-99                   .               .               .
1935-1939    100-104                  .               .               .
1935-1939    105-109                  .               .               .
1935-1939    110+                     .               .               .
1940-1944        0                    .               .               .
1940-1944      1-4                    .               .               .
1940-1944      5-9                    .               .               .
1940-1944     10-14                   .               .               .
1940-1944     15-19                   .               .               .
1940-1944     20-24                   .               .               .
1940-1944     25-29                   .               .               .
1940-1944     30-34          2306494.23      2409307.18      4715801.41
1940-1944     35-39          2281958.14      2403485.97      4685444.11
1940-1944     40-44          2264007.45      2363198.33      4627205.78
1940-1944     45-49          2248722.71      2321198.22      4569920.94
1940-1944     50-54          2200065.37      2227165.63      4427231.00
1940-1944     55-59          2145849.59      2109560.56      4255410.15
1940-1944     60-64          2082339.94      1979418.07      4061758.02
1940-1944     65-69          2000301.20      1824423.00      3824724.20
1940-1944     70-74          1875009.66      1622642.89      3497652.55
1940-1944     75-79          1301366.07      1052044.41      2353410.48
1940-1944     80-84                   .               .               .
1940-1944     85-89                   .               .               .
1940-1944     90-94                   .               .               .
1940-1944     95-99                   .               .               .
1940-1944    100-104                  .               .               .
1940-1944    105-109                  .               .               .
1940-1944    110+                     .               .               .
1945-1949        0                    .               .               .
1945-1949      1-4                    .               .               .
1945-1949      5-9                    .               .               .
1945-1949     10-14                   .               .               .
1945-1949     15-19                   .               .               .
1945-1949     20-24                   .               .               .
1945-1949     25-29          2566228.23      2703860.14      5270088.37
1945-1949     30-34          2540077.78      2685578.40      5225656.18
1945-1949     35-39          2512480.25      2645982.99      5158463.24
1945-1949     40-44          2496697.03      2609793.28      5106490.31
1945-1949     45-49          2470631.96      2548000.52      5018632.48
1945-1949     50-54          2421451.66      2443767.04      4865218.70
1945-1949     55-59          2379769.90      2336713.42      4716483.32
1945-1949     60-64          2331750.82      2212799.90      4544550.73
1945-1949     65-69          2256672.77      2058646.90      4315319.66
1945-1949     70-74          1530203.59      1335190.07      2865393.66
1945-1949     75-79                   .               .               .
1945-1949     80-84                   .               .               .
1945-1949     85-89                   .               .               .
1945-1949     90-94                   .               .               .
1945-1949     95-99                   .               .               .
1945-1949    100-104                  .               .               .
1945-1949    105-109                  .               .               .
1945-1949    110+                     .               .               .
1950-1954        0                    .               .               .
1950-1954      1-4                    .               .               .
1950-1954      5-9                    .               .               .
1950-1954     10-14                   .               .               .
1950-1954     15-19                   .               .               .
1950-1954     20-24          4095359.95      4285444.12      8380804.07
1950-1954     25-29          4041061.87      4227988.12      8269049.99
1950-1954     30-34          3993542.44      4171172.13      8164714.57
1950-1954     35-39          3926594.50      4095667.23      8022261.73
1950-1954     40-44          3906977.69      4043068.49      7950046.18
1950-1954     45-49          3878313.57      3952219.84      7830533.41
1950-1954     50-54          3837473.31      3829930.73      7667404.03
1950-1954     55-59          3799346.29      3686360.96      7485707.25
1950-1954     60-64          3727307.71      3505059.13      7232366.84
1950-1954     65-69          2716690.33      2471835.32      5188525.65
1950-1954     70-74                   .               .               .
1950-1954     75-79                   .               .               .
1950-1954     80-84                   .               .               .
1950-1954     85-89                   .               .               .
1950-1954     90-94                   .               .               .
1950-1954     95-99                   .               .               .
1950-1954    100-104                  .               .               .
1950-1954    105-109                  .               .               .
1950-1954    110+                     .               .               .
1955-1959        0                    .               .               .
1955-1959      1-4                    .               .               .
1955-1959      5-9                    .               .               .
1955-1959     10-14                   .               .               .
1955-1959     15-19          4655650.18      4884281.64      9539931.82
1955-1959     20-24          4630053.83      4842465.92      9472519.75
1955-1959     25-29          4578167.80      4779264.18      9357431.99
1955-1959     30-34          4513374.14      4708808.68      9222182.83
1955-1959     35-39          4495928.39      4660742.70      9156671.09
1955-1959     40-44          4477826.98      4594562.75      9072389.72
1955-1959     45-49          4440073.66      4487124.14      8927197.80
1955-1959     50-54          4415489.88      4360209.90      8775699.78
1955-1959     55-59          4365072.68      4201183.38      8566256.05
1955-1959     60-64          3238311.40      3038072.96      6276384.37
1955-1959     65-69                   .               .               .
1955-1959     70-74                   .               .               .
1955-1959     75-79                   .               .               .
1955-1959     80-84                   .               .               .
1955-1959     85-89                   .               .               .
1955-1959     90-94                   .               .               .
1955-1959     95-99                   .               .               .
1955-1959    100-104                  .               .               .
1955-1959    105-109                  .               .               .
1955-1959    110+                     .               .               .
1960-1964        0                    .               .               .
1960-1964      1-4                    .               .               .
1960-1964      5-9                    .               .               .
1960-1964     10-14          4922804.45      5203978.66     10126783.11
1960-1964     15-19          4886424.62      5146056.12     10032480.75
1960-1964     20-24          4876339.78      5123978.09     10000317.87
1960-1964     25-29          4812154.37      5054710.28      9866864.65
1960-1964     30-34          4789192.41      5002328.64      9791521.05
1960-1964     35-39          4788567.48      4960963.23      9749530.71
1960-1964     40-44          4763509.62      4879399.80      9642909.42
1960-1964     45-49          4752626.96      4773159.07      9525786.03
1960-1964     50-54          4721839.76      4639567.92      9361407.68
1960-1964     55-59          3538101.50      3404508.69      6942610.19
1960-1964     60-64                   .               .               .
