France, Total Population, Life tables (cohort 1x1), Total	Last modified: 23 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1816           0      0.20365  0.17842  0.31  100000   17842   87613  3868679  38.69
  1816           1      0.05799  0.05629  0.48   82158    4625   79755  3781066  46.02
  1816           2      0.04426  0.04331  0.50   77533    3358   75866  3701311  47.74
  1816           3      0.02869  0.02827  0.49   74175    2097   73097  3625445  48.88
  1816           4      0.01932  0.01914  0.50   72078    1379   71389  3552348  49.28
  1816           5      0.01665  0.01651  0.50   70699    1167   70118  3480959  49.24
  1816           6      0.01394  0.01384  0.50   69531     963   69048  3410841  49.05
  1816           7      0.01164  0.01157  0.50   68569     793   68172  3341793  48.74
  1816           8      0.00982  0.00977  0.51   67775     662   67449  3273621  48.30
  1816           9      0.00886  0.00883  0.51   67113     592   66824  3206173  47.77
  1816          10      0.00734  0.00732  0.50   66521     487   66275  3139349  47.19
  1816          11      0.00597  0.00595  0.50   66034     393   65839  3073074  46.54
  1816          12      0.00523  0.00521  0.50   65641     342   65469  3007235  45.81
  1816          13      0.00484  0.00483  0.51   65298     315   65143  2941765  45.05
  1816          14      0.00506  0.00505  0.51   64983     328   64821  2876622  44.27
  1816          15      0.00577  0.00576  0.52   64655     372   64476  2811801  43.49
  1816          16      0.00658  0.00656  0.50   64283     421   64073  2747326  42.74
  1816          17      0.00771  0.00768  0.52   63862     490   63626  2683253  42.02
  1816          18      0.00837  0.00833  0.50   63371     528   63105  2619626  41.34
  1816          19      0.00809  0.00806  0.50   62843     506   62588  2556522  40.68
  1816          20      0.00909  0.00905  0.51   62337     564   62063  2493933  40.01
  1816          21      0.01062  0.01056  0.50   61773     652   61449  2431871  39.37
  1816          22      0.01102  0.01096  0.50   61120     670   60784  2370422  38.78
  1816          23      0.01172  0.01166  0.51   60450     705   60107  2309638  38.21
  1816          24      0.01271  0.01263  0.51   59746     755   59375  2249530  37.65
  1816          25      0.01202  0.01195  0.49   58991     705   58635  2190156  37.13
  1816          26      0.01049  0.01044  0.50   58286     608   57980  2131521  36.57
  1816          27      0.00949  0.00944  0.50   57678     545   57404  2073541  35.95
  1816          28      0.00888  0.00884  0.50   57133     505   56880  2016137  35.29
  1816          29      0.00910  0.00906  0.51   56629     513   56377  1959257  34.60
  1816          30      0.00982  0.00977  0.51   56115     548   55845  1902880  33.91
  1816          31      0.01025  0.01020  0.50   55567     567   55284  1847035  33.24
  1816          32      0.01169  0.01163  0.52   55000     640   54694  1791751  32.58
  1816          33      0.01110  0.01103  0.47   54360     600   54044  1737057  31.95
  1816          34      0.00935  0.00930  0.50   53761     500   53512  1683013  31.31
  1816          35      0.00983  0.00978  0.51   53261     521   53004  1629501  30.59
  1816          36      0.01014  0.01009  0.50   52740     532   52475  1576497  29.89
  1816          37      0.01207  0.01200  0.53   52208     626   51913  1524022  29.19
  1816          38      0.01290  0.01281  0.49   51581     661   51244  1472109  28.54
  1816          39      0.01131  0.01125  0.49   50920     573   50630  1420865  27.90
  1816          40      0.01100  0.01094  0.51   50348     551   50076  1370235  27.22
  1816          41      0.01179  0.01172  0.51   49797     584   49510  1320159  26.51
  1816          42      0.01270  0.01262  0.51   49213     621   48907  1270649  25.82
  1816          43      0.01228  0.01220  0.49   48592     593   48291  1221742  25.14
  1816          44      0.01179  0.01172  0.51   47999     562   47721  1173451  24.45
  1816          45      0.01147  0.01140  0.50   47437     541   47169  1125730  23.73
  1816          46      0.01192  0.01185  0.51   46896     556   46622  1078561  23.00
  1816          47      0.01287  0.01279  0.51   46340     593   46050  1031939  22.27
  1816          48      0.01431  0.01421  0.51   45748     650   45429   985890  21.55
  1816          49      0.01590  0.01578  0.51   45097     711   44748   940460  20.85
  1816          50      0.01649  0.01636  0.50   44386     726   44024   895713  20.18
  1816          51      0.01721  0.01707  0.51   43660     745   43294   851689  19.51
  1816          52      0.01818  0.01802  0.51   42915     773   42533   808396  18.84
  1816          53      0.02084  0.02063  0.52   42142     869   41725   765863  18.17
  1816          54      0.02588  0.02557  0.52   41272    1055   40768   724138  17.55
  1816          55      0.02417  0.02386  0.47   40217     960   39710   683370  16.99
  1816          56      0.02081  0.02060  0.51   39257     809   38860   643660  16.40
  1816          57      0.02178  0.02154  0.50   38449     828   38035   604801  15.73
  1816          58      0.02407  0.02379  0.51   37620     895   37185   566766  15.07
  1816          59      0.02682  0.02646  0.50   36725     972   36242   529580  14.42
  1816          60      0.02857  0.02817  0.50   35753    1007   35253   493338  13.80
  1816          61      0.03125  0.03078  0.51   34746    1069   34222   458085  13.18
  1816          62      0.03509  0.03450  0.51   33677    1162   33108   423863  12.59
  1816          63      0.03768  0.03698  0.50   32515    1203   31917   390756  12.02
  1816          64      0.03879  0.03806  0.50   31312    1192   30722   358839  11.46
  1816          65      0.04112  0.04031  0.51   30121    1214   29525   328117  10.89
  1816          66      0.04520  0.04422  0.51   28906    1278   28279   298592  10.33
  1816          67      0.04936  0.04819  0.51   27628    1331   26972   270313   9.78
  1816          68      0.05333  0.05197  0.51   26297    1367   25623   243341   9.25
  1816          69      0.05939  0.05771  0.51   24930    1439   24224   217717   8.73
  1816          70      0.06414  0.06219  0.51   23492    1461   22777   193493   8.24
  1816          71      0.07324  0.07071  0.51   22031    1558   21271   170716   7.75
  1816          72      0.07955  0.07653  0.50   20473    1567   19694   149445   7.30
  1816          73      0.08801  0.08441  0.52   18906    1596   18134   129751   6.86
