Sweden, Life tables (cohort 1x1), Total	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1751           0      0.25835  0.21908  0.31  100000   21908   84798  3421933  34.22
  1751           1      0.06803  0.06558  0.45   78092    5121   75278  3337135  42.73
  1751           2      0.03891  0.03818  0.50   72971    2786   71591  3261857  44.70
  1751           3      0.02910  0.02868  0.50   70185    2013   69176  3190266  45.45
  1751           4      0.02392  0.02364  0.50   68172    1611   67375  3121089  45.78
  1751           5      0.02577  0.02546  0.53   66561    1695   65763  3053715  45.88
  1751           6      0.01980  0.01960  0.49   64866    1272   64223  2987952  46.06
  1751           7      0.01167  0.01160  0.47   63595     738   63204  2923728  45.97
  1751           8      0.00689  0.00686  0.49   62857     431   62638  2860525  45.51
  1751           9      0.00626  0.00624  0.53   62425     390   62240  2797887  44.82
  1751          10      0.00724  0.00721  0.53   62036     447   61827  2735646  44.10
  1751          11      0.00814  0.00811  0.50   61588     499   61340  2673819  43.41
  1751          12      0.00751  0.00748  0.49   61089     457   60858  2612479  42.77
  1751          13      0.00684  0.00682  0.50   60632     413   60425  2551621  42.08
  1751          14      0.00616  0.00615  0.49   60219     370   60031  2491196  41.37
  1751          15      0.00604  0.00602  0.52   59849     360   59674  2431165  40.62
  1751          16      0.00648  0.00646  0.52   59488     384   59303  2371491  39.86
  1751          17      0.00684  0.00682  0.52   59104     403   58909  2312188  39.12
  1751          18      0.00693  0.00690  0.50   58701     405   58500  2253279  38.39
  1751          19      0.00739  0.00736  0.52   58296     429   58089  2194780  37.65
  1751          20      0.01020  0.01016  0.54   57867     588   57595  2136691  36.92
  1751          21      0.01636  0.01624  0.54   57279     930   56848  2079096  36.30
  1751          22      0.01410  0.01399  0.43   56349     788   55899  2022248  35.89
  1751          23      0.00855  0.00852  0.51   55561     473   55327  1966349  35.39
  1751          24      0.00931  0.00926  0.51   55088     510   54837  1911022  34.69
  1751          25      0.01002  0.00997  0.51   54578     544   54309  1856185  34.01
