Denmark, Life tables (cohort 5x5), Total	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1835-1839        0      0.20532  0.17970  0.31  100000   17970   87524  4420951  44.21
1835-1839      1-4      0.02560  0.09600  1.39   82030    7875  307592  4333427  52.83
1835-1839      5-9      0.00753  0.03692  2.42   74155    2738  363707  4025835  54.29
1835-1839     10-14     0.00538  0.02649  2.32   71417    1892  352010  3662128  51.28
1835-1839     15-19     0.00536  0.02648  2.61   69525    1841  343226  3310118  47.61
1835-1839     20-24     0.00697  0.03427  2.53   67684    2319  332700  2966891  43.83
1835-1839     25-29     0.00801  0.03925  2.48   65364    2566  320344  2634191  40.30
1835-1839     30-34     0.00811  0.03976  2.55   62799    2497  307885  2313847  36.85
1835-1839     35-39     0.00958  0.04679  2.49   60302    2821  294429  2005963  33.27
1835-1839     40-44     0.00996  0.04862  2.52   57481    2795  280464  1711534  29.78
1835-1839     45-49     0.01130  0.05496  2.54   54686    3006  266049  1431069  26.17
1835-1839     50-54     0.01464  0.07070  2.60   51680    3654  249620  1165020  22.54
1835-1839     55-59     0.01862  0.08903  2.55   48027    4276  229648   915400  19.06
1835-1839     60-64     0.02619  0.12317  2.59   43751    5389  205785   685752  15.67
1835-1839     65-69     0.03945  0.18016  2.59   38362    6911  175174   479967  12.51
1835-1839     70-74     0.06026  0.26254  2.55   31451    8257  137019   304793   9.69
1835-1839     75-79     0.09768  0.39231  2.49   23194    9099   93156   167774   7.23
1835-1839     80-84     0.15160  0.54400  2.41   14095    7668   50577    74618   5.29
1835-1839     85-89     0.24243  0.72079  2.19    6427    4633   19109    24041   3.74
1835-1839     90-94     0.34754  0.84354  1.95    1795    1514    4356     4932   2.75
1835-1839     95-99     0.47354  0.92634  1.71     281     260     549      576   2.05
1835-1839    100-104    0.79386  0.97667  1.14      21      20      25       27   1.32
1835-1839    105-109    0.27273  1.00000  3.67       0       0       2        2   3.67
1835-1839    110+             .        .     .       0       0       0        0      .
1840-1844        0      0.20626  0.18043  0.31  100000   18043   87474  4475899  44.76
1840-1844      1-4      0.02331  0.08816  1.54   81957    7225  310037  4388425  53.55
1840-1844      5-9      0.00891  0.04345  2.18   74732    3247  364505  4078387  54.57
1840-1844     10-14     0.00522  0.02577  2.47   71485    1842  352759  3713883  51.95
1840-1844     15-19     0.00527  0.02601  2.55   69643    1811  343773  3361123  48.26
1840-1844     20-24     0.00764  0.03751  2.57   67831    2544  332982  3017350  44.48
1840-1844     25-29     0.00713  0.03502  2.49   65287    2287  320702  2684368  41.12
1840-1844     30-34     0.00807  0.03956  2.53   63001    2492  308852  2363666  37.52
1840-1844     35-39     0.00844  0.04134  2.50   60508    2502  296297  2054814  33.96
1840-1844     40-44     0.00930  0.04543  2.53   58007    2636  283530  1758517  30.32
1840-1844     45-49     0.01092  0.05319  2.57   55371    2945  269704  1474987  26.64
1840-1844     50-54     0.01342  0.06498  2.56   52426    3407  253807  1205283  22.99
1840-1844     55-59     0.01774  0.08507  2.60   49019    4170  235093   951476  19.41
1840-1844     60-64     0.02490  0.11752  2.62   44849    5271  211717   716384  15.97
1840-1844     65-69     0.03700  0.16988  2.59   39579    6724  181703   504666  12.75
1840-1844     70-74     0.05840  0.25602  2.59   32855    8411  144036   322963   9.83
1840-1844     75-79     0.09380  0.38070  2.53   24444    9306   99210   178927   7.32
1840-1844     80-84     0.15345  0.54717  2.38   15138    8283   53978    79717   5.27
1840-1844     85-89     0.24150  0.71664  2.16    6855    4912   20341    25739   3.75
1840-1844     90-94     0.34165  0.83550  1.94    1942    1623    4750     5398   2.78
1840-1844     95-99     0.47909  0.92500  1.68     320     296     617      648   2.03
1840-1844    100-104    0.76817  1.00000  1.30      24      24      31       31   1.30
1840-1844    105-109         .       .    .       0       0       0        0      .
1840-1844    110+             .        .     .       0       0       0        0      .
1845-1849        0      0.22252  0.19275  0.31  100000   19275   86618  4346129  43.46
1845-1849      1-4      0.02632  0.09876  1.50   80725    7973  302937  4259511  52.77
1845-1849      5-9      0.00884  0.04319  2.30   72753    3142  355285  3956574  54.38
1845-1849     10-14     0.00586  0.02885  2.31   69610    2008  342650  3601288  51.73
1845-1849     15-19     0.00614  0.03024  2.63   67602    2044  333171  3258639  48.20
1845-1849     20-24     0.00725  0.03563  2.52   65558    2336  321995  2925467  44.62
1845-1849     25-29     0.00742  0.03643  2.49   63222    2303  310324  2603472  41.18
1845-1849     30-34     0.00769  0.03773  2.51   60919    2298  298876  2293148  37.64
1845-1849     35-39     0.00841  0.04117  2.54   58621    2414  287162  1994273  34.02
1845-1849     40-44     0.00940  0.04594  2.53   56207    2582  274660  1707111  30.37
1845-1849     45-49     0.01053  0.05132  2.54   53625    2752  261351  1432451  26.71
1845-1849     50-54     0.01350  0.06536  2.58   50873    3325  246317  1171100  23.02
1845-1849     55-59     0.01752  0.08404  2.59   47548    3996  228097   924783  19.45
1845-1849     60-64     0.02435  0.11505  2.61   43552    5011  205770   696686  16.00
1845-1849     65-69     0.03697  0.16979  2.60   38541    6544  176988   490916  12.74
1845-1849     70-74     0.05733  0.25182  2.59   31997    8058  140557   313927   9.81
1845-1849     75-79     0.09595  0.38767  2.52   23940    9281   96721   173371   7.24
