Netherlands, Life tables (cohort 5x5), Total	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1850-1854        0      0.23142  0.19939  0.31  100000   19939   86159  4040132  40.40
1850-1854      1-4      0.03833  0.13940  1.40   80061   11160  291187  3953972  49.39
1850-1854      5-9      0.01130  0.05471  2.10   68900    3769  333571  3662785  53.16
1850-1854     10-14     0.00575  0.02834  2.39   65131    1846  320834  3329214  51.12
1850-1854     15-19     0.00678  0.03339  2.69   63285    2113  311543  3008379  47.54
1850-1854     20-24     0.00852  0.04170  2.41   61172    2551  299264  2696836  44.09
1850-1854     25-29     0.00793  0.03887  2.47   58621    2278  287344  2397572  40.90
1850-1854     30-34     0.00828  0.04058  2.50   56343    2286  276008  2110228  37.45
1850-1854     35-39     0.00919  0.04491  2.54   54056    2428  264311  1834220  33.93
1850-1854     40-44     0.00944  0.04610  2.47   51629    2380  252109  1569908  30.41
1850-1854     45-49     0.01006  0.04907  2.55   49248    2417  240311  1317800  26.76
1850-1854     50-54     0.01245  0.06044  2.59   46832    2831  227329  1077489  23.01
1850-1854     55-59     0.01698  0.08161  2.62   44001    3591  211462   850160  19.32
1850-1854     60-64     0.02530  0.11946  2.67   40410    4827  190781   638698  15.81
1850-1854     65-69     0.03976  0.18136  2.58   35583    6453  162327   447917  12.59
1850-1854     70-74     0.05862  0.25682  2.59   29130    7481  127613   285590   9.80
1850-1854     75-79     0.09651  0.38827  2.48   21649    8405   87096   157978   7.30
1850-1854     80-84     0.14672  0.53037  2.39   13243    7024   47872    70882   5.35
1850-1854     85-89     0.24352  0.72767  2.24    6219    4526   18584    23009   3.70
1850-1854     90-94     0.37789  0.85684  1.81    1694    1451    3840     4425   2.61
1850-1854     95-99     0.40447  0.90017  1.92     242     218     540      585   2.41
1850-1854    100-104    0.52352  0.91736  1.46      24      22      42       45   1.87
1850-1854    105-109    0.71164  1.00000  1.41       2       2       3        3   1.41
1850-1854    110+             .        .     .       0       0       0        0      .
1855-1859        0      0.26085  0.22086  0.31  100000   22086   84670  3949941  39.50
1855-1859      1-4      0.04319  0.15527  1.39   77914   12098  280088  3865272  49.61
1855-1859      5-9      0.01091  0.05287  2.13   65817    3480  319085  3585184  54.47
1855-1859     10-14     0.00538  0.02652  2.36   62337    1653  307322  3266099  52.39
1855-1859     15-19     0.00613  0.03021  2.62   60684    1833  299063  2958777  48.76
1855-1859     20-24     0.00717  0.03519  2.46   58851    2071  288984  2659713  45.19
1855-1859     25-29     0.00725  0.03559  2.48   56780    2021  278798  2370729  41.75
1855-1859     30-34     0.00767  0.03764  2.55   54759    2061  268742  2091931  38.20
1855-1859     35-39     0.00809  0.03964  2.46   52698    2089  258187  1823189  34.60
1855-1859     40-44     0.00830  0.04065  2.51   50609    2057  247919  1565002  30.92
1855-1859     45-49     0.00911  0.04456  2.56   48552    2164  237487  1317083  27.13
1855-1859     50-54     0.01168  0.05680  2.59   46389    2635  225603  1079596  23.27
1855-1859     55-59     0.01626  0.07832  2.67   43754    3427  210798   853993  19.52
1855-1859     60-64     0.02529  0.11921  2.60   40327    4807  190097   643195  15.95
1855-1859     65-69     0.03621  0.16667  2.62   35520    5920  163495   453098  12.76
1855-1859     70-74     0.05940  0.25955  2.57   29599    7682  129323   289604   9.78
1855-1859     75-79     0.09221  0.37524  2.52   21917    8224   89184   160281   7.31
1855-1859     80-84     0.15848  0.56194  2.41   13693    7695   48553    71097   5.19
1855-1859     85-89     0.25008  0.72249  2.08    5998    4334   17330    22544   3.76
1855-1859     90-94     0.29708  0.79218  2.05    1665    1319    4439     5214   3.13
1855-1859     95-99     0.43212  0.90259  1.77     346     312     723      775   2.24
1855-1859    100-104    0.63750  0.97110  1.42      34      33      51       53   1.56
1855-1859    105-109    0.71016  1.00000  1.41       1       1       1        1   1.41
1855-1859    110+             .        .     .       0       0       0        0      .
1860-1864        0      0.24219  0.20733  0.31  100000   20733   85607  4190651  41.91
1860-1864      1-4      0.03915  0.14202  1.38   79267   11258  287574  4105043  51.79
1860-1864      5-9      0.00960  0.04669  2.14   68009    3176  330950  3817469  56.13
1860-1864     10-14     0.00451  0.02227  2.30   64834    1444  320274  3486519  53.78
1860-1864     15-19     0.00528  0.02609  2.65   63390    1654  313067  3166245  49.95
1860-1864     20-24     0.00657  0.03232  2.49   61736    1995  303675  2853178  46.22
1860-1864     25-29     0.00668  0.03286  2.51   59741    1963  293809  2549502  42.68
1860-1864     30-34     0.00689  0.03385  2.49   57778    1956  283978  2255694  39.04
1860-1864     35-39     0.00703  0.03453  2.53   55822    1928  274354  1971715  35.32
1860-1864     40-44     0.00744  0.03655  2.52   53895    1970  264584  1697362  31.49
1860-1864     45-49     0.00832  0.04077  2.54   51925    2117  254419  1432777  27.59
1860-1864     50-54     0.01118  0.05446  2.67   49808    2713  242719  1178358  23.66
1860-1864     55-59     0.01630  0.07845  2.60   47095    3694  226613   935640  19.87
1860-1864     60-64     0.02216  0.10527  2.64   43401    4569  206211   709026  16.34
1860-1864     65-69     0.03565  0.16428  2.61   38832    6379  178938   502816  12.95
1860-1864     70-74     0.05572  0.24571  2.60   32453    7974  143098   323878   9.98
1860-1864     75-79     0.09577  0.38730  2.53   24479    9481   98999   180780   7.39
1860-1864     80-84     0.15692  0.55178  2.31   14998    8276   52738    81781   5.45
1860-1864     85-89     0.20139  0.65156  2.29    6722    4380   21749    29043   4.32
1860-1864     90-94     0.30099  0.79599  2.04    2342    1865    6195     7294   3.11
1860-1864     95-99     0.42379  0.89363  1.76     478     427    1008     1099   2.30
1860-1864    100-104    0.54884  0.95144  1.57      51      48      88       91   1.80
1860-1864    105-109    0.75480  1.00000  1.32       2       2       3        3   1.32
1860-1864    110+             .        .     .       0       0       0        0      .
1865-1869        0      0.25527  0.21685  0.31  100000   21685   84947  4275239  42.75
1865-1869      1-4      0.03721  0.13560  1.38   78315   10619  285406  4190292  53.51
1865-1869      5-9      0.00832  0.04054  1.92   67696    2744  330019  3904886  57.68
1865-1869     10-14     0.00376  0.01862  2.42   64952    1209  321645  3574868  55.04
1865-1869     15-19     0.00493  0.02436  2.65   63743    1553  315070  3253222  51.04
1865-1869     20-24     0.00623  0.03066  2.50   62190    1907  306173  2938153  47.25
1865-1869     25-29     0.00605  0.02979  2.44   60283    1796  296819  2631980  43.66
1865-1869     30-34     0.00594  0.02929  2.51   58487    1713  288163  2335161  39.93
1865-1869     35-39     0.00603  0.02970  2.52   56774    1686  279690  2046998  36.06
1865-1869     40-44     0.00648  0.03189  2.52   55088    1757  271075  1767308  32.08
1865-1869     45-49     0.00800  0.03928  2.63   53331    2095  261698  1496233  28.06
1865-1869     50-54     0.01106  0.05385  2.56   51236    2759  249457  1234536  24.09
1865-1869     55-59     0.01403  0.06786  2.60   48478    3289  234505   985078  20.32
1865-1869     60-64     0.02189  0.10406  2.64   45188    4702  214836   750573  16.61
1865-1869     65-69     0.03349  0.15512  2.62   40486    6280  187505   535737  13.23
1865-1869     70-74     0.05702  0.25088  2.61   34205    8581  150510   348232  10.18
1865-1869     75-79     0.09463  0.38162  2.47   25624    9779  103333   197722   7.72
1865-1869     80-84     0.12941  0.48561  2.43   15846    7695   59461    94390   5.96
1865-1869     85-89     0.20431  0.65454  2.26    8151    5335   26113    34929   4.29
1865-1869     90-94     0.29833  0.79124  2.03    2816    2228    7468     8816   3.13
1865-1869     95-99     0.42258  0.89136  1.76     588     524    1240     1348   2.29
1865-1869    100-104    0.58471  0.97059  1.56      64      62     106      108   1.69
1865-1869    105-109    0.86956  1.00000  1.15       2       2       2        2   1.15
1865-1869    110+             .        .     .       0       0       0        0      .
1870-1874        0      0.26556  0.22423  0.31  100000   22423   84435  4433224  44.33
1870-1874      1-4      0.03164  0.11638  1.24   77577    9028  285352  4348789  56.06
1870-1874      5-9      0.00630  0.03092  2.09   68549    2120  336569  4063437  59.28
1870-1874     10-14     0.00351  0.01740  2.45   66429    1156  329194  3726867  56.10
1870-1874     15-19     0.00461  0.02279  2.66   65273    1488  322889  3397673  52.05
1870-1874     20-24     0.00574  0.02829  2.47   63786    1805  314364  3074784  48.20
1870-1874     25-29     0.00551  0.02717  2.49   61981    1684  305673  2760420  44.54
1870-1874     30-34     0.00519  0.02563  2.50   60297    1545  297628  2454748  40.71
1870-1874     35-39     0.00540  0.02664  2.52   58752    1565  289876  2157119  36.72
1870-1874     40-44     0.00624  0.03074  2.65   57187    1758  281807  1867243  32.65
1870-1874     45-49     0.00797  0.03906  2.50   55429    2165  271726  1585436  28.60
1870-1874     50-54     0.00939  0.04594  2.62   53264    2447  260498  1313710  24.66
1870-1874     55-59     0.01368  0.06626  2.63   50817    3367  246117  1053212  20.73
1870-1874     60-64     0.02072  0.09877  2.64   47450    4687  226190   807095  17.01
1870-1874     65-69     0.03409  0.15779  2.64   42764    6748  197921   580904  13.58
1870-1874     70-74     0.05577  0.24542  2.56   36016    8839  158486   382983  10.63
1870-1874     75-79     0.07893  0.33062  2.55   27177    8985  113844   224497   8.26
1870-1874     80-84     0.12746  0.48013  2.43   18192    8734   68525   110653   6.08
1870-1874     85-89     0.19638  0.63811  2.26    9457    6035   30731    42128   4.45
1870-1874     90-94     0.27938  0.76674  2.06    3423    2624    9393    11397   3.33
