Switzerland, Life tables (cohort 5x1), Females	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1876           0      0.23248  0.20050  0.31  100000   20050   86247  4705645  47.06
  1876         1-4      0.02262  0.08545  1.40   79950    6831  302029  4619398  57.78
  1876         5-9      0.00570  0.02800  2.01   73118    2047  359467  4317369  59.05
  1876        10-14     0.00340  0.01686  2.76   71071    1198  352672  3957901  55.69
  1876        15-19     0.00522  0.02577  2.62   69873    1801  345079  3605230  51.60
  1876        20-24     0.00557  0.02745  2.52   68072    1869  335734  3260150  47.89
  1876        25-29     0.00595  0.02930  2.55   66203    1940  326260  2924416  44.17
  1876        30-34     0.00625  0.03077  2.48   64264    1977  316334  2598156  40.43
  1876        35-39     0.00611  0.03008  2.55   62286    1873  306836  2281821  36.63
  1876        40-44     0.00788  0.03866  2.53   60413    2335  296290  1974986  32.69
  1876        45-49     0.00724  0.03559  2.58   58077    2067  285390  1678696  28.90
  1876        50-54     0.01011  0.04933  2.61   56011    2763  273452  1393306  24.88
  1876        55-59     0.01408  0.06807  2.56   53247    3625  257385  1119853  21.03
  1876        60-64     0.01977  0.09443  2.64   49623    4686  237049   862468  17.38
  1876        65-69     0.03085  0.14402  2.70   44937    6472  209806   625419  13.92
  1876        70-74     0.05135  0.22786  2.53   38465    8765  170694   415613  10.81
  1876        75-79     0.08013  0.33611  2.60   29700    9983  124573   244919   8.25
  1876        80-84     0.12236  0.46554  2.43   19718    9179   75020   120346   6.10
  1876        85-89     0.20658  0.65708  2.23   10538    6924   33520    45326   4.30
  1876        90-94     0.28369  0.78123  2.12    3614    2823    9952    11806   3.27
  1876        95-99     0.40640  0.89205  1.86     791     705    1735     1855   2.35
  1876       100-104    0.70435  0.94737  1.14      85      81     115      119   1.40
  1876       105-109    0.99689  1.00000  1.00       4       4       5        5   1.00
  1876       110+             .        .    .       0       0       0        0      .
  1877           0      0.21493  0.18732  0.31  100000   18732   87152  4813735  48.14
  1877         1-4      0.02150  0.08163  1.51   81268    6634  308541  4726583  58.16
  1877         5-9      0.00538  0.02649  2.16   74634    1977  367546  4418042  59.20
  1877        10-14     0.00330  0.01635  2.56   72656    1188  360385  4050496  55.75
  1877        15-19     0.00491  0.02427  2.61   71469    1734  353196  3690112  51.63
  1877        20-24     0.00568  0.02801  2.56   69734    1953  343912  3336916  47.85
  1877        25-29     0.00645  0.03176  2.51   67781    2152  333546  2993004  44.16
  1877        30-34     0.00624  0.03069  2.43   65629    2014  322961  2659458  40.52
  1877        35-39     0.00622  0.03061  2.52   63615    1947  313243  2336497  36.73
  1877        40-44     0.00804  0.03938  2.43   61667    2429  302098  2023255  32.81
  1877        45-49     0.00736  0.03615  2.60   59239    2141  291050  1721156  29.05
  1877        50-54     0.01051  0.05127  2.62   57097    2927  278519  1430107  25.05
  1877        55-59     0.01340  0.06494  2.61   54170    3518  262446  1151588  21.26
  1877        60-64     0.01942  0.09268  2.55   50652    4694  241773   889142  17.55
  1877        65-69     0.03090  0.14421  2.68   45958    6627  214444   647369  14.09
  1877        70-74     0.04873  0.21781  2.57   39330    8567  175810   432925  11.01
  1877        75-79     0.07908  0.33107  2.54   30764   10185  128791   257115   8.36
  1877        80-84     0.12114  0.46292  2.45   20579    9526   78640   128324   6.24
  1877        85-89     0.19320  0.62979  2.24   11052    6961   36028    49685   4.50
  1877        90-94     0.27653  0.76227  2.06    4092    3119   11279    13656   3.34
  1877        95-99     0.39289  0.86009  1.73     973     837    2129     2378   2.44
  1877       100-104    0.53036  0.95082  1.63     136     129     244      248   1.83
  1877       105-109    1.50308  1.00000  0.67       7       7       4        4   0.67
  1877       110+             .        .    .       0       0       0        0      .
  1878           0      0.21303  0.18587  0.31  100000   18587   87251  4825254  48.25
  1878         1-4      0.02162  0.08202  1.48   81413    6677  308840  4738003  58.20
  1878         5-9      0.00520  0.02564  2.16   74735    1916  368239  4429163  59.26
  1878        10-14     0.00345  0.01710  2.63   72819    1245  361145  4060924  55.77
  1878        15-19     0.00520  0.02570  2.65   71574    1839  353543  3699779  51.69
  1878        20-24     0.00570  0.02812  2.51   69735    1961  343786  3346236  47.99
  1878        25-29     0.00667  0.03281  2.53   67774    2224  333381  3002450  44.30
  1878        30-34     0.00597  0.02942  2.48   65550    1928  322893  2669069  40.72
