Norway, Life tables (cohort 5x1), Females	Last modified: 01 Aug 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1846           0      0.11529  0.10684  0.31  100000   10684   92672  5065561  50.66
  1846         1-4      0.02806  0.10418  1.25   89316    9305  331647  4972889  55.68
  1846         5-9      0.00577  0.02834  2.05   80011    2268  393355  4641243  58.01
  1846        10-14     0.00420  0.02080  2.61   77743    1617  384847  4247887  54.64
  1846        15-19     0.00533  0.02630  2.39   76126    2002  375407  3863041  50.75
  1846        20-24     0.00580  0.02857  2.55   74124    2118  365435  3487634  47.05
  1846        25-29     0.00722  0.03551  2.73   72006    2557  354239  3122199  43.36
  1846        30-34     0.00779  0.03821  2.54   69450    2653  340721  2767961  39.86
  1846        35-39     0.00833  0.04079  2.44   66796    2725  327015  2427240  36.34
  1846        40-44     0.00886  0.04340  2.60   64072    2781  313676  2100225  32.78
  1846        45-49     0.00932  0.04553  2.49   61291    2791  299442  1786549  29.15
  1846        50-54     0.01099  0.05355  2.59   58500    3133  284965  1487108  25.42
  1846        55-59     0.01337  0.06473  2.55   55367    3584  268039  1202142  21.71
  1846        60-64     0.01926  0.09209  2.64   51783    4769  247649   934104  18.04
  1846        65-69     0.02783  0.13082  2.71   47015    6151  221000   686454  14.60
  1846        70-74     0.04549  0.20417  2.50   40864    8343  183423   465454  11.39
  1846        75-79     0.06874  0.29426  2.56   32521    9570  139214   282031   8.67
  1846        80-84     0.12047  0.45933  2.42   22951   10542   87510   142817   6.22
  1846        85-89     0.19236  0.63065  2.27   12409    7826   40683    55307   4.46
  1846        90-94     0.29332  0.78307  2.02    4583    3589   12236    14624   3.19
  1846        95-99     0.39020  0.89032  1.95     994     885    2269     2388   2.40
  1846       100-104    0.91071  1.00000  1.10     109     109     120      120   1.10
  1846       105-109         .       .    .       0       0       0        0      .
  1846       110+             .        .    .       0       0       0        0      .
  1847           0      0.11239  0.10435  0.31  100000   10435   92843  5132731  51.33
  1847         1-4      0.02489  0.09325  1.27   89565    8352  335489  5039888  56.27
  1847         5-9      0.00582  0.02864  2.12   81213    2326  399362  4704399  57.93
  1847        10-14     0.00453  0.02240  2.66   78887    1767  390304  4305038  54.57
  1847        15-19     0.00523  0.02581  2.47   77119    1990  380555  3914733  50.76
  1847        20-24     0.00588  0.02897  2.57   75129    2177  370359  3534179  47.04
  1847        25-29     0.00693  0.03407  2.50   72953    2486  358552  3163820  43.37
  1847        30-34     0.00743  0.03647  2.50   70467    2570  345913  2805268  39.81
  1847        35-39     0.00887  0.04342  2.56   67897    2948  332286  2459355  36.22
  1847        40-44     0.00873  0.04270  2.47   64949    2773  317716  2127069  32.75
  1847        45-49     0.00921  0.04500  2.42   62176    2798  303670  1809353  29.10
  1847        50-54     0.01045  0.05097  2.62   59378    3027  289678  1505683  25.36
  1847        55-59     0.01348  0.06527  2.58   56351    3678  272873  1216005  21.58
  1847        60-64     0.01911  0.09132  2.58   52673    4810  251737   943132  17.91
  1847        65-69     0.03034  0.14114  2.53   47863    6755  222657   691395  14.45
  1847        70-74     0.04447  0.20087  2.59   41108    8257  185680   468738  11.40
  1847        75-79     0.07226  0.30635  2.52   32851   10064  139281   283058   8.62
  1847        80-84     0.11913  0.45595  2.43   22787   10390   87214   143777   6.31
  1847        85-89     0.18436  0.61708  2.32   12397    7650   41494    56563   4.56
  1847        90-94     0.30594  0.80137  2.03    4747    3804   12435    15070   3.17
  1847        95-99     0.33732  0.82704  1.92     943     780    2312     2635   2.79
  1847       100-104    0.47962  0.92727  1.69     163     151     315      323   1.98
  1847       105-109    1.50000  1.00000  0.67      12      12       8        8   0.67
  1847       110+             .        .    .       0       0       0        0      .
  1848           0      0.10464  0.09764  0.31  100000    9764   93303  5158453  51.58
  1848         1-4      0.02261  0.08542  1.40   90236    7708  340871  5065150  56.13
  1848         5-9      0.00596  0.02930  2.19   82528    2418  405840  4724279  57.24
  1848        10-14     0.00476  0.02355  2.60   80111    1887  396032  4318440  53.91
  1848        15-19     0.00529  0.02611  2.52   78224    2043  386054  3922408  50.14
  1848        20-24     0.00620  0.03056  2.60   76182    2328  375318  3536354  46.42
  1848        25-29     0.00811  0.03972  2.46   73854    2934  361806  3161036  42.80
  1848        30-34     0.00768  0.03765  2.49   70920    2670  347887  2799230  39.47
  1848        35-39     0.00878  0.04292  2.42   68250    2929  333695  2451343  35.92
  1848        40-44     0.00954  0.04660  2.52   65320    3044  319061  2117648  32.42
  1848        45-49     0.00877  0.04285  2.40   62276    2669  304443  1798587  28.88
  1848        50-54     0.01072  0.05225  2.59   59608    3114  290523  1494144  25.07
  1848        55-59     0.01415  0.06840  2.60   56494    3864  273176  1203621  21.31
  1848        60-64     0.02005  0.09572  2.65   52629    5037  251299   930445  17.68
  1848        65-69     0.03202  0.14901  2.68   47592    7092  221473   679146  14.27
  1848        70-74     0.04645  0.20864  2.56   40500    8450  181909   457673  11.30
  1848        75-79     0.07471  0.31649  2.59   32050   10143  135780   275764   8.60
  1848        80-84     0.11370  0.43953  2.42   21906    9629   84686   139984   6.39
  1848        85-89     0.18604  0.62033  2.32   12278    7616   40940    55298   4.50
  1848        90-94     0.30514  0.79296  1.97    4661    3696   12114    14358   3.08
  1848        95-99     0.40577  0.87977  1.78     965     849    2093     2244   2.33
  1848       100-104    0.75484  0.95122  1.07     116     110     146      152   1.31
  1848       105-109    1.00000  1.00000  1.00       6       6       6        6   1.00
  1848       110+             .        .    .       0       0       0        0      .
  1849           0      0.08857  0.08350  0.31  100000    8350   94273  5353377  53.53
  1849         1-4      0.02067  0.07850  1.42   91650    7195  348007  5259104  57.38
  1849         5-9      0.00558  0.02746  2.22   84456    2319  415826  4911098  58.15
  1849        10-14     0.00460  0.02274  2.52   82137    1868  406055  4495272  54.73
  1849        15-19     0.00491  0.02427  2.51   80269    1948  396499  4089217  50.94
  1849        20-24     0.00569  0.02807  2.61   78320    2198  386344  3692718  47.15
  1849        25-29     0.00718  0.03525  2.53   76122    2683  373993  3306374  43.44
  1849        30-34     0.00785  0.03852  2.57   73439    2829  360325  2932381  39.93
