Switzerland, Life tables (cohort 1x1), Males	Last modified: 09 Aug 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1876           0      0.29090  0.24163  0.30  100000   24163   83064  4305952  43.06
  1876           1      0.04328  0.04233  0.48   75837    3210   74178  4222888  55.68
  1876           2      0.01964  0.01944  0.49   72626    1412   71912  4148711  57.12
  1876           3      0.01487  0.01477  0.52   71214    1052   70706  4076798  57.25
  1876           4      0.01207  0.01200  0.50   70162     842   69744  4006093  57.10
  1876           5      0.00973  0.00969  0.51   69320     671   68993  3936349  56.78
  1876           6      0.00578  0.00576  0.49   68649     395   68446  3867356  56.34
  1876           7      0.00448  0.00447  0.54   68253     305   68112  3798910  55.66
  1876           8      0.00446  0.00445  0.52   67948     303   67802  3730798  54.91
  1876           9      0.00380  0.00379  0.49   67646     256   67515  3662996  54.15
  1876          10      0.00232  0.00231  0.49   67389     156   67309  3595481  53.35
  1876          11      0.00255  0.00255  0.52   67233     171   67150  3528172  52.48
  1876          12      0.00273  0.00272  0.52   67062     183   66974  3461022  51.61
  1876          13      0.00258  0.00257  0.52   66879     172   66796  3394048  50.75
  1876          14      0.00286  0.00286  0.54   66707     191   66620  3327251  49.88
  1876          15      0.00325  0.00324  0.50   66516     216   66409  3260632  49.02
  1876          16      0.00357  0.00356  0.50   66301     236   66182  3194223  48.18
  1876          17      0.00412  0.00411  0.52   66065     272   65934  3128040  47.35
  1876          18      0.00439  0.00438  0.52   65793     288   65653  3062106  46.54
  1876          19      0.00511  0.00509  0.50   65505     334   65337  2996452  45.74
  1876          20      0.00606  0.00604  0.50   65171     394   64976  2931115  44.98
  1876          21      0.00505  0.00504  0.52   64778     327   64622  2866139  44.25
  1876          22      0.00465  0.00464  0.49   64451     299   64299  2801517  43.47
  1876          23      0.00613  0.00612  0.49   64152     392   63951  2737218  42.67
  1876          24      0.00554  0.00553  0.49   63760     353   63580  2673267  41.93
  1876          25      0.00542  0.00541  0.49   63407     343   63232  2609687  41.16
  1876          26      0.00562  0.00561  0.51   63064     354   62889  2546455  40.38
  1876          27      0.00629  0.00627  0.51   62711     393   62517  2483566  39.60
  1876          28      0.00617  0.00615  0.50   62317     383   62128  2421049  38.85
  1876          29      0.00598  0.00597  0.50   61934     370   61749  2358922  38.09
  1876          30      0.00616  0.00614  0.52   61565     378   61382  2297172  37.31
  1876          31      0.00601  0.00599  0.50   61187     366   61002  2235791  36.54
  1876          32      0.00529  0.00527  0.53   60820     321   60671  2174788  35.76
  1876          33      0.00626  0.00624  0.51   60499     377   60314  2114117  34.94
  1876          34      0.00673  0.00671  0.51   60122     404   59926  2053804  34.16
  1876          35      0.00682  0.00679  0.52   59719     406   59525  1993878  33.39
  1876          36      0.00711  0.00708  0.50   59313     420   59104  1934353  32.61
  1876          37      0.00751  0.00748  0.49   58893     441   58668  1875248  31.84
  1876          38      0.00712  0.00709  0.52   58452     415   58252  1816580  31.08
  1876          39      0.00721  0.00719  0.52   58037     417   57839  1758328  30.30
  1876          40      0.00777  0.00774  0.50   57620     446   57398  1700489  29.51
  1876          41      0.00938  0.00934  0.52   57174     534   56919  1643091  28.74
  1876          42      0.01496  0.01484  0.47   56640     841   56191  1586172  28.00
  1876          43      0.00920  0.00916  0.51   55800     511   55548  1529981  27.42
  1876          44      0.00973  0.00968  0.50   55289     535   55022  1474432  26.67
  1876          45      0.00835  0.00832  0.50   54753     455   54524  1419410  25.92
  1876          46      0.00992  0.00987  0.51   54298     536   54037  1364886  25.14
  1876          47      0.00982  0.00978  0.50   53762     526   53501  1310849  24.38
  1876          48      0.01093  0.01087  0.51   53237     579   52952  1257348  23.62
  1876          49      0.01252  0.01244  0.49   52658     655   52326  1204396  22.87
  1876          50      0.01313  0.01305  0.52   52003     679   51675  1152071  22.15
  1876          51      0.01365  0.01356  0.51   51324     696   50983  1100396  21.44
  1876          52      0.01537  0.01526  0.52   50628     773   50256  1049413  20.73
  1876          53      0.01623  0.01610  0.51   49856     803   49460   999157  20.04
  1876          54      0.01774  0.01758  0.51   49053     862   48627   949698  19.36
  1876          55      0.01652  0.01639  0.51   48191     790   47807   901071  18.70
  1876          56      0.01958  0.01939  0.50   47401     919   46943   853264  18.00
  1876          57      0.02187  0.02164  0.51   46482    1006   45986   806321  17.35
  1876          58      0.02078  0.02056  0.50   45476     935   45007   760335  16.72
  1876          59      0.02430  0.02402  0.51   44541    1070   44013   715328  16.06
  1876          60      0.02335  0.02308  0.50   43471    1003   42966   671315  15.44
  1876          61      0.02375  0.02347  0.50   42468     997   41967   628349  14.80
  1876          62      0.02826  0.02788  0.52   41471    1156   40911   586382  14.14
  1876          63      0.03192  0.03142  0.51   40315    1267   39688   545471  13.53
  1876          64      0.03036  0.02991  0.50   39048    1168   38469   505783  12.95
  1876          65      0.03499  0.03440  0.50   37880    1303   37233   467314  12.34
  1876          66      0.03574  0.03511  0.50   36577    1284   35930   430081  11.76
  1876          67      0.04061  0.03982  0.51   35293    1405   34606   394151  11.17
  1876          68      0.04950  0.04830  0.50   33888    1637   33064   359545  10.61
  1876          69      0.05102  0.04975  0.50   32251    1605   31447   326481  10.12
  1876          70      0.05386  0.05244  0.50   30647    1607   29840   295034   9.63
  1876          71      0.06052  0.05875  0.50   29040    1706   28190   265194   9.13
  1876          72      0.06404  0.06211  0.51   27334    1698   26509   237004   8.67
  1876          73      0.06664  0.06452  0.51   25636    1654   24822   210494   8.21
  1876          74      0.07933  0.07632  0.50   23982    1830   23073   185672   7.74
  1876          75      0.08464  0.08127  0.51   22151    1800   21269   162600   7.34
  1876          76      0.08741  0.08378  0.51   20351    1705   19507   141330   6.94
  1876          77      0.09364  0.08954  0.51   18646    1670   17831   121823   6.53
  1876          78      0.10182  0.09703  0.51   16976    1647   16177   103992   6.13
  1876          79      0.13326  0.12513  0.51   15329    1918   14394    87815   5.73
  1876          80      0.12189  0.11480  0.49   13411    1540   12631    73420   5.47
  1876          81      0.14396  0.13431  0.50   11871    1594   11075    60789   5.12
  1876          82      0.14766  0.13759  0.50   10277    1414    9576    49714   4.84
  1876          83      0.16021  0.14871  0.52    8863    1318    8227    40138   4.53
  1876          84      0.17585  0.16167  0.50    7545    1220    6937    31912   4.23
  1876          85      0.19226  0.17624  0.53    6325    1115    5798    24975   3.95
  1876          86      0.23304  0.20912  0.51    5210    1090    4676    19177   3.68
  1876          87      0.23360  0.20953  0.51    4121     863    3696    14501   3.52
  1876          88      0.24692  0.21950  0.49    3257     715    2896    10805   3.32
  1876          89      0.28907  0.25337  0.51    2542     644    2228     7909   3.11
  1876          90      0.28117  0.24789  0.52    1898     471    1674     5681   2.99
  1876          91      0.31538  0.27040  0.47    1428     386    1224     4007   2.81
  1876          92      0.31241  0.26974  0.49    1042     281     899     2783   2.67
  1876          93      0.36440  0.30931  0.51     761     235     646     1884   2.48
  1876          94      0.38947  0.32609  0.50     525     171     440     1238   2.36
  1876          95      0.37552  0.31613  0.50     354     112     298      798   2.25
  1876          96      0.47175  0.37736  0.47     242      91     194      500   2.07
  1876          97      0.36323  0.30303  0.45     151      46     126      307   2.03
  1876          98      0.50811  0.41304  0.55     105      43      85      181   1.72
  1876          99      0.90315  0.59259  0.42      62      37      40       95   1.55
  1876         100      0.31004  0.27273  0.56      25       7      22       55   2.18
  1876         101      0.28546  0.25000  0.50      18       5      16       33   1.79
  1876         102      0.42802  0.33333  0.34      14       5      11       17   1.23
  1876         103      1.28063  0.75000  0.45       9       7       5        6   0.67
  1876         104      2.97312  1.00000  0.34       2       2       1        1   0.34
  1876         105            .        .     .       0       0       0        0      .
  1876         106            .        .     .       0       0       0        0      .
  1876         107            .        .     .       0       0       0        0      .
  1876         108            .        .     .       0       0       0        0      .
  1876         109            .        .     .       0       0       0        0      .
  1876         110+           .        .     .       0       0       0        0      .
  1877           0      0.26202  0.22137  0.30  100000   22137   84484  4426078  44.26
  1877           1      0.03817  0.03742  0.47   77863    2913   76321  4341594  55.76
  1877           2      0.01984  0.01965  0.52   74950    1473   74241  4265273  56.91
  1877           3      0.01530  0.01519  0.51   73477    1116   72926  4191032  57.04
  1877           4      0.01387  0.01378  0.51   72361     997   71871  4118106  56.91
  1877           5      0.00742  0.00739  0.50   71364     527   71098  4046234  56.70
  1877           6      0.00586  0.00585  0.52   70836     414   70638  3975136  56.12
  1877           7      0.00508  0.00507  0.51   70422     357   70249  3904498  55.44
  1877           8      0.00434  0.00433  0.52   70065     304   69919  3834249  54.72
  1877           9      0.00252  0.00251  0.51   69761     175   69675  3764330  53.96
  1877          10      0.00260  0.00259  0.50   69586     180   69495  3694655  53.09
  1877          11      0.00284  0.00283  0.53   69405     197   69313  3625160  52.23
  1877          12      0.00351  0.00351  0.47   69209     243   69081  3555847  51.38
  1877          13      0.00291  0.00291  0.54   68966     201   68873  3486766  50.56
  1877          14      0.00282  0.00282  0.49   68765     194   68666  3417893  49.70
  1877          15      0.00283  0.00282  0.52   68572     194   68478  3349227  48.84
  1877          16      0.00383  0.00382  0.52   68378     261   68252  3280749  47.98
  1877          17      0.00446  0.00445  0.51   68117     303   67969  3212497  47.16
  1877          18      0.00554  0.00553  0.51   67814     375   67632  3144528  46.37
  1877          19      0.00557  0.00555  0.53   67439     374   67263  3076896  45.62
  1877          20      0.00553  0.00551  0.50   67065     370   66880  3009633  44.88
  1877          21      0.00601  0.00599  0.51   66695     400   66501  2942753  44.12
  1877          22      0.00604  0.00602  0.52   66295     399   66104  2876252  43.39
  1877          23      0.00494  0.00493  0.50   65896     325   65734  2810148  42.65
  1877          24      0.00538  0.00536  0.51   65571     352   65398  2744414  41.85
  1877          25      0.00572  0.00570  0.51   65220     372   65039  2679016  41.08
  1877          26      0.00586  0.00584  0.49   64848     379   64656  2613976  40.31
  1877          27      0.00630  0.00628  0.51   64469     405   64269  2549321  39.54
  1877          28      0.00655  0.00653  0.51   64064     418   63860  2485051  38.79
  1877          29      0.00569  0.00568  0.51   63646     361   63470  2421191  38.04
  1877          30      0.00523  0.00522  0.52   63285     330   63126  2357721  37.26
  1877          31      0.00618  0.00616  0.51   62955     388   62766  2294595  36.45
  1877          32      0.00605  0.00604  0.51   62567     378   62382  2231829  35.67
  1877          33      0.00657  0.00655  0.50   62189     407   61987  2169447  34.88
  1877          34      0.00669  0.00667  0.52   61782     412   61584  2107460  34.11
  1877          35      0.00591  0.00589  0.49   61370     362   61184  2045877  33.34
  1877          36      0.00791  0.00788  0.50   61008     481   60770  1984692  32.53
  1877          37      0.00717  0.00714  0.52   60527     432   60318  1923922  31.79
  1877          38      0.00752  0.00749  0.53   60095     450   59881  1863605  31.01
  1877          39      0.00835  0.00832  0.51   59645     496   59402  1803723  30.24
  1877          40      0.00773  0.00771  0.54   59149     456   58941  1744321  29.49
  1877          41      0.01368  0.01357  0.44   58693     797   58246  1685379  28.72
  1877          42      0.00854  0.00851  0.53   57896     493   57662  1627134  28.10
  1877          43      0.00950  0.00945  0.50   57404     543   57134  1569471  27.34
  1877          44      0.00908  0.00904  0.50   56861     514   56604  1512337  26.60
  1877          45      0.01001  0.00996  0.51   56347     561   56074  1455733  25.84
  1877          46      0.01073  0.01067  0.51   55785     595   55493  1399659  25.09
  1877          47      0.01175  0.01169  0.52   55190     645   54878  1344167  24.36
  1877          48      0.01095  0.01089  0.50   54545     594   54247  1289288  23.64
  1877          49      0.01280  0.01272  0.51   53951     686   53616  1235041  22.89
  1877          50      0.01264  0.01256  0.51   53264     669   52936  1181425  22.18
  1877          51      0.01385  0.01376  0.52   52595     724   52249  1128489  21.46
