Finland, Life tables (cohort 1x10), Males	Last modified: 20 Jun 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1878-1879        0      0.18900  0.16689  0.30  100000   16689   88303  3983254  39.83
1878-1879        1      0.06753  0.06530  0.49   83311    5440   80555  3894951  46.75
1878-1879        2      0.04513  0.04413  0.50   77871    3437   76156  3814396  48.98
1878-1879        3      0.03135  0.03086  0.50   74434    2297   73277  3738241  50.22
1878-1879        4      0.02197  0.02173  0.50   72137    1567   71352  3664964  50.81
1878-1879        5      0.01541  0.01529  0.50   70570    1079   70031  3593611  50.92
1878-1879        6      0.01318  0.01309  0.51   69491     910   69044  3523581  50.71
1878-1879        7      0.00972  0.00967  0.48   68581     663   68237  3454537  50.37
1878-1879        8      0.00710  0.00707  0.48   67918     480   67668  3386300  49.86
1878-1879        9      0.00446  0.00445  0.51   67437     300   67289  3318632  49.21
1878-1879       10      0.00538  0.00537  0.52   67137     360   66964  3251343  48.43
1878-1879       11      0.00478  0.00477  0.51   66777     319   66621  3184379  47.69
1878-1879       12      0.00440  0.00439  0.52   66458     292   66317  3117758  46.91
1878-1879       13      0.00403  0.00402  0.51   66166     266   66036  3051441  46.12
1878-1879       14      0.00437  0.00436  0.51   65900     287   65759  2985405  45.30
1878-1879       15      0.00396  0.00395  0.50   65613     259   65483  2919646  44.50
1878-1879       16      0.00401  0.00400  0.52   65354     262   65229  2854162  43.67
1878-1879       17      0.00422  0.00421  0.51   65093     274   64959  2788934  42.85
1878-1879       18      0.00541  0.00539  0.52   64819     349   64649  2723974  42.02
1878-1879       19      0.00573  0.00571  0.52   64469     368   64292  2659325  41.25
1878-1879       20      0.00731  0.00728  0.51   64101     467   63872  2595033  40.48
1878-1879       21      0.00784  0.00781  0.50   63634     497   63385  2531161  39.78
1878-1879       22      0.00861  0.00857  0.50   63137     541   62866  2467777  39.09
1878-1879       23      0.00818  0.00814  0.50   62596     510   62343  2404911  38.42
1878-1879       24      0.00752  0.00749  0.50   62086     465   61853  2342568  37.73
1878-1879       25      0.00799  0.00796  0.50   61621     490   61377  2280715  37.01
1878-1879       26      0.00770  0.00767  0.50   61131     469   60897  2219338  36.30
1878-1879       27      0.00795  0.00792  0.50   60662     480   60423  2158441  35.58
1878-1879       28      0.00760  0.00757  0.51   60182     455   59957  2098018  34.86
1878-1879       29      0.00741  0.00738  0.50   59726     441   59504  2038061  34.12
1878-1879       30      0.00755  0.00752  0.51   59286     446   59065  1978557  33.37
1878-1879       31      0.00771  0.00768  0.50   58840     452   58612  1919492  32.62
1878-1879       32      0.00836  0.00833  0.50   58388     486   58147  1860880  31.87
1878-1879       33      0.00777  0.00774  0.51   57902     448   57680  1802733  31.13
1878-1879       34      0.00846  0.00842  0.50   57453     484   57214  1745052  30.37
1878-1879       35      0.00860  0.00856  0.51   56969     488   56728  1687839  29.63
1878-1879       36      0.00809  0.00806  0.51   56482     455   56257  1631111  28.88
1878-1879       37      0.00994  0.00990  0.51   56026     554   55754  1574854  28.11
1878-1879       38      0.01715  0.01703  0.58   55472     945   55073  1519100  27.39
1878-1879       39      0.02480  0.02450  0.51   54527    1336   53870  1464027  26.85
1878-1879       40      0.02141  0.02117  0.45   53191    1126   52575  1410157  26.51
1878-1879       41      0.01080  0.01075  0.53   52065     560   51801  1357582  26.07
1878-1879       42      0.01052  0.01046  0.50   51506     539   51238  1305781  25.35
1878-1879       43      0.01063  0.01057  0.51   50967     539   50704  1254543  24.61
1878-1879       44      0.01144  0.01138  0.51   50428     574   50144  1203839  23.87
1878-1879       45      0.01308  0.01300  0.52   49854     648   49540  1153695  23.14
1878-1879       46      0.01485  0.01474  0.50   49206     725   48842  1104154  22.44
1878-1879       47      0.01433  0.01423  0.52   48481     690   48151  1055313  21.77
1878-1879       48      0.01457  0.01447  0.51   47791     691   47451  1007162  21.07
1878-1879       49      0.01691  0.01677  0.53   47100     790   46727   959711  20.38
1878-1879       50      0.01888  0.01870  0.50   46310     866   45880   912984  19.71
1878-1879       51      0.01812  0.01796  0.52   45444     816   45053   867104  19.08
1878-1879       52      0.01993  0.01974  0.52   44627     881   44205   822050  18.42
1878-1879       53      0.02148  0.02126  0.52   43746     930   43300   777846  17.78
1878-1879       54      0.02124  0.02102  0.51   42816     900   42376   734546  17.16
1878-1879       55      0.02383  0.02355  0.51   41916     987   41429   692170  16.51
1878-1879       56      0.02465  0.02436  0.52   40929     997   40450   650741  15.90
1878-1879       57      0.02643  0.02609  0.51   39932    1042   39424   610291  15.28
