Netherlands, Life tables (cohort 1x5), Males	Last modified: 06 Oct 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1850-1854        0      0.25060  0.21316  0.30  100000   21316   85060  3940211  39.40
1850-1854        1      0.07017  0.06772  0.48   78684    5328   75933  3855151  49.00
1850-1854        2      0.03770  0.03701  0.51   73356    2715   72019  3779219  51.52
1850-1854        3      0.02436  0.02406  0.50   70641    1700   69789  3707199  52.48
1850-1854        4      0.01885  0.01868  0.50   68941    1288   68302  3637410  52.76
1850-1854        5      0.01618  0.01605  0.51   67653    1086   67116  3569108  52.76
1850-1854        6      0.01301  0.01292  0.49   66568     860   66129  3501992  52.61
1850-1854        7      0.01129  0.01123  0.49   65707     738   65331  3435863  52.29
1850-1854        8      0.00901  0.00897  0.48   64970     583   64668  3370532  51.88
1850-1854        9      0.00722  0.00720  0.49   64387     463   64148  3305864  51.34
1850-1854       10      0.00622  0.00620  0.50   63923     396   63724  3241716  50.71
1850-1854       11      0.00577  0.00575  0.50   63527     365   63343  3177992  50.03
1850-1854       12      0.00548  0.00546  0.50   63162     345   62989  3114649  49.31
1850-1854       13      0.00499  0.00497  0.50   62817     312   62660  3051660  48.58
1850-1854       14      0.00526  0.00524  0.48   62504     328   62333  2989000  47.82
1850-1854       15      0.00494  0.00492  0.49   62177     306   62022  2926667  47.07
1850-1854       16      0.00565  0.00564  0.51   61871     349   61698  2864645  46.30
1850-1854       17      0.00630  0.00628  0.51   61522     386   61334  2802947  45.56
1850-1854       18      0.00777  0.00774  0.50   61135     473   60897  2741613  44.84
1850-1854       19      0.00916  0.00912  0.50   60662     553   60385  2680716  44.19
1850-1854       20      0.01083  0.01077  0.49   60109     647   59779  2620330  43.59
1850-1854       21      0.01022  0.01017  0.49   59462     605   59151  2560552  43.06
1850-1854       22      0.00933  0.00928  0.49   58857     546   58576  2501400  42.50
1850-1854       23      0.00902  0.00898  0.49   58311     523   58042  2442824  41.89
1850-1854       24      0.00844  0.00840  0.49   57787     486   57539  2384782  41.27
