Denmark, Life tables (cohort 5x1), Males	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1835           0      0.24212  0.20699  0.30  100000   20699   85492  4244452  42.44
  1835         1-4      0.02660  0.09947  1.39   79301    7888  296585  4158960  52.45
  1835         5-9      0.00696  0.03416  2.27   71413    2440  350399  3862375  54.09
  1835        10-14     0.00486  0.02398  2.37   68973    1654  340516  3511976  50.92
  1835        15-19     0.00504  0.02489  2.65   67319    1675  332660  3171460  47.11
  1835        20-24     0.00724  0.03555  2.48   65644    2334  322350  2838800  43.25
  1835        25-29     0.00763  0.03749  2.68   63310    2374  311048  2516450  39.75
  1835        30-34     0.00734  0.03606  2.51   60937    2197  299207  2205402  36.19
  1835        35-39     0.00911  0.04455  2.54   58740    2617  287272  1906195  32.45
  1835        40-44     0.01023  0.04988  2.56   56123    2800  273777  1618923  28.85
  1835        45-49     0.01251  0.06072  2.57   53323    3238  258734  1345145  25.23
  1835        50-54     0.01622  0.07805  2.60   50085    3909  241047  1086412  21.69
  1835        55-59     0.02214  0.10492  2.51   46176    4845  218842   845365  18.31
  1835        60-64     0.02946  0.13765  2.63   41332    5689  193149   626522  15.16
  1835        65-69     0.04289  0.19433  2.58   35642    6926  161484   433373  12.16
  1835        70-74     0.06306  0.27296  2.54   28716    7838  124309   271889   9.47
  1835        75-79     0.10030  0.40094  2.50   20878    8371   83458   147580   7.07
  1835        80-84     0.16141  0.56280  2.31   12507    7039   43610    64122   5.13
  1835        85-89     0.23717  0.71502  2.22    5468    3910   16484    20512   3.75
  1835        90-94     0.37758  0.89033  2.03    1558    1387    3674     4028   2.58
  1835        95-99     0.46233  0.92009  1.73     171     157     340      353   2.07
  1835       100-104    1.03990  1.00000  0.96      14      14      13       13   0.96
  1835       105-109         .       .    .       0       0       0        0      .
  1835       110+             .        .    .       0       0       0        0      .
  1836           0      0.23035  0.19833  0.30  100000   19833   86099  4297958  42.98
  1836         1-4      0.02552  0.09585  1.45   80167    7684  301043  4211859  52.54
  1836         5-9      0.00669  0.03287  2.40   72483    2382  356230  3910816  53.95
  1836        10-14     0.00508  0.02507  2.32   70101    1757  345796  3554587  50.71
  1836        15-19     0.00510  0.02519  2.61   68344    1722  337605  3208791  46.95
  1836        20-24     0.00724  0.03552  2.44   66622    2367  327046  2871186  43.10
  1836        25-29     0.00801  0.03930  2.57   64255    2525  315147  2544141  39.59
  1836        30-34     0.00733  0.03599  2.52   61730    2221  303148  2228994  36.11
  1836        35-39     0.00917  0.04485  2.51   59509    2669  290890  1925846  32.36
  1836        40-44     0.01056  0.05149  2.57   56840    2926  277100  1634956  28.76
  1836        45-49     0.01267  0.06146  2.57   53913    3314  261520  1357856  25.19
  1836        50-54     0.01635  0.07868  2.61   50600    3981  243493  1096336  21.67
  1836        55-59     0.02142  0.10168  2.50   46619    4740  221260   852842  18.29
  1836        60-64     0.02978  0.13894  2.59   41878    5818  195356   631582  15.08
  1836        65-69     0.04308  0.19508  2.58   36060    7035  163302   436226  12.10
  1836        70-74     0.06409  0.27659  2.53   29025    8028  125260   272924   9.40
  1836        75-79     0.10260  0.40821  2.50   20997    8571   83536   147664   7.03
  1836        80-84     0.15424  0.54653  2.33   12426    6791   44031    64127   5.16
  1836        85-89     0.25393  0.73229  2.11    5635    4126   16249    20097   3.57
  1836        90-94     0.37471  0.86709  1.90    1509    1308    3491     3847   2.55
  1836        95-99     0.54887  0.92728  1.43     201     186     339      357   1.78
  1836       100-104    0.81868  1.00000  1.22      15      15      18       18   1.22
  1836       105-109         .       .    .       0       0       0        0      .
  1836       110+             .        .    .       0       0       0        0      .
  1837           0      0.21622  0.18776  0.30  100000   18776   86840  4326359  43.26
  1837         1-4      0.02676  0.10006  1.39   81224    8127  303678  4239520  52.20
  1837         5-9      0.00691  0.03396  2.50   73096    2482  359284  3935842  53.84
  1837        10-14     0.00527  0.02596  2.27   70614    1833  348058  3576559  50.65
  1837        15-19     0.00514  0.02541  2.66   68781    1748  339807  3228500  46.94
  1837        20-24     0.00712  0.03495  2.46   67033    2343  329210  2888694  43.09
  1837        25-29     0.00819  0.04010  2.39   64690    2594  316677  2559484  39.57
  1837        30-34     0.00728  0.03577  2.53   62096    2221  304994  2242807  36.12
  1837        35-39     0.00876  0.04286  2.50   59875    2566  292963  1937813  32.36
  1837        40-44     0.01029  0.05018  2.53   57308    2876  279453  1644851  28.70
  1837        45-49     0.01244  0.06037  2.56   54433    3286  264145  1365398  25.08
  1837        50-54     0.01651  0.07940  2.60   51147    4061  245984  1101252  21.53
  1837        55-59     0.02122  0.10079  2.52   47086    4746  223675   855268  18.16
  1837        60-64     0.02976  0.13868  2.55   42340    5872  197294   631593  14.92
  1837        65-69     0.04449  0.20068  2.56   36468    7318  164485   434299  11.91
  1837        70-74     0.06678  0.28635  2.51   29150    8347  124992   269814   9.26
  1837        75-79     0.10847  0.42711  2.51   20803    8885   81915   144822   6.96
  1837        80-84     0.15004  0.54169  2.43   11918    6456   43025    62907   5.28
  1837        85-89     0.24930  0.73312  2.19    5462    4004   16063    19882   3.64
  1837        90-94     0.37337  0.87533  1.97    1458    1276    3417     3820   2.62
  1837        95-99     0.43165  0.91265  1.84     182     166     384      402   2.21
  1837       100-104    0.88781  1.00000  1.13      16      16      18       18   1.13
  1837       105-109         .       .    .       0       0       0        0      .
  1837       110+             .        .    .       0       0       0        0      .
  1838           0      0.21527  0.18705  0.30  100000   18705   86890  4265652  42.66
  1838         1-4      0.02672  0.09964  1.28   81295    8100  303181  4178762  51.40
  1838         5-9      0.00748  0.03671  2.52   73195    2687  359305  3875581  52.95
  1838        10-14     0.00537  0.02646  2.24   70508    1866  347394  3516276  49.87
  1838        15-19     0.00539  0.02664  2.68   68643    1828  338981  3168882  46.16
  1838        20-24     0.00712  0.03498  2.51   66814    2337  328261  2829901  42.35
  1838        25-29     0.00884  0.04311  2.20   64477    2780  314612  2501640  38.80
  1838        30-34     0.00786  0.03856  2.54   61697    2379  302643  2187028  35.45
  1838        35-39     0.00965  0.04711  2.52   59318    2794  289648  1884386  31.77
  1838        40-44     0.01151  0.05594  2.52   56524    3162  274782  1594737  28.21
  1838        45-49     0.01397  0.06754  2.56   53362    3604  258012  1319956  24.74
  1838        50-54     0.01843  0.08823  2.58   49758    4390  238145  1061944  21.34
  1838        55-59     0.02246  0.10642  2.54   45368    4828  214951   823798  18.16
  1838        60-64     0.03057  0.14211  2.53   40540    5761  188448   608847  15.02
  1838        65-69     0.04380  0.19780  2.55   34779    6879  157061   420399  12.09
  1838        70-74     0.06435  0.27776  2.54   27900    7749  120425   263339   9.44
  1838        75-79     0.10023  0.39881  2.44   20150    8036   80179   142914   7.09
  1838        80-84     0.15847  0.56039  2.39   12114    6789   42839    62735   5.18
  1838        85-89     0.24183  0.72316  2.22    5325    3851   15925    19895   3.74
  1838        90-94     0.34867  0.83059  1.85    1474    1225    3512     3970   2.69
  1838        95-99     0.52463  0.91623  1.45     250     229     436      458   1.83
  1838       100-104    0.95658  1.00000  1.05      21      21      22       22   1.05
  1838       105-109         .       .    .       0       0       0        0      .
  1838       110+             .        .    .       0       0       0        0      .
  1839           0      0.22784  0.19646  0.30  100000   19646   86230  4319646  43.20
  1839         1-4      0.02400  0.09014  1.29   80354    7243  301781  4233416  52.68
  1839         5-9      0.00817  0.04005  2.50   73110    2928  358225  3931635  53.78
  1839        10-14     0.00505  0.02493  2.30   70182    1749  346195  3573409  50.92
  1839        15-19     0.00539  0.02664  2.68   68433    1823  337939  3227214  47.16
  1839        20-24     0.00764  0.03755  2.73   66609    2501  327372  2889276  43.38
  1839        25-29     0.00760  0.03723  2.20   64108    2387  313863  2561903  39.96
  1839        30-34     0.00684  0.03363  2.58   61722    2075  303594  2248040  36.42
  1839        35-39     0.00830  0.04068  2.53   59646    2427  292247  1944447  32.60
  1839        40-44     0.00971  0.04743  2.55   57220    2714  279441  1652200  28.87
  1839        45-49     0.01215  0.05903  2.58   54506    3218  264730  1372759  25.19
  1839        50-54     0.01637  0.07873  2.58   51288    4038  246684  1108029  21.60
  1839        55-59     0.02094  0.09972  2.61   47250    4712  224978   861345  18.23
  1839        60-64     0.02995  0.13955  2.56   42538    5936  198189   636367  14.96
  1839        65-69     0.04458  0.20105  2.56   36602    7359  165060   438178  11.97
  1839        70-74     0.06481  0.27944  2.54   29243    8172  126083   273119   9.34
  1839        75-79     0.10140  0.40274  2.45   21072    8486   83688   147036   6.98
  1839        80-84     0.16498  0.57908  2.43   12585    7288   44175    63348   5.03
  1839        85-89     0.25811  0.74997  2.21    5297    3973   15392    19173   3.62
  1839        90-94     0.33271  0.81344  1.86    1324    1077    3238     3781   2.85
  1839        95-99     0.43910  0.89946  1.72     247     222     506      543   2.20
  1839       100-104    0.67881  1.00000  1.47      25      25      37       37   1.47
  1839       105-109         .       .    .       0       0       0        0      .
  1839       110+             .        .    .       0       0       0        0      .
  1840           0      0.23940  0.20501  0.30  100000   20501   85631  4328094  43.28
  1840         1-4      0.02263  0.08542  1.36   79499    6791  300089  4242463  53.36
  1840         5-9      0.00866  0.04237  2.47   72708    3081  355736  3942374  54.22
  1840        10-14     0.00474  0.02342  2.43   69628    1631  343947  3586638  51.51
  1840        15-19     0.00520  0.02569  2.63   67997    1747  335840  3242691  47.69
  1840        20-24     0.00810  0.03981  2.83   66250    2637  325534  2906851  43.88
  1840        25-29     0.00660  0.03243  2.40   63613    2063  312702  2581317  40.58
  1840        30-34     0.00690  0.03393  2.61   61550    2089  302764  2268616  36.86
  1840        35-39     0.00813  0.03984  2.55   59461    2369  291510  1965851  33.06
  1840        40-44     0.00950  0.04643  2.58   57092    2651  279050  1674341  29.33
  1840        45-49     0.01202  0.05838  2.58   54441    3178  264520  1395291  25.63
  1840        50-54     0.01590  0.07654  2.56   51263    3923  246743  1130771  22.06
  1840        55-59     0.02059  0.09816  2.64   47340    4647  225743   884028  18.67
  1840        60-64     0.02839  0.13290  2.61   42693    5674  199883   658286  15.42
  1840        65-69     0.04136  0.18783  2.56   37019    6953  168105   458402  12.38
  1840        70-74     0.06151  0.26733  2.56   30065    8037  130677   290297   9.66
  1840        75-79     0.09387  0.37884  2.45   22028    8345   88900   159620   7.25
  1840        80-84     0.15945  0.56353  2.40   13683    7711   48358    70719   5.17
  1840        85-89     0.23833  0.71561  2.21    5972    4274   17932    22362   3.74
  1840        90-94     0.37002  0.83988  1.75    1698    1426    3855     4429   2.61
  1840        95-99     0.45347  0.93819  1.88     272     255     563      574   2.11
  1840       100-104    1.45245  1.00000  0.69      17      17      12       12   0.69
  1840       105-109         .       .    .       0       0       0        0      .
  1840       110+             .        .    .       0       0       0        0      .
  1841           0      0.23260  0.20000  0.30  100000   20000   85982  4378903  43.79
  1841         1-4      0.02078  0.07891  1.42   80000    6313  303746  4292921  53.66
  1841         5-9      0.00871  0.04254  2.29   73688    3135  359930  3989174  54.14
  1841        10-14     0.00475  0.02346  2.43   70553    1655  348519  3629245  51.44
  1841        15-19     0.00502  0.02480  2.57   68898    1709  340333  3280725  47.62
  1841        20-24     0.00802  0.03939  2.69   67189    2647  329843  2940393  43.76
  1841        25-29     0.00640  0.03150  2.43   64542    2033  317483  2610550  40.45
  1841        30-34     0.00707  0.03478  2.62   62509    2174  307369  2293067  36.68
