England and Wales, Total Population, Life tables (cohort 5x10), Males	Last modified: 27 Nov 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1849        0      0.19084  0.16833  0.30  100000   16833   88202  3972503  39.73
1841-1849      1-4      0.03775  0.13751  1.40   83167   11437  302985  3884301  46.70
1841-1849      5-9      0.00922  0.04487  1.98   71731    3219  348945  3581316  49.93
1841-1849     10-14     0.00485  0.02394  2.50   68512    1640  338455  3232371  47.18
1841-1849     15-19     0.00642  0.03160  2.64   66872    2113  329371  2893916  43.28
1841-1849     20-24     0.00859  0.04205  2.55   64758    2723  317131  2564545  39.60
1841-1849     25-29     0.00923  0.04510  2.50   62035    2798  303188  2247414  36.23
1841-1849     30-34     0.00993  0.04846  2.53   59237    2871  289102  1944226  32.82
1841-1849     35-39     0.01165  0.05664  2.54   56366    3193  273975  1655124  29.36
1841-1849     40-44     0.01411  0.06821  2.57   53174    3627  257040  1381149  25.97
1841-1849     45-49     0.01729  0.08293  2.55   49547    4109  237678  1124109  22.69
1841-1849     50-54     0.02148  0.10207  2.57   45438    4638  215903   886432  19.51
1841-1849     55-59     0.02859  0.13366  2.56   40800    5454  190718   670529  16.43
1841-1849     60-64     0.03790  0.17344  2.55   35347    6130  161739   479811  13.57
1841-1849     65-69     0.05298  0.23455  2.56   29216    6853  129349   318072  10.89
1841-1849     70-74     0.08069  0.33630  2.53   22364    7521   93208   188723   8.44
1841-1849     75-79     0.11862  0.45424  2.42   14843    6742   56838    95515   6.44
1841-1849     80-84     0.17737  0.60280  2.34    8101    4883   27530    38677   4.77
1841-1849     85-89     0.26731  0.75289  2.10    3218    2422    9062    11147   3.46
1841-1849     90-94     0.36635  0.85829  1.90     795     682    1863     2084   2.62
1841-1849     95-99     0.50508  0.93694  1.64     113     106     209      221   1.97
1841-1849    100-104    0.55807  0.96402  1.61       7       7      12       12   1.75
1841-1849    105-109    1.40961  1.00000  0.71       0       0       0        0   0.71
1841-1849    110+             .        .    .       0       0       0        0      .
1850-1859        0      0.19149  0.16883  0.30  100000   16883   88167  4129634  41.30
1850-1859      1-4      0.03687  0.13456  1.39   83117   11185  303315  4041468  48.62
1850-1859      5-9      0.00853  0.04160  1.98   71933    2992  350630  3738153  51.97
1850-1859     10-14     0.00446  0.02203  2.50   68940    1519  340898  3387523  49.14
1850-1859     15-19     0.00570  0.02812  2.62   67421    1896  332602  3046625  45.19
1850-1859     20-24     0.00696  0.03420  2.51   65525    2241  322042  2714023  41.42
1850-1859     25-29     0.00734  0.03603  2.51   63284    2280  310745  2391980  37.80
1850-1859     30-34     0.00856  0.04192  2.56   61004    2557  298795  2081236  34.12
1850-1859     35-39     0.01048  0.05108  2.57   58447    2986  284973  1782441  30.50
1850-1859     40-44     0.01280  0.06206  2.54   55462    3442  268847  1497468  27.00
1850-1859     45-49     0.01537  0.07406  2.56   52020    3853  250684  1228621  23.62
1850-1859     50-54     0.01888  0.09027  2.56   48167    4348  230244   977937  20.30
1850-1859     55-59     0.02510  0.11835  2.60   43819    5186  206637   747693  17.06
1850-1859     60-64     0.03504  0.16148  2.58   38633    6238  178039   541057  14.01
1850-1859     65-69     0.04902  0.21899  2.57   32394    7094  144721   363017  11.21
1850-1859     70-74     0.07526  0.31809  2.57   25300    8048  106934   218296   8.63
1850-1859     75-79     0.11941  0.45749  2.45   17252    7893   66098   111362   6.45
1850-1859     80-84     0.17621  0.59925  2.33    9360    5609   31830    45264   4.84
1850-1859     85-89     0.25752  0.73905  2.12    3751    2772   10764    13434   3.58
1850-1859     90-94     0.34914  0.84504  1.95     979     827    2369     2669   2.73
1850-1859     95-99     0.49968  0.93550  1.66     152     142     284      300   1.98
1850-1859    100-104    0.61115  0.97829  1.53      10      10      16       16   1.64
