Sweden, Life tables (cohort 5x5), Males	Last modified: 23 May 2024;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1751-1754        0      0.27019  0.22717  0.30  100000   22717   84078  3336261  33.36
1751-1754      1-4      0.04234  0.15366  1.59   77283   11875  280462  3252183  42.08
1751-1754      5-9      0.01352  0.06492  1.93   65408    4246  313984  2971721  45.43
1751-1754     10-14     0.00688  0.03381  2.41   61162    2068  300456  2657738  43.45
1751-1754     15-19     0.00828  0.04065  2.79   59094    2402  290166  2357282  39.89
1751-1754     20-24     0.01068  0.05193  2.35   56692    2944  275664  2067116  36.46
1751-1754     25-29     0.00987  0.04819  2.56   53748    2590  262411  1791451  33.33
1751-1754     30-34     0.01258  0.06100  2.55   51157    3121  248131  1529040  29.89
1751-1754     35-39     0.01557  0.07469  2.29   48037    3588  230471  1280909  26.67
1751-1754     40-44     0.01448  0.06999  2.63   44449    3111  214868  1050438  23.63
1751-1754     45-49     0.01947  0.09291  2.54   41338    3841  197225   835571  20.21
1751-1754     50-54     0.02708  0.12745  2.69   37497    4779  176449   638346  17.02
1751-1754     55-59     0.04334  0.19538  2.48   32718    6392  147483   461896  14.12
1751-1754     60-64     0.04798  0.21414  2.49   26326    5637  117496   314413  11.94
1751-1754     65-69     0.06649  0.28455  2.47   20688    5887   88534   196918   9.52
1751-1754     70-74     0.09438  0.38325  2.55   14801    5673   60107   108384   7.32
1751-1754     75-79     0.16195  0.56427  2.31    9129    5151   31806    48278   5.29
1751-1754     80-84     0.21204  0.67561  2.32    3978    2687   12674    16471   4.14
1751-1754     85-89     0.32130  0.81200  1.95    1290    1048    3261     3797   2.94
1751-1754     90-94     0.44327  0.91424  1.79     243     222     500      536   2.21
1751-1754     95-99     0.55808  0.91148  1.31      21      19      34       36   1.74
1751-1754    100-104    0.84295  1.00000  1.19       2       2       2        2   1.19
1751-1754    105-109         .       .    .       0       0       0        0      .
1751-1754    110+             .        .    .       0       0       0        0      .
1755-1759        0      0.26952  0.22670  0.30  100000   22670   84111  3370527  33.71
1755-1759      1-4      0.03860  0.14108  1.56   77330   10910  282668  3286416  42.50
1755-1759      5-9      0.01340  0.06426  1.81   66421    4268  318492  3003748  45.22
1755-1759     10-14     0.00890  0.04367  2.85   62153    2714  304938  2685255  43.20
1755-1759     15-19     0.00901  0.04393  2.22   59439    2611  289939  2380317  40.05
1755-1759     20-24     0.00872  0.04270  2.64   56828    2426  278408  2090378  36.78
