Germany, Death rates (period 1x1), 	Last modified: 03 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1990           0             0.006102        0.008085        0.007119
  1990           1             0.000616        0.000676        0.000647
  1990           2             0.000355        0.000462        0.000410
  1990           3             0.000318        0.000426        0.000373
  1990           4             0.000210        0.000303        0.000258
  1990           5             0.000205        0.000295        0.000251
  1990           6             0.000219        0.000217        0.000218
  1990           7             0.000223        0.000266        0.000245
  1990           8             0.000190        0.000258        0.000225
  1990           9             0.000146        0.000182        0.000165
  1990          10             0.000138        0.000210        0.000175
  1990          11             0.000134        0.000237        0.000187
  1990          12             0.000144        0.000185        0.000165
  1990          13             0.000193        0.000249        0.000222
  1990          14             0.000226        0.000351        0.000290
  1990          15             0.000249        0.000392        0.000323
  1990          16             0.000272        0.000564        0.000422
  1990          17             0.000310        0.000684        0.000501
  1990          18             0.000353        0.001138        0.000755
  1990          19             0.000403        0.001144        0.000782
  1990          20             0.000416        0.001101        0.000766
  1990          21             0.000377        0.001205        0.000800
  1990          22             0.000397        0.001113        0.000763
  1990          23             0.000427        0.001096        0.000770
  1990          24             0.000405        0.000978        0.000700
  1990          25             0.000426        0.001115        0.000782
  1990          26             0.000384        0.001077        0.000742
  1990          27             0.000416        0.001078        0.000758
  1990          28             0.000412        0.001136        0.000784
  1990          29             0.000535        0.001261        0.000908
  1990          30             0.000541        0.001356        0.000960
  1990          31             0.000590        0.001263        0.000936
  1990          32             0.000607        0.001465        0.001049
  1990          33             0.000629        0.001633        0.001146
  1990          34             0.000778        0.001654        0.001228
  1990          35             0.000832        0.001807        0.001330
  1990          36             0.000998        0.001792        0.001402
  1990          37             0.001031        0.002108        0.001577
  1990          38             0.001090        0.002144        0.001624
  1990          39             0.001237        0.002312        0.001782
  1990          40             0.001356        0.002453        0.001914
  1990          41             0.001368        0.002522        0.001958
  1990          42             0.001535        0.002920        0.002243
  1990          43             0.001599        0.003168        0.002402
  1990          44             0.001842        0.003256        0.002562
  1990          45             0.002075        0.003928        0.003018
  1990          46             0.002257        0.004416        0.003358
  1990          47             0.002380        0.004546        0.003487
  1990          48             0.002618        0.005157        0.003914
  1990          49             0.002657        0.005465        0.004087
  1990          50             0.002962        0.006414        0.004717
  1990          51             0.003158        0.006779        0.004996
  1990          52             0.003468        0.007286        0.005402
  1990          53             0.003810        0.008482        0.006170
  1990          54             0.004266        0.009207        0.006752
  1990          55             0.004809        0.010777        0.007807
  1990          56             0.005114        0.011125        0.008125
  1990          57             0.005796        0.012417        0.009093
  1990          58             0.006219        0.013686        0.009913
  1990          59             0.006838        0.015476        0.011079
  1990          60             0.007593        0.017003        0.012176
  1990          61             0.008311        0.018529        0.013241
  1990          62             0.009075        0.019418        0.013930
  1990          63             0.009934        0.021235        0.014956
  1990          64             0.011106        0.022892        0.016064
  1990          65             0.012048        0.025691        0.017474
  1990          66             0.013494        0.028059        0.019039
  1990          67             0.014811        0.030386        0.020692
  1990          68             0.017104        0.033676        0.023290
  1990          69             0.018597        0.037054        0.025322
  1990          70             0.023392        0.045213        0.031231
  1990          71             0.021014        0.041158        0.028207
  1990          72             0.025772        0.047645        0.033510
  1990          73             0.028959        0.053990        0.037694
  1990          74             0.030873        0.055466        0.039250
  1990          75             0.038405        0.066582        0.047793
